,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,224.50M,,-0.80M,19.50M,,-25.90M,-7.20M,,,,316.30M,11.90M,4.00M,19.30M,7.40M,-268.60M,-9.00M,13.20M,-59.40M,,-24.10M,-347.90M,,228.30M,-212.60M,3.60M,3.60M,-188.90M,,147.40M,-250.50M,622.10M,-491.40M,130.70M,6.00M,0.00,6.00M,-109.80M,-109.80M,-43.70M,-16.80M,312.30M,-39.00M,-0.90M,272.40M,6.00M,1.582B,-959.80M,0.00,28.00M,107.90M
2017-12,1.134B,,0.00,7.60M,,156.10M,163.70M,,,,306.20M,-1.235B,34.00M,14.60M,-23.00M,-28.90M,-74.00M,-167.70M,3.40M,,118.20M,-149.00M,,245.40M,-214.10M,12.10M,12.10M,-107.30M,,118.70M,-190.60M,-487.70M,554.70M,67.00M,11.40M,0.00,11.40M,-109.60M,-109.60M,-14.30M,-45.50M,304.00M,9.30M,-1.00M,312.30M,11.40M,562.90M,-1.051B,0.00,41.80M,27.20M
2017-09,195.30M,-3.90M,-3.10M,19.50M,36.90M,-16.90M,34.40M,,,,297.80M,25.30M,10.30M,8.00M,-27.20M,-381.80M,-16.80M,8.90M,23.00M,,-105.00M,-471.70M,,57.60M,-241.80M,11.80M,11.80M,-154.50M,,443.80M,59.30M,17.60M,0.00,17.60M,13.50M,0.00,13.50M,-101.60M,-101.60M,6.70M,-63.80M,225.20M,53.10M,0.20M,304.00M,13.50M,1.228B,-1.210B,0.00,115.50M,100.10M
2017-06,326.60M,-190.60M,3.20M,63.80M,-16.70M,-24.10M,-166.40M,,,,275.20M,9.80M,5.50M,15.50M,-20.00M,-47.50M,19.30M,156.50M,-14.90M,,27.60M,141.00M,,589.10M,-171.50M,11.20M,11.20M,-410.10M,,-0.60M,-571.00M,-77.60M,,-77.60M,15.10M,0.00,15.10M,-100.50M,-100.50M,-18.90M,-181.90M,385.30M,-163.80M,3.70M,225.20M,15.10M,868.20M,-945.80M,0.00,21.50M,23.40M
2017-03,98.20M,1.70M,-8.10M,73.30M,-6.50M,7.00M,67.50M,,,,263.90M,-36.70M,49.60M,17.40M,-20.40M,-144.60M,-5.40M,29.70M,-36.80M,,13.20M,-143.90M,,299.70M,-189.20M,24.90M,24.90M,-32.10M,,-0.10M,-196.50M,-107.60M,0.00,-107.60M,-2.00M,-25.00M,-27.00M,-100.70M,-100.70M,16.20M,-219.10M,493.30M,-115.90M,7.90M,385.30M,-2.00M,62.80M,-170.40M,-25.00M,67.10M,95.00M
2016-12,78.50M,0.00,-0.40M,51.30M,-13.70M,-17.00M,20.20M,,,,275.20M,-18.80M,38.10M,17.10M,-19.70M,53.80M,-45.30M,128.60M,-16.00M,,-2.90M,118.20M,,517.40M,-176.10M,4.70M,4.70M,11.60M,,-0.70M,-160.50M,-1.50M,0.00,-1.50M,9.20M,-68.00M,-58.80M,-100.40M,-100.40M,-29.90M,-190.60M,340.90M,166.30M,-13.90M,493.30M,9.20M,4.00M,-5.50M,-68.00M,23.50M,20.50M
2016-09,-91.70M,0.00,-1.90M,49.70M,6.80M,344.60M,399.20M,,,,274.20M,-196.30M,9.50M,23.90M,-29.30M,-14.40M,24.80M,-91.10M,-6.00M,,86.20M,-0.50M,,381.60M,-182.00M,20.30M,20.30M,-17.00M,,6.90M,-171.80M,-62.70M,,-62.70M,11.80M,-46.40M,-34.60M,-94.40M,-94.40M,51.90M,-139.80M,258.70M,70.00M,12.20M,340.90M,11.80M,-1.60M,-61.10M,-46.40M,38.90M,93.40M
2016-06,93.70M,0.00,2.10M,14.60M,-5.80M,-28.50M,-17.60M,,,,282.20M,37.10M,106.20M,21.60M,-24.30M,-62.50M,106.00M,41.80M,-20.60M,,-36.70M,28.00M,,531.60M,-196.30M,1.40M,1.40M,-168.60M,,0.00,-363.50M,-17.50M,,-17.50M,,-39.30M,-39.30M,-94.70M,-94.70M,-126.00M,-277.50M,367.60M,-109.40M,0.50M,258.70M,,539.50M,-557.00M,-39.30M,69.10M,21.90M
2016-03,59.80M,0.00,0.30M,14.10M,0.30M,-28.30M,-13.60M,,,,291.20M,18.80M,63.10M,18.40M,-8.90M,-115.10M,-20.70M,45.40M,-81.60M,,-6.80M,-178.80M,,252.20M,-214.60M,1.10M,1.10M,-99.20M,,0.00,-312.70M,464.40M,,464.40M,-5.40M,-155.30M,-160.70M,-95.20M,-95.20M,-12.40M,196.10M,236.90M,135.60M,-4.90M,367.60M,-5.40M,775.80M,-311.40M,-155.30M,26.00M,95.40M
2015-12,-451.70M,,-0.50M,9.30M,-1.30M,-12.20M,-4.70M,,,,294.30M,-20.50M,601.40M,11.80M,-24.60M,228.60M,-59.50M,-98.60M,15.50M,,30.50M,116.50M,,523.00M,-203.80M,8.40M,8.40M,-271.50M,,-36.50M,-503.40M,179.80M,,179.80M,5.40M,-94.30M,-88.90M,-96.40M,-96.40M,-4.30M,-9.80M,228.30M,9.80M,-1.20M,236.90M,5.40M,323.60M,-143.80M,-94.30M,23.40M,19.20M
