,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,251.10M,,251.10M,2.143B,,2.143B,1.273B,,844.20M,,2.023B,,520.50M,4.945B,0.0,2.525B,,15.18B,110.80M,103.60M,17.92B,-7.137B,10.78B,5.962B,3.667B,9.629B,,3.058B,23.84B,28.78B,1.674B,1.674B,,1.674B,222.90M,222.90M,645.10M,2.929B,9.208B,9.208B,2.917B,2.917B,,450.60M,16.90M,1.30M,2.627B,15.20B,18.13B,2.60M,1.032B,10.92B,,-1.320B,10.63B
2020-06,291.50M,,291.50M,2.083B,,2.083B,1.302B,,937.10M,,2.138B,,490.20M,5.006B,0.0,2.507B,,15.07B,114.10M,102.80M,17.80B,-6.875B,10.92B,7.270B,3.749B,11.02B,,3.023B,25.27B,30.28B,1.514B,1.514B,,1.514B,213.10M,213.10M,683.10M,2.787B,9.840B,9.840B,2.888B,2.888B,,423.20M,16.80M,1.60M,2.608B,15.76B,18.55B,2.60M,2.240B,10.86B,,-1.387B,11.71B
2020-03,640.20M,,640.20M,2.222B,,2.222B,1.261B,,982.60M,,2.125B,,501.20M,5.492B,0.0,2.492B,,14.95B,120.50M,102.50M,17.66B,-6.628B,11.04B,7.264B,3.846B,11.11B,,3.043B,25.47B,30.96B,1.696B,1.696B,,1.696B,432.00M,432.00M,629.90M,3.140B,10.42B,10.42B,2.878B,2.878B,,426.40M,15.60M,1.60M,2.592B,16.32B,19.46B,2.60M,2.114B,10.78B,,-1.419B,11.48B
2019-12,156.40M,,156.40M,2.062B,,2.062B,1.309B,,1.000B,,2.190B,,537.50M,4.953B,0.0,2.476B,,15.09B,146.40M,101.10M,17.81B,-6.530B,11.28B,7.327B,3.968B,11.30B,,3.151B,25.98B,30.94B,1.781B,1.781B,,1.781B,565.10M,565.10M,725.00M,3.447B,9.649B,9.649B,2.892B,2.892B,,450.60M,15.30M,1.80M,2.656B,15.65B,19.10B,2.60M,2.088B,10.77B,,-1.035B,11.83B
2019-09,151.60M,,151.60M,2.193B,,2.193B,1.298B,,938.90M,,2.108B,,496.20M,4.974B,0.0,2.442B,,14.77B,144.00M,100.20M,17.46B,-6.272B,11.19B,7.286B,4.060B,11.35B,,2.423B,25.18B,30.16B,1.832B,1.832B,,1.832B,561.10M,561.10M,571.80M,3.435B,9.502B,9.502B,2.878B,2.878B,,456.10M,14.30M,1.90M,2.199B,15.04B,18.47B,2.60M,1.997B,10.74B,,-1.069B,11.67B
2019-06,179.10M,,179.10M,2.398B,,2.398B,1.294B,,930.40M,,2.074B,,515.70M,5.194B,0.0,2.440B,,14.52B,152.90M,99.10M,17.21B,-6.042B,11.17B,7.322B,4.175B,11.50B,,2.489B,25.62B,30.81B,1.707B,1.707B,,1.707B,779.10M,779.10M,676.80M,3.590B,9.759B,9.759B,2.966B,2.966B,,388.50M,13.60M,3.30M,2.264B,15.38B,18.97B,2.60M,1.805B,10.72B,,-695.40M,11.83B
2019-03,154.20M,,154.20M,2.367B,,2.367B,1.305B,,956.50M,,2.097B,,562.40M,5.214B,0.0,2.361B,,14.24B,149.90M,100.20M,16.85B,-5.819B,11.03B,7.301B,4.278B,11.58B,,2.423B,25.48B,30.69B,1.702B,1.702B,,1.702B,1.422B,1.422B,541.60M,4.047B,9.373B,9.373B,2.955B,2.955B,,392.50M,12.80M,3.20M,2.269B,14.99B,19.04B,2.60M,1.671B,10.69B,,-725.50M,11.64B
2018-12,260.70M,,260.70M,2.316B,,2.316B,1.326B,,921.00M,,2.102B,,508.90M,5.226B,0.0,2.350B,,13.92B,162.80M,99.20M,16.53B,-5.562B,10.97B,7.320B,4.352B,11.67B,,2.370B,25.44B,30.67B,1.680B,1.680B,,1.680B,1.093B,1.093B,592.40M,3.730B,9.728B,9.728B,2.933B,2.933B,,392.30M,11.80M,3.80M,2.265B,15.32B,19.05B,2.60M,1.635B,10.72B,,-754.80M,11.60B
2018-09,636.80M,,636.80M,2.011B,,2.011B,1.098B,,867.00M,,1.830B,,248.50M,4.785B,0.0,2.079B,,12.09B,158.00M,88.90M,14.42B,-5.337B,9.082B,5.578B,3.122B,8.700B,,2.373B,20.58B,25.36B,1.717B,1.717B,,1.717B,740.70M,740.70M,476.50M,3.333B,5.674B,5.674B,2.322B,2.322B,,396.10M,13.00M,4.20M,2.148B,10.54B,13.88B,2.50M,1.573B,10.59B,,-695.30M,11.47B
2018-06,452.60M,,452.60M,1.981B,,1.981B,1.050B,,889.70M,,1.819B,,275.40M,4.626B,0.0,2.047B,,11.77B,161.50M,85.00M,14.06B,-5.127B,8.932B,5.536B,3.214B,8.749B,,2.401B,20.51B,25.14B,1.484B,1.484B,,1.484B,594.40M,594.40M,526.00M,2.968B,5.943B,5.943B,2.249B,2.249B,,394.10M,19.20M,4.70M,2.164B,10.76B,13.72B,2.50M,1.428B,10.64B,,-674.30M,11.39B
2018-03,266.50M,,266.50M,1.950B,,1.950B,1.040B,,953.70M,,1.888B,5.90M,311.40M,4.577B,0.0,2.053B,,11.68B,180.10M,81.40M,14.00B,-4.942B,9.057B,5.583B,3.312B,8.895B,,2.504B,20.86B,25.44B,1.443B,1.443B,,1.443B,1.114B,1.114B,455.90M,3.346B,5.613B,5.613B,2.306B,2.306B,,412.00M,34.30M,4.80M,2.176B,10.51B,13.86B,2.60M,1.302B,10.68B,,-441.70M,11.55B
2017-12,306.40M,,306.40M,1.804B,,1.804B,1.024B,,939.10M,,1.869B,5.90M,317.00M,4.465B,0.0,2.045B,,11.54B,179.60M,71.60M,13.83B,-4.771B,9.064B,5.525B,3.269B,8.793B,,2.430B,20.67B,25.14B,1.402B,1.402B,,1.402B,1.245B,1.245B,526.10M,3.487B,5.366B,5.366B,2.278B,2.278B,,423.00M,40.20M,4.40M,2.185B,10.26B,13.74B,2.50M,1.197B,10.65B,,-497.60M,11.35B
2017-09,298.10M,,298.10M,1.887B,,1.887B,974.90M,,905.00M,,1.797B,5.90M,329.20M,4.491B,0.0,2.034B,,11.38B,208.30M,59.50M,13.68B,-4.564B,9.118B,5.528B,3.329B,8.858B,,2.254B,20.60B,25.09B,1.492B,1.492B,,1.492B,608.70M,608.70M,492.30M,3.010B,5.946B,5.946B,3.410B,3.410B,,432.80M,43.60M,4.70M,1.899B,11.69B,14.70B,2.50M,172.40M,10.62B,,-457.30M,10.34B
2017-06,225.20M,,225.20M,1.902B,,1.902B,932.10M,,902.80M,,1.767B,5.90M,257.00M,4.358B,0.0,2.001B,,11.33B,201.80M,56.30M,13.59B,-4.510B,9.077B,5.466B,3.325B,8.792B,,2.289B,20.51B,24.87B,1.453B,1.453B,,1.453B,710.50M,710.50M,507.70M,3.059B,5.812B,5.812B,3.378B,3.378B,,435.10M,47.60M,12.80M,1.976B,11.61B,14.67B,2.50M,79.30M,10.61B,,-543.40M,10.15B
