,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,3.208B,3.208B,1.527B,1.680B,955.46M,,,41.67M,0.582M,-41.09M,955.46M,725.01M,0.582M,41.67M,-41.09M,2.479M,-41.09M,686.41M,159.15M,527.25M,,527.25M,527.25M,807.71M,79.64M,728.07M,7.13,,,7.13,7.13,7.07,,,7.07,7.07,73.92M,74.59M
2020-06,3.092B,3.092B,1.454B,1.637B,900.69M,,,41.72M,0.635M,-41.09M,900.69M,736.49M,0.635M,41.72M,-41.09M,5.008M,-41.09M,700.41M,168.74M,531.67M,,531.67M,531.67M,820.04M,77.91M,742.13M,7.16,,,7.16,7.16,7.1,,,7.1,7.1,74.20M,74.83M
2020-03,2.476B,2.476B,1.181B,1.296B,872.34M,,,39.39M,0.675M,-38.71M,872.34M,423.56M,0.675M,39.39M,-38.71M,-5.19M,-38.71M,379.66M,79.22M,300.44M,,300.44M,300.44M,493.01M,73.96M,419.05M,4.0,,,4.0,4.0,3.97,,,3.97,3.97,75.02M,75.66M
2019-12,2.483B,2.483B,1.158B,1.325B,883.08M,,,35.29M,0.732M,-34.56M,883.08M,441.50M,0.732M,35.29M,-34.56M,2.366M,-34.56M,409.31M,84.40M,324.92M,,324.92M,324.92M,515.09M,70.49M,444.60M,4.29,,,4.29,4.29,4.25,,,4.25,4.25,75.70M,76.49M
2019-09,2.667B,2.667B,1.244B,1.423B,886.17M,,,35.86M,0.656M,-35.20M,886.17M,536.36M,0.656M,35.86M,-35.20M,0.732M,-35.20M,501.89M,110.60M,391.29M,,391.29M,391.29M,605.86M,68.11M,537.75M,5.14,,,5.14,5.14,5.08,,,5.08,5.08,76.17M,76.97M
2019-06,2.590B,2.590B,1.222B,1.368B,870.21M,,,34.54M,0.603M,-33.94M,870.21M,498.07M,0.603M,34.54M,-33.94M,0.832M,-33.94M,464.97M,111.29M,353.68M,,353.68M,353.68M,567.82M,68.31M,499.51M,4.56,,,4.56,4.56,4.51,,,4.51,4.51,77.61M,78.41M
2019-03,2.411B,2.411B,1.131B,1.279B,834.50M,,,34.29M,0.554M,-33.74M,834.50M,444.79M,0.554M,34.29M,-33.74M,3.103M,-33.74M,414.15M,93.00M,321.15M,,321.15M,321.15M,512.41M,63.96M,448.44M,4.09,,,4.09,4.09,4.05,,,4.05,4.05,78.48M,79.30M
2018-12,2.315B,2.315B,1.081B,1.234B,806.28M,,,31.47M,0.683M,-30.78M,806.28M,428.04M,0.683M,31.47M,-30.78M,-4.098M,-30.78M,393.16M,92.80M,300.36M,,300.36M,300.36M,490.24M,65.62M,424.62M,3.76,,,3.76,3.76,3.72,,,3.72,3.72,79.81M,80.60M
2018-09,2.483B,2.483B,1.167B,1.316B,830.61M,,,31.58M,0.669M,-30.91M,830.61M,485.15M,0.669M,31.58M,-30.91M,1.416M,-30.91M,455.65M,89.50M,366.15M,,366.15M,366.15M,549.76M,62.53M,487.23M,4.54,,,4.54,4.54,4.5,,,4.5,4.5,80.59M,81.41M
2018-06,2.456B,2.456B,1.167B,1.289B,809.49M,,,30.86M,0.597M,-30.26M,809.49M,479.15M,0.597M,30.86M,-30.26M,0.988M,-30.26M,449.87M,96.80M,353.07M,,353.07M,353.07M,541.61M,60.87M,480.74M,4.32,,,4.32,4.32,4.28,,,4.28,4.28,81.73M,82.54M
