,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,527.25M,,,,79.64M,79.64M,17.26M,,5.582M,,1.818M,-0.004M,1.847M,59.65M,,,97.00M,158.50M,,790.05M,-118.95M,6.844M,-112.11M,0.00,,-0.001M,-112.11M,497.72M,,497.72M,25.58M,-442.97M,-417.39M,-3.939M,76.39M,872.42M,754.33M,0.346M,1.627B,25.58M,497.72M,0.00,-442.97M,230.30M,45.31M
2020-06,531.67M,,,,77.91M,77.91M,73.72M,,5.605M,,1.284M,-22.76M,28.85M,256.82M,,,146.88M,409.80M,,1.100B,-111.19M,2.945M,-108.24M,-0.033M,,-0.311M,-108.59M,-344.00M,,-344.00M,15.79M,-76.98M,-61.18M,-0.85M,-406.03M,287.07M,585.37M,-0.011M,872.42M,15.79M,110.00M,-454.00M,-76.98M,15.21M,26.81M
2020-03,300.44M,,,,73.96M,73.96M,-58.73M,,5.875M,,2.774M,-12.21M,-106.94M,288.53M,,,-34.61M,134.78M,,459.09M,-133.28M,1.901M,-131.38M,-95.26M,,,-226.64M,582.80M,,582.80M,9.80M,-574.05M,-564.25M,-3.243M,15.30M,40.41M,247.75M,-1.09M,287.07M,9.80M,1.552B,-969.00M,-574.05M,4.975M,46.28M
2019-12,324.92M,,,,70.49M,70.49M,8.775M,,5.343M,,2.717M,23.32M,-84.93M,-111.75M,,,-20.08M,-193.44M,,218.80M,-146.85M,1.639M,-145.21M,-15.79M,,-142.69M,-303.69M,186.00M,,186.00M,21.13M,-124.81M,-103.68M,0.00,82.32M,42.80M,-2.567M,0.169M,40.41M,21.13M,516.00M,-330.00M,-124.81M,176.54M,24.62M
2019-09,391.29M,,,,68.11M,68.11M,4.019M,,5.563M,,2.564M,36.09M,-85.88M,181.64M,,,39.29M,171.13M,,642.67M,-185.60M,2.341M,-183.26M,-16.27M,,-0.178M,-199.71M,-81.00M,,-81.00M,12.30M,-387.27M,-374.97M,-0.003M,-455.97M,55.81M,-13.00M,0.00,42.80M,12.30M,563.00M,-644.00M,-387.27M,23.88M,45.81M
2019-06,353.68M,,,,68.31M,68.31M,4.052M,,5.591M,,3.001M,-14.06M,-33.70M,-5.705M,,,25.21M,-28.25M,,406.38M,-142.69M,1.327M,-141.37M,-1.717M,,1.134M,-141.95M,325.96M,,325.96M,11.55M,-598.86M,-587.31M,-3.988M,-265.34M,56.72M,-0.908M,0.00,55.81M,11.55M,1.255B,-929.00M,-598.86M,189.17M,16.40M
2019-03,321.15M,,,,63.96M,63.96M,4.312M,,5.424M,,3.163M,-60.91M,-35.40M,143.39M,,,-4.468M,42.61M,,440.62M,-152.91M,1.811M,-151.10M,0.00,,-0.295M,-151.40M,43.00M,,43.00M,15.22M,-321.86M,-306.63M,-0.19M,-263.82M,31.32M,25.40M,0.00,56.72M,15.22M,874.00M,-831.00M,-321.86M,5.335M,47.80M
2018-12,300.36M,,,,65.62M,65.62M,2.926M,,5.032M,,4.504M,50.94M,-34.15M,11.42M,,,-21.11M,7.098M,,385.54M,-153.81M,1.431M,-152.38M,0.00,,-34.10M,-186.48M,242.00M,,242.00M,13.19M,-462.95M,-449.76M,0.00,-207.76M,40.02M,-8.704M,,31.32M,13.19M,669.00M,-427.00M,-462.95M,54.43M,15.91M
2018-09,366.15M,,,,62.53M,62.53M,8.21M,,4.992M,,2.559M,-3.249M,-47.60M,47.45M,,,25.75M,22.35M,,466.79M,-126.34M,0.417M,-125.93M,0.00,,-0.292M,-126.22M,-80.00M,,-80.00M,27.78M,-285.19M,-257.42M,0.00,-337.42M,36.87M,3.151M,,40.02M,27.78M,316.00M,-396.00M,-285.19M,105.96M,46.47M
2018-06,353.07M,,,,60.87M,60.87M,4.654M,,4.976M,,3.263M,-19.13M,-38.97M,38.94M,,,35.27M,16.12M,,442.96M,-109.27M,2.184M,-107.09M,0.00,,-0.049M,-107.14M,63.66M,,63.66M,19.21M,-416.42M,-397.21M,-3.923M,-337.47M,38.52M,-1.657M,,36.87M,19.21M,1.173B,-1.109B,-416.42M,143.05M,6.793M
2018-03,304.91M,,,,69.92M,69.92M,4.37M,,5.176M,,3.039M,-10.42M,-42.64M,112.14M,,,-14.21M,44.87M,,432.28M,-114.84M,0.752M,-114.09M,,,-0.375M,-114.47M,214.00M,,214.00M,11.97M,-549.45M,-537.48M,-2.156M,-325.63M,46.35M,-7.823M,,38.52M,11.97M,755.00M,-541.00M,-549.45M,7.939M,48.76M
2017-12,302.32M,,,,60.34M,60.34M,-46.44M,,4.566M,,4.409M,1.019M,-23.46M,23.30M,,,-9.786M,-8.926M,,316.27M,-118.18M,2.558M,-115.63M,,,-0.675M,-116.30M,77.00M,,77.00M,11.58M,-279.38M,-267.81M,-0.10M,-190.91M,37.29M,9.061M,,46.35M,11.58M,614.00M,-537.00M,-279.38M,136.89M,5.514M
2017-09,283.73M,,,,58.54M,58.54M,33.80M,,4.482M,,2.871M,-17.96M,-28.47M,36.31M,,,3.608M,-6.515M,,376.91M,-120.25M,1.154M,-119.10M,,,-0.105M,-119.20M,301.80M,,301.80M,7.468M,-550.56M,-543.09M,-5.663M,-246.95M,26.53M,10.76M,,37.29M,7.468M,1.454B,-1.152B,-550.56M,156.06M,35.10M
2017-06,282.82M,,,,57.95M,57.95M,5.438M,,4.925M,,4.929M,-11.02M,-86.70M,46.06M,,,29.40M,-22.26M,,333.81M,-116.87M,0.507M,-116.37M,,,-1.331M,-117.70M,626.00M,,626.00M,10.97M,-852.26M,-841.29M,-1.827M,-217.12M,27.54M,-1.011M,,26.53M,10.97M,1.30B,-674.00M,-852.26M,203.78M,5.197M
