,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2008-06,117.21M,,117.21M,97.19M,42.57M,139.76M,904.15M,,20.18M,1.181B,,,,,,,,1.601B,-429.40M,1.172B,51.14M,,51.14M,,,58.54M,1.281B,2.463B,446.01M,,,446.01M,69.91M,515.92M,,,,0.311M,,0.311M,10.76M,10.76M,55.91M,582.91M,75.00M,,75.00M,27.59M,27.59M,60.03M,162.62M,745.53M,1.158M,1.259B,457.04M,0.528M,1.717B
2008-03,113.29M,,113.29M,93.12M,47.29M,140.42M,892.58M,,20.33M,1.167B,,,,,,,,1.535B,-408.86M,1.126B,50.58M,,50.58M,,,54.57M,1.231B,2.398B,417.13M,,,417.13M,73.98M,491.11M,,,,25.32M,,25.32M,10.36M,10.36M,61.53M,588.33M,75.07M,,75.07M,26.65M,26.65M,56.68M,158.40M,746.72M,1.155M,1.203B,448.17M,-1.039M,1.651B
2007-12,47.56M,,47.56M,84.24M,48.26M,132.50M,881.76M,,40.48M,1.102B,0.0,220.95M,690.70M,531.88M,,36.25M,,1.480B,-389.62M,1.090B,50.45M,,50.45M,,,36.83M,1.177B,2.280B,380.68M,,,380.68M,37.24M,417.92M,,,,25.32M,,25.32M,6.235M,6.235M,79.50M,528.98M,75.15M,,75.15M,27.24M,27.24M,55.89M,158.28M,687.26M,1.153M,1.156B,441.73M,-6.80M,1.592B
2007-09,109.78M,,109.78M,136.99M,,136.99M,856.59M,,22.48M,1.126B,,,,,,,,1.417B,-370.63M,1.046B,49.86M,,49.86M,,,38.92M,1.135B,2.261B,401.31M,,,401.31M,69.95M,471.26M,,,,25.32M,,25.32M,9.299M,9.299M,48.07M,553.95M,75.23M,,75.23M,25.90M,25.90M,52.30M,153.43M,707.38M,1.151M,1.116B,436.22M,,1.553B
2007-06,92.48M,,92.48M,141.04M,,141.04M,853.13M,,19.97M,1.107B,,,,,,,,1.349B,-361.39M,987.94M,49.50M,,49.50M,,,40.64M,1.078B,2.185B,393.92M,,,393.92M,69.72M,463.64M,,,,25.32M,,25.32M,4.78M,4.78M,47.48M,541.21M,75.31M,,75.31M,25.67M,25.67M,49.96M,150.93M,692.14M,1.148M,1.063B,428.70M,,1.493B
2007-03,90.22M,,90.22M,134.14M,,134.14M,825.21M,,21.13M,1.071B,,,,,,,,1.276B,-345.32M,931.09M,,,,,,91.85M,1.023B,2.094B,372.06M,,,372.06M,70.04M,442.10M,,,,0.312M,,0.312M,10.11M,10.11M,45.00M,497.52M,100.39M,,100.39M,32.30M,32.30M,42.94M,175.63M,673.14M,1.141M,1.011B,408.53M,,1.420B
2006-12,29.90M,,29.90M,128.84M,,128.84M,812.94M,,29.00M,1.001B,0.0,127.07M,634.74M,453.04M,,,,1.215B,-331.76M,883.10M,,,,,,93.72M,976.82M,1.977B,318.40M,,,318.40M,34.12M,352.52M,,,,0.309M,,0.309M,5.779M,5.779M,75.17M,433.78M,110.17M,,110.17M,38.17M,38.17M,31.28M,179.62M,613.40M,1.139M,962.40M,400.55M,,1.364B
2006-09,40.82M,,40.82M,130.63M,,130.63M,816.66M,0.838M,17.25M,1.006B,,,,,,,,1.163B,-316.00M,846.66M,,,,,,93.00M,939.66M,1.946B,341.38M,,,341.38M,65.44M,406.81M,,,,0.307M,,0.307M,,,49.07M,456.19M,100.55M,,100.55M,41.70M,41.70M,31.35M,173.60M,629.79M,1.136M,922.05M,392.89M,,1.316B
2006-06,55.25M,,55.25M,144.95M,,144.95M,800.46M,,15.21M,1.016B,,,,,,,,1.109B,-300.87M,807.85M,,,,,,92.61M,900.46M,1.916B,358.09M,,,358.09M,67.61M,425.70M,,,,0.265M,,0.265M,3.119M,3.119M,57.73M,486.82M,100.68M,,100.68M,44.81M,44.81M,22.32M,167.81M,654.62M,1.134M,874.20M,386.37M,,1.262B
2006-03,55.29M,,55.29M,134.95M,,134.95M,755.03M,,17.74M,963.00M,,,,,,,,1.038B,-287.58M,750.64M,,,,,,89.35M,839.99M,1.803B,312.51M,,,312.51M,66.52M,379.03M,,,,75.15M,,75.15M,10.87M,10.87M,43.51M,508.57M,25.44M,,25.44M,42.88M,42.88M,19.64M,87.96M,596.52M,1.132M,824.88M,380.46M,,1.206B
2005-12,31.38M,,31.38M,131.07M,,131.07M,725.34M,,22.84M,910.64M,0.0,109.33M,496.68M,386.89M,,,,992.90M,-274.53M,718.37M,,,,,,89.89M,808.26M,1.719B,292.67M,,,292.67M,34.35M,327.02M,,,,75.31M,,75.31M,2.451M,2.451M,80.88M,485.67M,25.46M,,25.46M,42.52M,42.52M,19.48M,87.46M,573.13M,1.124M,784.32M,360.32M,,1.146B
2005-09,51.59M,,51.59M,72.79M,38.46M,111.25M,715.26M,4.783M,12.53M,895.41M,,,,,,,,941.04M,-262.01M,679.03M,,,,,,87.56M,766.60M,1.662B,287.85M,,,287.85M,64.79M,352.64M,,,,75.44M,,75.44M,,,57.32M,485.40M,25.47M,,25.47M,39.52M,39.52M,13.94M,78.93M,564.33M,1.121M,744.81M,351.74M,,1.098B
2005-06,36.45M,,36.45M,75.48M,47.30M,122.78M,695.84M,,13.09M,868.17M,,,,,,,,895.45M,-248.53M,646.92M,,,,,,93.02M,739.94M,1.608B,272.10M,,,272.10M,60.48M,332.58M,,,,75.59M,,75.59M,5.209M,5.209M,81.32M,494.70M,25.47M,,25.47M,31.35M,31.35M,13.00M,69.82M,564.52M,1.118M,696.19M,346.28M,,1.044B
2005-03,89.27M,,89.27M,63.18M,42.63M,105.81M,649.30M,,5.763M,850.14M,,,,,,,,835.86M,-235.96M,599.90M,,,,,,55.03M,654.93M,1.505B,258.47M,,,258.47M,55.94M,314.41M,,,,0.591M,,0.591M,11.37M,11.37M,39.16M,365.53M,100.17M,,100.17M,38.16M,38.16M,12.18M,150.52M,516.05M,0.556M,653.83M,334.63M,,989.02M
2004-12,69.03M,,69.03M,60.93M,52.98M,113.90M,625.32M,,5.225M,813.48M,0.0,82.78M,386.90M,322.12M,,,,791.79M,-224.30M,567.49M,,,,,,51.39M,618.88M,1.432B,240.55M,,,240.55M,50.92M,291.47M,,,,0.592M,,0.592M,7.198M,7.198M,34.55M,333.82M,100.32M,,100.32M,38.44M,38.44M,11.96M,150.72M,484.54M,0.554M,620.61M,326.65M,,947.82M
2004-09,83.62M,,83.62M,61.49M,44.28M,105.77M,612.70M,5.854M,6.143M,814.08M,,,,,,,,747.75M,-208.08M,539.67M,,,,,,51.58M,591.24M,1.405B,268.15M,,,268.15M,52.39M,320.55M,,,,0.592M,,0.592M,,,43.16M,364.30M,100.47M,,100.47M,38.12M,38.12M,7.77M,146.36M,510.66M,0.552M,574.07M,320.05M,,894.67M
2004-06,88.12M,,88.12M,60.57M,51.60M,112.18M,582.99M,2.393M,7.084M,792.76M,,,,,,,,704.04M,-196.51M,507.53M,,,,,,52.42M,559.95M,1.353B,258.99M,,,258.99M,52.28M,311.26M,,,,0.776M,,0.776M,,,38.82M,350.86M,100.62M,,100.62M,35.40M,35.40M,7.691M,143.71M,494.57M,0.551M,540.82M,316.77M,,858.14M
2004-03,45.34M,,45.34M,58.07M,47.67M,105.74M,561.91M,0.427M,9.219M,722.64M,,,,,,,,663.29M,-185.55M,477.74M,,,,,,52.60M,530.34M,1.253B,216.54M,,,216.54M,48.23M,264.76M,,,,0.833M,,0.833M,,,32.05M,297.64M,100.82M,,100.82M,32.58M,32.58M,7.129M,140.53M,438.17M,0.548M,508.17M,306.08M,,814.80M
2003-12,21.09M,,21.09M,52.24M,50.70M,102.93M,523.75M,4.753M,4.399M,656.93M,0.0,58.57M,292.93M,274.64M,,,,626.14M,-177.08M,449.06M,,,,,,51.05M,500.11M,1.157B,145.95M,,,145.95M,25.83M,171.78M,,,,0.925M,,0.925M,,,42.60M,215.31M,120.98M,,120.98M,29.45M,29.45M,7.014M,157.44M,372.75M,0.547M,481.05M,302.69M,,784.28M
2003-09,33.04M,,33.04M,55.87M,51.72M,107.58M,538.46M,5.514M,4.719M,689.33M,,,,,,,,589.31M,-167.07M,422.24M,,,,,,29.05M,451.29M,1.141B,154.77M,,,154.77M,44.21M,198.98M,,,,0.407M,,0.407M,,,49.65M,249.03M,110.22M,,110.22M,25.24M,25.24M,7.133M,142.59M,391.62M,0.543M,457.14M,291.31M,,749.00M
2003-06,26.23M,,26.23M,56.34M,47.19M,103.54M,528.01M,3.681M,5.02M,666.47M,,,,,,,,557.92M,-157.11M,400.81M,,,,,,26.52M,427.33M,1.094B,142.75M,,,142.75M,38.39M,181.14M,,,,0.475M,,0.475M,,,37.61M,219.22M,135.32M,,135.32M,22.02M,22.02M,7.103M,164.44M,383.67M,0.539M,427.61M,281.98M,,710.13M
2003-03,19.74M,,19.74M,51.64M,47.68M,99.33M,502.51M,,5.014M,626.59M,,,,,,,,523.44M,-147.79M,375.65M,,,,,,26.42M,402.07M,1.029B,112.55M,,,112.55M,32.10M,144.65M,,,,0.578M,,0.578M,0.554M,0.554M,29.87M,175.65M,155.37M,,155.37M,17.35M,17.35M,7.187M,179.91M,355.55M,0.535M,400.69M,271.89M,,673.11M
2002-12,29.33M,,29.33M,45.42M,42.92M,88.34M,504.10M,5.04M,4.235M,631.04M,0.0,52.36M,217.80M,221.36M,,,,491.52M,-137.92M,353.60M,,,,,,24.77M,378.37M,1.009B,85.37M,,,85.37M,34.42M,119.79M,,,,0.682M,,0.682M,,,26.95M,147.42M,190.47M,,190.47M,15.94M,15.94M,5.064M,211.47M,358.90M,0.534M,380.96M,269.03M,,650.52M
2002-09,31.88M,0.50M,32.38M,50.13M,40.83M,90.96M,490.40M,2.588M,3.482M,619.82M,,,,,,,,463.22M,-128.85M,334.37M,,,,,,20.77M,355.14M,974.96M,92.64M,,,92.64M,36.65M,129.30M,,,,0.748M,,0.748M,,,36.26M,166.30M,160.62M,,160.62M,12.72M,12.72M,5.178M,178.52M,344.82M,0.533M,362.25M,267.35M,,630.14M
2002-06,27.35M,0.50M,27.85M,52.78M,42.99M,95.77M,479.55M,1.303M,3.752M,608.22M,,,,,,,,436.57M,-119.69M,316.88M,,,,,,19.35M,336.22M,944.44M,95.78M,,,95.78M,33.00M,128.77M,,,,4.515M,,4.515M,,,22.73M,156.02M,170.56M,,170.56M,9.789M,9.789M,5.293M,185.64M,341.66M,0.531M,338.16M,264.10M,,602.79M
2002-03,20.39M,0.50M,20.89M,46.24M,39.91M,86.15M,462.06M,,4.429M,573.53M,,,,,,,,413.25M,-111.23M,302.02M,,,,,,19.23M,321.25M,894.78M,72.35M,,,72.35M,,72.35M,,3.00M,8.069M,11.07M,,11.07M,1.353M,1.353M,53.65M,138.43M,168.14M,,168.14M,8.578M,8.578M,4.609M,181.33M,319.76M,0.529M,315.61M,258.88M,,575.02M
2001-12,15.04M,0.50M,15.54M,41.49M,38.44M,79.93M,447.79M,3.908M,3.495M,550.66M,0.0,48.10M,166.71M,177.56M,,,,392.36M,-103.36M,289.00M,,,,,,17.19M,306.20M,856.86M,61.88M,,,61.88M,26.90M,88.78M,,5.00M,11.84M,16.84M,,16.84M,,,15.51M,121.14M,165.62M,,165.62M,9.141M,9.141M,4.673M,179.43M,300.57M,0.528M,298.97M,256.80M,,556.29M
2001-09,33.28M,0.50M,33.78M,39.11M,34.77M,73.88M,395.69M,0.204M,1.311M,504.86M,,,,,,,,365.04M,-96.36M,268.68M,,,,,,16.45M,285.13M,789.99M,67.57M,,,67.57M,,67.57M,,,,15.24M,,15.24M,0.619M,0.619M,57.02M,140.44M,104.31M,,104.31M,6.936M,6.936M,4.636M,115.88M,256.32M,0.526M,283.06M,250.08M,,533.66M
2001-06,16.80M,0.50M,17.30M,41.40M,16.55M,57.95M,397.71M,,3.666M,476.63M,,,,,,,,354.22M,-89.41M,264.82M,,,,,,16.56M,281.38M,758.00M,72.06M,,,72.06M,,72.06M,,,,14.91M,,14.91M,2.187M,2.187M,40.32M,129.47M,112.20M,,112.20M,5.876M,5.876M,4.686M,122.76M,252.23M,0.522M,262.92M,242.33M,,505.77M
2001-03,11.54M,0.50M,12.04M,58.81M,,58.81M,383.14M,0.092M,3.854M,457.93M,,,,,,,,334.64M,-82.52M,252.12M,,,,,,19.96M,272.09M,730.02M,62.61M,,,62.61M,,62.61M,,,,24.42M,,24.42M,2.451M,2.451M,32.92M,122.40M,119.78M,,119.78M,5.013M,5.013M,4.733M,129.53M,251.93M,0.517M,244.93M,232.64M,,478.08M
2000-12,9.204M,0.50M,9.704M,,,61.85M,372.07M,,5.583M,449.20M,,,,,,,,323.02M,-76.17M,246.85M,,,,,,19.94M,266.79M,716.00M,68.95M,,,68.95M,,68.95M,,,,49.12M,,49.12M,,,34.86M,152.93M,90.46M,,90.46M,4.086M,4.086M,4.783M,99.33M,252.26M,0.515M,232.62M,230.60M,,463.73M
2000-09,12.27M,0.50M,12.77M,,,63.74M,347.92M,,4.73M,429.16M,,,,,,,,354.86M,-72.24M,282.62M,,,,,,10.22M,292.85M,722.01M,72.47M,,,72.47M,,72.47M,,,,19.18M,,19.18M,,,37.53M,129.17M,136.98M,,136.98M,3.222M,3.222M,0.448M,140.65M,269.83M,0.514M,223.40M,228.27M,,452.18M
2000-06,10.98M,0.50M,11.48M,,,53.18M,328.14M,,5.546M,398.35M,,,,,,,,334.40M,-66.48M,267.92M,,,,,,10.72M,278.64M,676.99M,67.13M,,,67.13M,,67.13M,,,,19.36M,,19.36M,,,35.76M,122.24M,118.24M,,118.24M,2.095M,2.095M,0.488M,120.82M,243.06M,0.512M,206.83M,226.58M,,433.92M
2000-03,9.432M,0.50M,9.932M,,,50.47M,307.95M,,3.452M,371.80M,,,,,,,,313.86M,-61.26M,252.60M,,,,,,9.131M,261.73M,633.54M,61.65M,,,61.65M,,61.65M,,,,19.52M,,19.52M,,,32.76M,113.93M,100.30M,,100.30M,1.546M,1.546M,0.483M,102.33M,216.26M,0.51M,192.48M,224.29M,,417.27M
1999-12,9.80M,0.50M,10.30M,,,52.40M,293.90M,,7.80M,364.40M,,,,,,,,292.80M,-56.30M,236.50M,,,,,,9.50M,246.00M,610.40M,64.90M,,,64.90M,,64.90M,,,,19.40M,,19.40M,,,30.70M,115.00M,90.70M,,90.70M,1.20M,1.20M,0.50M,92.40M,207.40M,0.50M,180.90M,221.60M,,403.00M
1999-09,2.70M,0.50M,3.20M,,,54.80M,288.80M,,3.50M,350.30M,,,,,,,,260.60M,-51.30M,209.30M,,,,,,21.70M,231.00M,581.30M,79.60M,,,79.60M,,79.60M,,,,17.80M,,17.80M,,,43.20M,140.60M,50.40M,,50.40M,,,0.60M,51.00M,191.60M,0.30M,169.30M,220.10M,,389.70M
1999-06,4.10M,,4.10M,,,51.90M,285.40M,,10.10M,351.50M,,,,,,,,239.00M,-47.00M,192.00M,,,,,,13.80M,205.80M,557.30M,82.30M,,,82.30M,,82.30M,,,,13.80M,,13.80M,,,33.50M,129.60M,51.70M,,51.70M,,,0.60M,52.30M,181.90M,,155.90M,,,375.40M
1999-03,3.20M,,3.20M,,,49.30M,260.80M,,8.50M,321.80M,,,,,,,,223.50M,-42.80M,180.70M,,,,,,11.00M,191.70M,513.50M,76.60M,,,76.60M,,76.60M,,,,10.30M,,10.30M,,,27.80M,114.70M,55.70M,,55.70M,,,0.70M,56.40M,171.10M,,144.10M,,,342.40M
1998-12,1.70M,,1.70M,,,54.30M,246.00M,,8.90M,310.90M,,,,,,,,210.30M,-39.30M,171.00M,,,,,,11.40M,182.40M,493.30M,66.70M,,,66.70M,,66.70M,,,,13.70M,,13.70M,,,22.10M,102.50M,170.20M,,170.20M,,,2.20M,172.40M,274.90M,,135.50M,,,218.40M
1998-09,1.60M,,1.60M,,,26.50M,234.80M,,14.20M,277.10M,,,,,,,,241.60M,-78.40M,163.20M,,,,,,13.80M,177.00M,454.10M,40.10M,,,40.10M,,40.10M,,,,7.10M,,7.10M,,,37.00M,84.20M,160.50M,,160.50M,,,2.70M,163.20M,247.40M,,126.60M,,,206.70M
1998-06,1.40M,,1.40M,,,25.60M,213.90M,,16.00M,256.90M,,,,,,,,225.40M,-74.70M,150.70M,,,,,,13.90M,164.60M,421.50M,44.80M,,,44.80M,,44.80M,,,,7.00M,,7.00M,,,28.60M,80.40M,130.80M,,130.80M,,,12.60M,143.40M,223.80M,,118.20M,,,197.70M
1998-03,1.90M,,1.90M,,,23.70M,204.70M,,21.80M,252.10M,,,,,,,,170.20M,-30.10M,140.10M,,,,,,12.00M,152.10M,404.20M,50.00M,,,50.00M,,50.00M,,,,2.00M,,2.00M,,,31.90M,83.90M,124.10M,,124.10M,,,6.60M,130.70M,214.60M,,110.60M,,,189.60M
