,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2018-03,38.52M,,38.52M,224.39M,78.23M,302.62M,3.053B,,52.52M,3.446B,,,,,,,,5.292B,-1.903B,3.390B,789.10M,,789.10M,,,41.38M,4.220B,7.667B,3.223B,66.62M,,3.289B,84.58M,3.374B,74.83M,,,,,,,,236.94M,3.748B,3.193B,,3.193B,89.78M,89.78M,211.81M,3.495B,7.243B,0.823M,-824.36M,1.247B,,423.83M
2017-12,46.35M,,46.35M,216.25M,76.24M,292.49M,3.010B,,49.04M,3.398B,0.0,695.67M,1.968B,1.643B,,257.85M,626.71M,5.191B,-1.847B,3.344B,789.06M,,789.06M,,,41.35M,4.174B,7.572B,3.190B,0.00,,3.190B,77.15M,3.267B,71.70M,,,,,,,,239.19M,3.647B,2.978B,,2.978B,85.41M,85.41M,207.68M,3.271B,6.919B,0.843M,-612.84M,1.265B,,653.05M
2017-09,37.29M,,37.29M,219.63M,79.49M,299.12M,2.988B,,34.48M,3.358B,,,,,,,,5.115B,-1.822B,3.293B,787.21M,,787.21M,,,40.96M,4.121B,7.479B,3.154B,6.175M,,3.160B,80.95M,3.241B,72.22M,,,,,,,,249.32M,3.628B,2.901B,,2.901B,131.85M,131.85M,203.99M,3.237B,6.865B,0.853M,-654.48M,1.268B,,614.18M
2017-06,26.53M,,26.53M,203.67M,61.88M,265.55M,2.959B,,38.20M,3.290B,,,,,,,,5.035B,-1.806B,3.229B,786.94M,,786.94M,,,39.77M,4.056B,7.346B,3.092B,31.80M,,3.124B,70.54M,3.194B,70.20M,,,,,,,,242.61M,3.566B,2.604B,,2.604B,98.05M,98.05M,208.14M,2.910B,6.476B,0.88M,-428.24M,1.297B,,869.31M
2017-03,27.54M,,27.54M,195.65M,71.16M,266.81M,2.873B,,38.54M,3.206B,,,,,,,,4.935B,-1.760B,3.175B,785.57M,,785.57M,,,37.97M,3.998B,7.204B,2.988B,89.64M,,3.078B,75.76M,3.153B,70.48M,,,,,,,,232.80M,3.506B,1.978B,,1.978B,92.61M,92.61M,205.22M,2.275B,5.781B,0.913M,90.27M,1.331B,,1.423B
2016-12,146.60M,,146.60M,197.27M,82.10M,279.38M,2.779B,,53.02M,3.258B,0.0,648.69M,1.805B,1.575B,,209.23M,593.78M,4.832B,-1.709B,3.123B,785.40M,,785.40M,,,37.38M,3.946B,7.204B,2.937B,,,2.937B,71.72M,3.008B,67.92M,,,,,,,,249.90M,3.401B,1.887B,,1.887B,90.17M,90.17M,199.22M,2.176B,5.577B,0.929M,289.50M,1.337B,,1.627B
2016-09,560.32M,,560.32M,190.91M,96.62M,287.52M,2.790B,,32.03M,3.670B,,,,,,,,4.720B,-1.662B,3.059B,757.25M,,757.25M,,,36.64M,3.853B,7.522B,2.999B,,,2.999B,73.16M,3.072B,72.37M,,,,,,,,253.52M,3.465B,1.887B,,1.887B,84.21M,84.21M,185.44M,2.156B,5.622B,0.947M,560.30M,1.340B,,1.901B
2016-06,398.26M,,398.26M,186.19M,78.82M,265.02M,2.741B,,33.83M,3.438B,,,,,,,,4.588B,-1.609B,2.979B,757.13M,,757.13M,0.00,,36.14M,3.773B,7.211B,2.915B,0.00,,2.915B,62.60M,2.977B,71.18M,,,,,,,,258.30M,3.367B,1.886B,,1.886B,72.96M,72.96M,194.67M,2.154B,5.521B,0.949M,379.62M,1.309B,,1.690B
2016-03,716.01M,,716.01M,178.28M,68.49M,246.77M,2.702B,,36.93M,3.701B,,,,,,,,4.474B,-1.560B,2.914B,757.13M,,757.13M,12.17M,,35.08M,3.718B,7.420B,2.783B,114.32M,,2.897B,66.84M,2.964B,71.07M,,,,,,,,231.66M,3.316B,1.886B,,1.886B,76.45M,76.45M,201.93M,2.164B,5.480B,0.967M,637.82M,1.301B,,1.940B
2015-12,116.30M,,116.30M,161.08M,72.61M,233.69M,2.631B,,29.02M,3.010B,0.0,590.24M,1.603B,1.422B,,202.89M,554.20M,4.372B,-1.511B,2.862B,757.14M,,757.14M,13.22M,,34.74M,3.667B,6.677B,2.608B,1.444M,,2.610B,59.10M,2.669B,72.74M,,,,,,,,232.68M,3.046B,1.390B,,1.390B,79.77M,79.77M,199.18M,1.669B,4.715B,0.977M,678.84M,1.281B,,1.961B
2015-09,276.92M,,276.92M,163.89M,76.86M,240.75M,2.607B,,33.08M,3.158B,,,,,,,,4.275B,-1.470B,2.805B,757.09M,,757.09M,14.26M,,41.19M,3.618B,6.775B,2.626B,17.57M,,2.644B,84.30M,2.728B,69.25M,,,,0.00,0.00,7.445M,7.445M,234.21M,3.104B,1.397B,,1.397B,72.20M,72.20M,200.08M,1.669B,4.773B,0.987M,732.74M,1.268B,,2.002B
2015-06,260.04M,,260.04M,175.29M,75.02M,250.31M,2.561B,,37.71M,3.109B,,,,,,,,4.167B,-1.423B,2.744B,756.85M,,756.85M,15.31M,,43.14M,3.559B,6.668B,2.536B,29.13M,,2.565B,83.55M,2.649B,65.89M,,,,0.00,0.00,9.817M,9.817M,229.53M,3.007B,1.397B,,1.397B,77.28M,77.28M,217.15M,1.691B,4.698B,0.996M,726.18M,1.243B,,1.970B
2015-03,473.65M,,473.65M,162.02M,69.54M,231.56M,2.528B,,40.93M,3.274B,,,,,,,,4.080B,-1.382B,2.699B,756.38M,,756.38M,12.41M,,43.94M,3.512B,6.786B,2.471B,78.94M,,2.550B,75.06M,2.625B,67.68M,,,,0.006M,0.006M,16.65M,16.65M,200.89M,2.952B,1.397B,,1.397B,81.33M,81.33M,211.76M,1.690B,4.642B,1.013M,908.35M,1.234B,,2.144B
2014-12,250.56M,,250.56M,143.90M,69.31M,213.21M,2.555B,,46.82M,3.065B,0.0,527.47M,1.418B,1.333B,,191.29M,523.55M,3.994B,-1.335B,2.659B,756.38M,,756.38M,13.35M,,38.41M,3.467B,6.532B,2.417B,,,2.417B,78.44M,2.496B,64.88M,,,0.025M,,0.025M,,,189.84M,2.813B,1.388B,,1.388B,102.42M,102.42M,209.55M,1.700B,4.514B,1.016M,822.47M,1.195B,,2.018B
2014-09,298.28M,,298.28M,152.78M,67.07M,219.85M,2.518B,,34.69M,3.071B,,,,,,,,3.895B,-1.294B,2.601B,756.34M,,756.34M,14.28M,,32.70M,3.404B,6.475B,2.409B,18.64M,,2.428B,71.45M,2.499B,65.63M,,,0.044M,,0.044M,21.04M,21.04M,201.48M,2.846B,1.396B,,1.396B,61.79M,61.79M,194.55M,1.653B,4.499B,1.024M,806.64M,1.169B,,1.976B
2014-06,453.43M,,453.43M,156.60M,60.62M,217.22M,2.463B,,38.54M,3.172B,,,,,,,,3.785B,-1.256B,2.529B,756.35M,,756.35M,15.22M,,35.41M,3.336B,6.508B,2.302B,15.46M,,2.318B,67.68M,2.385B,67.62M,,,0.062M,,0.062M,22.18M,22.18M,200.50M,2.727B,1.396B,,1.396B,66.06M,66.06M,200.75M,1.663B,4.390B,1.047M,948.52M,1.168B,,2.118B
2014-03,511.83M,,511.83M,142.70M,69.03M,211.74M,2.397B,,40.66M,3.161B,,,,,,,,3.676B,-1.213B,2.463B,756.22M,,756.22M,12.16M,,37.01M,3.268B,6.430B,2.161B,51.97M,,2.213B,64.47M,2.277B,68.62M,,,0.074M,,0.074M,21.98M,21.98M,187.43M,2.598B,1.396B,,1.396B,75.16M,75.16M,197.30M,1.669B,4.267B,1.063M,999.75M,1.162B,,2.163B
2013-12,231.32M,,231.32M,131.50M,66.62M,198.12M,2.375B,,30.71M,2.835B,0.0,457.86M,1.197B,1.212B,,255.60M,483.58M,3.607B,-1.182B,2.425B,756.22M,,756.22M,13.07M,,37.61M,3.232B,6.067B,2.057B,,,2.057B,65.52M,2.122B,57.70M,,,0.067M,,0.067M,20.22M,20.22M,181.72M,2.423B,1.396B,,1.396B,80.71M,80.71M,201.02M,1.678B,4.101B,1.059M,846.33M,1.119B,,1.966B
2013-09,363.01M,,363.01M,141.93M,72.37M,214.29M,2.365B,,33.93M,2.976B,,,,,,,,3.525B,-1.146B,2.378B,758.52M,,758.52M,14.56M,,39.93M,3.191B,6.167B,2.076B,0.00,,2.076B,61.14M,2.137B,57.03M,,,0.068M,,0.068M,10.97M,10.97M,190.22M,2.439B,1.396B,,1.396B,96.55M,96.55M,199.65M,1.692B,4.131B,1.077M,919.10M,1.116B,,2.036B
2013-06,365.93M,,365.93M,175.88M,82.24M,258.11M,2.345B,,35.74M,3.005B,,,,,,,,3.432B,-1.129B,2.302B,758.54M,,758.54M,16.30M,,41.39M,3.118B,6.124B,2.059B,11.08M,,2.070B,60.69M,2.131B,56.73M,,,0.069M,,0.069M,12.08M,12.08M,189.53M,2.430B,1.396B,,1.396B,86.85M,86.85M,204.43M,1.687B,4.118B,1.089M,902.15M,1.103B,,2.006B
2013-03,205.41M,,205.41M,153.19M,51.70M,204.88M,2.296B,,35.05M,2.741B,,,,,,,,3.342B,-1.098B,2.244B,758.58M,,758.58M,4.318M,,41.38M,3.048B,5.790B,1.967B,56.00M,,2.023B,58.96M,2.082B,56.05M,,,0.083M,,0.083M,13.20M,13.20M,160.95M,2.349B,1.096B,,1.096B,83.13M,83.13M,189.01M,1.368B,3.717B,1.11M,973.49M,1.098B,,2.073B
2012-12,248.13M,,248.13M,122.99M,58.18M,181.17M,2.276B,,27.32M,2.733B,0.0,420.29M,1.078B,1.164B,,159.95M,447.05M,3.270B,-1.058B,2.212B,758.41M,,758.41M,5.347M,,40.89M,3.016B,5.749B,1.929B,5.932M,,1.935B,60.12M,1.995B,54.19M,,,0.222M,,0.222M,19.47M,19.47M,161.40M,2.273B,1.096B,,1.096B,79.54M,79.54M,192.74M,1.368B,3.641B,1.13M,1.023B,1.084B,,2.108B
2012-09,422.70M,,422.70M,222.75M,,222.75M,2.207B,,29.94M,2.883B,,,,,,,,3.190B,-1.016B,2.174B,744.15M,,744.15M,6.39M,,41.88M,2.967B,5.849B,1.863B,11.70M,,1.875B,97.90M,1.973B,,,,0.353M,,0.353M,1.279M,1.279M,164.26M,2.195B,1.096B,,1.096B,107.99M,107.99M,191.76M,1.395B,3.591B,1.161M,1.169B,1.089B,,2.259B
2012-06,367.72M,,367.72M,213.64M,,213.64M,2.145B,,37.29M,2.764B,,,,,,,,3.166B,-1.014B,2.153B,744.13M,25.42M,769.56M,7.404M,,16.36M,2.946B,5.710B,1.700B,,,1.700B,97.23M,1.797B,,,,0.522M,,0.522M,1.516M,1.516M,157.62M,2.013B,796.88M,,796.88M,93.71M,93.71M,193.94M,1.085B,3.097B,1.22M,1.489B,1.122B,,2.613B
2012-03,575.20M,,575.20M,213.20M,,213.20M,2.005B,,37.07M,2.830B,,,,,,,,3.102B,-975.12M,2.127B,744.03M,,744.03M,9.817M,,43.30M,2.924B,5.754B,1.469B,37.15M,,1.506B,92.99M,1.599B,,,,0.625M,,0.625M,3.671M,3.671M,143.81M,1.802B,796.86M,,796.86M,92.32M,92.32M,191.44M,1.081B,2.882B,1.26M,1.743B,1.128B,,2.872B
2011-12,361.55M,,361.55M,135.15M,68.60M,203.75M,1.986B,,56.56M,2.608B,0.0,462.79M,1.013B,1.113B,,43.28M,395.27M,3.027B,-933.23M,2.094B,743.91M,,743.91M,10.89M,,44.33M,2.893B,5.501B,1.279B,0.00,,1.279B,52.46M,1.332B,53.16M,,,0.662M,,0.662M,1.99M,1.99M,150.93M,1.580B,796.91M,,796.91M,88.86M,88.86M,189.86M,1.076B,2.656B,1.272M,1.733B,1.110B,,2.845B
2011-09,276.72M,,276.72M,201.56M,,201.56M,2.009B,20.82M,28.01M,2.537B,,,,,,,,2.951B,-893.49M,2.058B,743.94M,,743.94M,11.96M,,46.49M,2.860B,5.397B,1.191B,12.13M,,1.203B,89.49M,1.292B,,,,0.804M,,0.804M,,,212.78M,1.506B,796.96M,,796.96M,76.92M,76.92M,186.31M,1.060B,2.566B,1.284M,1.731B,1.098B,0.00,2.831B
2011-06,268.79M,,268.79M,203.99M,,203.99M,2.035B,16.24M,29.88M,2.554B,,,,,,,,2.861B,-852.00M,2.009B,744.03M,,744.03M,13.29M,,45.80M,2.812B,5.366B,1.115B,25.43M,,1.141B,83.61M,1.224B,,,,1.005M,,1.005M,,,232.94M,1.458B,497.55M,,497.55M,73.70M,73.70M,183.03M,754.27M,2.213B,1.36M,2.016B,1.136B,0.00,3.153B
2011-03,230.05M,,230.05M,196.86M,,196.86M,2.001B,10.02M,29.17M,2.467B,,,,,,,,2.785B,-812.61M,1.972B,743.90M,,743.90M,16.38M,,47.98M,2.781B,5.248B,977.63M,30.87M,53.85M,1.062B,82.85M,1.145B,,,,1.208M,,1.208M,,,171.56M,1.318B,497.64M,,497.64M,63.08M,63.08M,181.54M,742.26M,2.060B,1.387M,2.048B,1.138B,0.00,3.188B
2010-12,29.72M,,29.72M,183.65M,,183.65M,2.023B,33.88M,30.51M,2.301B,0.0,392.60M,921.93M,960.43M,,60.46M,370.02M,2.705B,-775.34M,1.930B,743.98M,,743.98M,18.05M,,54.46M,2.747B,5.048B,895.74M,4.827M,51.19M,951.76M,98.27M,1.050B,,,,1.431M,,1.431M,,,177.50M,1.229B,357.27M,,357.27M,68.74M,68.74M,183.18M,609.18M,1.838B,1.41M,2.069B,1.142B,-2.97M,3.210B
2010-06,31.61M,,31.61M,196.59M,,196.59M,1.932B,62.59M,34.23M,2.257B,,,,,,,,2.532B,-701.60M,1.831B,743.78M,,743.78M,21.08M,,63.41M,2.659B,4.917B,854.66M,23.64M,70.22M,948.52M,98.59M,1.047B,,,,105.15M,,105.15M,,,156.84M,1.309B,479.23M,,479.23M,26.58M,26.58M,171.15M,676.96M,1.986B,1.387M,1.847B,1.087B,-5.466M,2.930B
2010-03,29.87M,,29.87M,187.19M,,187.19M,1.903B,74.06M,37.33M,2.232B,,,,,,,,2.448B,-663.99M,1.784B,743.82M,,743.82M,11.21M,,66.97M,2.606B,4.838B,794.68M,35.06M,,829.74M,102.31M,932.05M,,,,105.79M,,105.79M,,,216.96M,1.255B,596.71M,,596.71M,23.73M,23.73M,162.31M,782.74M,2.038B,1.379M,1.748B,1.058B,-7.067M,2.800B
2009-12,26.94M,,26.94M,171.00M,,171.00M,1.913B,85.93M,29.64M,2.227B,0.0,331.46M,766.45M,803.37M,,137.21M,314.75M,2.353B,-626.86M,1.726B,744.31M,,744.31M,12.48M,,71.58M,2.555B,4.781B,818.15M,8.068M,55.35M,881.57M,87.08M,968.65M,,,,106.71M,,106.71M,,,143.78M,1.219B,684.04M,,684.04M,18.32M,18.32M,174.10M,876.46M,2.096B,1.375M,1.650B,1.042B,-7.962M,2.686B
2009-09,29.54M,,29.54M,178.65M,,178.65M,1.856B,76.34M,34.08M,2.175B,,,,,,,,2.264B,-591.64M,1.672B,744.38M,,744.38M,13.28M,0.00,76.56M,2.506B,4.681B,889.03M,0.00,,889.03M,99.33M,988.36M,,,,10.16M,,10.16M,,,218.79M,1.217B,693.52M,,693.52M,4.928M,4.928M,166.11M,864.55M,2.082B,1.371M,1.578B,1.029B,-9.339M,2.599B
2009-06,41.02M,,41.02M,183.27M,,183.27M,1.736B,92.62M,32.72M,2.086B,,,,,,,,2.181B,-556.84M,1.624B,744.75M,,744.75M,16.08M,15.13M,81.66M,2.482B,4.567B,818.87M,6.901M,,825.77M,90.19M,915.96M,,,,10.75M,,10.75M,,,223.67M,1.150B,785.87M,,785.87M,,,153.79M,939.66M,2.090B,1.361M,1.491B,994.79M,-9.685M,2.477B
2009-03,37.40M,,37.40M,162.44M,,162.44M,1.626B,75.60M,54.93M,1.957B,,,,,,,,2.095B,-522.81M,1.573B,722.31M,,722.31M,14.19M,21.24M,90.90M,2.421B,4.378B,760.61M,26.58M,,787.19M,94.83M,882.02M,,,,8.31M,,8.31M,,,206.51M,1.097B,782.66M,,782.66M,,,132.81M,915.47M,2.012B,1.354M,1.405B,970.09M,-11.43M,2.365B
2008-12,31.30M,,31.30M,165.81M,,165.81M,1.570B,64.03M,44.15M,1.875B,0.0,281.81M,638.98M,684.42M,,65.75M,268.57M,1.940B,-489.64M,1.450B,720.51M,,720.51M,21.55M,28.77M,97.17M,2.318B,4.193B,736.99M,9.951M,,746.94M,99.20M,846.14M,,,,8.131M,,8.131M,,,199.23M,1.054B,724.56M,,724.56M,0.00,0.00,133.03M,857.60M,1.911B,1.348M,1.343B,949.76M,-11.51M,2.282B
2008-09,26.41M,,26.41M,108.66M,56.94M,165.60M,1.518B,50.75M,41.85M,1.802B,,,,,,,,1.861B,-455.81M,1.405B,655.89M,,655.89M,,30.73M,131.44M,2.223B,4.025B,757.08M,,,757.08M,104.10M,861.18M,,,,8.257M,,8.257M,,,183.76M,1.053B,657.13M,,657.13M,,,124.32M,781.45M,1.835B,1.345M,1.300B,890.22M,-0.984M,2.190B
