,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,,39.00M,,39.00M,535.00M,,594.00M,120.00M,4.00M,360.00M,,484.00M,75.00M,,,,1.192B,,,,,378.00M,,,378.00M,,378.00M,2.998B,427.00M,3.425B,,84.00M,166.00M,4.053B,5.245B,,2020-09,546.00M,9.00M,,555.00M,443.00M,998.00M,,,,481.00M,,481.00M,286.00M,286.00M,,110.00M,1.196B,,248.00M,248.00M,1.549B,3.314B,,2020-09,1.00M,2.537B,372.00M,917.00M,,,-62.00M,1.931B,,2020-09,AOR,
2020-06,,63.00M,,63.00M,406.00M,,458.00M,122.00M,5.00M,386.00M,,513.00M,,,,55.00M,1.094B,,,,,361.00M,,,361.00M,,361.00M,2.621B,242.00M,2.863B,,123.00M,166.00M,3.513B,4.607B,,2020-06,503.00M,11.00M,,514.00M,344.00M,858.00M,,,233.00M,233.00M,,233.00M,273.00M,273.00M,25.00M,105.00M,1.091B,,232.00M,232.00M,1.415B,2.804B,,2020-06,1.00M,2.421B,350.00M,911.00M,,,-58.00M,1.803B,,2020-06,AOR,
2020-03,,24.00M,,24.00M,500.00M,,536.00M,122.00M,5.00M,316.00M,,443.00M,,,,42.00M,1.051B,,,,,359.00M,,,359.00M,,359.00M,2.618B,258.00M,2.876B,,129.00M,125.00M,3.489B,4.54B,,2020-03,447.00M,28.00M,,475.00M,264.00M,739.00M,,,230.00M,230.00M,,230.00M,252.00M,252.00M,16.00M,95.00M,1.262B,,226.00M,226.00M,1.576B,2.813B,,2020-03,1.00M,2.321B,346.00M,890.00M,,,-51.00M,1.727B,,2020-03,AOR,
2019-12,,30.00M,,30.00M,613.00M,,645.00M,128.00M,4.00M,342.00M,,474.00M,46.00M,,,,1.195B,0.00,7.00M,63.00M,420.00M,107.00M,36.00M,84.00M,717.00M,-351.00M,366.00M,2.622B,275.00M,2.897B,,127.00M,126.00M,3.516B,4.711B,,2019-12,552.00M,38.00M,,590.00M,210.00M,800.00M,44.00M,,197.00M,197.00M,29.00M,226.00M,238.00M,238.00M,,100.00M,1.18B,0.00,221.00M,221.00M,1.468B,2.872B,,2019-12,1.00M,2.232B,339.00M,689.00M,,,-44.00M,1.839B,,2019-12,AOR,
2019-09,,33.00M,,33.00M,588.00M,,664.00M,138.00M,4.00M,326.00M,,468.00M,66.00M,,,,1.231B,,,,,366.00M,,,366.00M,,366.00M,2.618B,290.00M,2.908B,,83.00M,120.00M,3.477B,4.708B,,2019-09,502.00M,55.00M,,557.00M,314.00M,871.00M,,,,205.00M,,205.00M,230.00M,230.00M,,105.00M,1.419B,1.00M,202.00M,203.00M,1.708B,3.014B,,2019-09,1.00M,2.063B,324.00M,663.00M,,,-31.00M,1.694B,,2019-09,AOR,Restated
2019-06,,27.00M,,27.00M,556.00M,,634.00M,147.00M,5.00M,332.00M,,484.00M,43.00M,,,,1.188B,,,,,365.00M,,,365.00M,,365.00M,2.622B,323.00M,2.945B,,88.00M,115.00M,3.513B,4.701B,,2019-06,472.00M,60.00M,,532.00M,282.00M,814.00M,,,,156.00M,,156.00M,230.00M,230.00M,,104.00M,1.665B,1.00M,188.00M,189.00M,1.942B,3.142B,,2019-06,1.00M,1.927B,314.00M,643.00M,,,-40.00M,1.559B,,2019-06,AOR,Restated
2019-03,,61.00M,,61.00M,488.00M,,509.00M,133.00M,4.00M,373.00M,,510.00M,62.00M,,,,1.142B,,,,,367.00M,,,367.00M,,367.00M,2.567B,311.00M,2.878B,,97.00M,92.00M,3.434B,4.576B,,2019-03,457.00M,61.00M,,518.00M,275.00M,793.00M,,,,131.00M,,131.00M,222.00M,222.00M,,102.00M,1.707B,1.00M,178.00M,179.00M,1.963B,3.109B,,2019-03,1.00M,1.803B,305.00M,611.00M,,,-31.00M,1.467B,,2019-03,AOR,Restated
2018-12,,44.00M,,44.00M,520.00M,,544.00M,125.00M,3.00M,392.00M,,520.00M,54.00M,,,,1.162B,0.00,7.00M,57.00M,383.00M,,24.00M,75.00M,546.00M,-297.00M,249.00M,2.495B,232.00M,2.727B,,114.00M,87.00M,3.177B,4.339B,,2018-12,552.00M,60.00M,,612.00M,150.00M,762.00M,45.00M,,157.00M,157.00M,0.00,157.00M,210.00M,210.00M,,0.00,1.434B,8.00M,172.00M,180.00M,1.703B,3.004B,,2018-12,1.00M,1.688B,294.00M,613.00M,,,-35.00M,1.335B,,2018-12,AOR,Restated
2018-09,,45.00M,,45.00M,575.00M,,612.00M,132.00M,5.00M,356.00M,,493.00M,51.00M,,,,1.201B,,,,,,,,,,251.00M,2.496B,260.00M,2.756B,,91.00M,101.00M,3.199B,4.40B,,2018-09,498.00M,52.00M,,550.00M,285.00M,835.00M,,,,71.00M,,71.00M,199.00M,199.00M,,,1.829B,,161.00M,161.00M,2.082B,3.187B,,2018-09,1.00M,1.573B,282.00M,614.00M,,,-29.00M,1.213B,,2018-09,AOR,Restated
2018-06,,46.00M,,46.00M,502.00M,,546.00M,131.00M,2.00M,332.00M,,465.00M,52.00M,,,,1.109B,,,,,,,,,,254.00M,2.462B,252.00M,2.714B,,104.00M,94.00M,3.166B,4.275B,,2018-06,442.00M,51.00M,,493.00M,238.00M,731.00M,,,,85.00M,,85.00M,198.00M,198.00M,,,1.914B,,150.00M,150.00M,2.188B,3.202B,,2018-06,1.00M,1.446B,273.00M,617.00M,,,-30.00M,1.073B,,2018-06,AOR,Restated
2018-03,,64.00M,,64.00M,471.00M,,502.00M,123.00M,2.00M,323.00M,,448.00M,39.00M,,,,1.053B,,,,,,,,,,262.00M,2.463B,276.00M,2.739B,,115.00M,80.00M,3.196B,4.249B,,2018-03,411.00M,56.00M,,467.00M,221.00M,688.00M,,,,43.00M,,43.00M,201.00M,201.00M,,,2.09B,,144.00M,144.00M,2.336B,3.268B,,2018-03,1.00M,1.376B,266.00M,616.00M,,,-46.00M,981.00M,,2018-03,AOR,Restated
2017-12,,62.00M,,62.00M,479.00M,,519.00M,116.00M,1.00M,341.00M,,458.00M,24.00M,,,,1.063B,0.00,8.00M,54.00M,487.00M,,23.00M,69.00M,641.00M,-377.00M,264.00M,2.465B,299.00M,2.764B,,119.00M,65.00M,3.212B,4.275B,,2017-12,424.00M,43.00M,,467.00M,154.00M,621.00M,41.00M,,,51.00M,,51.00M,186.00M,186.00M,,,2.176B,0.00,148.00M,148.00M,2.441B,3.441B,,2017-12,1.00M,1.248B,257.00M,620.00M,,,-52.00M,834.00M,,2017-12,AOR,Restated
