,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-09,158.62M,,,,,,,118.89M,118.89M,-33.94M,,50.22M,,17.23M,20.11M,-11.40M,97.22M,,-0.523M,-14.45M,90.96M,,2020-09,-228.76M,,-180.84M,0.00,6.153M,-2.059M,-224.66M,2020-09,0.00,0.00,,-13.20M,-13.20M,16.01M,-13.37M,-10.56M,,2020-09,572.87M,4.363M,743.98M,,2020-09,0.00,0.00,-13.20M,5.225M,2.156M,,2020-09,
2020-06,161.92M,,,,,,,115.58M,115.58M,14.28M,,49.19M,,18.43M,-31.63M,0.455M,-19.94M,,-2.043M,-7.541M,-60.71M,,2020-06,-120.24M,,-73.86M,0.00,30.45M,0.155M,-89.64M,2020-06,0.00,0.00,,-27.33M,-27.33M,10.26M,-13.10M,-30.17M,,2020-06,385.83M,8.155M,572.87M,,2020-06,,0.00,-27.33M,4.969M,0.719M,,2020-06,
2020-03,123.15M,,,,,,,116.21M,116.21M,-2.888M,,47.49M,,27.68M,-73.91M,-10.43M,-27.46M,,0.928M,22.48M,-88.40M,,2020-03,-215.43M,,-141.10M,-36.27M,141.04M,-0.076M,-110.74M,2020-03,0.00,0.00,,-80.55M,-80.55M,19.55M,-50.84M,-111.84M,,2020-03,394.15M,-8.983M,385.83M,,2020-03,,0.00,-80.55M,21.44M,2.36M,,2020-03,
2019-12,119.10M,,,,,,,115.80M,115.80M,-23.65M,,46.88M,,19.85M,-26.33M,23.35M,38.21M,,4.62M,-35.69M,4.164M,,2019-12,-133.67M,,-90.90M,-43.92M,-410.68M,-1.496M,-589.76M,2019-12,0.00,0.00,,-42.73M,-42.73M,13.91M,-14.15M,-42.97M,,2019-12,739.63M,5.116M,394.15M,,2019-12,0.00,0.00,-42.73M,8.002M,0.719M,,2019-12,
2019-09,137.89M,,,,,,,110.60M,110.60M,-0.027M,,46.82M,,13.73M,-0.017M,11.62M,23.35M,,-3.111M,-43.47M,-11.63M,,2019-09,-152.63M,,-110.61M,0.00,-752.01M,-0.342M,-904.98M,2019-09,1.136B,1.136B,,-175.54M,-175.54M,199.58M,-323.38M,836.28M,,2019-09,516.27M,-5.328M,739.63M,,2019-09,1.136B,0.00,-175.54M,11.62M,0.00,,2019-09,Restated
2019-06,113.92M,,,,,,,106.06M,106.06M,15.63M,,48.14M,,9.311M,5.639M,-10.26M,32.58M,,-9.266M,6.178M,24.87M,,2019-06,-133.35M,,-88.41M,4.26M,-279.64M,-0.698M,-409.43M,2019-06,0.00,0.00,,-81.38M,-81.38M,8.998M,-11.32M,-83.69M,,2019-06,690.38M,1.077M,516.27M,,2019-06,,0.00,-81.38M,10.11M,0.719M,,2019-06,Restated
2019-03,107.13M,,,,,,,108.20M,108.20M,8.982M,,45.30M,,11.50M,-43.77M,-13.03M,-85.37M,,-9.473M,31.36M,-120.27M,,2019-03,-142.43M,,-69.75M,-161.68M,537.41M,2.935M,236.24M,2019-03,-690.00M,-690.00M,,-34.87M,-34.87M,19.77M,-40.20M,-745.30M,,2019-03,1.037B,1.601M,690.38M,,2019-03,,-690.00M,-34.87M,44.16M,0.00,,2019-03,Restated
2018-12,94.02M,,,,,,,116.29M,116.29M,-10.57M,,45.00M,,18.95M,-16.83M,-2.048M,34.32M,,7.392M,-0.366M,22.46M,,2018-12,-117.33M,,-74.32M,0.00,288.42M,0.612M,171.70M,2018-12,0.00,0.00,,-124.08M,-124.08M,10.11M,-12.16M,-126.12M,,2018-12,706.57M,-1.316M,1.037B,,2018-12,0.00,0.00,-124.08M,12.64M,,,2018-12,Restated
2018-09,107.58M,,,,,,,107.83M,107.83M,25.02M,,46.63M,,15.43M,3.278M,-10.66M,35.01M,,-3.625M,-16.02M,7.981M,,2018-09,-86.70M,,-44.98M,0.00,-59.75M,-2.199M,-148.65M,2018-09,-0.437M,-0.437M,,-440.41M,-440.41M,18.39M,-11.08M,-433.53M,,2018-09,978.34M,-0.068M,706.57M,,2018-09,-0.437M,0.00,-440.41M,32.48M,,,2018-09,Restated
2018-06,43.06M,,,,,,,106.30M,106.30M,-4.302M,,47.50M,,12.54M,1.53M,13.50M,4.221M,,-8.046M,3.372M,14.58M,,2018-06,-88.63M,,-46.72M,0.00,-329.70M,0.236M,-418.10M,2018-06,1.133B,1.133B,,-165.73M,-165.73M,131.31M,-274.28M,823.93M,,2018-06,365.46M,-12.62M,978.34M,,2018-06,1.133B,0.00,-165.73M,-18.31M,,,2018-06,Restated
