,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,792.84M,792.84M,283.44M,509.41M,122.75M,108.39M,231.14M,66.77M,20.55M,10.34M,-1.072M,-1.627M,,17.32M,6.307M,-11.02M,,327.18M,182.23M,6.307M,17.32M,-11.02M,-3.23M,-11.02M,167.98M,,158.62M,159.64M,304.20M,118.89M,2020-09,0.97,,0.9762,0.97,0.95,,0.9561,2020-09,162.76M,166.52M,,2020-09,AOR,
2020-06,794.72M,794.72M,276.80M,517.91M,123.47M,105.82M,229.29M,64.09M,20.65M,10.38M,-0.17M,2.893M,,17.25M,9.502M,-7.747M,,327.31M,190.60M,9.502M,17.25M,-7.747M,-1.773M,-7.747M,181.08M,,161.92M,162.07M,313.91M,115.58M,2020-06,1.00,,1.001,1.00,0.98,,0.9809,2020-06,162.41M,164.77M,,2020-06,AOR,
2020-03,764.30M,764.30M,268.58M,495.72M,123.79M,104.62M,228.41M,71.22M,20.46M,10.43M,-10.66M,2.199M,,17.20M,7.043M,-10.16M,,332.73M,162.99M,7.043M,17.20M,-10.16M,-14.77M,-10.16M,138.06M,,123.15M,132.70M,271.47M,116.21M,2020-03,0.76,,0.8190,0.76,0.75,,0.8084,2020-03,161.99M,163.68M,,2020-03,AOR,
2019-12,772.12M,772.12M,257.75M,514.37M,140.24M,117.45M,257.69M,68.90M,22.17M,9.71M,-21.00M,-0.414M,,16.68M,11.40M,-5.273M,,358.05M,156.32M,11.40M,16.68M,-5.273M,-21.61M,-5.273M,129.44M,,119.10M,138.38M,261.92M,115.80M,2019-12,0.74,,0.8592,0.74,0.73,,0.8476,2019-12,161.74M,163.93M,,2019-12,AOR,
2019-09,709.91M,709.91M,246.94M,462.97M,122.26M,103.10M,225.36M,64.89M,19.27M,9.624M,0.081M,0.623M,,12.13M,7.908M,-4.219M,,319.77M,143.21M,7.908M,12.13M,-4.219M,-0.671M,-4.219M,138.32M,,137.89M,137.83M,261.05M,110.60M,2019-09,0.85,,0.8496,0.85,0.84,,0.8396,2019-09,162.44M,164.56M,,2019-09,AOR,Restated
2019-06,705.07M,705.07M,242.19M,462.88M,135.11M,99.90M,235.00M,61.44M,18.78M,9.648M,-1.314M,0.915M,,8.446M,6.41M,-2.036M,,325.78M,137.10M,6.41M,8.446M,-2.036M,-1.892M,-2.036M,133.17M,,113.92M,115.04M,247.68M,106.06M,2019-06,0.70,,0.7069,0.70,0.69,,0.6968,2019-06,163.41M,165.02M,,2019-06,AOR,Restated
2019-03,706.51M,706.51M,240.74M,465.76M,126.28M,103.21M,229.49M,66.14M,18.37M,9.599M,-6.84M,0.80M,,12.12M,8.635M,-3.481M,,324.40M,141.36M,8.635M,12.12M,-3.481M,-6.329M,-3.481M,131.56M,,107.13M,112.70M,251.88M,108.20M,2019-03,0.66,,0.6941,0.66,0.65,,0.6838,2019-03,163.24M,164.79M,,2019-03,AOR,Restated
2018-12,713.36M,713.36M,243.93M,469.44M,137.80M,107.32M,245.11M,60.34M,20.27M,8.292M,-14.05M,1.079M,,14.58M,7.308M,-7.274M,,335.10M,134.34M,7.308M,14.58M,-7.274M,-13.99M,-7.274M,113.07M,,94.02M,105.70M,243.95M,116.29M,2018-12,0.58,,0.6517,0.58,0.57,,0.6410,2018-12,162.96M,164.56M,,2018-12,AOR,Restated
2018-09,669.63M,669.63M,239.25M,430.38M,125.32M,100.28M,225.61M,61.05M,18.65M,8.294M,0.403M,0.652M,,14.57M,9.258M,-5.308M,,314.25M,116.13M,9.258M,14.57M,-5.308M,-0.056M,-5.308M,110.77M,,107.58M,107.19M,233.17M,107.83M,2018-09,0.65,,0.6476,0.65,0.64,,0.6377,2018-09,165.92M,167.90M,,2018-09,AOR,Restated
2018-06,662.76M,662.76M,235.49M,427.27M,131.68M,148.08M,279.76M,59.71M,21.21M,8.294M,-0.766M,0.42M,,9.204M,6.409M,-2.795M,,369.39M,57.88M,6.409M,9.204M,-2.795M,-3.535M,-2.795M,51.55M,,43.06M,43.70M,167.06M,106.30M,2018-06,0.25,,0.2538,0.25,0.25,,0.2537,2018-06,170.25M,172.31M,,2018-06,AOR,Restated
2018-03,668.72M,668.72M,234.82M,433.90M,122.55M,109.74M,232.30M,65.06M,19.89M,8.431M,-39.14M,0.521M,,4.85M,3.965M,-0.885M,,326.20M,107.70M,3.965M,4.85M,-0.885M,-39.12M,-0.885M,67.69M,,53.71M,84.75M,176.64M,104.10M,2018-03,0.32,,0.5025,0.32,0.31,,0.4905,2018-03,170.12M,172.00M,,2018-03,AOR,Restated
2017-12,658.47M,658.47M,229.94M,428.53M,131.22M,106.90M,238.12M,59.67M,19.84M,7.829M,-70.15M,0.805M,,4.85M,4.487M,-0.363M,,326.27M,102.26M,4.487M,4.85M,-0.363M,-69.68M,-0.363M,32.22M,,27.52M,87.44M,136.46M,99.40M,2017-12,0.11,,0.4637,0.11,0.11,,0.4610,2017-12,169.43M,170.73M,,2017-12,AOR,Restated
2017-09,624.44M,624.44M,225.49M,398.95M,117.86M,102.56M,220.43M,57.23M,19.69M,7.753M,-1.105M,1.499M,,4.746M,4.463M,-0.283M,,306.59M,92.36M,4.463M,4.746M,-0.283M,-0.57M,-0.283M,91.50M,,63.91M,64.68M,193.43M,97.18M,2017-09,0.37,,0.3745,0.37,0.37,,0.3745,2017-09,170.98M,171.50M,,2017-09,AOR,Restated
2017-06,605.83M,605.83M,214.68M,391.15M,117.94M,101.64M,219.58M,53.37M,18.07M,7.753M,-6.028M,0.752M,,4.646M,4.281M,-0.365M,,299.53M,91.62M,4.281M,4.646M,-0.365M,-5.465M,-0.365M,85.79M,,56.75M,60.74M,179.64M,89.21M,2017-06,0.33,,0.3531,0.33,0.33,,0.3530,2017-06,172.67M,173.44M,,2017-06,AOR,Restated
