,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,799.00M,,89.00M,20.00M,109.00M,109.00M,4.00M,29.00M,,64.00M,-758.00M,-236.00M,-358.00M,,,-149.00M,-1.501B,,-496.00M,-104.00M,,,,,-1.00M,-105.00M,,2.494B,2.494B,,-267.00M,-267.00M,-250.00M,-250.00M,,-25.00M,1.952B,2.983B,1.349B,4.332B,-2.00M,,2.494B,,-267.00M,,21.00M
2017-12,636.00M,,93.00M,22.00M,115.00M,115.00M,246.00M,30.00M,,19.00M,153.00M,-239.00M,267.00M,,,560.00M,948.00M,,1.994B,-155.00M,,,-35.00M,,-13.00M,-203.00M,-898.00M,,-898.00M,,-386.00M,-386.00M,-251.00M,-251.00M,,17.00M,-1.518B,2.722B,261.00M,2.983B,-12.00M,,0.00,-898.00M,-386.00M,-398.00M,-66.00M
2017-09,764.00M,,87.00M,19.00M,106.00M,106.00M,62.00M,41.00M,,16.00M,-229.00M,71.00M,308.00M,,,-267.00M,-117.00M,,872.00M,-120.00M,,,-275.00M,,5.00M,-390.00M,984.00M,,984.00M,,-271.00M,-271.00M,-252.00M,-252.00M,,-66.00M,395.00M,1.856B,866.00M,2.722B,-11.00M,,985.00M,-1.00M,-271.00M,70.00M,20.00M
2017-06,749.00M,,90.00M,19.00M,109.00M,109.00M,48.00M,29.00M,,148.00M,-684.00M,-16.00M,-48.00M,,76.00M,66.00M,-606.00M,,477.00M,-91.00M,,,-89.00M,,70.00M,-110.00M,-1.00M,,-1.00M,,-547.00M,-547.00M,-253.00M,-253.00M,,131.00M,-670.00M,2.168B,-312.00M,1.856B,-9.00M,,,-1.00M,-547.00M,328.00M,26.00M
2017-03,763.00M,,92.00M,19.00M,111.00M,111.00M,45.00M,23.00M,,52.00M,-422.00M,2.00M,130.00M,,-76.00M,-95.00M,-461.00M,,533.00M,-62.00M,,,,,-23.00M,-85.00M,,0.00,0.00,,-354.00M,-354.00M,-230.00M,-230.00M,,-22.00M,-606.00M,2.334B,-166.00M,2.168B,-8.00M,,0.00,,-354.00M,,20.00M
2016-12,580.00M,,95.00M,18.00M,113.00M,113.00M,36.00M,19.00M,,-342.00M,-284.00M,-171.00M,276.00M,,,249.00M,385.00M,,791.00M,-148.00M,,,-2.00M,,41.00M,-109.00M,0.00,,0.00,,-482.00M,-482.00M,-233.00M,-233.00M,,-218.00M,-641.00M,2.303B,31.00M,2.334B,-10.00M,,0.00,0.00,-482.00M,-677.00M,-58.00M
2016-09,731.00M,,89.00M,20.00M,109.00M,109.00M,138.00M,25.00M,,-92.00M,-325.00M,-122.00M,134.00M,,,-99.00M,-412.00M,,499.00M,-110.00M,,,-56.00M,,69.00M,-97.00M,492.00M,,492.00M,,-325.00M,-325.00M,-231.00M,-231.00M,,76.00M,12.00M,1.899B,404.00M,2.303B,-10.00M,,992.00M,-500.00M,-325.00M,217.00M,16.00M
2016-06,714.00M,,92.00M,23.00M,115.00M,115.00M,28.00M,24.00M,,110.00M,-75.00M,137.00M,-275.00M,,52.00M,-437.00M,-598.00M,,393.00M,-69.00M,,,,,2.00M,-67.00M,,,,,-163.00M,-163.00M,-232.00M,-232.00M,,89.00M,-306.00M,1.907B,-8.00M,1.899B,-28.00M,,,,-163.00M,439.00M,26.00M
2016-03,654.00M,,89.00M,27.00M,116.00M,116.00M,-18.00M,27.00M,,46.00M,-486.00M,-221.00M,432.00M,,-52.00M,-18.00M,-345.00M,,480.00M,-65.00M,,,,,-53.00M,-118.00M,,,,,-1.026B,-1.026B,-215.00M,-215.00M,,7.00M,-1.234B,2.785B,-878.00M,1.907B,-6.00M,,,,-1.026B,21.00M,16.00M
2015-12,835.00M,,93.00M,28.00M,121.00M,121.00M,125.00M,14.00M,,12.00M,439.00M,-221.00M,-423.00M,,,-645.00M,-770.00M,,337.00M,-209.00M,,,,0.00,-4.00M,-218.00M,0.00,,0.00,,-504.00M,-504.00M,-218.00M,-218.00M,28.00M,0.00,-694.00M,3.372B,-587.00M,2.785B,-12.00M,,0.00,0.00,-504.00M,-776.00M,-62.00M
