,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,7.797B,7.797B,5.383B,2.414B,1.103B,0.00,101.00M,20.00M,-81.00M,,1.103B,1.311B,20.00M,101.00M,-81.00M,-82.00M,-81.00M,1.148B,367.00M,781.00M,,,-23.00M,758.00M,757.32M,1.249B,,2020-09,1.08,,1.08,,2020-09,1.07,,1.07,,2020-09,0.90,,2020-09,AOR,
2020-06,7.477B,7.477B,5.276B,2.201B,1.183B,0.00,90.00M,22.00M,-68.00M,,1.183B,1.018B,22.00M,90.00M,-68.00M,269.00M,-68.00M,1.219B,120.00M,1.099B,,,-18.00M,1.081B,1.078B,1.309B,,2020-06,1.54,,1.54,,2020-06,1.53,,1.53,,2020-06,0.90,,2020-06,AOR,
2020-03,8.463B,8.463B,5.534B,2.929B,1.238B,,73.00M,44.00M,-29.00M,,1.238B,1.691B,44.00M,73.00M,-29.00M,273.00M,-29.00M,1.935B,329.00M,1.606B,,,-25.00M,1.581B,1.571B,2.008B,,2020-03,2.23,,2.23,,2020-03,2.21,,2.21,,2020-03,0.90,,2020-03,AOR,
2019-12,9.496B,9.496B,6.328B,3.168B,1.473B,-2.00M,91.00M,61.00M,-30.00M,,1.473B,1.695B,61.00M,91.00M,-30.00M,103.00M,-30.00M,1.768B,178.00M,1.59B,,,-28.00M,1.562B,1.543B,1.859B,,2019-12,2.19,,2.19,,2019-12,2.16,,2.16,,2019-12,0.90,,2019-12,AOR,
2019-09,9.086B,9.086B,6.038B,3.048B,1.296B,0.00,96.00M,64.00M,-32.00M,,1.296B,1.752B,64.00M,96.00M,-32.00M,247.00M,-32.00M,1.967B,319.00M,1.648B,,,-24.00M,1.624B,1.588B,2.063B,,2019-09,2.26,,2.26,,2019-09,2.23,,2.23,,2019-09,0.82,,2019-09,AOR,Restated
2019-06,9.243B,9.243B,6.094B,3.149B,1.387B,1.00M,85.00M,63.00M,-22.00M,,1.387B,1.762B,63.00M,85.00M,-22.00M,242.00M,-22.00M,1.982B,426.00M,1.556B,,,-15.00M,1.541B,1.506B,2.067B,,2019-06,2.13,,2.13,,2019-06,2.10,,2.10,,2019-06,0.82,,2019-06,AOR,Restated
2019-03,8.884B,8.884B,5.879B,3.005B,1.363B,,85.00M,67.00M,-18.00M,,1.363B,1.642B,67.00M,85.00M,-18.00M,218.00M,-18.00M,1.842B,406.00M,1.436B,,,-20.00M,1.416B,1.407B,1.927B,,2019-03,1.94,,1.94,,2019-03,1.92,,1.92,,2019-03,0.82,,2019-03,AOR,Restated
2018-12,9.729B,9.729B,6.685B,3.044B,1.524B,-87.00M,90.00M,63.00M,-27.00M,,1.524B,1.52B,63.00M,90.00M,-27.00M,227.00M,-27.00M,1.72B,-20.00M,1.74B,,,-19.00M,1.721B,1.758B,1.81B,,2018-12,2.34,,2.34,,2018-12,2.31,,2.31,,2018-12,0.82,,2018-12,AOR,Restated
2018-09,10.76B,10.76B,7.556B,3.206B,1.524B,-116.00M,99.00M,55.00M,-44.00M,,1.524B,1.682B,55.00M,99.00M,-44.00M,220.00M,-44.00M,1.858B,-498.00M,2.356B,,,-18.00M,2.338B,2.412B,1.957B,,2018-09,3.15,,3.15,,2018-09,3.11,,3.11,,2018-09,0.745,,2018-09,AOR,Restated
2018-06,10.92B,10.92B,7.614B,3.305B,1.528B,-63.00M,95.00M,49.00M,-46.00M,,1.528B,1.777B,49.00M,95.00M,-46.00M,267.00M,-46.00M,1.998B,718.00M,1.28B,,,-13.00M,1.267B,1.300B,2.093B,,2018-06,1.70,,1.70,,2018-06,1.68,,1.68,,2018-06,0.745,,2018-06,AOR,Restated
