,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.093B,3.093B,2.43B,663.00M,121.00M,,-8.00M,68.00M,-69.00M,,281.00M,382.00M,68.00M,-69.00M,-8.00M,-69.00M,305.00M,73.00M,240.00M,,,1.00M,,241.00M,247.09M,533.00M,160.00M,373.00M,0.74,,,,0.7586,0.74,0.72,,,,0.7383,0.72,326.55M,332.65M,0.15
2020-06,2.801B,2.801B,2.23B,571.00M,111.00M,,-112.00M,67.00M,-67.00M,,281.00M,290.00M,67.00M,-67.00M,-112.00M,-67.00M,111.00M,23.00M,92.00M,,,2.00M,,94.00M,182.82M,348.00M,170.00M,178.00M,0.29,,,,0.5624,0.29,0.28,,,,0.5477,0.28,325.99M,331.72M,0.15
2020-03,2.785B,2.785B,2.215B,570.00M,131.00M,,-115.00M,71.00M,-111.00M,,300.00M,270.00M,71.00M,-111.00M,-115.00M,-111.00M,44.00M,-4.00M,23.00M,,,0.00,,23.00M,106.95M,284.00M,169.00M,115.00M,0.07,,,,0.328,0.07,0.07,,,,0.3226,0.07,325.35M,332.33M,0.15
2019-12,2.719B,2.719B,2.159B,560.00M,89.00M,,-97.00M,80.00M,-83.00M,,257.00M,303.00M,80.00M,-83.00M,-97.00M,-83.00M,123.00M,-2.00M,130.00M,,,30.00M,,160.00M,230.81M,371.00M,168.00M,203.00M,0.49,,,,0.7071,0.49,0.48,,,,0.6911,0.48,326.23M,335.38M,0.15
2019-09,2.953B,2.953B,2.363B,590.00M,90.00M,,-133.00M,79.00M,-79.00M,,259.00M,331.00M,79.00M,-79.00M,-133.00M,-79.00M,119.00M,32.00M,92.00M,,,0.00,,92.00M,189.22M,367.00M,169.00M,198.00M,0.28,,,,0.5736,0.28,0.27,,,,0.5554,0.27,331.15M,340.63M,0.15
2019-06,3.017B,3.017B,2.428B,589.00M,111.00M,,0.00,81.00M,-81.00M,,282.00M,307.00M,81.00M,-81.00M,,-81.00M,226.00M,31.00M,197.00M,,,0.00,,197.00M,197.00M,478.00M,171.00M,307.00M,0.59,,,,0.59,0.59,0.58,,,,0.58,0.58,332.82M,341.64M,0.15
2019-03,2.785B,2.785B,2.253B,532.00M,127.00M,,-14.00M,77.00M,-81.00M,,297.00M,235.00M,77.00M,-81.00M,-14.00M,-81.00M,140.00M,10.00M,117.00M,,,0.00,,117.00M,130.01M,387.00M,170.00M,217.00M,0.35,,,,0.3889,0.35,0.34,,,,0.378,0.34,334.24M,342.68M,0.1
2018-12,2.803B,2.803B,2.246B,557.00M,126.00M,,-60.00M,75.00M,-75.00M,,299.00M,258.00M,75.00M,-75.00M,-60.00M,-75.00M,123.00M,-35.00M,149.00M,,,2.00M,,151.00M,194.80M,371.00M,173.00M,198.00M,0.45,,,,0.5796,0.45,0.44,,,,0.5659,0.44,337.84M,348.02M,0.1
2018-09,2.946B,2.946B,2.362B,584.00M,113.00M,,-32.00M,76.00M,-76.00M,,284.00M,300.00M,76.00M,-76.00M,-32.00M,-76.00M,192.00M,140.00M,59.00M,,,0.00,,59.00M,82.36M,439.00M,171.00M,268.00M,0.17,,,,0.2381,0.17,0.17,,,,0.2368,0.17,342.98M,349.71M,0.1
2018-06,3.101B,3.101B,2.484B,617.00M,127.00M,,-69.00M,77.00M,-77.00M,,305.00M,312.00M,77.00M,-77.00M,-69.00M,-77.00M,166.00M,46.00M,120.00M,,,-1.00M,,119.00M,168.89M,421.00M,178.00M,243.00M,0.34,,,,0.4833,0.34,0.34,,,,0.4806,0.34,348.22M,354.90M,0.1
