,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2010-03,947.00M,,-42.00M,-42.00M,327.00M,327.00M,59.00M,,45.00M,12.00M,-147.00M,-511.00M,522.00M,-58.00M,,,-194.00M,,1.154B,,2010-03,,,,-2.067B,,90.00M,-2.124B,,2010-03,-40.00M,2.172B,99.00M,-500.00M,-401.00M,-373.00M,-373.00M,,-80.00M,1.318B,,2010-03,348.00M,-9.00M,4.788B,,99.00M,,,-500.00M,,2010-03,AOR
2009-12,1.169B,,-637.00M,-637.00M,333.00M,333.00M,415.00M,,43.00M,-629.00M,-26.00M,550.00M,202.00M,55.00M,,,781.00M,,1.475B,,2009-12,,,,-95.00M,,47.00M,-373.00M,,2009-12,-690.00M,-700.00M,130.00M,-320.00M,-190.00M,-338.00M,-338.00M,,-55.00M,-1.283B,,2009-12,-181.00M,-2.00M,4.449B,,130.00M,37.00M,-1.774B,-320.00M,,2009-12,AOR
2009-09,1.145B,,-182.00M,-182.00M,316.00M,316.00M,13.00M,,32.00M,49.00M,160.00M,465.00M,-162.00M,17.00M,,,480.00M,,1.853B,,2009-09,,,,-297.00M,,254.00M,-204.00M,,2009-09,-320.00M,-409.00M,111.00M,-430.00M,-319.00M,-339.00M,-339.00M,,-56.00M,-1.123B,,2009-09,526.00M,90.00M,4.632B,,111.00M,-248.00M,,-430.00M,,2009-09,AOR
2009-06,1.066B,,-428.00M,-428.00M,303.00M,303.00M,9.00M,,44.00M,24.00M,496.00M,184.00M,-142.00M,-16.00M,,,522.00M,,1.54B,,2009-06,,,,-31.00M,,-102.00M,-306.00M,,2009-06,343.00M,-31.00M,65.00M,-150.00M,-85.00M,-340.00M,-340.00M,,-120.00M,-576.00M,,2009-06,658.00M,86.00M,4.016B,,65.00M,248.00M,95.00M,-150.00M,,2009-06,AOR
2009-03,799.00M,,-23.00M,-23.00M,306.00M,306.00M,14.00M,,34.00M,73.00M,325.00M,-504.00M,-480.00M,-59.00M,,,-718.00M,,485.00M,,2009-03,,,,-122.00M,,68.00M,-221.00M,,2009-03,-95.00M,-597.00M,36.00M,-200.00M,-164.00M,-339.00M,-339.00M,,-109.00M,-1.209B,,2009-03,-945.00M,-110.00M,3.272B,,36.00M,,-95.00M,-200.00M,,2009-03,AOR
2008-12,1.229B,,-193.00M,-193.00M,350.00M,350.00M,188.00M,,50.00M,-64.00M,173.00M,510.00M,-311.00M,88.00M,,,460.00M,,2.02B,,2008-12,,,,-477.00M,,-263.00M,-1.146B,,2008-12,-170.00M,1.039B,32.00M,-690.00M,-658.00M,-341.00M,-341.00M,,-42.00M,-2.00M,,2008-12,872.00M,-160.00M,4.327B,,32.00M,2.248B,-48.00M,-690.00M,,2008-12,AOR
2008-09,1.37B,,0.00,0.00,326.00M,326.00M,-10.00M,,51.00M,49.00M,217.00M,-250.00M,119.00M,-37.00M,,,49.00M,,1.835B,,2008-09,,,,23.00M,,286.00M,41.00M,,2008-09,-325.00M,-328.00M,29.00M,-950.00M,-921.00M,-286.00M,-286.00M,,-89.00M,-1.624B,,2008-09,252.00M,-79.00M,3.615B,,29.00M,-586.00M,,-950.00M,,2008-09,
2008-06,1.375B,,0.00,0.00,326.00M,326.00M,-95.00M,,52.00M,18.00M,-612.00M,-19.00M,349.00M,24.00M,,,-258.00M,,1.418B,,2008-06,,,,-335.00M,,-159.00M,-799.00M,,2008-06,-282.00M,718.00M,60.00M,-719.00M,-659.00M,-290.00M,-290.00M,,-82.00M,-313.00M,,2008-06,306.00M,-3.00M,3.442B,,60.00M,-282.00M,6.00M,-719.00M,,2008-06,
2008-03,1.079B,,,,319.00M,319.00M,-38.00M,,58.00M,-49.00M,-324.00M,-803.00M,686.00M,-40.00M,,,-481.00M,,888.00M,,2008-03,,,,-126.00M,,-69.00M,-432.00M,,2008-03,868.00M,862.00M,42.00M,-801.00M,-759.00M,-293.00M,-293.00M,,-109.00M,-299.00M,,2008-03,157.00M,78.00M,3.139B,,42.00M,868.00M,-6.00M,-801.00M,,2008-03,
2007-12,,,,,310.00M,310.00M,206.00M,,57.00M,867.00M,325.00M,505.00M,-288.00M,63.00M,,,605.00M,,2.045B,,2007-12,,,,1.742B,,-275.00M,-1.026B,,2007-12,-1.139B,-172.00M,43.00M,-501.00M,-458.00M,-294.00M,-294.00M,,-29.00M,-953.00M,,2007-12,66.00M,28.00M,2.904B,,43.00M,-298.00M,,-501.00M,,2007-12,AOR
2007-09,-1.967B,,,162.00M,308.00M,308.00M,12.00M,,141.00M,2.905B,-181.00M,-417.00M,441.00M,-21.00M,,,-178.00M,,1.383B,,2007-09,,459.00M,,-1.236B,,-145.00M,-1.619B,,2007-09,1.33B,471.00M,108.00M,-500.00M,-392.00M,-786.00M,-296.00M,,-94.00M,-311.00M,,2007-09,-547.00M,65.00M,2.81B,,108.00M,1.33B,,-500.00M,,2007-09,
2007-06,1.148B,,,-255.00M,277.00M,277.00M,-10.00M,,,407.00M,-317.00M,-353.00M,333.00M,219.00M,,,-118.00M,,1.449B,,2007-06,,-251.00M,,-98.00M,,-28.00M,-377.00M,,2007-06,,308.00M,143.00M,-500.00M,-357.00M,,-245.00M,,-20.00M,-314.00M,,2007-06,758.00M,53.00M,3.292B,,143.00M,,,-500.00M,,2007-06,
2007-03,819.00M,,,93.00M,278.00M,278.00M,-150.00M,,,-310.00M,-289.00M,-846.00M,1.075B,-217.00M,,,-277.00M,,453.00M,,2007-03,,-208.00M,,-110.00M,,158.00M,-160.00M,,2007-03,,286.00M,121.00M,-500.00M,-379.00M,,-245.00M,,-39.00M,-377.00M,,2007-03,-84.00M,19.00M,2.481B,,121.00M,,,-500.00M,,2007-03,
2006-12,-2.867B,,,-69.00M,261.00M,261.00M,-230.00M,,,3.508B,168.00M,599.00M,1.00M,104.00M,,,872.00M,,1.655B,,2006-12,,603.00M,,-287.00M,,44.00M,-594.00M,,2006-12,,-497.00M,88.00M,-738.00M,-650.00M,,-246.00M,,-73.00M,-1.466B,,2006-12,-405.00M,37.00M,2.546B,,88.00M,,,-738.00M,,2006-12,AOR
2006-09,996.00M,,,-52.00M,252.00M,252.00M,17.00M,,,88.00M,220.00M,-288.00M,144.00M,-16.00M,,,60.00M,,1.361B,,2006-09,,-184.00M,,-388.00M,372.00M,193.00M,-7.00M,,2006-09,,-483.00M,43.00M,-580.00M,-537.00M,,-249.00M,,-86.00M,-1.355B,,2006-09,-1.00M,32.00M,2.914B,,43.00M,,,-580.00M,,2006-09,
2006-06,1.103B,,,68.00M,256.00M,256.00M,20.00M,,,-68.00M,-558.00M,-319.00M,342.00M,-32.00M,,,-567.00M,,812.00M,,2006-06,,-218.00M,,215.00M,-282.00M,-48.00M,-333.00M,,2006-06,,360.00M,212.00M,-375.00M,-163.00M,,-249.00M,,15.00M,-37.00M,,2006-06,442.00M,24.00M,2.883B,,212.00M,,,-375.00M,,2006-06,
2006-03,768.00M,,,53.00M,264.00M,264.00M,-21.00M,,,85.00M,135.00M,-781.00M,503.00M,-31.00M,,,-174.00M,,975.00M,,2006-03,,-201.00M,,,-90.00M,-36.00M,-327.00M,,2006-03,,87.00M,3.00M,-375.00M,-372.00M,,-207.00M,,8.00M,-484.00M,,2006-03,164.00M,6.00M,2.417B,,3.00M,,,-375.00M,,2006-03,
2005-12,-2.443B,,,-323.00M,256.00M,256.00M,49.00M,,,3.372B,71.00M,246.00M,-243.00M,27.00M,-20.00M,,81.00M,,1.145B,,2005-12,-308.00M,276.00M,,-185.00M,,7.00M,-831.00M,,2005-12,,442.00M,62.00M,-421.00M,-359.00M,,-207.00M,,-34.00M,-158.00M,,2005-12,156.00M,-11.00M,2.247B,,62.00M,,,-421.00M,,2005-12,AOR
2005-09,821.00M,,,120.00M,265.00M,265.00M,91.00M,,,-15.00M,47.00M,-134.00M,-172.00M,-66.00M,33.00M,165.00M,-127.00M,,1.155B,,2005-09,3.00M,-246.00M,,-3.57B,2.666B,58.00M,-1.092B,,2005-09,,594.00M,58.00M,-385.00M,-327.00M,,-208.00M,,-1.00M,58.00M,,2005-09,121.00M,-4.00M,2.102B,,58.00M,,,-385.00M,,2005-09,
2005-06,971.00M,,,108.00M,237.00M,237.00M,84.00M,,,10.00M,-647.00M,-253.00M,745.00M,46.00M,-13.00M,-100.00M,-222.00M,,1.188B,,2005-06,305.00M,122.00M,,,-2.541B,-133.00M,-2.552B,,2005-06,,1.805B,76.00M,-260.00M,-184.00M,,-209.00M,,-1.00M,1.411B,,2005-06,47.00M,-25.00M,1.985B,,76.00M,,,-260.00M,,2005-06,
2005-03,651.00M,,,95.00M,226.00M,226.00M,38.00M,,,5.00M,-301.00M,-289.00M,532.00M,-46.00M,,-65.00M,-169.00M,,846.00M,,2005-03,,-152.00M,,,-125.00M,103.00M,-174.00M,,2005-03,,-735.00M,86.00M,-115.00M,-29.00M,,-208.00M,,-4.00M,-976.00M,,2005-03,-304.00M,2.00M,1.963B,,86.00M,,,-115.00M,,2005-03,
2004-12,-2.138B,,,-174.00M,234.00M,234.00M,-22.00M,,,2.34B,396.00M,56.00M,-258.00M,-4.00M,,156.00M,346.00M,,755.00M,,2004-12,-7.00M,444.00M,,,,427.00M,-972.00M,,2004-12,,301.00M,91.00M,-304.00M,-213.00M,,-164.00M,,117.00M,41.00M,,2004-12,-176.00M,101.00M,2.265B,,91.00M,,,-304.00M,,2004-12,AOR
2004-09,770.00M,,,-15.00M,230.00M,230.00M,134.00M,,,-130.00M,5.00M,-41.00M,-163.00M,19.00M,-24.00M,202.00M,-2.00M,,987.00M,,2004-09,1.00M,-179.00M,,,209.00M,-379.00M,-349.00M,,2004-09,,42.00M,130.00M,-208.00M,-78.00M,,-165.00M,,-135.00M,-336.00M,,2004-09,302.00M,20.00M,2.34B,,130.00M,,,-208.00M,,2004-09,
2004-06,817.00M,,,94.00M,252.00M,252.00M,81.00M,,,263.00M,-643.00M,113.00M,128.00M,15.00M,24.00M,-50.00M,-413.00M,,1.094B,,2004-06,6.00M,-142.00M,,,-165.00M,-38.00M,-345.00M,,2004-06,,-20.00M,3.00M,-264.00M,-261.00M,,-165.00M,,1.00M,-445.00M,,2004-06,304.00M,-17.00M,2.018B,,3.00M,,,-264.00M,,2004-06,
2004-03,551.00M,,,95.00M,262.00M,262.00M,3.00M,,,-133.00M,-126.00M,-234.00M,665.00M,-15.00M,,-308.00M,-18.00M,,760.00M,,2004-03,,-123.00M,,,-44.00M,71.00M,-96.00M,,2004-03,,-281.00M,119.00M,-216.00M,-97.00M,,-166.00M,,-15.00M,-559.00M,,2004-03,105.00M,3.00M,1.731B,,119.00M,,,-216.00M,,2004-03,
2003-12,-1.773B,,,-127.00M,229.00M,229.00M,16.00M,,,1.766B,-46.00M,62.00M,74.00M,95.00M,,502.00M,687.00M,,798.00M,,2003-12,-10.00M,312.00M,,,,1.115B,-185.00M,,2003-12,,-215.00M,150.00M,-100.00M,50.00M,,-164.00M,,-128.00M,-457.00M,,2003-12,156.00M,46.00M,1.623B,,150.00M,,,-100.00M,,2003-12,AOR
2003-09,639.00M,,,127.00M,203.00M,203.00M,66.00M,,,409.00M,197.00M,-38.00M,-59.00M,-20.00M,,-502.00M,-422.00M,,1.022B,,2003-09,10.00M,-116.00M,,,,-1.132B,-1.248B,,2003-09,,-581.00M,54.00M,-50.00M,4.00M,,-127.00M,,-64.00M,-768.00M,,2003-09,-994.00M,0.00,1.421B,,54.00M,,,-50.00M,,2003-09,
2003-06,632.00M,,,-35.00M,187.00M,187.00M,81.00M,,,63.00M,-126.00M,131.00M,-98.00M,-32.00M,,,-125.00M,,803.00M,,2003-06,,-109.00M,,,,-111.00M,-220.00M,,2003-06,,-25.00M,84.00M,-50.00M,34.00M,,-127.00M,,-30.00M,-148.00M,,2003-06,435.00M,53.00M,2.415B,,84.00M,,,-50.00M,,2003-06,
2003-03,502.00M,,,35.00M,180.00M,180.00M,91.00M,,,-472.00M,-51.00M,-114.00M,138.00M,-57.00M,,,-84.00M,,252.00M,,2003-03,,-87.00M,,,,-21.00M,-108.00M,,2003-03,,15.00M,43.00M,-201.00M,-158.00M,,-115.00M,,-65.00M,-323.00M,,2003-03,-179.00M,26.00M,1.927B,,43.00M,,,-201.00M,,2003-03,
2002-12,-1.703B,,,,190.00M,190.00M,116.00M,,,1.723B,248.00M,158.00M,-211.00M,10.00M,72.00M,,277.00M,,603.00M,,2002-12,-8.00M,397.00M,,-376.00M,,327.00M,-238.00M,,2002-12,,-134.00M,2.00M,-306.00M,-304.00M,,-114.00M,,-54.00M,-606.00M,,2002-12,-241.00M,20.00M,2.08B,,2.00M,,,-306.00M,,2002-12,AOR
2002-09,612.00M,,,,173.00M,173.00M,78.00M,,,-4.00M,184.00M,189.00M,-394.00M,59.00M,-72.00M,,-34.00M,,825.00M,,2002-09,0.00,-130.00M,,312.00M,,-358.00M,-176.00M,,2002-09,,13.00M,71.00M,-168.00M,-97.00M,,-116.00M,,-22.00M,-222.00M,,2002-09,427.00M,-28.00M,2.301B,,71.00M,,,-168.00M,,2002-09,
2002-06,624.00M,,,,189.00M,189.00M,50.00M,,,-77.00M,-181.00M,49.00M,208.00M,-10.00M,,,66.00M,,852.00M,,2002-06,8.00M,-111.00M,,-312.00M,,17.00M,-406.00M,,2002-06,,357.00M,3.00M,-126.00M,-123.00M,,-116.00M,,-29.00M,89.00M,,2002-06,535.00M,30.00M,1.902B,,3.00M,,,-126.00M,,2002-06,
2002-03,467.00M,,,,175.00M,175.00M,74.00M,,,50.00M,-171.00M,-153.00M,180.00M,-49.00M,,,-193.00M,,573.00M,,2002-03,,-156.00M,,,,-112.00M,-268.00M,,2002-03,,-324.00M,107.00M,-100.00M,7.00M,,-116.00M,,-79.00M,-512.00M,,2002-03,-207.00M,-14.00M,1.337B,,107.00M,,,-100.00M,,2002-03,
2001-12,-1.593B,,,,238.00M,238.00M,212.00M,,,1.992B,345.00M,191.00M,-407.00M,46.00M,-72.00M,,103.00M,,952.00M,,2001-12,-15.00M,573.00M,,,416.00M,9.00M,-217.00M,,2001-12,,-285.00M,-48.00M,-61.00M,-109.00M,,-105.00M,,-30.00M,-529.00M,,2001-12,206.00M,-13.00M,1.558B,,-48.00M,,,-61.00M,,2001-12,AOR
2001-09,565.00M,,,,220.00M,220.00M,3.00M,,,,36.00M,-77.00M,-155.00M,-12.00M,72.00M,-11.00M,-147.00M,,641.00M,,2001-09,7.00M,-167.00M,,,-416.00M,366.00M,-217.00M,,2001-09,,254.00M,26.00M,-173.00M,-147.00M,,-106.00M,,-19.00M,-18.00M,,2001-09,406.00M,2.00M,1.365B,,26.00M,,,-173.00M,,2001-09,
2001-06,588.00M,,,,225.00M,225.00M,50.00M,,,27.00M,-72.00M,-20.00M,-100.00M,41.00M,,11.00M,-140.00M,,750.00M,,2001-06,0.00,-207.00M,,,,-209.00M,-416.00M,,2001-06,,53.00M,246.00M,-165.00M,81.00M,,-106.00M,,-180.00M,-152.00M,,2001-06,182.00M,-5.00M,957.00M,,246.00M,,,-165.00M,,2001-06,
2001-03,440.00M,,,,222.00M,222.00M,32.00M,,,-27.00M,-20.00M,-241.00M,256.00M,-29.00M,,,-34.00M,,633.00M,,2001-03,8.00M,-199.00M,,,,-228.00M,-427.00M,,2001-03,,63.00M,,-200.00M,-200.00M,,-106.00M,,82.00M,-161.00M,,2001-03,45.00M,-13.00M,780.00M,,,,,-200.00M,,2001-03,
2000-12,426.00M,,,,220.00M,220.00M,-74.00M,,,43.00M,-107.00M,18.00M,152.00M,3.00M,,,66.00M,,681.00M,,2000-12,,600.00M,,,,449.00M,-1.056B,,2000-12,,421.00M,,-127.00M,311.00M,,-105.00M,,-316.00M,311.00M,,2000-12,-64.00M,-6.00M,748.00M,,,,,-127.00M,,2000-12,
2000-09,496.00M,,,,210.00M,210.00M,74.00M,,,68.00M,208.00M,-136.00M,-223.00M,-22.00M,,,-173.00M,,675.00M,,2000-09,,-274.00M,,,,-49.00M,-323.00M,,2000-09,,-177.00M,,-151.00M,-151.00M,,-93.00M,,92.00M,-329.00M,,2000-09,23.00M,-18.00M,818.00M,,,,,-151.00M,,2000-09,
2000-06,509.00M,,,,217.00M,217.00M,81.00M,,,66.00M,-193.00M,33.00M,-134.00M,42.00M,,,-252.00M,,621.00M,,2000-06,,-177.00M,,,,-152.00M,-329.00M,,2000-06,,167.00M,,-222.00M,-222.00M,,-95.00M,,18.00M,-132.00M,,2000-06,160.00M,-4.00M,813.00M,,,,,-222.00M,,2000-06,
2000-03,377.00M,,,,212.00M,212.00M,27.00M,,,-31.00M,23.00M,-99.00M,21.00M,-4.00M,,,-59.00M,,526.00M,,2000-03,,-149.00M,,,,-244.00M,-393.00M,,2000-03,,-51.00M,,-300.00M,-300.00M,,-94.00M,,13.00M,-432.00M,,2000-03,-299.00M,-1.00M,657.00M,,,,,-300.00M,,2000-03,
1999-12,56.00M,,,91.00M,230.00M,230.00M,203.00M,,,-288.00M,3.00M,120.00M,325.00M,-24.00M,,,424.00M,0.00,716.00M,,1999-12,0.00,2.335B,,,,-80.00M,-1.292B,,1999-12,,758.00M,,-273.00M,81.00M,,-254.00M,,-165.00M,420.00M,,1999-12,-156.00M,-2.00M,957.00M,,,,,-273.00M,,1999-12,
1999-09,90.00M,,,0.00,209.00M,209.00M,-263.00M,,,177.00M,106.00M,106.00M,174.00M,-8.00M,,,378.00M,0.00,591.00M,,1999-09,0.00,-736.00M,,,,-25.00M,-761.00M,,1999-09,,731.00M,,-282.00M,-282.00M,,-96.00M,,39.00M,392.00M,,1999-09,222.00M,8.00M,1.115B,,,,,-282.00M,,1999-09,
1999-06,1.077B,,,-660.00M,197.00M,197.00M,14.00M,,,81.00M,-257.00M,243.00M,-105.00M,37.00M,,,-82.00M,2.129B,2.756B,,1999-06,0.00,-2.137B,,,,-35.00M,-2.172B,,1999-06,,-173.00M,,-170.00M,-170.00M,,-81.00M,,71.00M,-353.00M,,1999-06,231.00M,-3.00M,885.00M,,,,,-170.00M,,1999-06,
1999-03,308.00M,,,-30.00M,183.00M,183.00M,50.00M,,,-19.00M,-108.00M,-138.00M,201.00M,-71.00M,,,-116.00M,30.00M,406.00M,,1999-03,43.00M,-181.00M,,,,-5.00M,-186.00M,,1999-03,,39.00M,,-97.00M,-97.00M,,-81.00M,,55.00M,-84.00M,,1999-03,136.00M,-29.00M,657.00M,,,,,-97.00M,,1999-03,
1998-12,287.00M,,,67.00M,186.00M,186.00M,-9.00M,,,260.00M,309.00M,-275.00M,-401.00M,17.00M,,,-350.00M,82.00M,523.00M,,1998-12,,834.00M,,,,-15.00M,-409.00M,,1998-12,,86.00M,,-148.00M,72.00M,,-219.00M,,-63.00M,-124.00M,,1998-12,-10.00M,2.00M,550.00M,,,,,-148.00M,,1998-12,
1998-09,348.00M,,,-22.00M,184.00M,184.00M,-105.00M,,,-70.00M,78.00M,43.00M,138.00M,75.00M,,,334.00M,-119.00M,550.00M,,1998-09,,-841.00M,,,,-55.00M,-896.00M,,1998-09,,547.00M,,-225.00M,-225.00M,,-81.00M,,13.00M,254.00M,,1998-09,-92.00M,9.00M,558.00M,,,,,-225.00M,,1998-09,
1998-06,360.00M,,,-27.00M,179.00M,179.00M,-69.00M,,,67.00M,-86.00M,204.00M,16.00M,44.00M,,,178.00M,-3.00M,685.00M,,1998-06,,-325.00M,,,,-49.00M,-374.00M,,1998-06,,-6.00M,,-188.00M,-188.00M,,-83.00M,,-3.00M,-280.00M,,1998-06,31.00M,-9.00M,641.00M,,,,,-188.00M,,1998-06,
