,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2015-03,1.435B,,,,458.00M,458.00M,153.00M,,46.00M,-173.00M,-357.00M,-458.00M,537.00M,5.00M,,,-273.00M,-336.00M,1.31B,,2015-03,,,-132.00M,-72.00M,555.00M,178.00M,173.00M,,2015-03,2.177B,2.186B,,-3.00B,-3.00B,-553.00M,-553.00M,24.00M,-40.00M,-1.384B,,2015-03,99.00M,-53.00M,5.281B,,,2.186B,,-3.00B,,2015-03,AOR
2014-12,1.38B,,,,468.00M,468.00M,172.00M,,32.00M,-235.00M,63.00M,207.00M,-132.00M,2.00M,,,140.00M,339.00M,2.296B,,2014-12,,,-134.00M,76.00M,-3.00M,17.00M,-603.00M,,2014-12,-209.00M,-194.00M,0.00,-405.00M,-405.00M,-510.00M,-510.00M,56.00M,-123.00M,-1.188B,,2014-12,505.00M,-97.00M,5.229B,,0.00,98.00M,-292.00M,-405.00M,,2014-12,AOR
2014-09,1.992B,,,,417.00M,417.00M,195.00M,,69.00M,-858.00M,360.00M,-52.00M,-108.00M,-70.00M,,,130.00M,3.00M,1.948B,,2014-09,,,-151.00M,-206.00M,115.00M,47.00M,-604.00M,,2014-09,-156.00M,-204.00M,0.00,-425.00M,-425.00M,-512.00M,-512.00M,18.00M,-107.00M,-1.23B,,2014-09,114.00M,-41.00M,5.035B,,0.00,-19.00M,-185.00M,-425.00M,,2014-09,AOR
2014-06,1.79B,,,,468.00M,468.00M,-8.00M,,58.00M,-88.00M,-246.00M,-79.00M,-111.00M,-42.00M,,,-478.00M,,1.742B,,2014-06,,,-166.00M,-34.00M,211.00M,-36.00M,-431.00M,,2014-06,219.00M,40.00M,,-335.00M,-335.00M,-512.00M,-512.00M,27.00M,-68.00M,-848.00M,,2014-06,463.00M,22.00M,4.962B,,,13.00M,27.00M,-335.00M,,2014-06,AOR
2014-03,1.306B,,,,467.00M,467.00M,44.00M,,60.00M,-21.00M,-66.00M,-712.00M,262.00M,-5.00M,,,-521.00M,,1.335B,,2014-03,,,-142.00M,106.00M,-101.00M,28.00M,-442.00M,,2014-03,-200.00M,-194.00M,,-335.00M,-335.00M,-514.00M,-514.00M,86.00M,-38.00M,-995.00M,,2014-03,-102.00M,-40.00M,4.477B,,,6.00M,-200.00M,-335.00M,,2014-03,AOR
2013-12,1.132B,,,,400.00M,400.00M,255.00M,,34.00M,-16.00M,-278.00M,996.00M,-54.00M,-46.00M,,,618.00M,166.00M,2.589B,,2013-12,,,-175.00M,64.00M,-336.00M,245.00M,-865.00M,,2013-12,91.00M,-889.00M,,-200.00M,-200.00M,-513.00M,-513.00M,42.00M,-145.00M,-1.714B,,2013-12,10.00M,-12.00M,4.619B,,,89.00M,-978.00M,-200.00M,,2013-12,AOR
2013-09,1.526B,,,,452.00M,452.00M,3.00M,,83.00M,-321.00M,84.00M,-487.00M,153.00M,50.00M,,,-200.00M,91.00M,1.634B,,2013-09,,,-247.00M,112.00M,-94.00M,-95.00M,-707.00M,,2013-09,98.00M,-473.00M,,-330.00M,-330.00M,-465.00M,-465.00M,114.00M,-85.00M,-1.239B,,2013-09,-312.00M,24.00M,4.621B,,,,-473.00M,-330.00M,,2013-09,AOR
2013-06,1.645B,,,,439.00M,439.00M,50.00M,,63.00M,-192.00M,-491.00M,-228.00M,529.00M,124.00M,,,-66.00M,21.00M,1.96B,,2013-06,,,-143.00M,511.00M,-58.00M,-172.00M,171.00M,,2013-06,27.00M,-1.151B,,-335.00M,-335.00M,-465.00M,-465.00M,69.00M,-86.00M,-1.968B,,2013-06,163.00M,-35.00M,4.909B,,,0.00,-1.151B,-335.00M,,2013-06,AOR
2013-03,1.352B,,,,444.00M,444.00M,-40.00M,,70.00M,-219.00M,209.00M,-746.00M,395.00M,-56.00M,,,-198.00M,-715.00M,694.00M,,2013-03,,,-157.00M,722.00M,31.00M,38.00M,288.00M,,2013-03,-329.00M,-375.00M,,-335.00M,-335.00M,-465.00M,-465.00M,153.00M,3.00M,-1.019B,,2013-03,-37.00M,-18.00M,4.781B,,,0.00,-375.00M,-335.00M,,2013-03,AOR
2012-12,1.037B,,,,477.00M,477.00M,91.00M,,60.00M,37.00M,-571.00M,623.00M,103.00M,97.00M,,,252.00M,19.00M,1.973B,,2012-12,,,-149.00M,45.00M,-26.00M,-29.00M,2.526B,,2012-12,-4.723B,-5.464B,,0.00,0.00,-464.00M,-464.00M,62.00M,-99.00M,-5.965B,,2012-12,-1.466B,5.00M,4.836B,,,-4.408B,-1.056B,0.00,,2012-12,AOR
