,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,14.75B,14.75B,13.00B,1.743B,1.401B,642.00M,0.00,356.00M,6.00M,-350.00M,-734.00M,1.309B,434.00M,6.00M,356.00M,-350.00M,253.00M,-350.00M,337.00M,152.00M,185.00M,113.00M,-34.00M,,264.00M,1.164B,693.00M,,2020-09,0.10,0.17,,2020-09,0.10,0.08,,2020-09,1.512B,,2020-09,AOR,
2020-06,14.06B,14.06B,12.21B,1.847B,1.811B,695.00M,-3.183B,346.00M,11.00M,-335.00M,-82.00M,2.424B,-577.00M,11.00M,346.00M,-335.00M,-2.946B,-335.00M,-3.858B,-38.00M,-3.82B,9.00M,-24.00M,,-3.835B,859.00M,-3.512B,,2020-06,-2.56,-2.55,,2020-06,-2.56,0.01,,2020-06,1.501B,,2020-06,AOR,
2020-03,18.21B,18.21B,13.41B,4.802B,2.248B,671.00M,-660.00M,400.00M,20.00M,-380.00M,76.00M,2.995B,1.807B,20.00M,400.00M,-380.00M,-472.00M,-380.00M,955.00M,941.00M,14.00M,,-97.00M,,-83.00M,980.00M,1.355B,,2020-03,-0.10,-0.10,,2020-03,-0.10,,,2020-03,858.40M,,2020-03,AOR,
2019-12,43.39B,43.39B,31.58B,11.81B,5.849B,1.231B,,498.00M,61.00M,-437.00M,-280.00M,6.80B,5.008B,61.00M,498.00M,-437.00M,207.00M,-437.00M,4.778B,1.83B,2.948B,,-264.00M,,1.143B,1.761B,5.276B,,2019-12,1.480,1.33,,2019-12,1.461,-0.1449,,2019-12,856.60M,,2019-12,AOR,
2019-09,11.37B,11.37B,8.509B,2.864B,902.00M,592.00M,0.00,424.00M,22.00M,-402.00M,-60.00M,1.434B,1.43B,22.00M,424.00M,-402.00M,289.00M,-402.00M,1.317B,306.00M,1.011B,190.00M,-53.00M,,1.148B,692.00M,1.741B,,2019-09,1.12,1.34,,2019-09,1.11,0.22,,2019-09,855.10M,,2019-09,AOR,Restated
2019-06,11.33B,11.33B,8.554B,2.775B,902.00M,605.00M,0.00,420.00M,68.00M,-352.00M,-118.00M,1.389B,1.386B,68.00M,420.00M,-352.00M,200.00M,-352.00M,1.234B,6.00M,1.228B,717.00M,-45.00M,,1.90B,388.00M,1.654B,,2019-06,1.38,2.22,,2019-06,1.37,0.83,,2019-06,854.40M,,2019-06,AOR,Restated
2019-03,18.36B,18.36B,13.71B,4.658B,1.997B,728.00M,0.00,450.00M,19.00M,-431.00M,-112.00M,2.613B,2.045B,19.00M,450.00M,-431.00M,208.00M,-431.00M,1.822B,397.00M,1.425B,,-79.00M,,1.346B,942.00M,2.272B,,2019-03,1.58,1.58,,2019-03,1.56,,,2019-03,853.20M,,2019-03,AOR,Restated
2018-12,18.04B,18.04B,13.75B,4.297B,1.915B,733.00M,,388.00M,71.00M,-317.00M,-262.00M,2.386B,1.911B,71.00M,388.00M,-317.00M,194.00M,-317.00M,1.788B,990.00M,798.00M,,-112.00M,,686.00M,667.00M,2.176B,,2018-12,0.83,0.83,,2018-12,0.83,,,2018-12,829.80M,,2018-12,AOR,Restated
2018-09,16.51B,16.51B,12.54B,3.974B,1.681B,586.00M,,323.00M,65.00M,-258.00M,-131.00M,2.136B,1.838B,65.00M,323.00M,-258.00M,188.00M,-258.00M,1.768B,419.00M,1.349B,,-111.00M,,1.238B,593.00M,2.091B,,2018-09,1.56,1.56,,2018-09,1.54,,,2018-09,791.30M,,2018-09,AOR,Restated
2018-06,16.70B,16.70B,12.42B,4.283B,1.759B,589.00M,,258.00M,24.00M,-234.00M,-941.00M,1.407B,2.876B,24.00M,258.00M,-234.00M,192.00M,-234.00M,2.834B,695.00M,2.139B,,-91.00M,,2.048B,592.00M,3.092B,,2018-06,2.59,2.59,,2018-06,2.56,,,2018-06,790.50M,,2018-06,AOR,Restated
2018-03,15.24B,15.24B,11.28B,3.962B,1.711B,554.00M,,256.00M,27.00M,-229.00M,-231.00M,2.034B,1.928B,27.00M,256.00M,-229.00M,191.00M,-229.00M,1.89B,522.00M,1.368B,,-71.00M,,1.297B,581.00M,2.146B,,2018-03,1.64,1.64,,2018-03,1.62,,,2018-03,789.90M,,2018-03,AOR,Restated
2017-12,15.68B,15.68B,11.80B,3.885B,1.72B,630.00M,,272.00M,25.00M,-247.00M,-263.00M,2.087B,1.798B,25.00M,272.00M,-247.00M,154.00M,-247.00M,1.705B,1.219B,486.00M,,-89.00M,,397.00M,558.00M,1.977B,,2017-12,0.50,0.50,,2017-12,0.50,0.00,,2017-12,789.10M,,2017-12,AOR,Restated
2017-09,15.06B,15.06B,11.11B,3.956B,1.582B,592.00M,,258.00M,35.00M,-223.00M,-250.00M,1.924B,2.032B,35.00M,258.00M,-223.00M,131.00M,-223.00M,1.94B,506.00M,1.434B,,-104.00M,,1.33B,543.00M,2.198B,,2017-09,1.69,1.69,,2017-09,1.67,,,2017-09,788.30M,,2017-09,AOR,Restated
2017-06,15.28B,15.28B,11.16B,4.116B,1.59B,619.00M,,251.00M,25.00M,-226.00M,-257.00M,1.952B,2.164B,25.00M,251.00M,-226.00M,126.00M,-226.00M,2.064B,532.00M,1.532B,,-93.00M,,1.439B,527.00M,2.315B,,2017-06,1.83,1.83,,2017-06,1.80,,,2017-06,788.70M,,2017-06,AOR,Restated
2017-03,13.82B,13.82B,10.14B,3.679B,1.537B,586.00M,,236.00M,23.00M,-213.00M,-588.00M,1.535B,2.144B,23.00M,236.00M,-213.00M,123.00M,-213.00M,2.054B,586.00M,1.468B,,-82.00M,,1.386B,512.00M,2.29B,,2017-03,1.75,1.75,,2017-03,1.73,0.00,,2017-03,793.50M,,2017-03,AOR,Restated
2016-12,14.66B,14.66B,10.73B,3.925B,1.754B,665.00M,,420.00M,54.00M,-366.00M,-182.00M,2.237B,1.688B,54.00M,420.00M,-366.00M,,-366.00M,1.273B,149.00M,1.124B,-11.00M,-100.00M,,1.013B,506.00M,1.693B,,2016-12,1.28,1.27,,2016-12,1.26,-0.01,,2016-12,800.80M,,2016-12,AOR,Restated
2016-09,14.35B,14.35B,10.34B,4.012B,1.39B,582.00M,,252.00M,27.00M,-225.00M,-211.00M,1.761B,2.251B,27.00M,252.00M,-225.00M,,-225.00M,2.026B,492.00M,1.534B,37.00M,-91.00M,,1.48B,496.00M,2.278B,,2016-09,1.76,1.80,,2016-09,1.74,0.04,,2016-09,822.40M,,2016-09,AOR,Restated
2016-06,14.87B,14.87B,10.74B,4.133B,1.451B,588.00M,,248.00M,23.00M,-225.00M,-243.00M,1.796B,2.337B,23.00M,248.00M,-225.00M,,-225.00M,2.112B,587.00M,1.525B,-47.00M,-99.00M,,1.379B,494.00M,2.36B,,2016-06,1.73,1.67,,2016-06,1.71,-0.06,,2016-06,825.30M,,2016-06,AOR,Restated
2016-03,13.36B,13.36B,9.654B,3.703B,1.363B,541.00M,,241.00M,18.00M,-223.00M,-146.00M,1.758B,1.945B,18.00M,241.00M,-223.00M,,-223.00M,1.722B,469.00M,1.253B,11.00M,-81.00M,,1.183B,466.00M,1.963B,,2016-03,1.42,1.43,,2016-03,1.41,0.01,,2016-03,825.00M,,2016-03,AOR,Restated
2015-12,14.30B,14.30B,10.65B,3.647B,1.625B,611.00M,,238.00M,32.00M,-206.00M,1.019B,3.255B,392.00M,32.00M,238.00M,-206.00M,,-206.00M,186.00M,363.00M,-177.00M,3.534B,-79.00M,,3.278B,462.00M,424.00M,,2015-12,-0.30,3.86,,2015-12,-0.30,4.16,,2015-12,844.50M,,2015-12,AOR,Restated
2015-09,13.79B,13.79B,9.80B,3.988B,1.359B,546.00M,,223.00M,39.00M,-184.00M,-219.00M,1.686B,2.302B,39.00M,223.00M,-184.00M,,-184.00M,2.118B,592.00M,1.526B,-65.00M,-99.00M,,1.362B,486.00M,2.341B,,2015-09,1.63,1.55,,2015-09,1.61,-0.08,,2015-09,876.40M,,2015-09,AOR,Restated
2015-06,14.69B,14.69B,10.47B,4.218B,1.426B,558.00M,,245.00M,28.00M,-217.00M,-181.00M,1.803B,2.415B,28.00M,245.00M,-217.00M,,-217.00M,2.198B,626.00M,1.572B,81.00M,-111.00M,,1.542B,457.00M,2.443B,,2015-06,1.67,1.76,,2015-06,1.64,0.09,,2015-06,877.30M,,2015-06,AOR,Restated
2015-03,13.32B,13.32B,9.506B,3.814B,1.476B,564.00M,,239.00M,22.00M,-217.00M,-408.00M,1.632B,2.182B,22.00M,239.00M,-217.00M,,-217.00M,1.965B,530.00M,1.435B,62.00M,-71.00M,,1.426B,458.00M,2.204B,,2015-03,1.53,1.60,,2015-03,1.51,0.07,,2015-03,890.30M,,2015-03,AOR,Restated
2014-12,14.98B,14.98B,10.73B,4.249B,1.62B,624.00M,,377.00M,111.00M,-266.00M,-275.00M,1.969B,2.28B,111.00M,377.00M,-266.00M,,-266.00M,2.014B,634.00M,1.38B,195.00M,-102.00M,,1.473B,468.00M,2.391B,,2014-12,1.64,1.64,,2014-12,1.62,0.00,,2014-12,900.10M,,2014-12,AOR,Restated
2014-09,14.61B,14.61B,10.16B,4.448B,1.501B,640.00M,,235.00M,50.00M,-185.00M,-305.00M,1.836B,2.612B,50.00M,235.00M,-185.00M,,-185.00M,2.427B,575.00M,1.852B,99.00M,-97.00M,,1.854B,417.00M,2.662B,,2014-09,1.96,2.07,,2014-09,1.93,0.11,,2014-09,899.30M,,2014-09,AOR,Restated
2014-06,17.19B,17.19B,12.93B,4.26B,1.623B,666.00M,,245.00M,39.00M,-206.00M,-384.00M,1.905B,2.355B,39.00M,245.00M,-206.00M,,-206.00M,2.149B,359.00M,1.79B,,-110.00M,,1.68B,468.00M,2.394B,,2014-06,1.87,1.87,,2014-06,1.84,,,2014-06,900.10M,,2014-06,AOR,Restated
2014-03,14.74B,14.74B,10.69B,4.055B,1.596B,624.00M,,243.00M,18.00M,-225.00M,-263.00M,1.957B,2.098B,18.00M,243.00M,-225.00M,,-225.00M,1.873B,567.00M,1.306B,,-93.00M,,1.213B,467.00M,2.116B,,2014-03,1.35,1.35,,2014-03,1.32,,,2014-03,900.90M,,2014-03,AOR,Restated
2013-12,10.73B,10.73B,7.431B,3.302B,1.367B,471.00M,,257.00M,41.00M,-216.00M,-206.00M,1.632B,1.67B,41.00M,257.00M,-216.00M,,-216.00M,1.454B,322.00M,1.132B,435.00M,-104.00M,,1.463B,400.00M,1.711B,,2013-12,1.61,1.63,,2013-12,1.58,0.02,,2013-12,901.30M,,2013-12,AOR,Restated
2013-09,15.46B,15.46B,11.02B,4.442B,1.633B,630.00M,,248.00M,22.00M,-226.00M,-187.00M,2.076B,2.366B,22.00M,248.00M,-226.00M,,-226.00M,2.14B,614.00M,1.526B,17.00M,-111.00M,,1.432B,452.00M,2.388B,,2013-09,1.57,1.59,,2013-09,1.55,0.02,,2013-09,900.80M,,2013-09,AOR,Restated
2013-06,16.01B,16.01B,11.55B,4.454B,1.737B,631.00M,,272.00M,55.00M,-217.00M,-421.00M,1.947B,2.507B,55.00M,272.00M,-217.00M,,-217.00M,2.29B,645.00M,1.645B,8.00M,-93.00M,,1.56B,439.00M,2.562B,,2013-06,1.72,1.73,,2013-06,1.70,0.01,,2013-06,901.10M,,2013-06,AOR,Restated
2013-03,14.40B,14.40B,10.46B,3.934B,1.627B,610.00M,,255.00M,19.00M,-236.00M,-309.00M,1.928B,2.006B,19.00M,255.00M,-236.00M,,-236.00M,1.77B,418.00M,1.352B,-4.00M,-82.00M,,1.266B,444.00M,2.025B,,2013-03,1.41,1.40,,2013-03,1.39,-0.01,,2013-03,901.30M,,2013-03,AOR,Restated
2012-12,16.44B,16.44B,12.29B,4.157B,1.795B,712.00M,,279.00M,19.00M,-260.00M,-101.00M,2.406B,1.751B,19.00M,279.00M,-260.00M,,-260.00M,1.491B,454.00M,1.037B,1.112B,-92.00M,,2.057B,477.00M,1.77B,,2012-12,1.05,2.29,,2012-12,1.04,1.22,,2012-12,891.90M,,2012-12,AOR,Restated
2012-09,15.04B,15.04B,11.00B,4.039B,1.619B,590.00M,,260.00M,44.00M,-216.00M,-211.00M,1.998B,2.041B,44.00M,260.00M,-216.00M,,-216.00M,1.825B,484.00M,1.341B,168.00M,-94.00M,,1.415B,422.00M,2.085B,,2012-09,1.39,1.58,,2012-09,1.37,0.19,,2012-09,893.60M,,2012-09,AOR,Restated
2012-06,13.81B,13.81B,9.934B,3.873B,1.509B,525.00M,,190.00M,22.00M,-168.00M,-340.00M,1.694B,2.179B,22.00M,190.00M,-168.00M,,-168.00M,2.011B,453.00M,1.558B,-138.00M,-92.00M,,1.328B,307.00M,2.201B,,2012-06,1.64,1.49,,2012-06,1.62,-0.15,,2012-06,892.10M,,2012-06,AOR,Restated
2012-03,12.42B,12.42B,8.93B,3.486B,1.529B,544.00M,,164.00M,35.00M,-129.00M,-300.00M,1.773B,1.713B,35.00M,164.00M,-129.00M,,-129.00M,1.584B,320.00M,1.264B,-859.00M,-75.00M,,330.00M,318.00M,1.748B,,2012-03,1.33,0.37,,2012-03,1.31,-0.96,,2012-03,890.90M,,2012-03,AOR,Restated
2011-12,14.38B,14.38B,10.41B,3.966B,1.623B,524.00M,,177.00M,110.00M,-67.00M,,1.574B,2.392B,110.00M,177.00M,-67.00M,,-67.00M,1.778B,403.00M,1.375B,37.00M,-87.00M,,1.325B,301.00M,1.955B,,2011-12,1.49,1.49,,2011-12,1.47,0.00,,2011-12,888.10M,,2011-12,AOR,Restated
2011-09,14.24B,14.24B,10.34B,3.897B,1.512B,465.00M,231.00M,166.00M,27.00M,-139.00M,,1.977B,1.92B,27.00M,166.00M,-139.00M,231.00M,-139.00M,2.012B,628.00M,1.384B,37.00M,-97.00M,,1.324B,324.00M,2.178B,,2011-09,1.45,1.49,,2011-09,1.43,0.04,,2011-09,888.80M,,2011-09,AOR,Restated
2011-06,14.47B,14.47B,10.47B,4.001B,1.576B,494.00M,,164.00M,23.00M,-141.00M,-219.00M,1.851B,2.15B,23.00M,164.00M,-141.00M,,-141.00M,2.009B,612.00M,1.397B,33.00M,-112.00M,,1.318B,322.00M,2.173B,,2011-06,1.48,1.48,,2011-06,1.45,0.00,,2011-06,892.90M,,2011-06,AOR,Restated
