,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-10,692.00M,,,,1.06B,405.00M,405.00M,19.00M,43.00M,156.00M,,-1.871B,-160.00M,81.00M,-692.00M,,-2.642B,,-267.00M,,-462.00M,14.00M,14.00M,,-644.00M,0.00,-1.092B,,-1.046B,0.00,-1.046B,,-562.00M,-562.00M,-416.00M,-416.00M,19.00M,-28.00M,-2.033B,,11.64B,-3.392B,0.00,8.249B,,,3.968B,-5.014B,-562.00M,,AOR,
2020-07,2.828B,,,,,374.00M,374.00M,-60.00M,37.00M,181.00M,,509.00M,2.052B,272.00M,1.109B,,3.942B,,7.302B,,-382.00M,21.00M,21.00M,,-909.00M,-2.00M,-1.272B,,-25.00M,0.00,-25.00M,,0.00,0.00,-416.00M,-416.00M,79.00M,-1.00M,-363.00M,,5.955B,5.667B,19.00M,11.64B,,,0.00,-25.00M,0.00,,AOR,
2020-04,1.337B,,,,,373.00M,373.00M,46.00M,27.00M,133.00M,,-1.183B,3.207B,-206.00M,716.00M,,2.534B,,4.45B,,-328.00M,25.00M,25.00M,,37.00M,-22.00M,-288.00M,,3.418B,-941.00M,2.477B,,-966.00M,-966.00M,-420.00M,-420.00M,4.00M,-3.00M,1.092B,,716.00M,5.254B,-15.00M,5.955B,,,3.961B,-543.00M,-966.00M,,AOR,
2020-01,510.00M,,,,,381.00M,381.00M,265.00M,23.00M,151.00M,,529.00M,-1.16B,-280.00M,-246.00M,,-1.157B,,185.00M,,-557.00M,92.00M,92.00M,,-41.00M,,-506.00M,,979.00M,305.00M,1.284B,,-664.00M,-664.00M,-423.00M,-423.00M,40.00M,6.00M,243.00M,,794.00M,-78.00M,0.00,716.00M,,,1.00B,-21.00M,-664.00M,,AOR,
2019-10,1.049B,,,,,345.00M,345.00M,33.00M,24.00M,168.00M,,24.00M,-679.00M,8.00M,-444.00M,,-1.091B,,528.00M,,-401.00M,29.00M,29.00M,,-34.00M,1.00M,-405.00M,,-463.00M,637.00M,174.00M,,-879.00M,-879.00M,-428.00M,-428.00M,6.00M,0.00,-1.127B,,1.796B,-1.004B,2.00M,794.00M,,,0.00,-463.00M,-879.00M,,AOR,Restated
2019-07,1.676B,,,,,347.00M,347.00M,-15.00M,9.00M,154.00M,,1.325B,-1.997B,171.00M,-224.00M,,-725.00M,,1.446B,,-321.00M,18.00M,18.00M,,-24.00M,0.00,-327.00M,,-13.00M,0.00,-13.00M,,-1.944B,-1.944B,-382.00M,-382.00M,40.00M,2.00M,-2.297B,,2.973B,-1.178B,1.00M,1.796B,,,0.00,-13.00M,-1.944B,,AOR,Restated
2019-04,1.046B,,,,,337.00M,337.00M,-106.00M,42.00M,112.00M,,-2.478B,3.199B,-275.00M,260.00M,,706.00M,,2.137B,,-205.00M,24.00M,24.00M,,51.00M,-1.00M,-131.00M,,2.356B,-722.00M,1.634B,,-826.00M,-826.00M,-385.00M,-385.00M,32.00M,-9.00M,446.00M,,511.00M,2.452B,-2.00M,2.973B,,,2.972B,-616.00M,-826.00M,,AOR,Restated
2019-01,-824.00M,,,-6.00M,3.00M,401.00M,401.00M,-12.00M,-5.00M,230.00M,,-259.00M,-988.00M,-16.00M,-87.00M,,-1.35B,,-605.00M,,-328.00M,26.00M,26.00M,,9.00M,1.00M,-292.00M,,-38.00M,722.00M,684.00M,,-539.00M,-539.00M,-387.00M,-387.00M,41.00M,-2.00M,-203.00M,,1.668B,-1.10B,-3.00M,511.00M,,,0.00,-38.00M,-539.00M,,AOR,Restated
2018-10,629.00M,,,3.00M,3.00M,455.00M,455.00M,-64.00M,17.00M,139.00M,,-481.00M,300.00M,46.00M,-33.00M,,-168.00M,,1.011B,,-303.00M,20.00M,20.00M,,-21.00M,-4.00M,-308.00M,,-264.00M,0.00,-264.00M,,-652.00M,-652.00M,-390.00M,-390.00M,23.00M,-1.00M,-1.284B,,2.251B,-581.00M,-2.00M,1.668B,,,0.00,873.00M,-652.00M,,AOR,Restated
2018-07,1.521B,,,3.00M,3.00M,364.00M,364.00M,-54.00M,38.00M,255.00M,,1.297B,-1.113B,94.00M,-47.00M,,231.00M,,2.358B,,-319.00M,25.00M,25.00M,,49.00M,1.00M,-244.00M,,-11.00M,3.00M,-8.00M,,-1.118B,-1.118B,-338.00M,-338.00M,42.00M,0.00,-1.422B,,1.565B,692.00M,-6.00M,2.251B,,,0.00,-8.00M,-1.118B,,AOR,Restated
