,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-10,21.89B,22.31B,15.01B,7.30B,4.77B,,,-1.06B,227.00M,6.00M,-221.00M,,5.125B,2.175B,6.00M,227.00M,-221.00M,-1.06B,-221.00M,894.00M,202.00M,692.00M,,,692.00M,1.512B,1.526B,405.00M,1.121B,,0.92,,2.011,0.92,,0.91,,1.998,0.91,,752.00M,754.00M,0.60,,AOR,
2020-07,26.87B,27.30B,18.00B,9.304B,5.02B,,,,221.00M,8.00M,-219.00M,,5.347B,3.957B,8.00M,221.00M,-219.00M,,-219.00M,3.738B,910.00M,2.828B,,,2.828B,2.828B,4.333B,374.00M,3.959B,,3.74,,3.74,3.74,,3.74,,3.74,3.74,,752.00M,753.00M,0.55,,AOR,
2020-04,19.42B,19.68B,13.16B,6.513B,4.196B,,,,205.00M,5.00M,-205.00M,,4.522B,1.991B,5.00M,205.00M,-205.00M,,-205.00M,1.786B,449.00M,1.337B,,,1.337B,1.337B,2.364B,373.00M,1.991B,,1.76,,1.76,1.76,,1.76,,1.76,1.76,,755.00M,756.00M,0.55,,AOR,
2020-01,15.54B,16.03B,11.05B,4.981B,3.685B,,,0.00,186.00M,3.00M,-183.00M,,4.023B,958.00M,3.00M,186.00M,-183.00M,,-183.00M,775.00M,265.00M,510.00M,,,510.00M,510.00M,1.342B,381.00M,961.00M,,0.67,,0.67,0.67,,0.66,,0.66,0.66,,762.00M,763.00M,0.55,,AOR,
2019-10,16.92B,17.39B,11.75B,5.64B,3.772B,,,0.00,182.00M,5.00M,-177.00M,,4.082B,1.558B,5.00M,182.00M,-177.00M,,-177.00M,1.381B,332.00M,1.049B,,,1.049B,1.049B,1.908B,345.00M,1.563B,,1.36,,1.36,1.36,,1.36,,1.36,1.36,,769.00M,770.00M,0.55,,AOR,Restated
2019-07,20.57B,20.99B,14.25B,6.74B,4.048B,,,,179.00M,12.00M,-169.00M,,4.359B,2.381B,12.00M,179.00M,-169.00M,,-169.00M,2.212B,536.00M,1.676B,,,1.676B,1.676B,2.738B,347.00M,2.391B,,2.14,,2.14,2.14,,2.14,,2.14,2.14,,781.00M,781.00M,0.55,,AOR,Restated
2019-04,17.45B,17.74B,12.16B,5.581B,3.862B,,,,167.00M,7.00M,-162.00M,,4.164B,1.417B,7.00M,167.00M,-162.00M,,-162.00M,1.255B,209.00M,1.046B,,,1.046B,1.046B,1.759B,337.00M,1.422B,,1.31,,1.31,1.31,,1.31,,1.31,1.31,,796.00M,797.00M,0.48,,AOR,Restated
2019-01,15.21B,15.65B,10.75B,4.899B,5.098B,,,,164.00M,7.00M,-157.00M,,5.467B,-568.00M,7.00M,164.00M,-157.00M,,-157.00M,-725.00M,99.00M,-824.00M,,,-824.00M,-824.00M,-160.00M,401.00M,-561.00M,,-1.03,,-1.03,-1.03,,-1.03,,-1.03,-1.03,,799.00M,800.00M,0.48,,AOR,Restated
2018-10,16.96B,17.42B,12.04B,5.377B,3.997B,,,,162.00M,9.00M,-153.00M,,4.42B,957.00M,9.00M,162.00M,-153.00M,,-153.00M,804.00M,175.00M,629.00M,,,629.00M,629.00M,1.421B,455.00M,966.00M,,0.78,,0.78,0.78,,0.78,,0.78,0.78,,806.00M,807.00M,0.48,,AOR,Restated
2018-07,20.44B,20.89B,14.00B,6.885B,4.386B,,,,162.00M,9.00M,-153.00M,,4.722B,2.163B,9.00M,162.00M,-153.00M,,-153.00M,2.01B,490.00M,1.52B,,,1.52B,1.52B,2.536B,364.00M,2.172B,,1.86,,1.86,1.86,,1.86,,1.86,1.86,,813.00M,814.00M,0.48,,AOR,Restated
2018-04,17.12B,17.36B,11.61B,5.748B,3.934B,,,,163.00M,3.00M,-160.00M,,4.283B,1.465B,3.00M,163.00M,-160.00M,,-160.00M,1.305B,317.00M,988.00M,,,988.00M,988.00M,1.855B,387.00M,1.468B,,1.19,,1.19,1.19,,1.19,,1.19,1.19,,825.00M,826.00M,0.41,,AOR,Restated
