,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.022B,1.027B,492.30M,535.10M,,,,13.80M,0.50M,-13.30M,283.80M,283.80M,251.30M,0.50M,13.80M,-13.30M,2.30M,-13.30M,240.30M,55.10M,184.70M,,,-5.00M,179.70M,23.90M,254.10M,,2020-09,3.31,3.316,3.31,,2020-09,3.28,3.286,3.28,,54.77M,1.08,,2020-09,AOR,
2020-06,803.00M,808.90M,410.10M,398.80M,,,,13.40M,0.30M,-13.10M,250.10M,250.10M,148.70M,0.30M,13.40M,-13.10M,1.70M,-13.10M,137.30M,31.90M,105.90M,,,-4.70M,101.20M,23.80M,150.70M,,2020-06,1.86,1.870,1.86,,2020-06,1.85,1.860,1.85,,54.80M,1.08,,2020-06,AOR,
2020-03,932.50M,938.10M,459.60M,478.50M,,,,11.40M,0.40M,-11.00M,282.70M,282.70M,195.80M,0.40M,11.40M,-11.00M,1.10M,-11.00M,185.90M,43.90M,142.00M,,,-4.80M,137.20M,23.80M,197.30M,,2020-03,2.52,2.546,2.52,,2020-03,2.49,2.516,2.49,,55.00M,1.08,,2020-03,AOR,
2019-12,1.056B,1.039B,526.40M,512.70M,,,,12.10M,0.40M,-11.70M,279.10M,279.10M,233.60M,0.40M,12.10M,-11.70M,2.00M,-11.70M,223.90M,48.90M,175.00M,,,-4.40M,170.60M,23.90M,236.00M,,2019-12,3.12,3.133,3.12,,2019-12,3.08,3.093,3.08,,55.60M,1.08,,2019-12,AOR,
2019-09,980.30M,985.90M,476.80M,509.10M,,,,12.00M,0.40M,-11.60M,280.40M,280.40M,228.70M,0.40M,12.00M,-11.60M,2.40M,-11.60M,219.50M,50.40M,169.20M,,,-4.60M,164.60M,22.90M,231.50M,,2019-09,2.99,2.993,2.99,,2019-09,2.96,2.963,2.96,,55.66M,0.95,,2019-09,AOR,Restated
2019-06,1.030B,1.035B,501.00M,534.40M,,,,12.40M,0.30M,-12.10M,283.90M,283.90M,250.50M,0.30M,12.40M,-12.10M,1.80M,-12.10M,240.20M,55.60M,184.90M,,,-4.50M,180.40M,23.00M,252.60M,,2019-06,3.27,3.284,3.27,,2019-06,3.22,3.234,3.22,,56.00M,0.95,,2019-06,AOR,Restated
2019-03,1.002B,1.007B,473.60M,533.70M,,,,12.50M,0.40M,-12.10M,284.20M,284.20M,249.50M,0.40M,12.50M,-12.10M,1.10M,-12.10M,238.50M,56.90M,182.10M,,,-4.20M,177.90M,22.60M,251.00M,,2019-03,3.21,3.230,3.21,,2019-03,3.16,3.180,3.16,,56.30M,0.95,,2019-03,AOR,Restated
2018-12,1.051B,1.035B,521.70M,513.50M,,0.00,,12.40M,0.20M,-12.20M,275.30M,275.30M,238.20M,0.20M,12.40M,-12.20M,2.80M,-12.20M,228.80M,49.50M,179.30M,,,-4.30M,175.00M,22.90M,241.20M,,2018-12,3.14,3.136,3.14,,2018-12,3.09,3.086,3.09,,56.76M,0.95,,2018-12,AOR,Restated
2018-09,974.70M,980.10M,466.90M,513.20M,,0.00,,12.40M,0.10M,-12.30M,280.80M,280.80M,232.40M,0.10M,12.40M,-12.30M,-1.10M,-12.30M,219.00M,51.50M,167.40M,,,-4.20M,163.20M,23.20M,231.40M,,2018-09,2.90,2.924,2.90,,2018-09,2.85,2.874,2.85,,57.33M,0.82,,2018-09,AOR,Restated
2018-06,1.031B,1.037B,491.70M,544.90M,,0.00,,12.00M,0.20M,-11.80M,294.00M,294.00M,250.90M,0.20M,12.00M,-11.80M,-0.80M,-11.80M,238.30M,55.80M,182.70M,,,-4.00M,178.70M,24.00M,250.30M,,2018-06,3.17,3.174,3.17,,2018-06,3.12,3.124,3.12,,57.30M,0.82,,2018-06,AOR,Restated
2018-03,1.013B,1.018B,490.00M,528.50M,,5.50M,,13.60M,0.10M,-13.50M,293.90M,293.90M,234.60M,0.10M,13.60M,-13.50M,2.70M,-13.50M,223.80M,57.60M,166.80M,,,-3.80M,163.00M,24.00M,237.40M,,2018-03,2.87,2.826,2.87,,2018-03,2.82,2.777,2.82,,57.80M,0.82,,2018-03,AOR,Restated
