,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.268B,28.90M,2.297B,1.437B,1.437B,,,,729.00M,604.80M,,,,5.068B,,,,,1.435B,,1.435B,,1.435B,5.101B,3.057B,8.157B,2.270B,618.20M,12.48B,17.55B,89.20M,,,89.20M,978.40M,1.068B,,,,138.60M,,138.60M,,,,124.80M,1.331B,,2.453B,175.80M,2.629B,1.818B,1.818B,695.20M,5.142B,6.474B,0.00,4.707B,9.030B,2.544B,,-119.20M,11.07B
2020-06,2.825B,26.80M,2.852B,1.372B,1.372B,73.90M,81.30M,422.50M,577.70M,566.20M,,,,5.368B,,,,,1.406B,,1.406B,,1.406B,5.075B,2.060B,7.135B,2.332B,461.70M,11.34B,16.70B,,,,,,861.60M,,,,126.80M,,126.80M,,,,131.70M,1.120B,,2.312B,169.40M,2.481B,1.947B,1.947B,664.50M,5.092B,6.212B,0.00,4.129B,8.942B,2.47B,,-110.90M,10.49B
2020-03,2.315B,47.80M,2.363B,1.345B,1.345B,49.60M,108.80M,428.40M,586.80M,575.40M,,,,4.870B,,,,,1.363B,,1.363B,,1.363B,5.072B,4.188B,9.260B,2.224B,432.00M,13.28B,18.15B,,,,,,862.80M,,,,126.70M,,126.70M,,,,130.40M,1.120B,,2.343B,162.80M,2.506B,2.113B,2.113B,661.40M,5.281B,6.401B,0.00,5.197B,8.865B,2.213B,,-101.50M,11.75B
2019-12,2.686B,64.00M,2.750B,1.243B,1.243B,41.20M,180.80M,405.60M,627.60M,456.10M,,,,5.076B,0.0,9.60M,208.70M,304.50M,331.20M,734.20M,1.588B,-220.90M,1.367B,5.037B,3.344B,8.382B,2.290B,429.00M,12.47B,17.54B,74.00M,103.90M,250.10M,428.00M,538.70M,966.70M,,0.00,126.70M,126.70M,,126.70M,,,,100.90M,1.194B,,2.375B,164.10M,2.539B,2.081B,2.081B,458.00M,5.078B,6.273B,0.00,4.640B,8.805B,2.106B,,-66.80M,11.27B
2019-09,2.171B,44.40M,2.216B,1.116B,1.116B,36.00M,180.40M,360.30M,576.70M,432.50M,,,,4.341B,,,,,1.355B,,1.355B,,1.355B,5.037B,3.410B,8.448B,,671.40M,10.47B,14.82B,,,,,,868.20M,,0.00,126.60M,126.60M,,126.60M,,,,96.40M,1.091B,,2.407B,166.80M,2.574B,314.70M,314.70M,468.40M,3.357B,4.448B,0.00,3.751B,8.738B,2.073B,,-48.20M,10.37B
2019-06,1.984B,105.40M,2.090B,1.124B,1.124B,38.20M,116.60M,339.80M,494.60M,460.70M,,,,4.168B,,,,,1.333B,,1.333B,,1.333B,5.037B,3.488B,8.525B,,541.20M,10.40B,14.57B,,,,,,728.70M,,0.00,126.60M,126.60M,,126.60M,,,,176.20M,1.032B,,2.438B,165.50M,2.604B,341.20M,341.20M,427.70M,3.373B,4.404B,0.00,3.283B,8.677B,1.739B,,-57.90M,10.16B
2019-03,1.545B,110.30M,1.655B,1.016B,1.016B,39.10M,100.90M,342.20M,482.20M,497.00M,,,,3.651B,,,,,1.288B,,1.288B,,1.288B,5.037B,3.561B,8.598B,,462.30M,10.35B,14.00B,,,,,,669.80M,,0.00,126.50M,126.50M,,126.50M,,,,147.50M,943.80M,,2.47B,150.80M,2.621B,306.10M,306.10M,422.30M,3.349B,4.293B,0.00,2.823B,8.605B,1.701B,,-20.50M,9.707B
2018-12,1.366B,198.30M,1.564B,922.30M,922.30M,31.40M,90.40M,350.70M,472.50M,426.40M,,,,3.385B,0.0,9.60M,520.10M,334.00M,,827.10M,1.691B,-219.30M,1.472B,5.037B,3.641B,8.679B,101.80M,294.90M,10.55B,13.93B,74.40M,24.40M,122.80M,221.60M,476.60M,698.20M,,250.00M,93.80M,343.80M,,343.80M,,,,132.00M,1.174B,,2.502B,361.00M,2.863B,391.10M,391.10M,338.80M,3.593B,4.767B,0.00,2.326B,8.539B,1.690B,,-9.70M,9.165B
2018-09,1.229B,306.20M,1.535B,910.20M,910.20M,10.80M,107.80M,314.10M,432.70M,370.40M,,,,3.248B,,,,,1.443B,,1.443B,,1.443B,5.037B,3.714B,8.751B,,400.80M,10.60B,13.84B,52.20M,,,52.20M,539.80M,592.00M,,250.00M,61.20M,311.20M,,311.20M,,,,124.20M,1.027B,,2.533B,361.20M,2.894B,442.80M,442.80M,309.20M,3.646B,4.674B,0.00,2.371B,8.482B,1.690B,,6.90M,9.170B
2018-06,727.50M,449.50M,1.177B,853.70M,853.70M,5.40M,164.90M,292.90M,463.20M,342.20M,,,,2.836B,,,,,1.423B,,1.423B,,1.423B,5.037B,3.794B,8.831B,,400.50M,10.65B,13.49B,58.80M,,,58.80M,605.20M,664.00M,,250.00M,28.50M,278.50M,,278.50M,,,,101.90M,1.044B,,2.565B,361.40M,2.926B,464.00M,464.00M,288.30M,3.679B,4.723B,0.00,2.04B,8.420B,1.690B,,-2.90M,8.767B
