,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,1.588B,1.589B,144.70M,1.444B,334.20M,285.90M,53.10M,-85.90M,27.60M,,-27.60M,,673.20M,770.80M,,27.60M,-27.60M,-76.30M,-27.60M,666.90M,88.80M,578.10M,,,578.10M,642.60M,769.70M,75.20M,694.50M,2.64,,,2.9339999999999997,2.64,2.62,,,2.912,2.62,219.10M,220.60M
2020-06,1.444B,1.445B,144.90M,1.300B,301.40M,221.10M,73.70M,-2.074B,23.60M,,-23.60M,,596.20M,703.50M,,23.60M,-23.60M,-2.032B,-23.60M,-1.352B,-284.00M,-1.068B,,,-1.068B,537.34M,-1.239B,89.80M,-1.328B,-4.84,,,2.438,-4.84,-4.84,,,2.438,-4.84,220.60M,220.60M
2020-03,1.445B,1.445B,111.70M,1.333B,319.90M,200.90M,73.70M,-43.10M,25.80M,,-25.80M,,594.50M,738.60M,,25.80M,-25.80M,-49.20M,-25.80M,663.60M,106.00M,557.60M,,,557.60M,598.17M,778.70M,89.30M,689.40M,2.52,,,2.7030000000000003,2.52,2.5,,,2.682,2.5,221.60M,222.60M
2019-12,1.384B,1.384B,114.30M,1.27B,381.00M,269.60M,73.90M,-4.50M,21.70M,,-21.70M,,724.50M,545.50M,,21.70M,-21.70M,78.20M,-21.70M,602.00M,-287.00M,889.00M,,,889.00M,856.00M,714.30M,90.60M,623.70M,4.02,,,3.8710000000000004,4.02,4.0,,,3.852,4.0,221.40M,223.00M
2019-09,1.263B,1.263B,95.20M,1.168B,299.30M,232.90M,75.60M,-30.10M,17.90M,,-17.90M,,607.80M,560.10M,,17.90M,-17.90M,-6.70M,-17.90M,535.50M,67.90M,467.60M,,,467.60M,473.80M,645.90M,92.50M,553.40M,2.09,,,2.1180000000000003,2.09,2.08,,,2.108,2.08,223.30M,224.50M
2019-06,1.202B,1.203B,99.20M,1.104B,299.30M,187.60M,80.10M,-4.50M,18.30M,,-18.30M,,567.00M,537.10M,,18.30M,-18.30M,-19.30M,-18.30M,499.50M,39.70M,459.80M,,,459.80M,477.67M,614.30M,96.50M,517.80M,2.05,,,2.13,2.05,2.04,,,2.119,2.04,224.20M,225.60M
2019-03,1.140B,1.140B,85.80M,1.055B,281.50M,195.90M,80.00M,19.60M,19.90M,,-19.90M,,557.40M,497.20M,,19.90M,-19.90M,64.50M,-19.90M,541.80M,-46.10M,587.90M,,,587.90M,542.57M,658.90M,97.20M,561.70M,2.63,,,2.427,2.63,2.61,,,2.4090000000000003,2.61,223.80M,225.50M
2018-12,1.128B,1.129B,96.80M,1.032B,318.70M,205.60M,80.00M,-384.00M,24.50M,,-24.50M,,604.30M,427.70M,,24.50M,-24.50M,-436.10M,-24.50M,-32.90M,12.10M,-45.00M,,,-45.00M,274.81M,90.00M,98.40M,-8.40M,-0.2,,,1.232,-0.2,-0.2,,,1.219,-0.2,223.30M,225.40M
2018-09,1.026B,1.026B,90.60M,935.90M,258.70M,174.80M,80.00M,-63.80M,24.60M,,-24.60M,,513.50M,422.40M,,24.60M,-24.60M,-55.70M,-24.60M,342.10M,11.20M,330.90M,,,330.90M,386.89M,471.60M,104.90M,366.70M,1.48,,,1.7309999999999999,1.48,1.47,,,1.719,1.47,222.90M,224.60M
2018-06,1.045B,1.045B,95.30M,949.70M,277.30M,173.40M,80.10M,-819.00M,25.00M,,-25.00M,,530.80M,418.90M,,25.00M,-25.00M,-812.50M,-25.00M,-418.60M,38.80M,-457.40M,,,-457.40M,134.85M,-293.10M,100.50M,-393.60M,-2.05,,,0.6106,-2.05,-2.05,,,0.6106,-2.05,222.60M,222.60M
