,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,7.076B,5.222B,12.30B,4.148B,,4.148B,138.00M,1.192B,1.222B,,2.552B,,,794.00M,19.79B,,,,,,,,,,4.033B,6.358B,1.541B,7.899B,,1.319B,4.436B,17.69B,37.48B,,2.429B,,,2.429B,1.149B,3.578B,500.00M,,500.00M,500.00M,540.00M,540.00M,4.605B,9.223B,15.23B,15.23B,644.00M,644.00M,,3.146B,20.88B,30.10B,,113.00M,6.974B,,,,293.00M,7.38B,,AOR,
2020-09,6.707B,4.507B,11.21B,2.687B,1.316B,4.003B,94.00M,1.155B,1.349B,,2.598B,,,704.00M,18.52B,0.00,173.00M,1.606B,6.612B,,134.00M,320.00M,8.845B,-5.134B,3.711B,6.323B,1.653B,7.976B,,1.351B,4.037B,17.08B,35.59B,,2.248B,549.00M,,2.797B,2.54B,5.337B,500.00M,,500.00M,500.00M,568.00M,568.00M,2.267B,8.672B,15.23B,15.23B,761.00M,761.00M,,2.986B,20.84B,29.52B,,586.00M,5.284B,,,,207.00M,6.077B,,AOR,
2020-06,6.12B,4.48B,10.60B,928.00M,919.00M,1.847B,110.00M,942.00M,1.291B,,2.343B,,,768.00M,15.56B,,,,,,,,,,3.487B,6.299B,1.749B,8.048B,,1.345B,3.89B,16.77B,32.33B,,2.046B,,,2.046B,1.02B,3.066B,500.00M,,500.00M,500.00M,550.00M,550.00M,3.798B,7.914B,15.42B,15.42B,864.00M,864.00M,,2.947B,21.11B,29.02B,,113.00M,3.081B,,,,112.00M,3.306B,,AOR,
2020-03,8.403B,1.543B,9.946B,3.081B,,3.081B,101.00M,802.00M,797.00M,,1.70B,,,586.00M,15.31B,,,,,,,,,,3.358B,6.294B,1.889B,8.183B,,1.249B,3.835B,16.62B,31.94B,,2.061B,,,2.061B,699.00M,2.76B,499.00M,2.00B,2.499B,2.499B,529.00M,529.00M,3.986B,9.774B,13.45B,13.45B,968.00M,968.00M,,2.823B,19.12B,28.89B,,0.00,2.99B,,,,55.00M,3.045B,,AOR,
2019-12,11.11B,314.00M,11.42B,2.737B,,2.737B,75.00M,725.00M,620.00M,,1.42B,,,625.00M,16.20B,,,,,,,,,,3.171B,6.297B,2.045B,8.342B,,1.254B,4.139B,16.91B,33.11B,,1.718B,,,1.718B,939.00M,2.657B,499.00M,1.999B,2.498B,2.498B,511.00M,511.00M,3.528B,9.194B,13.44B,13.44B,1.061B,1.061B,,2.852B,19.40B,28.60B,,0.00,4.376B,,,,137.00M,4.513B,,AOR,Restated
2019-09,11.84B,421.00M,12.26B,1.046B,1.425B,2.471B,77.00M,667.00M,656.00M,,1.40B,,,634.00M,16.76B,0.00,170.00M,1.546B,5.449B,,182.00M,301.00M,7.648B,-4.567B,3.081B,6.282B,2.172B,8.454B,,1.196B,3.461B,16.19B,32.96B,,1.368B,480.00M,,1.848B,2.427B,4.275B,499.00M,1.997B,2.496B,2.496B,565.00M,565.00M,1.599B,8.935B,13.44B,13.44B,1.16B,1.16B,,2.428B,19.11B,28.05B,,343.00M,4.466B,,,,100.00M,4.909B,,AOR,Restated
2019-06,13.92B,435.00M,14.36B,1.036B,1.354B,2.39B,81.00M,896.00M,797.00M,,1.774B,,,682.00M,19.20B,,,,,,,,,,3.037B,6.308B,2.35B,8.658B,,1.172B,2.062B,14.93B,34.13B,,1.587B,668.00M,,2.255B,2.444B,4.699B,998.00M,2.002B,3.00B,3.00B,527.00M,527.00M,2.627B,10.85B,13.43B,13.43B,1.251B,1.251B,,1.026B,17.82B,28.67B,,581.00M,4.687B,,,,195.00M,5.463B,,AOR,Restated
2019-03,10.14B,195.00M,10.33B,2.43B,1.208B,3.638B,79.00M,820.00M,826.00M,,1.725B,,,631.00M,16.32B,,,,,,,,,,2.945B,6.299B,2.51B,8.809B,,3.832B,2.113B,17.70B,34.02B,,1.667B,428.00M,,2.095B,1.77B,3.865B,998.00M,,998.00M,998.00M,478.00M,478.00M,5.176B,10.52B,15.40B,15.40B,1.33B,1.33B,,1.056B,19.64B,30.16B,,384.00M,3.309B,,,,173.00M,3.866B,,AOR,Restated
2018-12,10.07B,249.00M,10.32B,2.33B,1.096B,3.426B,79.00M,763.00M,856.00M,,1.698B,,,855.00M,16.29B,,,,,,,,,,2.932B,6.295B,2.746B,9.041B,,3.923B,2.056B,17.95B,34.25B,,1.422B,484.00M,,1.906B,1.976B,3.882B,,998.00M,998.00M,998.00M,484.00M,484.00M,5.192B,10.56B,15.39B,15.39B,1.42B,1.42B,,1.091B,20.07B,30.63B,,0.00,3.415B,,,,202.00M,3.617B,,AOR,Restated
2018-09,11.78B,311.00M,12.09B,2.667B,237.00M,2.904B,72.00M,715.00M,906.00M,,1.693B,,,699.00M,17.38B,0.00,186.00M,1.575B,5.296B,,79.00M,325.00M,7.461B,-4.486B,2.975B,6.498B,2.955B,9.453B,,936.00M,1.97B,15.33B,32.72B,,1.825B,453.00M,,2.278B,2.248B,4.526B,1.005B,,1.005B,1.005B,500.00M,500.00M,5.358B,11.39B,15.36B,15.36B,1.62B,1.62B,,1.225B,20.52B,31.91B,,0.00,542.00M,,,,265.00M,807.00M,,AOR,Restated
