,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,6.035B,6.035B,2.663B,3.372B,773.00M,1.42B,,9.00M,-9.00M,170.00M,126.00M,-44.00M,1.183B,3.376B,-4.00M,126.00M,170.00M,-44.00M,-12.00M,-44.00M,-60.00M,5.923B,-5.983B,,,,-5.983B,-5.988B,473.00M,363.00M,110.00M,,-4.05,,,-4.054,-4.05,,-4.05,,,-4.054,-4.05,,1.477B,1.477B,0.57,,AOR,Restated
2017-09,5.871B,5.871B,2.652B,3.219B,741.00M,1.398B,,14.00M,-14.00M,164.00M,153.00M,-11.00M,780.00M,2.919B,300.00M,153.00M,164.00M,-11.00M,112.00M,-11.00M,401.00M,253.00M,148.00M,,,0.00,148.00M,61.60M,962.00M,397.00M,565.00M,,0.11,,,0.0514,0.11,,0.11,,,0.0519,0.11,,1.474B,1.487B,0.57,,AOR,Restated
2017-06,5.371B,5.371B,2.488B,2.883B,710.00M,1.391B,,15.00M,-15.00M,133.00M,147.00M,14.00M,9.00M,2.11B,773.00M,147.00M,133.00M,14.00M,71.00M,14.00M,858.00M,-7.00M,865.00M,,,1.00M,866.00M,765.02M,1.384B,393.00M,991.00M,,0.59,,,0.5217,0.59,,0.58,,,0.5123,0.58,,1.478B,1.491B,0.57,,AOR,Restated
2017-03,5.016B,5.016B,2.208B,2.808B,615.00M,1.386B,,5.00M,-5.00M,107.00M,153.00M,46.00M,78.00M,2.079B,729.00M,153.00M,107.00M,46.00M,82.00M,46.00M,857.00M,108.00M,749.00M,,,,749.00M,665.48M,1.306B,342.00M,964.00M,,0.51,,,0.4535,0.51,,0.50,,,0.4439,0.50,,1.477B,1.489B,0.53,,AOR,Restated
2016-12,5.999B,5.999B,2.443B,3.556B,591.00M,1.311B,,143.00M,-143.00M,90.00M,167.00M,77.00M,876.00M,2.778B,778.00M,167.00M,90.00M,77.00M,15.00M,77.00M,870.00M,189.00M,681.00M,,,1.00M,682.00M,672.64M,1.289B,329.00M,960.00M,,0.46,,,0.4537,0.46,,0.46,,,0.4537,0.46,,1.478B,1.495B,0.53,,AOR,Restated
2016-09,6.184B,6.184B,2.539B,3.645B,568.00M,1.229B,,34.00M,-34.00M,76.00M,160.00M,84.00M,44.00M,1.841B,1.804B,160.00M,76.00M,84.00M,72.00M,84.00M,1.96B,361.00M,1.599B,,,0.00,1.599B,1.512B,2.372B,336.00M,2.036B,,1.08,,,1.021,1.08,,1.07,,,1.011,1.07,,1.475B,1.492B,0.53,,AOR,Restated
2016-06,6.044B,6.044B,2.534B,3.51B,620.00M,1.268B,,33.00M,-33.00M,75.00M,156.00M,81.00M,30.00M,1.918B,1.592B,156.00M,75.00M,81.00M,20.00M,81.00M,1.693B,250.00M,1.443B,,,1.00M,1.444B,1.412B,2.124B,356.00M,1.768B,,0.98,,,0.9580,0.98,,0.97,,,0.9483,0.97,,1.471B,1.486B,0.53,,AOR,Restated
2016-03,5.551B,5.551B,2.141B,3.41B,619.00M,1.301B,,43.00M,-43.00M,72.00M,158.00M,86.00M,75.00M,1.995B,1.415B,158.00M,72.00M,86.00M,-31.00M,86.00M,1.47B,306.00M,1.164B,,,0.00,1.164B,1.180B,1.914B,372.00M,1.542B,,0.78,,,0.7906,0.78,,0.78,,,0.7905,0.78,,1.487B,1.498B,0.48,,AOR,Restated
2015-12,5.775B,5.775B,2.534B,3.241B,578.00M,1.352B,,63.00M,-63.00M,74.00M,136.00M,62.00M,-374.00M,1.556B,1.685B,136.00M,74.00M,62.00M,-37.00M,62.00M,1.71B,214.00M,1.496B,,,2.00M,1.498B,1.513B,2.148B,364.00M,1.784B,,1.00,,,1.010,1.00,,0.99,,,0.9998,0.99,,1.502B,1.517B,0.48,,AOR,Restated
2015-09,5.456B,5.456B,2.252B,3.204B,595.00M,1.357B,,39.00M,-36.00M,70.00M,127.00M,57.00M,112.00M,2.064B,1.14B,127.00M,70.00M,57.00M,54.00M,57.00M,1.251B,190.00M,1.061B,,,1.00M,1.062B,992.45M,1.647B,326.00M,1.321B,,0.68,0.00,,0.6354,0.68,,0.67,0.00,,0.6258,0.67,,1.558B,1.573B,0.48,,AOR,Restated
