,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2007-09,2.306B,2.306B,725.00M,1.581B,323.00M,481.00M,,,35.00M,,,,,804.00M,777.00M,,,,34.00M,,948.00M,-184.00M,1.132B,,,,1.132B,1.109B,877.00M,100.00M,777.00M,,0.68,0.00,,0.6663,0.68,,0.67,0.00,,0.6565,0.67,,1.657B,1.69B,0.14,,,
2007-06,2.325B,2.325B,688.00M,1.637B,401.00M,454.00M,,,46.00M,,,,,855.00M,782.00M,,,,46.00M,,972.00M,174.00M,798.00M,,,,798.00M,760.23M,881.00M,99.00M,782.00M,,0.48,0.00,,0.4574,0.48,,0.47,0.00,,0.4478,0.47,,1.67B,1.704B,0.14,,,
2007-03,2.221B,2.221B,634.00M,1.587B,385.00M,454.00M,,,54.00M,,,,,839.00M,748.00M,,,,54.00M,,928.00M,202.00M,726.00M,,,,726.00M,683.75M,841.00M,93.00M,748.00M,,0.44,0.00,,0.4145,0.44,,0.43,0.00,,0.4050,0.43,,1.659B,1.693B,0.12,,,
2006-12,2.019B,2.019B,634.00M,1.385B,369.00M,440.00M,,,62.00M,,,,,809.00M,576.00M,,,,62.00M,,779.00M,131.00M,648.00M,,,,648.00M,596.43M,667.00M,91.00M,576.00M,,0.39,0.00,,0.3588,0.39,,0.38,0.00,,0.3494,0.38,,1.653B,1.685B,0.12,,,
2006-09,1.999B,1.999B,586.00M,1.413B,321.00M,412.00M,,,26.00M,,,,,733.00M,680.00M,,,,27.00M,,810.00M,196.00M,614.00M,,,,614.00M,594.29M,762.00M,82.00M,680.00M,,0.37,0.00,,0.3581,0.37,,0.36,0.00,,0.3484,0.36,,1.653B,1.693B,0.12,,,
2006-06,1.951B,1.951B,559.00M,1.392B,293.00M,395.00M,,,1.00M,,,,,688.00M,704.00M,,,,1.00M,,824.00M,181.00M,643.00M,,,,643.00M,642.22M,773.00M,69.00M,704.00M,,0.38,0.00,,0.3795,0.38,,0.37,0.00,,0.3695,0.37,,1.675B,1.728B,0.12,,,
2006-03,1.834B,1.834B,521.00M,1.313B,263.00M,390.00M,,,34.00M,,,,,653.00M,660.00M,,,,24.00M,,785.00M,192.00M,593.00M,,,,593.00M,567.32M,723.00M,63.00M,660.00M,,0.36,0.00,,0.3446,0.36,,0.34,0.00,,0.3251,0.34,,1.664B,1.721B,0.09,,,
2005-12,1.741B,1.741B,517.00M,1.224B,239.00M,340.00M,,,21.00M,,,,,579.00M,645.00M,,,,1.00M,,736.00M,116.00M,620.00M,,,,620.00M,602.31M,703.00M,58.00M,645.00M,,0.38,0.00,,0.3692,0.38,,0.36,0.00,,0.3496,0.36,,1.645B,1.702B,0.09,,,
2005-09,1.561B,1.561B,441.00M,1.12B,179.00M,271.00M,,,48.00M,,,,,450.00M,670.00M,,,,44.00M,,786.00M,248.00M,538.00M,,,,538.00M,505.15M,726.00M,56.00M,670.00M,,0.33,0.00,,0.3099,0.33,,0.31,0.00,,0.2905,0.31,,1.632B,1.685B,0.09,,,
2005-06,1.358B,1.358B,389.00M,969.00M,150.00M,259.00M,,,65.00M,,,,,409.00M,560.00M,,,,58.00M,,686.00M,126.00M,560.00M,,,,560.00M,506.94M,611.00M,51.00M,560.00M,,0.34,0.00,,0.3075,0.34,,0.33,0.00,,0.2985,0.33,,1.633B,1.683B,0.09,,,
2005-03,1.365B,1.365B,386.00M,979.00M,155.00M,252.00M,,,,,,,,407.00M,572.00M,,,,-18.00M,,633.00M,101.00M,532.00M,,,,532.00M,532.00M,620.00M,48.00M,572.00M,,0.32,0.00,,0.32,0.32,,0.31,0.00,,0.31,0.31,,1.646B,1.704B,0.07,,,
2004-12,1.39B,1.39B,430.00M,960.00M,148.00M,228.00M,,,67.00M,,,,,376.00M,584.00M,,,,67.00M,,704.00M,191.00M,513.00M,,,,513.00M,464.18M,629.00M,45.00M,584.00M,,0.31,0.00,,0.2802,0.31,,0.30,0.00,,0.2713,0.30,,1.639B,1.704B,0.07,,,
2004-09,1.117B,1.117B,409.95M,707.31M,124.92M,207.43M,,,26.97M,,,,,345.12M,362.18M,,,,9.676M,,431.53M,44.77M,386.76M,6.088M,,,392.85M,362.59M,404.84M,42.66M,362.18M,,0.24,-0.005,,0.2252,0.235,,0.23,-0.005,,0.2157,0.235,,1.629B,1.692B,0.07,,,
2004-06,1.341B,1.341B,369.19M,971.34M,161.80M,193.61M,0.407M,,30.46M,,,,-6.344M,349.47M,621.87M,,,,12.72M,,668.05M,181.63M,486.42M,,,,486.42M,464.24M,662.21M,40.34M,621.87M,,0.30,0.00,,0.2863,0.30,,0.29,0.00,,0.2768,0.29,,1.622B,1.682B,0.05,,,
2004-03,1.216B,1.216B,335.00M,881.00M,135.00M,169.00M,,,11.00M,,,,,304.00M,577.00M,,,,-10.00M,,610.00M,169.00M,441.00M,47.00M,,,488.00M,433.05M,617.00M,40.00M,577.00M,,0.27,0.03,,0.2651,0.30,,0.26,0.03,,0.2552,0.29,,1.613B,1.672B,0.035,,,
2003-12,1.207B,1.207B,370.00M,837.00M,118.00M,150.00M,,,3.00M,,,,,268.00M,569.00M,,,,-13.00M,,604.00M,193.00M,411.00M,-59.00M,,,352.00M,408.96M,609.00M,40.00M,569.00M,,0.26,-0.04,,0.2587,0.22,,0.25,-0.04,,0.2488,0.21,,1.601B,1.654B,0.035,,,
2003-09,870.02M,870.02M,289.02M,580.99M,129.15M,143.03M,,,14.94M,,,,,262.54M,318.46M,,,,-0.552M,,347.54M,93.60M,253.93M,37.03M,,,290.96M,243.01M,358.60M,40.14M,318.46M,,0.16,0.02,,0.1533,0.18,,0.155,0.02,,0.1483,0.18,,1.636B,1.636B,0.035,,,
2003-06,891.59M,891.59M,286.29M,605.30M,115.51M,135.69M,1.951M,,13.22M,,,,3.757M,256.90M,348.40M,,,,-19.04M,,391.03M,149.96M,241.07M,-49.38M,,,191.69M,232.92M,364.73M,16.33M,348.40M,,0.15,-0.03,,0.1448,0.12,,0.15,-0.035,,0.1450,0.115,,1.581B,1.632B,0.025,,,
2003-03,1.043B,1.043B,381.93M,661.12M,295.87M,131.80M,1.965M,,-12.72M,,,,,429.64M,231.48M,,,,-12.72M,,214.88M,111.86M,103.02M,,,,103.02M,110.65M,277.83M,46.35M,231.48M,,0.065,0.00,,0.0698,0.065,,0.065,0.00,,0.0697,0.065,,1.578B,1.636B,0.025,,,
2002-12,1.097B,1.097B,388.00M,709.17M,148.00M,112.48M,1.972M,,-50.59M,,,,,262.45M,446.72M,,,,-50.59M,,389.25M,147.92M,241.33M,,,,241.33M,272.70M,489.90M,43.18M,446.72M,,0.155,0.00,,0.1750,0.155,,0.15,0.00,,0.1692,0.15,,1.567B,1.631B,,,,
2002-09,749.33M,749.33M,128.73M,620.60M,24.20M,110.29M,66.56M,,-115.95M,,,,0.045M,201.10M,419.50M,,,,-172.95M,,389.95M,34.35M,355.60M,,,,190.60M,461.34M,486.06M,63.90M,419.50M,,0.125,0.00,,0.1930,0.125,,0.115,0.00,,0.1803,0.115,,1.555B,1.620B,,,,
2002-06,770.92M,770.92M,288.16M,482.76M,152.07M,118.09M,65.02M,,-193.08M,,,,8.955M,344.14M,138.62M,,,,-193.08M,,-54.14M,-40.38M,-13.77M,,,,-13.77M,102.08M,243.28M,104.66M,138.62M,,-0.01,0.00,,0.0649,-0.01,,-0.01,0.00,,0.0649,-0.01,,1.546B,1.546B,,,,
2002-03,696.12M,696.12M,291.91M,404.20M,123.96M,116.76M,63.68M,,-25.01M,,,,,304.40M,99.80M,,,,-25.01M,,68.64M,24.71M,43.93M,,,,43.93M,59.93M,196.60M,96.79M,99.80M,,0.03,0.00,,0.0404,0.03,,0.025,0.00,,0.0349,0.025,,1.536B,1.618B,,,,
2001-12,698.64M,698.64M,245.20M,453.44M,100.76M,106.87M,63.73M,,38.03M,,,,,271.36M,182.08M,,,,38.03M,,217.55M,78.32M,139.23M,,,,139.23M,114.89M,265.73M,83.65M,182.08M,,0.09,0.00,,0.0741,0.09,,0.085,0.00,,0.0700,0.085,,1.530B,1.619B,,,,
2001-09,642.48M,642.48M,252.82M,389.67M,95.74M,114.97M,63.76M,,-72.18M,,,,33.49M,307.96M,81.70M,,,,-72.18M,,42.84M,90.43M,-47.58M,,-146.75M,,-194.34M,-4.274M,161.57M,79.87M,81.70M,,-0.05,-0.095,0.00,-0.0216,-0.145,,-0.05,-0.095,-0.0973,-0.0216,-0.145,,1.523B,1.523B,,,,
2001-06,640.03M,640.03M,232.87M,407.16M,104.18M,107.41M,65.10M,,-220.53M,,,,25.25M,301.94M,105.22M,,,,-220.53M,,-90.08M,184.65M,-274.74M,,,,-274.74M,-142.42M,183.83M,78.61M,105.22M,,-0.18,0.00,,-0.0927,-0.18,,-0.18,0.00,,-0.0927,-0.18,,1.516B,1.516B,,,,
2001-03,717.15M,717.15M,256.84M,460.31M,87.27M,106.25M,63.37M,,67.61M,,,,-8.095M,248.80M,211.51M,,,,67.61M,,269.50M,159.78M,109.72M,,,,109.72M,69.15M,290.14M,78.63M,211.51M,,0.075,0.00,,0.0481,0.075,,0.07,0.00,,0.0449,0.07,,1.509B,1.614B,,,,
2000-12,655.21M,655.21M,300.93M,354.28M,79.96M,86.12M,63.00M,,-863.94M,,,,549.97M,779.05M,-424.77M,,,,-863.94M,,-747.31M,-346.02M,-401.29M,,-17.94M,,-419.22M,117.08M,-342.07M,82.70M,-424.77M,,-0.27,-0.01,0.00,0.0758,-0.28,,-0.27,-0.01,-0.0120,0.0758,-0.28,,1.499B,1.499B,,,,
2000-09,635.44M,635.44M,233.03M,402.42M,67.07M,85.92M,61.53M,,46.54M,,,,14.41M,228.93M,173.49M,,,,46.54M,,234.01M,95.34M,138.68M,,,0.00,138.68M,110.75M,253.26M,79.77M,173.49M,,0.09,0.00,,0.0713,0.09,,0.09,0.00,,0.0726,0.09,,1.491B,1.606B,,,,
2000-06,713.52M,713.52M,274.95M,438.57M,76.70M,80.93M,63.51M,,64.45M,,,,,221.14M,217.43M,,,,64.45M,,281.27M,126.57M,154.70M,,,,154.70M,116.03M,300.11M,82.68M,217.43M,,0.105,0.00,,0.0789,0.105,,0.095,0.00,,0.0710,0.095,,1.483B,1.611B,,,,
2000-03,727.74M,727.74M,350.40M,377.34M,97.40M,90.15M,20.54M,,233.02M,,,,37.44M,245.52M,131.82M,,,,233.02M,,399.07M,199.35M,199.72M,,,-1.994M,199.72M,59.91M,178.13M,46.31M,131.82M,,0.14,0.00,,0.0425,0.14,,0.125,0.00,,0.0378,0.125,,1.434B,1.603B,,,,
1999-12,1.120B,1.120B,648.75M,471.32M,101.85M,83.40M,,,10.10M,,,,26.15M,211.40M,259.92M,,,,10.10M,,282.45M,105.33M,177.12M,,,-11.04M,177.12M,170.79M,295.00M,35.08M,259.92M,,0.135,0.00,,0.1302,0.135,,0.115,0.00,,0.1110,0.115,,1.329B,1.582B,,,,
1999-09,1.060B,1.060B,702.87M,356.75M,95.60M,84.23M,,,210.91M,,,,,133.06M,223.68M,,,,220.36M,,210.00M,73.95M,136.04M,,,0.092M,136.04M,-0.5928M,255.30M,31.62M,223.68M,,0.115,0.00,,0.0072,0.115,,0.10,0.00,,0.0087,0.10,,1.267B,1.497B,,,,
1999-06,1.004B,1.004B,597.67M,406.40M,104.88M,93.79M,,,-109.34M,,,,109.34M,308.02M,98.38M,,,,-112.80M,,90.69M,31.74M,58.95M,,,-13.15M,58.95M,130.02M,138.46M,40.08M,98.38M,,0.05,0.00,,0.1091,0.05,,0.045,0.00,,0.0923,0.045,,1.202B,1.503B,,,,
1999-03,932.40M,932.40M,633.20M,299.19M,104.59M,102.71M,,,-55.39M,,,,,294.00M,5.189M,,,,-55.39M,,-65.57M,-22.95M,-42.62M,,,-9.904M,-42.62M,-6.613M,91.89M,42.30M,5.189M,,-0.04,0.00,,-0.0062,-0.04,,-0.04,0.00,,-0.0062,-0.04,,1.066B,1.066B,,,,
1998-12,941.20M,941.20M,598.00M,343.20M,120.50M,100.40M,,,6.80M,,,,,265.30M,77.90M,,,,6.80M,,71.60M,23.10M,48.50M,,,-9.80M,48.50M,43.89M,122.30M,44.40M,77.90M,,0.045,0.00,,0.0407,0.045,,0.04,0.00,,0.0362,0.04,,1.078B,1.212B,,,,
1998-09,926.00M,926.00M,490.87M,435.12M,115.10M,104.94M,,,30.73M,,,,,349.97M,85.15M,,,,40.43M,,57.59M,17.71M,39.88M,,,-21.55M,39.88M,18.61M,126.18M,41.03M,85.15M,,0.0353,,,0.0165,0.0353,,0.0353,,,0.0165,0.0353,,1.129B,1.129B,,,,
1998-06,875.50M,875.50M,624.68M,250.82M,104.65M,92.81M,,,-20.00M,,,,,197.46M,53.35M,,,,-25.54M,,8.229M,2.386M,5.843M,,,-28.47M,5.843M,20.04M,89.10M,35.75M,53.35M,,0.005,0.00,,0.1075,0.005,,0.005,0.00,,0.1010,0.005,,138.57M,147.96M,,,,
1998-03,760.55M,760.55M,534.33M,226.22M,97.97M,76.95M,,,-9.927M,,,,,174.92M,51.30M,,,,-11.32M,,26.22M,0.211M,26.01M,,,-21.64M,26.01M,35.86M,85.45M,34.14M,51.30M,,0.025,0.00,,0.0964,0.025,,0.025,0.00,,0.0923,0.025,,137.87M,146.29M,,,,
1997-12,785.85M,785.85M,553.62M,232.24M,92.57M,74.80M,,,-18.82M,,,,11.98M,179.34M,52.90M,,,,-21.60M,,56.56M,19.80M,36.76M,,,3.781M,36.76M,49.00M,83.87M,30.97M,52.90M,,0.035,0.00,,0.1243,0.035,,0.03,0.00,,0.1125,0.03,,136.95M,148.25M,,,,
1997-09,601.42M,601.42M,420.18M,181.24M,73.61M,71.80M,,,-9.692M,,,,0.00,145.41M,35.83M,,,,-9.692M,,38.11M,7.99M,30.12M,,,3.051M,30.12M,37.78M,63.54M,27.71M,35.83M,,0.0276,,,0.0347,0.0276,,0.0276,,,0.0347,0.0276,,1.090B,1.090B,,,,
1997-06,520.26M,520.26M,355.42M,164.84M,66.93M,64.84M,,,-5.744M,,,,,131.78M,33.06M,,,,-5.744M,,35.83M,-0.114M,35.94M,,,-0.60M,35.94M,39.39M,57.28M,24.21M,33.06M,,0.035,0.00,,0.0587,0.035,,0.03,0.00,,0.0537,0.03,,145.39M,145.39M,,,,
1997-03,585.75M,585.75M,455.19M,130.55M,53.11M,53.11M,,,-3.233M,,,,8.792M,115.01M,15.54M,,,,-3.233M,,22.33M,5.582M,16.74M,,,-2.11M,16.74M,19.17M,38.21M,22.67M,15.54M,,0.015,0.00,,0.0316,0.015,,0.015,0.00,,0.0314,0.015,,145.64M,147.52M,,,,
1996-12,388.94M,388.94M,287.21M,101.73M,42.53M,46.18M,,,,,,,,88.71M,13.02M,,,,,,12.17M,3.042M,9.126M,,,-3.32M,9.126M,9.126M,32.02M,19.00M,13.02M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,141.32M,141.32M,,,,
1996-09,283.20M,283.20M,175.70M,107.50M,200.40M,,,,4.80M,,,,,103.30M,4.20M,,,,4.80M,,10.60M,2.70M,7.90M,,,2.90M,7.90M,4.323M,21.30M,17.10M,4.20M,,0.0074,,,0.0041,0.0074,,0.0074,,,0.0041,0.0074,,1.065B,1.065B,,,,
1996-06,234.90M,234.90M,133.10M,101.80M,33.30M,46.70M,,,4.80M,,,,,107.50M,-5.70M,,,,4.80M,,1.80M,0.30M,1.50M,,,3.30M,1.50M,-2.50M,21.80M,15.30M,-5.70M,,0.0014,,,-0.0020,0.0014,,0.0014,,,-0.0020,0.0014,,1.16B,1.16B,,,,
1996-03,149.30M,149.30M,85.30M,64.00M,25.00M,35.30M,,,6.00M,,,,,72.50M,-8.50M,,,,6.00M,,0.10M,-1.40M,1.50M,,,2.70M,1.50M,-2.10M,3.70M,12.20M,-8.50M,,0.0013,,,-0.0022,0.0013,,0.0013,,,-0.0022,0.0013,,1.01B,1.01B,,,,
1995-12,146.60M,146.60M,85.20M,61.40M,26.70M,32.20M,,,7.00M,,,,,58.90M,2.50M,,,,7.00M,,14.00M,3.90M,10.10M,,,4.30M,10.10M,5.05M,2.50M,,2.50M,,0.01,0.00,,0.005,0.01,,0.01,0.00,,0.005,0.01,,1.01B,1.01B,,,,
1995-09,121.50M,121.50M,59.90M,61.60M,19.50M,23.70M,,,4.10M,,,,,52.60M,9.00M,,,,4.10M,,17.60M,6.70M,10.90M,,,4.60M,10.90M,8.361M,18.40M,9.40M,9.00M,,0.01,0.00,,0.0078,0.01,,0.01,0.00,,0.0078,0.01,,1.135B,1.135B,,,,
1995-06,99.50M,99.50M,46.00M,53.50M,21.00M,21.30M,,,1.20M,,,,,50.10M,3.40M,,,,1.20M,,8.10M,0.80M,7.30M,,,3.50M,7.30M,6.219M,11.20M,7.80M,3.40M,,0.01,0.00,,0.0085,0.01,,0.01,0.00,,0.0085,0.01,,730.00M,730.00M,,,,
1995-03,89.80M,89.80M,43.10M,46.70M,17.80M,17.70M,,,0.90M,,,,,42.40M,4.30M,,,,0.90M,,7.10M,1.10M,6.00M,,,2.00M,6.00M,5.239M,11.70M,7.40M,4.30M,,0.01,0.00,,0.0087,0.01,,0.01,0.00,,0.0087,0.01,,600.00M,600.00M,,,,
1994-12,75.90M,75.90M,33.70M,42.20M,14.30M,17.50M,,,1.10M,,,,,38.10M,4.10M,,,,1.10M,,7.00M,1.10M,5.90M,,,1.90M,5.90M,4.973M,10.40M,6.30M,4.10M,,0.01,0.00,,0.0084,0.01,,0.01,0.00,,0.0084,0.01,,590.00M,590.00M,,,,
1994-09,78.70M,78.70M,38.20M,40.50M,9.40M,17.00M,,,-13.30M,,,,,32.10M,8.40M,,,,-13.30M,,-1.70M,0.00,-1.70M,,,1.70M,-1.70M,11.60M,14.10M,5.70M,8.40M,,0.00,0.00,,0.0161,0.00,,0.00,0.00,,0.0161,0.00,,823.78M,823.78M,,,,
1994-06,71.60M,71.60M,35.00M,36.60M,13.40M,13.10M,,,1.60M,,,,,33.00M,3.60M,,,,1.60M,,5.60M,-0.80M,6.40M,,,0.90M,6.40M,5.44M,10.10M,5.10M,3.60M,,0.01,0.00,,0.0085,0.01,,0.01,0.00,,0.0085,0.01,,640.00M,640.00M,,,,
1994-03,67.70M,67.70M,37.10M,30.60M,10.70M,10.10M,,,1.40M,,,,,24.80M,5.80M,,,,1.40M,,6.90M,1.40M,5.50M,,,0.30M,5.50M,4.384M,10.20M,4.40M,5.80M,,0.005,0.00,,0.0039,0.005,,0.005,0.00,,0.0039,0.005,,1.00B,1.00B,,,,
1993-12,53.70M,53.70M,26.60M,27.10M,18.20M,,,,1.70M,,,,,21.80M,5.30M,,,,1.70M,,6.50M,1.50M,5.00M,,,,5.00M,3.692M,8.90M,3.60M,5.30M,,0.005,0.00,,0.0037,0.005,,0.005,0.00,,0.0037,0.005,,1.00B,1.00B,,,,
1993-09,52.70M,52.70M,25.50M,27.20M,17.90M,,,,1.50M,,,,,20.90M,6.30M,,,,1.50M,,7.30M,0.00,7.30M,,,,7.30M,5.80M,9.30M,3.00M,6.30M,,0.01,0.00,,0.0081,0.01,,0.01,0.00,,0.0081,0.01,,804.29M,804.29M,,,,
1993-06,49.10M,49.10M,25.70M,23.40M,13.80M,,,,0.60M,,,,,16.30M,7.10M,,,,0.60M,,7.00M,0.90M,6.10M,,,,6.10M,5.577M,9.60M,2.50M,7.10M,,0.01,0.00,,0.0091,0.01,,0.01,0.00,,0.0091,0.01,,610.00M,610.00M,,,,
1993-03,36.80M,36.80M,21.90M,14.90M,12.40M,,,,0.60M,,,,,14.60M,0.30M,,,,0.60M,,0.50M,0.10M,0.40M,,,0.10M,0.40M,-0.08M,2.50M,2.10M,0.30M,,0.0006,,,-0.0001,0.0006,,0.0006,,,-0.0001,0.0006,,694.08M,694.08M,,,,
1992-12,30.00M,30.00M,17.60M,12.40M,12.00M,,,,0.50M,,,,,14.20M,-1.80M,,,,0.50M,,,,-1.60M,,,,-1.60M,-1.90M,0.40M,2.20M,-1.80M,,-0.005,0.00,,-0.0054,-0.005,,-0.005,0.00,,-0.0054,-0.005,,690.58M,690.58M,,,,
1992-09,29.10M,29.10M,13.60M,15.50M,12.00M,,,,,,,,,14.40M,1.10M,,,,,,-0.20M,0.40M,-0.60M,,,,-0.60M,-0.60M,3.50M,2.40M,1.10M,,-0.005,0.00,,-0.005,-0.005,,-0.005,0.00,,-0.005,-0.005,,700.00M,700.00M,,,,
1992-06,27.10M,27.10M,13.80M,13.30M,12.20M,,,,0.10M,,,,,14.00M,-0.70M,,,,0.10M,,-0.50M,0.10M,-0.60M,,,,-0.60M,-0.66M,1.10M,1.80M,-0.70M,,-0.0009,,,-0.0010,-0.0009,,-0.0009,,,-0.0010,-0.0009,,580.00M,580.00M,,,,
1992-03,26.30M,26.30M,16.30M,10.00M,10.20M,,,,0.30M,,,,,11.50M,-1.50M,,,,0.30M,,,,-1.20M,,,,-1.20M,-1.38M,-0.20M,1.20M,-1.50M,,-0.005,0.00,,-0.0053,-0.005,,-0.005,0.00,,-0.0053,-0.005,,657.06M,657.06M,,,,
1991-12,25.20M,25.20M,13.80M,11.40M,10.40M,,,,,,,,,12.20M,-0.80M,,,,,,-1.60M,0.10M,-1.70M,,,,-1.70M,-1.70M,1.00M,1.80M,-0.80M,,-0.005,0.00,,-0.005,-0.005,,-0.005,0.00,,-0.005,-0.005,,650.64M,650.64M,,,,
1991-09,22.60M,22.60M,,,,,,,,,,,,,-74.00M,,,,,,,,-2.10M,,,,-2.10M,,-74.00M,,-74.00M,,,,,,,,,,,,,,650.64M,650.64M,,,,
1991-06,22.60M,22.60M,,,,,,,,,,,,,22.60M,,,,,,,,-2.10M,,,,-2.10M,,22.60M,,22.60M,,-0.005,0.00,,-0.005,-0.005,,-0.005,0.00,,-0.005,-0.005,,,,,,,
1991-03,22.60M,22.60M,,,,,,,,,,,,,22.60M,,,,,,,,-2.10M,,,,-2.10M,,22.60M,,22.60M,,-0.005,0.00,,-0.005,-0.005,,-0.005,0.00,,-0.005,-0.005,,,,,,,
1990-12,22.50M,22.50M,,,,,,,,,,,,,22.50M,,,,,,,,-2.10M,,,,-2.10M,,22.50M,,22.50M,,-0.005,0.00,,-0.005,-0.005,,-0.005,0.00,,-0.005,-0.005,,,,,,,
1990-09,11.70M,11.70M,,,,,,,,,,,,,-50.70M,,,,,,,,-4.30M,,,,-4.30M,,-50.70M,,-50.70M,,,,,,,,,,,,,,,,,,,
1990-06,11.60M,11.60M,,,,,,,,,,,,,11.60M,,,,,,,,-4.30M,,,,-4.30M,,11.60M,,11.60M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,,,,,,
1990-03,11.60M,11.60M,,,,,,,,,,,,,11.60M,,,,,,,,-4.30M,,,,-4.30M,,11.60M,,11.60M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,,,,,,
1989-12,11.60M,11.60M,,,,,,,,,,,,,11.60M,,,,,,,,-4.20M,,,,-4.20M,,11.60M,,11.60M,,-0.01,0.00,,-0.01,-0.01,,-0.01,0.00,,-0.01,-0.01,,,,,,,
