,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.627B,5.627B,,,,63.00M,-63.00M,-38.00M,-38.00M,63.00M,-63.00M,,-63.00M,1.153B,-1.303B,2.456B,,2.456B,2.456B,,1.216B,3.45,,,3.45,3.45,3.44,,,3.44,3.44,711.70M,713.79M,0.28
2020-06,5.364B,5.364B,,,,63.00M,-63.00M,-43.00M,-43.00M,63.00M,-63.00M,,-63.00M,1.07B,265.00M,805.00M,,805.00M,805.00M,,1.133B,1.12,,,1.12,1.12,1.12,,,1.12,1.12,717.89M,719.76M,0.28
2020-03,5.122B,5.122B,,,,55.00M,-55.00M,-40.00M,-40.00M,55.00M,-55.00M,,-55.00M,720.00M,154.00M,566.00M,,566.00M,566.00M,,775.00M,0.78,,,0.78,0.78,0.78,,,0.78,0.78,724.37M,727.51M,0.28
2019-12,5.569B,5.569B,,,,57.00M,-57.00M,-34.00M,-34.00M,57.00M,-57.00M,,-57.00M,1.057B,276.00M,781.00M,,781.00M,781.00M,,1.114B,1.07,,,1.07,1.07,1.06,,,1.06,1.06,733.26M,737.36M,0.27
2019-09,5.519B,5.519B,,,,57.00M,-57.00M,-17.00M,-17.00M,57.00M,-57.00M,,-57.00M,1.036B,259.00M,777.00M,,777.00M,777.00M,,1.093B,1.05,,,1.05,1.05,1.04,,,1.04,1.04,739.95M,743.84M,0.27
2019-06,5.493B,5.493B,,,,57.00M,-57.00M,-18.00M,-18.00M,57.00M,-57.00M,,-57.00M,1.109B,292.00M,817.00M,,817.00M,817.00M,,1.166B,1.1,,,1.1,1.1,1.09,,,1.09,1.09,745.15M,748.85M,0.27
2019-03,5.64B,5.64B,,,,58.00M,-58.00M,-17.00M,-17.00M,58.00M,-58.00M,,-58.00M,1.242B,314.00M,928.00M,,928.00M,928.00M,,1.30B,1.23,,,1.23,1.23,1.23,,,1.23,1.23,751.42M,755.79M,0.27
2018-12,5.11B,5.11B,,,,58.00M,-58.00M,-16.00M,-16.00M,58.00M,-58.00M,,-58.00M,722.00M,197.00M,525.00M,,525.00M,525.00M,,780.00M,0.69,,,0.69,0.69,0.69,,,0.69,0.69,759.93M,765.00M,0.26
2018-09,5.562B,5.562B,,,,53.00M,-53.00M,-15.00M,-15.00M,53.00M,-53.00M,,-53.00M,1.146B,301.00M,845.00M,,845.00M,845.00M,,1.199B,1.1,,,1.1,1.1,1.09,,,1.09,1.09,767.05M,772.07M,0.26
2018-06,5.571B,5.571B,,,,54.00M,-54.00M,-18.00M,-18.00M,54.00M,-54.00M,,-54.00M,1.131B,299.00M,832.00M,,832.00M,832.00M,,1.185B,1.08,,,1.08,1.08,1.07,,,1.07,1.07,772.95M,777.81M,0.26
