,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,2.456B,-108.00M,-108.00M,,,,26.00M,276.00M,77.00M,,-1.392B,,,,-650.00M,2.00B,,,-430.00M,-945.00M,-1.391B,0.00,,0.00,6.00M,-400.00M,-394.00M,-192.00M,-192.00M,3.00M,-583.00M,5.528B,26.00M,9.00M,5.563B,6.00M,0.00,0.00,-400.00M,90.00M,34.00M
2020-06,804.00M,170.00M,170.00M,,,,10.00M,-15.00M,-80.00M,,-270.00M,,,,218.00M,1.187B,,,405.00M,-765.00M,-404.00M,1.00B,,1.00B,12.00M,-188.00M,-176.00M,-193.00M,-193.00M,-33.00M,598.00M,4.148B,1.381B,-1.00M,5.528B,12.00M,1.00B,0.00,-188.00M,534.00M,58.00M
2020-03,566.00M,463.00M,463.00M,,,,8.00M,-159.00M,15.00M,,153.00M,,,,536.00M,1.414B,,,-1.442B,1.105B,-1.716B,195.00M,,195.00M,9.00M,-449.00M,-440.00M,-195.00M,-195.00M,-6.00M,-446.00M,4.896B,-748.00M,0.00,4.148B,9.00M,545.00M,-350.00M,-449.00M,2.00M,39.00M
2019-12,781.00M,-12.00M,-12.00M,,,,-80.00M,213.00M,4.00M,,-159.00M,,,,290.00M,1.192B,,,1.377B,-356.00M,-225.00M,347.00M,,347.00M,11.00M,-470.00M,-459.00M,-192.00M,-192.00M,20.00M,-284.00M,4.216B,683.00M,-3.00M,4.896B,11.00M,347.00M,0.00,-470.00M,434.00M,58.00M
2019-09,778.00M,152.00M,152.00M,,,,-27.00M,199.00M,-19.00M,,183.00M,,,,804.00M,1.906B,,,-63.00M,539.00M,-219.00M,0.00,,0.00,12.00M,-310.00M,-298.00M,-190.00M,-190.00M,37.00M,-451.00M,3.019B,1.236B,-39.00M,4.216B,12.00M,0.00,0.00,-310.00M,76.00M,39.00M
2019-06,817.00M,66.00M,66.00M,,,,-46.00M,61.00M,-52.00M,,-584.00M,,,,-85.00M,813.00M,,,-625.00M,-341.00M,-1.436B,268.00M,,268.00M,14.00M,-357.00M,-343.00M,-194.00M,-194.00M,-23.00M,-292.00M,3.892B,-915.00M,42.00M,3.019B,14.00M,268.00M,0.00,-357.00M,874.00M,57.00M
2019-03,928.00M,-71.00M,-71.00M,,,,-17.00M,-115.00M,35.00M,,316.00M,,,,819.00M,1.544B,,,-2.076B,961.00M,-1.291B,0.00,,0.00,12.00M,-490.00M,-478.00M,-195.00M,-195.00M,-13.00M,-686.00M,4.337B,-433.00M,-12.00M,3.892B,12.00M,0.00,0.00,-490.00M,,36.00M
2018-12,525.00M,354.00M,354.00M,,,,-109.00M,65.00M,-28.00M,,26.00M,,,,520.00M,1.355B,,,1.026B,-1.077B,-410.00M,470.00M,,470.00M,22.00M,-378.00M,-356.00M,-198.00M,-198.00M,-19.00M,-103.00M,3.429B,842.00M,66.00M,4.337B,22.00M,1.02B,,-378.00M,171.00M,57.00M
2018-09,845.00M,-55.00M,-55.00M,,,,-51.00M,446.00M,-26.00M,,218.00M,,,,667.00M,1.852B,,,1.059B,-1.582B,-1.729B,0.00,,0.00,24.00M,-322.00M,-298.00M,-199.00M,-199.00M,-28.00M,-525.00M,3.847B,-402.00M,-16.00M,3.429B,24.00M,0.00,,-322.00M,83.00M,34.00M
2018-06,833.00M,-3.00M,-3.00M,,,,-64.00M,93.00M,-15.00M,,-49.00M,,,,710.00M,1.569B,,,838.00M,-1.361B,-1.244B,-2.00M,,-2.00M,-2.00M,-305.00M,-307.00M,-201.00M,-201.00M,-5.00M,-515.00M,4.08B,-190.00M,-43.00M,3.847B,-2.00M,-2.00M,,-305.00M,348.00M,54.00M
