,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,249.00M,,130.00M,,123.00M,114.00M,27.00M,141.00M,141.00M,,,29.00M,5.00M,39.00M,,,,,,,89.00M,0.00,694.00M,,2020-09,-62.00M,,,-11.00M,-270.00M,0.00,-339.00M,,2020-09,-1.00M,,-1.00M,1.00M,-1.00M,0.00,,,,-73.00M,-24.00M,-98.00M,2020-09,462.00M,257.00M,-1.00M,718.00M,,2020-09,1.00M,0.00,-1.00M,-1.00M,,,2020-09,AOR,
2020-06,313.00M,,-85.00M,,-86.00M,122.00M,26.00M,148.00M,148.00M,,,0.00,7.00M,13.00M,,,,,,,74.00M,0.00,484.00M,,2020-06,-46.00M,,,4.00M,-5.00M,0.00,-77.00M,,2020-06,-636.00M,,-636.00M,,-49.00M,-49.00M,,,,-74.00M,-3.00M,-762.00M,2020-06,818.00M,-355.00M,-1.00M,462.00M,,2020-06,,-552.00M,-84.00M,-49.00M,,,2020-06,AOR,
2020-03,121.00M,,-46.00M,,-59.00M,122.00M,7.00M,129.00M,129.00M,,,18.00M,5.00M,17.00M,,,,,,,-63.00M,0.00,208.00M,,2020-03,-74.00M,,,-8.00M,,15.00M,-68.00M,,2020-03,551.00M,,551.00M,,-179.00M,-179.00M,,,,-74.00M,-5.00M,293.00M,2020-03,385.00M,433.00M,,818.00M,,2020-03,,611.00M,-60.00M,-179.00M,,,2020-03,AOR,
2019-12,3.463B,,-20.00M,,4.00M,124.00M,10.00M,134.00M,134.00M,,,5.00M,5.00M,26.00M,,,,,,,-2.981B,0.00,516.00M,,2019-12,-45.00M,,,-3.00M,-4.00M,5.00M,-58.00M,,2019-12,2.355B,,-216.00M,-3.00M,-115.00M,-118.00M,,,,-8.00M,-8.00M,-350.00M,2019-12,277.00M,108.00M,0.00,385.00M,,2019-12,-3.00M,-132.00M,-84.00M,-115.00M,,,2019-12,AOR,
2019-09,374.00M,,53.00M,,32.00M,104.00M,14.00M,118.00M,118.00M,,,107.00M,5.00M,24.00M,,,,,,,-201.00M,0.00,472.00M,,2019-09,-75.00M,,,15.00M,-421.00M,6.00M,-489.00M,,2019-09,213.00M,,213.00M,3.00M,-249.00M,-246.00M,,,,-8.00M,-1.00M,-42.00M,2019-09,336.00M,-59.00M,0.00,277.00M,,2019-09,3.00M,215.00M,-2.00M,-249.00M,,,2019-09,AOR,Restated
2019-06,189.00M,,-7.00M,,38.00M,99.00M,8.00M,107.00M,107.00M,,,1.00M,6.00M,13.00M,,,,,,,135.00M,0.00,516.00M,,2019-06,-59.00M,,,-1.00M,-5.00M,-23.00M,-93.00M,,2019-06,-615.00M,,-615.00M,,-292.00M,-292.00M,,,,-8.00M,-57.00M,-972.00M,2019-06,885.00M,-549.00M,0.00,336.00M,,2019-06,,1.833B,-2.448B,-292.00M,,,2019-06,AOR,Restated
2019-03,94.00M,,-15.00M,,-12.00M,98.00M,6.00M,104.00M,104.00M,,,0.00,4.00M,14.00M,,,,,,,-350.00M,8.00M,-91.00M,,2019-03,-49.00M,,,0.00,-16.00M,1.268B,1.196B,,2019-03,-37.00M,,-37.00M,,-781.00M,-781.00M,,,,-8.00M,-1.00M,-784.00M,2019-03,613.00M,272.00M,,885.00M,,2019-03,,0.00,-37.00M,-781.00M,,,2019-03,AOR,Restated
2018-12,-93.00M,,-5.00M,,67.00M,67.00M,24.00M,91.00M,91.00M,,,24.00M,4.00M,108.00M,,,,,,,203.00M,-22.00M,310.00M,,2018-12,-45.00M,,,-5.00M,-34.00M,-34.00M,-146.00M,,2018-12,105.00M,-764.00M,-659.00M,,-244.00M,-244.00M,,,,-9.00M,-31.00M,-875.00M,2018-12,1.35B,-737.00M,0.00,613.00M,,2018-12,,105.00M,-764.00M,-244.00M,,,2018-12,AOR,Restated
2018-09,288.00M,,138.00M,,136.00M,126.00M,1.00M,127.00M,127.00M,,,2.00M,6.00M,-139.00M,,,,,,,-28.00M,147.00M,554.00M,,2018-09,-61.00M,,,21.00M,-22.00M,1.294B,1.103B,,2018-09,1.00M,-622.00M,-621.00M,,-496.00M,-496.00M,,,,-9.00M,-33.00M,-1.101B,2018-09,877.00M,472.00M,1.00M,1.35B,,2018-09,,1.00M,-622.00M,-496.00M,,,2018-09,AOR,Restated
2018-06,27.00M,,58.00M,1.00M,54.00M,132.00M,11.00M,143.00M,143.00M,,,88.00M,9.00M,29.00M,,,,,,,-359.00M,145.00M,163.00M,,2018-06,-127.00M,,,-3.00M,-216.00M,-54.00M,-702.00M,,2018-06,1.033B,-348.00M,685.00M,-7.00M,-396.00M,-403.00M,,,,-9.00M,-21.00M,464.00M,2018-06,1.016B,-139.00M,,877.00M,,2018-06,-7.00M,994.00M,-309.00M,-396.00M,,,2018-06,AOR,Restated
