,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.809B,2.809B,2.034B,775.00M,253.00M,1.00M,0.00,-29.00M,99.00M,-99.00M,,353.00M,422.00M,99.00M,-99.00M,18.00M,-99.00M,341.00M,92.00M,249.00M,0.00,0.00,,249.00M,270.17M,440.00M,,2020-09,1.02,0.00,,2020-09,1.02,0.00,1.106,2020-09,244.00M,245.00M,2020-09,AOR,
2020-06,2.238B,2.238B,1.434B,804.00M,208.00M,2.00M,,,96.00M,-96.00M,,320.00M,484.00M,96.00M,-96.00M,26.00M,-96.00M,414.00M,101.00M,313.00M,,,,313.00M,313.00M,510.00M,,2020-06,1.28,0.00,,2020-06,1.27,0.00,1.27,2020-06,245.00M,246.00M,2020-06,AOR,
2020-03,2.019B,2.019B,1.457B,562.00M,209.00M,3.00M,18.00M,-15.00M,98.00M,-98.00M,,321.00M,241.00M,98.00M,-98.00M,1.00M,-98.00M,144.00M,23.00M,121.00M,0.00,,,121.00M,133.60M,242.00M,,2020-03,0.49,0.00,,2020-03,0.49,0.00,0.5406,2020-03,248.00M,249.00M,2020-03,AOR,
2019-12,2.195B,2.195B,1.654B,541.00M,212.00M,2.00M,1.00M,-11.00M,95.00M,-95.00M,,326.00M,215.00M,95.00M,-95.00M,0.00,-95.00M,120.00M,-3.343B,3.463B,-78.00M,-2.00M,,3.383B,3.469B,215.00M,,2019-12,13.24,-0.27,,2019-12,13.14,-0.27,13.17,2019-12,250.00M,252.00M,2019-12,AOR,
2019-09,2.996B,2.996B,2.153B,843.00M,210.00M,1.00M,107.00M,-108.00M,99.00M,-99.00M,,302.00M,541.00M,99.00M,-99.00M,-62.00M,-99.00M,380.00M,6.00M,374.00M,-2.00M,0.00,,372.00M,480.27M,479.00M,,2019-09,1.47,-0.01,,2019-09,1.46,-0.01,1.875,2019-09,254.00M,256.00M,2019-09,AOR,Restated
2019-06,2.465B,2.465B,1.845B,620.00M,211.00M,2.00M,,-49.00M,105.00M,-105.00M,,298.00M,322.00M,105.00M,-105.00M,-28.00M,-105.00M,188.00M,-1.00M,189.00M,13.00M,-1.00M,,201.00M,223.77M,293.00M,,2019-06,0.71,0.05,,2019-06,0.70,0.05,0.8340,2019-06,265.00M,267.00M,2019-06,AOR,Restated
2019-03,2.165B,2.165B,1.651B,514.00M,194.00M,2.00M,0.00,-12.00M,114.00M,-114.00M,,281.00M,233.00M,114.00M,-114.00M,-21.00M,-114.00M,98.00M,4.00M,94.00M,388.00M,,,482.00M,105.51M,212.00M,,2019-03,0.34,1.39,,2019-03,0.34,1.38,0.3811,2019-03,278.00M,280.00M,2019-03,AOR,Restated
2018-12,1.992B,1.992B,1.596B,396.00M,212.00M,2.00M,-1.00M,-64.00M,122.00M,-122.00M,,304.00M,92.00M,122.00M,-122.00M,-75.00M,-122.00M,-105.00M,-12.00M,-93.00M,80.00M,1.00M,,-12.00M,-35.31M,17.00M,,2018-12,-0.28,0.25,,2018-12,-0.28,0.25,-0.0865,2018-12,289.00M,293.00M,2018-12,AOR,Restated
2018-09,2.96B,2.96B,2.238B,722.00M,211.00M,1.00M,1.00M,-33.00M,122.00M,-122.00M,,311.00M,411.00M,122.00M,-122.00M,6.00M,-122.00M,295.00M,8.00M,287.00M,-336.00M,-23.00M,,-72.00M,296.11M,417.00M,,2018-09,0.88,-1.12,,2018-09,0.88,-1.12,0.9874,2018-09,299.00M,299.00M,2018-09,AOR,Restated
2018-06,2.461B,2.461B,1.889B,572.00M,200.00M,3.00M,,-84.00M,123.00M,-123.00M,,315.00M,257.00M,123.00M,-123.00M,-102.00M,-123.00M,32.00M,5.00M,27.00M,69.00M,-24.00M,,72.00M,73.90M,155.00M,,2018-06,0.01,0.22,,2018-06,0.01,0.22,0.2358,2018-06,310.00M,314.00M,2018-06,AOR,Restated
2018-03,2.065B,2.065B,1.385B,680.00M,176.00M,5.00M,,-20.00M,116.00M,-116.00M,,301.00M,379.00M,116.00M,-116.00M,-19.00M,-116.00M,244.00M,6.00M,238.00M,-5.00M,46.00M,,279.00M,303.50M,360.00M,,2018-03,0.90,-0.02,,2018-03,0.89,-0.02,0.9506,2018-03,318.00M,322.00M,2018-03,AOR,Restated
2017-12,1.828B,1.828B,1.297B,531.00M,202.00M,4.00M,,-1.616B,125.00M,-125.00M,,312.00M,219.00M,125.00M,-125.00M,-1.602B,-125.00M,-1.508B,-47.00M,-1.461B,-194.00M,121.00M,,-1.534B,225.63M,-1.383B,,2017-12,-4.22,-0.62,,2017-12,-4.22,-0.62,0.7189,2017-12,317.00M,317.00M,2017-12,AOR,Restated
