,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,189.00M,,189.00M,82.00M,54.00M,399.00M,223.00M,30.00M,,192.00M,1.033B,,,,,14.20B,478.00M,68.00M,,16.51B,17.54B,417.00M,,417.00M,,417.00M,422.00M,,7.00M,429.00M,429.00M,,,449.00M,1.295B,6.574B,,6.574B,1.803B,1.803B,423.00M,200.00M,,348.00M,10.34B,11.63B,2.00M,3.026B,2.693B,11.00M,,,,-1.00M,5.709B
2020-06,208.10M,,208.10M,386.50M,,386.50M,221.80M,,,227.90M,1.044B,,,,,13.94B,473.20M,67.30M,,16.23B,17.27B,429.90M,,429.90M,,429.90M,185.40M,,7.40M,192.80M,192.80M,,,598.20M,1.221B,6.572B,,6.572B,1.761B,1.761B,450.20M,200.00M,,357.00M,10.30B,11.52B,2.50M,2.874B,2.683B,10.20M,,,,-0.60M,5.548B
2020-03,55.20M,,55.20M,396.40M,,396.40M,220.60M,,,240.00M,912.20M,,,,,13.68B,469.50M,59.90M,,15.97B,16.88B,375.40M,,375.40M,,375.40M,80.50M,,547.20M,627.70M,627.70M,,,647.10M,1.650B,5.834B,,5.834B,1.736B,1.736B,452.60M,200.00M,,349.70M,9.526B,11.18B,2.50M,2.834B,2.674B,9.90M,,,,2.00M,5.502B
2019-12,16.30M,,16.30M,84.30M,48.00M,402.10M,227.30M,41.70M,,188.10M,875.50M,671.30M,1.835B,18.36B,-4.832B,13.53B,467.80M,72.00M,,15.83B,16.70B,422.30M,,422.30M,,422.30M,337.40M,,657.20M,994.60M,994.60M,,,637.20M,2.054B,5.533B,,5.533B,1.714B,1.714B,484.00M,200.00M,,298.90M,9.242B,11.30B,2.50M,2.765B,2.446B,10.00M,,,,1.30M,5.205B
2019-09,193.70M,,193.70M,451.50M,,451.50M,224.10M,30.30M,,213.40M,1.113B,,,,,13.13B,453.00M,72.60M,,15.42B,16.53B,497.70M,,497.70M,,497.70M,349.60M,,656.80M,1.006B,1.006B,,,578.00M,2.082B,5.535B,,5.535B,1.703B,1.703B,476.30M,200.00M,,305.60M,9.282B,11.36B,2.40M,2.739B,2.237B,10.20M,,,,1.00M,4.969B
2019-06,170.20M,,170.20M,421.50M,,421.50M,205.80M,,,229.80M,1.027B,,,,,12.85B,443.30M,68.80M,,15.09B,16.12B,422.50M,,422.50M,,422.50M,390.50M,,706.80M,1.097B,1.097B,,,429.20M,1.949B,5.438B,,5.438B,1.658B,1.658B,487.40M,200.00M,,413.60M,9.273B,11.22B,2.40M,2.598B,2.108B,10.00M,,,,1.00M,4.700B
2019-03,10.10M,,10.10M,417.90M,,417.90M,168.00M,,,219.20M,815.20M,,,,,12.67B,433.60M,72.80M,,14.90B,15.71B,387.70M,,387.70M,,387.70M,514.70M,,256.50M,771.20M,771.20M,,,428.80M,1.588B,5.362B,,5.362B,1.642B,1.642B,493.60M,200.00M,,442.90M,9.243B,10.83B,2.40M,2.587B,2.10B,9.70M,,,,2.40M,4.682B
2018-12,20.90M,,20.90M,80.50M,76.30M,350.40M,211.80M,42.20M,,159.80M,785.10M,653.70M,1.775B,17.00B,-4.537B,12.46B,431.30M,89.70M,,14.64B,15.43B,543.30M,,543.30M,,543.30M,441.20M,,256.50M,697.70M,697.70M,,,403.10M,1.644B,5.246B,,5.246B,1.603B,1.603B,509.10M,200.00M,,287.20M,8.996B,10.64B,2.40M,2.546B,2.046B,9.80M,,,,1.70M,4.586B
2018-09,239.70M,,239.70M,465.30M,,465.30M,211.10M,,,208.70M,1.125B,,,,,12.01B,424.00M,103.30M,,14.14B,15.27B,498.10M,,498.10M,,498.10M,136.80M,,506.10M,642.90M,642.90M,,,407.30M,1.548B,5.248B,,5.248B,1.575B,1.575B,487.00M,200.00M,,286.80M,8.951B,10.50B,2.40M,2.540B,2.038B,9.50M,,,,-0.20M,4.570B
2018-06,5.00M,,5.00M,415.00M,,415.00M,200.10M,,,185.80M,805.90M,,,,,11.70B,420.50M,86.40M,,13.81B,14.62B,431.10M,,431.10M,,431.10M,82.50M,,356.10M,438.60M,438.60M,,,387.70M,1.257B,5.128B,,5.128B,1.507B,1.507B,488.70M,200.00M,,310.40M,8.807B,10.06B,2.30M,2.412B,1.947B,11.40M,,,,0.10M,4.351B
2018-03,19.10M,,19.10M,343.20M,,343.20M,202.80M,,,160.80M,725.90M,,,,,11.44B,414.70M,72.40M,,13.52B,14.24B,363.10M,,363.10M,,363.10M,336.40M,95.00M,855.70M,1.287B,1.287B,,,423.30M,2.074B,4.057B,,4.057B,1.512B,1.512B,488.90M,200.00M,,313.80M,7.737B,9.810B,2.30M,2.389B,1.851B,11.10M,,,,-0.50M,4.232B
