,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.206B,3.206B,2.560B,646.30M,90.20M,,,54.40M,5.90M,-48.50M,144.90M,501.40M,5.90M,54.40M,-48.50M,,-48.50M,452.90M,120.90M,334.90M,,-21.60M,313.30M,313.30M,562.00M,54.70M,507.30M,1.45,,,1.45,1.45,1.45,,,1.45,1.45,215.40M,215.80M,0.65
2020-06,2.801B,2.801B,2.599B,201.70M,82.10M,,,53.70M,6.50M,-47.20M,139.20M,62.50M,6.50M,53.70M,-47.20M,,-47.20M,15.30M,21.90M,-14.40M,,-9.80M,-24.20M,-24.20M,126.10M,57.10M,69.00M,-0.11,,,-0.11,-0.11,-0.11,,,-0.11,-0.11,214.90M,215.40M,0.65
2020-03,3.407B,3.407B,2.843B,564.00M,86.80M,,,58.50M,12.70M,-45.80M,143.80M,420.20M,12.70M,58.50M,-45.80M,,-45.80M,374.40M,97.40M,271.70M,,-13.60M,258.10M,258.10M,489.90M,57.00M,432.90M,1.19,,,1.19,1.19,1.19,,,1.19,1.19,216.60M,217.50M,0.65
2019-12,4.141B,4.141B,3.341B,800.10M,97.50M,,,55.90M,13.40M,-47.20M,153.70M,646.40M,13.40M,55.90M,-47.20M,,-47.20M,607.90M,158.90M,449.80M,,-34.80M,415.00M,415.00M,720.00M,56.20M,663.80M,1.9,,,1.9,1.9,1.89,,,1.89,1.89,218.30M,219.10M,0.65
2019-09,3.624B,3.624B,2.995B,628.40M,97.20M,,,62.80M,13.50M,-49.30M,155.10M,473.30M,13.50M,62.80M,-49.30M,,-49.30M,424.00M,112.30M,312.20M,,-22.00M,290.20M,290.20M,544.70M,57.90M,486.80M,1.33,,,1.33,1.33,1.32,,,1.32,1.32,218.20M,219.40M,0.65
2019-06,3.720B,3.720B,2.981B,739.20M,107.70M,,,66.60M,16.40M,-50.20M,165.50M,573.70M,16.40M,66.60M,-50.20M,,-50.20M,523.50M,130.60M,394.10M,,-23.40M,370.70M,370.70M,647.90M,57.80M,590.10M,1.69,,,1.69,1.69,1.68,,,1.68,1.68,219.60M,220.90M,0.65
2019-03,3.469B,3.469B,2.877B,592.10M,103.60M,,,63.00M,17.00M,-46.00M,163.20M,428.90M,17.00M,63.00M,-46.00M,,-46.00M,382.90M,102.70M,279.70M,,-16.50M,263.20M,263.20M,505.50M,59.60M,445.90M,1.18,,,1.18,1.18,1.17,,,1.17,1.17,223.20M,224.20M,0.65
2018-12,4.087B,4.087B,3.279B,807.60M,119.10M,,,70.40M,15.20M,-60.80M,180.40M,627.20M,15.20M,70.40M,-60.80M,,-60.80M,574.10M,149.70M,429.70M,,-30.50M,399.20M,399.20M,705.80M,61.30M,644.50M,1.78,,,1.78,1.78,1.77,,,1.77,1.77,224.80M,224.90M,0.6
2018-09,3.714B,3.714B,3.033B,681.70M,113.50M,,,69.40M,12.70M,-56.70M,179.40M,502.30M,12.70M,69.40M,-56.70M,,-56.70M,445.60M,115.30M,331.30M,,-32.40M,298.90M,298.90M,580.90M,65.90M,515.00M,1.33,,,1.33,1.33,1.32,,,1.32,1.32,224.80M,225.90M,0.6
2018-06,3.860B,3.860B,3.092B,767.10M,117.40M,,,66.40M,13.90M,-52.50M,184.80M,582.30M,13.90M,66.40M,-52.50M,,-52.50M,529.80M,136.70M,394.80M,,-30.60M,364.20M,364.20M,663.60M,67.40M,596.20M,1.61,,,1.61,1.61,1.6,,,1.6,1.6,226.80M,228.10M,0.6
