,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,334.90M,,-1.40M,,-1.40M,34.50M,20.20M,54.70M,54.70M,,,17.60M,,5.90M,-914.20M,61.90M,,546.40M,,,95.00M,-210.90M,200.80M,-16.40M,,,-62.80M,,,-79.20M,0.00,16.80M,16.80M,,-13.90M,-13.90M,-139.80M,-139.80M,0.80M,-45.70M,-181.80M,3.281B,-60.20M,57.50M,3.278B,,0.00,0.00,-13.90M,155.80M,12.60M
2020-06,-14.30M,,-1.30M,,-1.30M,35.70M,21.40M,57.10M,57.10M,,,16.20M,,303.90M,1.473B,174.10M,,-1.572B,,,-311.70M,-236.60M,125.00M,-7.20M,,,1.60M,,,-5.60M,592.60M,-4.80M,587.80M,,-5.20M,-5.20M,-141.20M,-141.20M,0.90M,-56.80M,385.50M,2.692B,504.90M,83.60M,3.281B,,592.60M,0.00,-5.20M,43.10M,72.70M
2020-03,271.70M,,-4.10M,,-4.10M,36.20M,20.80M,57.00M,57.00M,,,18.70M,,18.70M,876.60M,-115.00M,,-2.085B,,,-25.90M,-1.349B,-987.20M,-26.40M,,,2.10M,,,-24.30M,-6.00M,1.70M,-4.30M,,-200.00M,-200.00M,-141.70M,-141.70M,1.40M,-46.60M,-391.20M,4.306B,-1.403B,-210.50M,2.692B,,594.00M,-600.00M,-200.00M,50.50M,31.20M
2019-12,449.80M,,-5.70M,,-5.70M,36.40M,19.80M,56.20M,56.20M,,,18.90M,,3.60M,-1.162B,210.60M,,2.181B,,,335.50M,1.565B,2.088B,-25.20M,,,-2.60M,,,-25.90M,0.00,2.00M,2.00M,,-65.00M,-65.00M,-141.80M,-141.80M,1.20M,-85.60M,-289.20M,2.440B,1.773B,92.50M,4.306B,,0.00,0.00,-65.00M,73.90M,70.00M
2019-09,312.20M,,-2.70M,,-2.70M,36.70M,21.20M,57.90M,57.90M,,,19.30M,,7.70M,585.90M,-5.40M,,-859.50M,,,145.60M,-133.40M,261.00M,-28.20M,,,-1.50M,,,-29.70M,212.40M,-611.10M,-398.70M,,-17.60M,-17.60M,-142.10M,-142.10M,1.40M,-79.10M,-636.10M,2.898B,-404.80M,-52.90M,2.440B,,1.112B,-900.00M,-17.60M,45.20M,56.50M
2019-06,394.20M,,-3.20M,,-3.20M,36.60M,21.20M,57.80M,57.80M,,,17.50M,,6.70M,-207.60M,-90.80M,,97.00M,,,-368.90M,-570.30M,-97.30M,-21.60M,,,9.30M,,,-12.30M,0.00,24.00M,24.00M,,-241.50M,-241.50M,-145.60M,-145.60M,1.90M,-67.80M,-429.00M,3.450B,-538.60M,-13.00M,2.898B,,0.00,0.00,-241.50M,178.40M,60.40M
2019-03,279.70M,,-3.20M,,-3.20M,38.00M,21.60M,59.60M,59.60M,,,16.80M,,-12.20M,626.80M,-214.20M,,-1.142B,,,-7.00M,-736.30M,-395.60M,-27.20M,,,64.20M,,,37.00M,0.00,587.10M,587.10M,,-286.10M,-286.10M,-134.80M,-134.80M,2.00M,-35.90M,132.30M,3.652B,-226.30M,23.60M,3.450B,,0.00,0.00,-286.10M,63.50M,59.40M
2018-12,429.70M,0.00,-3.30M,,-3.30M,38.50M,22.80M,61.30M,61.30M,,,16.60M,,4.50M,-939.20M,253.40M,,1.988B,,,149.50M,1.452B,1.961B,-79.50M,,,-26.20M,,,-89.80M,0.00,-3.20M,-3.20M,,-54.60M,-54.60M,-134.80M,-134.80M,4.20M,-76.10M,-264.50M,2.099B,1.607B,-53.30M,3.652B,,0.00,0.00,-54.60M,314.50M,65.80M
2018-09,331.30M,-178.40M,-3.20M,,-181.60M,40.70M,25.20M,65.90M,65.90M,,,18.80M,,39.70M,-146.10M,-168.30M,,57.70M,,,316.90M,60.20M,334.30M,-26.40M,,,187.50M,,,161.10M,0.00,-6.50M,-6.50M,,-57.50M,-57.50M,-135.60M,-135.60M,2.30M,-76.90M,-274.20M,1.913B,221.20M,-35.40M,2.099B,,0.00,0.00,-57.50M,0.00,62.00M
2018-06,394.80M,,-3.20M,,-3.20M,40.40M,27.00M,67.40M,67.40M,,,17.60M,,7.00M,200.40M,-82.50M,,-281.10M,,,-272.50M,-435.70M,47.90M,-53.60M,,,-32.00M,,,-85.60M,,13.30M,13.30M,,-236.50M,-236.50M,-139.20M,-139.20M,3.20M,-116.30M,-475.50M,2.568B,-513.20M,-141.60M,1.913B,,,,-236.50M,193.20M,59.60M
2018-03,284.70M,,-3.20M,,-3.20M,41.90M,27.50M,69.40M,69.40M,,,17.50M,,6.90M,973.20M,-271.90M,,-1.522B,,,-175.30M,-996.10M,-620.80M,-36.20M,,,-171.30M,,,-207.50M,,-3.60M,-3.60M,,-232.70M,-232.70M,-138.90M,-138.90M,3.30M,-55.00M,-426.90M,3.796B,-1.255B,27.30M,2.568B,,,,-232.70M,83.20M,55.80M
2017-12,287.80M,,,,-12.90M,42.70M,27.00M,69.70M,69.70M,,13.70M,19.60M,,126.20M,-986.90M,286.30M,,2.074B,,,302.40M,1.676B,2.180B,-47.70M,,,-57.10M,66.90M,,-37.90M,,-25.60M,-25.60M,,-46.10M,-46.10M,-127.30M,-127.30M,2.10M,-23.80M,-220.70M,1.843B,1.921B,31.70M,3.796B,,,,-46.10M,168.00M,57.60M
2017-09,286.90M,0.00,,,0.00,40.70M,27.90M,68.60M,68.60M,,-13.70M,20.60M,,11.40M,185.00M,-3.40M,,-524.90M,,,144.50M,-198.80M,175.00M,-40.40M,,,50.30M,-25.40M,,-15.50M,,17.70M,17.70M,,-47.60M,-47.60M,-127.20M,-127.20M,2.10M,-64.20M,-219.20M,1.834B,-59.70M,68.70M,1.843B,,,,-47.60M,59.00M,57.40M
2017-06,355.10M,,,,,42.60M,28.50M,71.10M,71.10M,,,20.70M,,-4.70M,-319.20M,-64.00M,,331.70M,,,-526.40M,-577.90M,-135.70M,-35.80M,,,-0.30M,19.30M,,-16.80M,,-8.80M,-8.80M,,-240.00M,-240.00M,-129.90M,-129.90M,3.40M,-140.80M,-516.10M,2.442B,-668.60M,60.40M,1.834B,,,,-240.00M,403.80M,164.40M
