,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.278B,0.00,3.278B,6.298B,,6.298B,1.174B,1.174B,,1.111B,11.86B,,2.989B,2.989B,-1.148B,1.841B,9.438B,306.20M,9.745B,81.40M,,250.00M,11.92B,23.78B,8.573B,186.10M,8.759B,,8.759B,,23.60M,23.60M,23.60M,1.130B,1.130B,2.252B,12.16B,5.762B,1.149B,6.910B,424.60M,424.60M,483.10M,210.20M,948.60M,8.494B,20.66B,44.60M,7.933B,741.80M,4.700B,-1.381B,2.639B
2020-06,3.281B,0.00,3.281B,5.291B,,5.291B,1.159B,1.159B,,1.163B,10.89B,,2.983B,2.983B,-1.115B,1.868B,9.255B,297.60M,9.553B,82.20M,,244.80M,11.75B,22.64B,7.920B,231.10M,8.151B,,8.151B,,6.40M,6.40M,6.40M,1.07B,1.07B,2.104B,11.33B,5.714B,1.176B,6.890B,428.70M,428.70M,448.40M,179.80M,950.50M,8.449B,19.78B,44.60M,7.759B,801.20M,4.736B,-1.457B,2.413B
2020-03,2.692B,1.60M,2.694B,6.690B,,6.690B,1.313B,1.313B,,1.152B,11.85B,,3.118B,3.118B,-1.131B,1.988B,9.199B,315.80M,9.514B,92.70M,,231.10M,11.83B,23.68B,9.387B,268.40M,9.656B,,9.656B,,10.90M,10.90M,10.90M,1.076B,1.076B,2.115B,12.86B,5.093B,1.228B,6.322B,401.60M,401.60M,477.00M,204.20M,966.70M,7.894B,20.75B,44.60M,7.924B,755.80M,4.749B,-1.528B,2.448B
2019-12,4.306B,3.60M,4.309B,7.829B,,7.829B,1.258B,1.258B,,1.189B,14.58B,,3.204B,3.204B,-1.143B,2.062B,9.440B,338.20M,9.779B,106.80M,,251.50M,12.20B,26.78B,11.77B,252.80M,12.02B,,12.02B,,612.50M,612.50M,612.50M,1.215B,1.215B,2.132B,15.98B,4.532B,1.275B,5.807B,408.10M,408.10M,519.80M,207.30M,1.007B,7.429B,23.41B,44.60M,7.806B,760.90M,4.560B,-1.198B,2.854B
2019-09,2.440B,5.20M,2.446B,6.548B,,6.548B,1.428B,1.428B,,1.180B,11.60B,,3.186B,3.186B,-1.137B,2.048B,9.291B,334.50M,9.626B,110.50M,,268.10M,12.05B,23.65B,9.440B,191.30M,9.631B,,9.631B,7.90M,603.40M,611.30M,611.30M,1.059B,1.059B,1.958B,13.26B,4.507B,1.277B,5.784B,423.90M,423.90M,523.40M,222.80M,975.50M,7.406B,20.67B,44.60M,7.533B,728.60M,4.493B,-1.349B,2.464B
2019-06,2.898B,5.40M,2.904B,7.245B,,7.245B,1.364B,1.364B,,1.291B,12.80B,,3.259B,3.259B,-1.144B,2.115B,9.365B,353.50M,9.718B,111.70M,,294.30M,12.24B,25.04B,10.45B,123.40M,10.57B,,10.57B,608.50M,899.50M,1.508B,1.508B,1.094B,1.094B,1.897B,15.07B,4.026B,1.318B,5.344B,438.00M,438.00M,549.20M,257.70M,975.10M,7.015B,22.08B,44.60M,7.385B,726.20M,4.510B,-1.235B,2.410B
2019-03,3.450B,5.40M,3.455B,7.037B,,7.037B,1.314B,1.314B,,1.266B,13.07B,,3.136B,3.136B,-1.150B,1.985B,9.379B,367.90M,9.747B,118.40M,,288.70M,12.14B,25.21B,10.34B,184.50M,10.53B,,10.53B,,1.095B,1.095B,1.095B,1.104B,1.104B,2.186B,14.91B,4.402B,1.218B,5.62B,418.90M,418.90M,556.30M,262.50M,1.027B,7.328B,22.24B,44.60M,7.157B,718.00M,4.288B,-1.218B,2.413B
2018-12,3.652B,5.50M,3.658B,7.666B,,7.666B,1.162B,1.162B,,1.241B,13.73B,,1.879B,1.879B,-1.185B,694.40M,9.384B,382.80M,9.767B,120.90M,,307.70M,10.89B,24.62B,11.46B,180.60M,11.64B,,11.64B,,507.70M,507.70M,507.70M,1.159B,1.159B,1.959B,15.27B,4.384B,0.00,4.384B,413.70M,413.70M,559.80M,244.30M,1.198B,6.240B,21.51B,44.60M,7.016B,728.80M,4.014B,-1.228B,2.547B
2018-09,2.099B,6.70M,2.106B,6.811B,,6.811B,1.359B,1.359B,,1.299B,11.58B,,,1.886B,-1.212B,673.10M,9.420B,387.70M,9.808B,118.90M,,312.30M,10.91B,22.49B,9.568B,283.10M,9.851B,,9.851B,,,510.70M,510.70M,1.142B,1.142B,1.776B,13.28B,4.358B,,4.358B,398.90M,398.90M,564.00M,228.70M,1.276B,6.262B,19.54B,44.60M,6.752B,743.30M,3.972B,-1.186B,2.382B
2018-06,1.913B,5.40M,1.919B,6.760B,,6.760B,1.354B,1.354B,,1.197B,11.23B,,,1.973B,-1.276B,697.20M,9.443B,377.70M,9.820B,120.30M,,301.60M,10.94B,22.17B,9.568B,263.40M,9.832B,,9.832B,,,20.80M,20.80M,1.147B,1.147B,1.618B,12.62B,4.867B,,4.867B,451.00M,451.00M,537.50M,178.50M,1.196B,6.693B,19.31B,44.60M,6.588B,811.50M,3.955B,-1.167B,2.321B
2018-03,2.568B,1.90M,2.57B,7.199B,,7.199B,1.378B,1.378B,,1.192B,12.34B,,,1.989B,-1.298B,691.70M,9.635B,424.70M,10.06B,122.40M,,300.40M,11.17B,23.51B,10.16B,359.70M,10.52B,,10.52B,,,8.60M,8.60M,1.214B,1.214B,1.857B,13.60B,4.885B,,4.885B,454.40M,454.40M,590.40M,175.30M,1.183B,6.698B,20.30B,44.60M,6.360B,833.00M,3.736B,-875.10M,2.626B
2017-12,3.796B,0.40M,3.796B,8.084B,,8.084B,1.111B,1.111B,,1.125B,14.12B,,,1.970B,-1.279B,690.90M,9.338B,368.40M,9.706B,120.30M,,298.10M,10.82B,24.93B,11.57B,330.00M,11.90B,,11.90B,,11.80M,11.80M,11.80M,1.267B,1.267B,1.926B,15.11B,4.913B,,4.913B,483.60M,483.60M,537.10M,182.40M,1.091B,6.670B,21.78B,44.60M,6.211B,828.30M,3.505B,-963.00M,2.615B
2017-09,1.843B,8.00M,1.851B,7.046B,,7.046B,1.458B,1.458B,,1.063B,11.42B,,,1.992B,-1.301B,690.50M,9.323B,390.40M,9.713B,129.10M,,257.10M,10.79B,22.21B,9.428B,321.00M,9.749B,,9.749B,,,38.70M,38.70M,1.133B,1.133B,1.701B,12.62B,4.927B,,4.927B,472.50M,472.50M,519.10M,190.10M,954.70M,6.545B,19.17B,44.60M,6.095B,809.00M,3.468B,-958.20M,2.522B
2017-06,1.834B,40.40M,1.874B,7.143B,,7.143B,1.402B,1.402B,,1.086B,11.51B,,,1.964B,-1.277B,687.70M,9.182B,392.30M,9.574B,126.30M,,270.00M,10.66B,22.16B,9.849B,225.10M,10.07B,,10.07B,,,19.30M,19.30M,1.141B,1.141B,1.629B,12.86B,4.93B,,4.93B,490.30M,490.30M,502.90M,190.00M,930.40M,6.541B,19.40B,44.60M,5.959B,824.20M,3.460B,-1.112B,2.256B
2017-03,2.442B,43.60M,2.486B,6.797B,,6.797B,1.350B,1.350B,,1.096B,11.73B,,,1.931B,-1.252B,678.20M,9.075B,414.10M,9.489B,117.70M,,223.30M,10.51B,22.24B,9.454B,391.80M,9.845B,,9.845B,,,28.60M,28.60M,1.177B,1.177B,2.020B,13.07B,4.914B,,4.914B,458.30M,458.30M,531.90M,191.10M,936.80M,6.501B,19.57B,44.60M,5.758B,823.90M,3.239B,-1.253B,2.135B
2016-12,3.002B,20.60M,3.023B,7.511B,,7.511B,1.125B,1.125B,,1.063B,12.72B,,,1.908B,-1.233B,674.80M,8.976B,427.40M,9.404B,120.40M,,244.70M,10.44B,23.17B,10.48B,349.60M,10.83B,,10.83B,,,28.80M,28.80M,1.187B,1.187B,1.969B,14.01B,4.920B,,4.920B,480.50M,480.50M,497.60M,201.60M,892.30M,6.495B,20.51B,44.60M,5.677B,798.30M,3.002B,-1.356B,2.162B
2016-09,1.937B,32.60M,1.969B,6.489B,,6.489B,1.355B,1.355B,,1.019B,10.83B,,,1.937B,-1.258B,678.90M,9.046B,443.40M,9.490B,137.20M,,264.40M,10.57B,21.40B,8.817B,217.30M,9.034B,,9.034B,,,25.20M,25.20M,1.126B,1.126B,1.775B,11.96B,5.007B,,5.007B,539.00M,539.00M,502.80M,218.90M,849.40M,6.615B,18.58B,59.60M,10.59B,787.60M,8.027B,-1.090B,2.324B
2016-06,1.306B,231.00M,1.537B,6.423B,,6.423B,1.365B,1.365B,,989.80M,10.31B,,,1.918B,-1.235B,683.40M,9.068B,457.40M,9.526B,137.50M,,274.30M,10.62B,20.94B,8.507B,155.60M,8.663B,,8.663B,,,11.70M,11.70M,1.163B,1.163B,1.703B,11.54B,5.022B,,5.022B,553.00M,553.00M,491.20M,223.80M,822.30M,6.621B,18.16B,59.60M,10.47B,794.50M,7.981B,-1.062B,2.282B
