,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,162.00M,,-181.00M,-181.00M,281.00M,281.00M,30.00M,,-46.00M,-230.00M,62.00M,25.00M,,,-61.00M,-204.00M,,132.00M,,-647.00M,58.00M,31.00M,,,20.00M,-569.00M,,70.00M,,70.00M,146.00M,,146.00M,,,,,-116.00M,-36.00M,64.00M,,558.00M,-373.00M,,185.00M,,146.00M,786.00M,-716.00M,,,,,AOR,
2020-09,210.00M,,0.00,0.00,228.00M,228.00M,45.00M,,4.00M,88.00M,-133.00M,6.00M,,,-100.00M,-139.00M,,348.00M,,-796.00M,0.00,-45.00M,,,-334.00M,-1.13B,,-578.00M,,-578.00M,3.00M,,3.00M,,,234.00M,,-117.00M,428.00M,-264.00M,,1.604B,-1.046B,,558.00M,,3.00M,234.00M,-812.00M,,,,,AOR,
2020-06,137.00M,,0.00,0.00,223.00M,223.00M,28.00M,,11.00M,147.00M,-72.00M,77.00M,,,44.00M,196.00M,,595.00M,,-458.00M,,-35.00M,,,-151.00M,-609.00M,,904.00M,,904.00M,3.00M,,3.00M,,,-118.00M,,-118.00M,-32.00M,757.00M,,861.00M,743.00M,,1.604B,,3.00M,1.287B,-383.00M,,,,,AOR,
2020-03,243.00M,,-531.00M,-531.00M,316.00M,316.00M,67.00M,,9.00M,-17.00M,171.00M,-54.00M,,,-3.00M,97.00M,,201.00M,,-547.00M,,-24.00M,,,-12.00M,-559.00M,,1.099B,,1.099B,101.00M,,101.00M,,,-116.00M,,-116.00M,-22.00M,1.062B,,157.00M,704.00M,,861.00M,,101.00M,1.198B,-99.00M,,,,,AOR,
2019-12,168.00M,,-10.00M,-10.00M,263.00M,263.00M,61.00M,,-47.00M,-252.00M,93.00M,13.00M,,,39.00M,-107.00M,,395.00M,,-563.00M,1.00M,-28.00M,,,-42.00M,-604.00M,,59.00M,,59.00M,3.00M,,3.00M,,,,,-110.00M,-19.00M,-67.00M,,433.00M,-276.00M,,157.00M,,3.00M,174.00M,-115.00M,,,,,AOR,Restated
2019-09,207.00M,,0.00,0.00,215.00M,215.00M,29.00M,,-20.00M,107.00M,-147.00M,-34.00M,,,-147.00M,-221.00M,,210.00M,,-653.00M,96.00M,40.00M,,,-245.00M,-802.00M,,806.00M,,806.00M,3.00M,,3.00M,,,218.00M,,-108.00M,-10.00M,691.00M,,334.00M,99.00M,,433.00M,,3.00M,775.00M,31.00M,,,,,AOR,Restated
2019-06,94.00M,,0.00,0.00,216.00M,216.00M,17.00M,,-7.00M,251.00M,-111.00M,41.00M,,,67.00M,248.00M,,568.00M,,-512.00M,,-20.00M,,,-223.00M,-735.00M,,338.00M,,338.00M,3.00M,,3.00M,,,-110.00M,,-110.00M,3.00M,234.00M,,267.00M,67.00M,,334.00M,,3.00M,682.00M,-344.00M,,,,,AOR,Restated
2019-03,213.00M,,0.00,0.00,298.00M,298.00M,43.00M,,16.00M,-61.00M,209.00M,-89.00M,,,-12.00M,47.00M,,617.00M,,-508.00M,,-27.00M,,,-167.00M,-675.00M,,287.00M,,287.00M,3.00M,,3.00M,,,-108.00M,,-108.00M,-32.00M,150.00M,,175.00M,92.00M,,267.00M,,3.00M,1.144B,-857.00M,,,,,AOR,Restated
2018-12,109.00M,,,,244.00M,244.00M,92.00M,,-25.00M,-284.00M,90.00M,68.00M,,,42.00M,-84.00M,,138.00M,,-546.00M,0.00,-44.00M,,0.00,-245.00M,-791.00M,,710.00M,-110.00M,600.00M,2.00M,,2.00M,,,,,-102.00M,-38.00M,462.00M,,366.00M,-191.00M,,175.00M,,2.00M,1.875B,-1.165B,,,,,AOR,Restated
2018-09,169.00M,,,,206.00M,206.00M,30.00M,,25.00M,1.00M,-177.00M,-5.00M,,,-100.00M,-281.00M,,149.00M,,-746.00M,0.00,-46.00M,,146.00M,-207.00M,-807.00M,,570.00M,110.00M,680.00M,3.00M,,3.00M,,,,,-101.00M,-59.00M,523.00M,,501.00M,-135.00M,,366.00M,,3.00M,402.00M,168.00M,,,,,AOR,Restated
