,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,771.00M,,,,11.00M,,116.00M,116.00M,-69.00M,,,,19.00M,,-46.00M,-176.00M,-222.00M,1.296B,,-53.00M,,-53.00M,,-5.224B,,-5.575B,,-1.31B,,-1.31B,2.00M,0.00,2.00M,0.00,,0.00,,-135.00M,,,-799.00M,,15.17B,-5.078B,,10.09B,,2.00M,-1.00M,-1.309B,0.00,,,,AOR,
2020-06,-368.00M,,,,-28.00M,,123.00M,123.00M,-291.00M,,,,58.00M,,167.00M,-41.00M,126.00M,1.587B,,-94.00M,,-94.00M,,-2.256B,,996.00M,,-2.91B,,-2.91B,3.00M,0.00,3.00M,493.00M,,493.00M,,-151.00M,,,1.373B,,11.21B,3.956B,,15.17B,,496.00M,-1.00M,-2.909B,0.00,,,,AOR,
2020-03,-61.00M,,,,-23.00M,,123.00M,123.00M,-240.00M,,,,10.00M,,-279.00M,429.00M,150.00M,1.68B,,-59.00M,,-59.00M,,188.00M,,2.397B,,-14.00M,,-14.00M,2.00M,-343.00M,-341.00M,,,,,-138.00M,,,170.00M,,6.964B,4.247B,,11.21B,,2.00M,496.00M,-510.00M,-343.00M,,,,AOR,
2019-12,708.00M,,,,7.00M,,121.00M,121.00M,95.00M,,,,-110.00M,,86.00M,-169.00M,-83.00M,1.464B,,-72.00M,,-72.00M,,1.013B,,-3.055B,,1.282B,,1.282B,1.00M,-401.00M,-400.00M,0.00,,0.00,,-153.00M,,,2.443B,,6.112B,852.00M,,6.964B,,1.00M,1.491B,-209.00M,-401.00M,,,,AOR,
2019-09,770.00M,,,,9.00M,,113.00M,113.00M,-45.00M,,,,20.00M,,-727.00M,-10.00M,-737.00M,819.00M,,-61.00M,,-61.00M,,-3.071B,,-6.03B,,-748.00M,,-748.00M,2.00M,-419.00M,-417.00M,0.00,,0.00,,-141.00M,,,-30.00M,,11.35B,-5.241B,,6.112B,,2.00M,1.539B,-2.287B,-419.00M,,,,AOR,Restated
2019-06,753.00M,,,,11.00M,,103.00M,103.00M,-31.00M,,,,21.00M,,28.00M,6.00M,34.00M,1.578B,,-69.00M,,-69.00M,,-2.254B,,-4.421B,,-1.222B,,-1.222B,2.00M,-461.00M,-459.00M,0.00,,0.00,,-145.00M,,,-1.017B,,15.21B,-3.86B,,11.35B,,2.00M,-8.00M,-1.214B,-461.00M,,,,AOR,Restated
2019-03,726.00M,,,,10.00M,,99.00M,99.00M,-19.00M,,,,18.00M,,822.00M,-29.00M,793.00M,2.335B,,-82.00M,,-82.00M,,-2.834B,,-1.768B,,-1.026B,,-1.026B,2.00M,-487.00M,-485.00M,,,,,-134.00M,,,-499.00M,,15.14B,68.00M,,15.21B,,2.00M,1.837B,-2.863B,-487.00M,,,,AOR,Restated
2018-12,687.00M,,,,12.00M,,109.00M,109.00M,,,,,15.00M,,-711.00M,-50.00M,-761.00M,761.00M,,-77.00M,,-77.00M,,-1.575B,,-5.814B,,129.00M,,129.00M,1.00M,-465.00M,-464.00M,,,,,-151.00M,,,3.589B,,16.61B,-1.464B,,15.14B,,1.00M,1.688B,-1.559B,-465.00M,,,,AOR,Restated
2018-09,720.00M,,,,11.00M,,110.00M,110.00M,,,,,-29.00M,,303.00M,-147.00M,156.00M,1.606B,,-59.00M,,-59.00M,,-298.00M,,-3.036B,,729.00M,,729.00M,2.00M,-460.00M,-458.00M,,,,,-137.00M,,,2.12B,,15.92B,690.00M,,16.61B,,2.00M,2.283B,-1.554B,-460.00M,,,,AOR,Restated
2018-06,669.00M,,,,11.00M,,109.00M,109.00M,,,,,3.00M,,210.00M,-61.00M,149.00M,1.586B,,-60.00M,,-60.00M,,13.00M,,-2.645B,,-5.00M,,-5.00M,1.00M,-556.00M,-555.00M,,,,,-122.00M,,,-120.00M,,17.10B,-1.179B,,15.92B,,1.00M,540.00M,-545.00M,-556.00M,,,,AOR,Restated
