,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,25.70B,,25.70B,,,25.70B,,,,,,,1.027B,,,350.00M,90.45B,8.226B,,82.22B,,87.19B,112.89B,,,,,3.86B,3.86B,0.00,0.00,0.00,3.86B,21.24B,,21.24B,76.90B,98.14B,102.00B,,,,,,,,10.88B,,AOR,
2020-09,9.513B,8.048B,17.56B,,,17.56B,,,,,,,1.121B,255.00M,95.00M,350.00M,88.66B,8.226B,,80.43B,28.90B,114.26B,124.35B,,,,,3.541B,3.541B,10.70B,10.70B,10.70B,14.24B,21.84B,,21.84B,78.02B,99.86B,114.10B,,1.062B,19.29B,4.235B,14.43B,1.056B,93.00M,10.25B,,AOR,
2020-06,15.14B,2.549B,17.69B,,,17.69B,,,,,,,1.115B,255.00M,96.00M,351.00M,88.93B,8.184B,,80.74B,13.03B,98.62B,113.79B,,,,,3.591B,3.591B,,,,3.591B,23.19B,,23.19B,77.36B,100.56B,104.15B,,1.062B,18.67B,4.216B,14.43B,1.056B,122.00M,9.643B,,AOR,
2020-03,10.03B,,10.03B,,,10.03B,,,,,,,1.07B,255.00M,155.00M,410.00M,92.96B,6.913B,,86.05B,10.78B,101.45B,112.66B,,,,,3.476B,3.476B,,,,3.476B,26.10B,,26.10B,73.42B,99.52B,102.99B,,569.00M,19.18B,4.217B,14.43B,563.00M,134.00M,9.665B,,AOR,
2019-12,6.924B,,6.924B,,,6.924B,42.00M,693.00M,1.933B,,2.668B,-1.611B,1.057B,255.00M,155.00M,410.00M,95.89B,3.383B,,92.51B,10.60B,107.03B,114.00B,,,,,3.69B,3.69B,,,,3.69B,25.70B,,25.70B,72.75B,98.45B,102.14B,,569.00M,21.29B,4.206B,14.09B,563.00M,-119.00M,11.86B,,AOR,
2019-09,7.075B,,7.075B,,,7.075B,,,,,,,1.028B,255.00M,159.00M,414.00M,92.49B,3.299B,,89.19B,10.65B,103.67B,110.79B,,,,,3.594B,3.594B,,,,3.594B,24.45B,,24.45B,71.02B,95.48B,99.07B,,569.00M,20.72B,4.188B,13.69B,563.00M,-74.00M,11.72B,,AOR,Restated
2019-06,10.31B,1.00B,11.31B,,,11.31B,,,,,,,1.008B,255.00M,160.00M,415.00M,90.23B,3.202B,,87.03B,8.581B,99.35B,110.71B,,,,,4.317B,4.317B,,,,4.317B,25.16B,,25.16B,69.73B,94.90B,99.21B,,569.00M,20.11B,4.167B,13.27B,563.00M,-83.00M,11.49B,,AOR,Restated
2019-03,15.17B,1.00B,16.17B,,,16.17B,,,,,,,980.00M,255.00M,160.00M,415.00M,88.74B,3.134B,,85.61B,6.243B,95.51B,110.72B,,,,,4.269B,4.269B,,,,4.269B,26.28B,,26.28B,68.92B,95.19B,99.46B,,569.00M,19.48B,4.148B,12.81B,563.00M,-136.00M,11.26B,,AOR,Restated
2018-12,13.30B,,13.30B,,,13.30B,42.00M,671.00M,1.685B,,2.398B,-1.462B,936.00M,255.00M,161.00M,416.00M,90.51B,3.041B,,87.47B,3.37B,94.41B,109.55B,,,,,3.436B,3.436B,,,,3.436B,27.23B,,27.23B,67.76B,94.99B,98.42B,,569.00M,18.91B,4.13B,12.32B,563.00M,-156.00M,11.13B,,AOR,Restated
2018-09,16.02B,,16.02B,,,16.02B,,,,,,,896.00M,255.00M,162.00M,417.00M,86.89B,2.927B,,83.97B,1.801B,89.23B,105.84B,,,,,4.154B,4.154B,,,,4.154B,27.00B,,27.00B,63.67B,90.67B,94.83B,,569.00M,18.35B,4.107B,11.85B,563.00M,-160.00M,11.02B,,AOR,Restated
2018-06,15.29B,,15.29B,,,15.29B,,,,,,,874.00M,255.00M,162.00M,417.00M,84.79B,2.828B,,81.96B,1.522B,86.83B,102.75B,,,,,3.927B,3.927B,,,,3.927B,26.25B,,26.25B,61.68B,87.94B,91.86B,,569.00M,17.79B,4.089B,11.39B,563.00M,-162.00M,10.89B,,AOR,Restated
2018-03,17.01B,,17.01B,,,17.01B,,,,,,,848.00M,255.00M,162.00M,417.00M,82.74B,2.736B,,80.01B,1.543B,84.87B,101.97B,,,,,3.722B,3.722B,,,,3.722B,26.24B,,26.24B,61.13B,87.37B,91.10B,,569.00M,17.21B,4.068B,10.84B,563.00M,-139.00M,10.87B,,AOR,Restated
2017-12,13.31B,,13.31B,,,13.31B,42.00M,641.00M,1.476B,,2.159B,-1.334B,825.00M,255.00M,163.00M,418.00M,84.25B,2.621B,,81.63B,1.568B,86.70B,100.09B,,,,,4.105B,4.105B,,,,4.105B,26.33B,,26.33B,58.76B,85.09B,89.20B,,569.00M,16.69B,4.042B,10.25B,563.00M,-152.00M,10.89B,,AOR,Restated
2017-09,13.25B,,13.25B,,,13.25B,,,,,,,800.00M,255.00M,163.00M,418.00M,80.44B,2.531B,,77.91B,1.627B,83.08B,97.61B,,,,,3.549B,3.549B,,,,3.549B,26.74B,,26.74B,56.14B,82.87B,86.42B,,566.00M,16.45B,4.016B,9.699B,560.00M,-148.00M,11.19B,,AOR,Restated
2017-06,12.95B,,12.95B,,,12.95B,,,,,,,774.00M,255.00M,164.00M,419.00M,78.00B,2.384B,,75.61B,1.679B,80.71B,93.76B,,,,,3.196B,3.196B,,,,3.196B,26.44B,,26.44B,52.86B,79.30B,82.50B,,566.00M,15.99B,3.997B,9.143B,560.00M,-150.00M,11.26B,,AOR,Restated
2017-03,15.16B,,15.16B,,,15.16B,,,,,,,750.00M,255.00M,165.00M,420.00M,75.85B,2.264B,,73.59B,1.718B,78.53B,94.80B,,,,,3.185B,3.185B,,,,3.185B,26.82B,,26.82B,53.52B,80.34B,83.53B,,566.00M,15.57B,3.979B,8.693B,560.00M,-155.00M,11.26B,,AOR,Restated
2016-12,11.91B,,11.91B,,,11.91B,42.00M,617.00M,1.296B,2.00M,1.957B,-1.223B,734.00M,255.00M,166.00M,421.00M,77.25B,2.167B,,75.09B,1.757B,80.30B,92.31B,,,,,3.55B,3.55B,,,,3.55B,25.44B,,25.44B,51.99B,77.44B,80.98B,,565.00M,15.13B,3.962B,8.173B,560.00M,-161.00M,11.32B,,AOR,Restated
2016-09,12.08B,850.00M,12.93B,,,12.93B,,,,,,,722.00M,255.00M,166.00M,421.00M,73.55B,2.024B,,71.53B,2.705B,77.52B,90.54B,,,,,3.119B,3.119B,,,,3.119B,26.83B,,26.83B,49.24B,76.08B,79.19B,,565.00M,14.70B,3.946B,7.695B,560.00M,-165.00M,11.35B,,AOR,Restated
2016-06,10.62B,1.05B,11.67B,,,11.67B,,,,,,,708.00M,255.00M,167.00M,422.00M,71.92B,1.949B,,69.98B,3.521B,76.80B,87.51B,,,,,2.906B,2.906B,,,,2.906B,24.68B,,24.68B,48.53B,73.21B,76.11B,,565.00M,14.19B,3.932B,7.114B,560.00M,-174.00M,11.40B,,AOR,Restated
2016-03,12.14B,,12.14B,,,12.14B,,,,,,,706.00M,255.00M,167.00M,422.00M,70.32B,1.921B,,68.40B,2.956B,74.95B,88.09B,,,,,3.56B,3.56B,,,,3.56B,24.75B,,24.75B,48.46B,73.22B,76.78B,,565.00M,13.70B,3.913B,6.688B,560.00M,-172.00M,11.32B,,AOR,Restated
2015-12,9.572B,,9.572B,,,9.572B,42.00M,607.00M,1.281B,2.00M,1.932B,-1.239B,693.00M,255.00M,168.00M,423.00M,72.38B,1.869B,,70.52B,3.084B,77.13B,86.80B,,,,,3.343B,3.343B,,,,3.343B,24.65B,,24.65B,47.53B,72.18B,75.52B,,565.00M,13.25B,3.885B,6.265B,560.00M,-160.00M,11.28B,,AOR,Restated
2015-09,10.25B,,10.25B,,,10.25B,,,,,,,684.00M,255.00M,169.00M,424.00M,70.08B,1.743B,,68.34B,3.302B,75.26B,85.61B,,,,,3.903B,3.903B,0.00,0.00,0.00,3.903B,23.80B,,23.80B,46.60B,70.40B,74.31B,,565.00M,12.88B,3.868B,5.83B,560.00M,-180.00M,11.30B,,AOR,Restated
2015-06,10.60B,,10.60B,,,10.60B,,,,,,,688.00M,255.00M,170.00M,425.00M,69.03B,1.735B,,67.29B,2.701B,73.56B,84.91B,,,,,3.089B,3.089B,144.00M,144.00M,144.00M,3.233B,24.10B,,24.10B,46.32B,70.42B,73.65B,,565.00M,12.40B,3.853B,5.395B,560.00M,-160.00M,11.26B,,AOR,Restated
2015-03,11.81B,,11.81B,,,11.81B,,,,,,,678.00M,257.00M,175.00M,432.00M,67.65B,1.776B,,65.87B,2.778B,72.26B,84.18B,,,,,3.45B,3.45B,166.00M,166.00M,166.00M,3.616B,22.92B,1.00M,22.92B,46.43B,69.35B,72.97B,,565.00M,11.94B,3.841B,4.97B,560.00M,-161.00M,11.21B,,AOR,Restated
2014-12,7.284B,,7.284B,,,7.284B,43.00M,589.00M,1.175B,2.00M,1.809B,-1.139B,670.00M,257.00M,176.00M,433.00M,69.97B,1.746B,,68.22B,3.949B,75.74B,83.13B,,,,,3.246B,3.246B,113.00M,113.00M,113.00M,3.359B,22.54B,1.00M,22.54B,46.09B,68.63B,71.99B,,565.00M,11.47B,3.79B,4.55B,560.00M,-138.00M,11.13B,,AOR,Restated
