,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.673B,1.673B,601.00M,1.072B,216.00M,149.00M,365.00M,451.00M,5.00M,0.00,,,-6.00M,,821.00M,251.00M,,,-6.00M,,-6.00M,245.00M,34.00M,211.00M,,211.00M,211.00M,297.00M,46.00M,251.00M,,0.73,,0.73,0.73,,0.72,,0.72,0.72,,290.00M,292.00M,0.17,,AOR,
2020-09,1.151B,1.151B,286.00M,865.00M,156.00M,133.00M,289.00M,421.00M,6.00M,0.00,11.00M,,-11.00M,,716.00M,149.00M,,11.00M,-11.00M,1.00M,-11.00M,139.00M,-46.00M,185.00M,,185.00M,185.00M,190.00M,40.00M,150.00M,,0.64,,0.64,0.64,,0.63,,0.63,0.63,,289.00M,293.00M,,,AOR,
2020-06,1.459B,1.459B,288.00M,1.171B,121.00M,136.00M,257.00M,438.00M,5.00M,0.00,10.00M,,-11.00M,,700.00M,471.00M,,10.00M,-11.00M,8.00M,-11.00M,468.00M,103.00M,365.00M,,365.00M,365.00M,515.00M,37.00M,478.00M,,1.27,,1.27,1.27,,1.25,,1.25,1.25,,288.00M,292.00M,,,AOR,
2020-03,1.387B,1.387B,269.00M,1.118B,167.00M,142.00M,309.00M,402.00M,6.00M,0.00,,,6.00M,,717.00M,401.00M,,,6.00M,7.00M,6.00M,414.00M,-4.00M,418.00M,,418.00M,418.00M,540.00M,39.00M,501.00M,,1.44,,1.44,1.44,,1.43,,1.43,1.43,,290.00M,292.00M,,,AOR,
2019-12,1.593B,1.593B,508.00M,1.085B,202.00M,126.00M,328.00M,389.00M,5.00M,-2.00M,,,13.00M,,722.00M,363.00M,,,13.00M,-2.00M,13.00M,374.00M,28.00M,346.00M,,346.00M,347.84M,402.00M,39.00M,363.00M,,1.18,,1.186,1.18,,1.18,,1.186,1.18,,292.00M,294.00M,,,AOR,Restated
2019-09,1.348B,1.348B,405.00M,943.00M,152.00M,128.00M,280.00M,387.00M,6.00M,-2.00M,11.00M,,-11.00M,,673.00M,270.00M,,11.00M,-11.00M,25.00M,-11.00M,284.00M,-570.00M,854.00M,,854.00M,855.46M,330.00M,35.00M,295.00M,,2.89,,2.895,2.89,,2.89,,2.895,2.89,,295.00M,296.00M,,,AOR,Restated
2019-06,1.209B,1.209B,187.00M,1.022B,110.00M,110.00M,220.00M,381.00M,5.00M,-1.00M,10.00M,,-11.00M,,606.00M,416.00M,,10.00M,-11.00M,31.00M,-11.00M,436.00M,-985.00M,1.421B,,1.421B,1.422B,483.00M,37.00M,446.00M,,4.78,,4.782,4.78,,4.75,,4.752,4.75,,297.00M,299.00M,,,AOR,Restated
2019-03,1.238B,1.238B,276.00M,962.00M,229.00M,123.00M,352.00M,398.00M,5.00M,-11.00M,11.00M,,76.00M,,755.00M,207.00M,,11.00M,76.00M,-64.00M,76.00M,219.00M,10.00M,209.00M,,209.00M,219.50M,267.00M,37.00M,230.00M,,0.70,,0.7350,0.70,,0.69,,0.7246,0.69,,300.00M,303.00M,,,AOR,Restated
2018-12,1.289B,1.289B,413.00M,876.00M,187.00M,106.00M,293.00M,334.00M,6.00M,-1.00M,11.00M,,-11.00M,,633.00M,243.00M,,11.00M,-11.00M,33.00M,-11.00M,265.00M,3.00M,262.00M,,262.00M,262.99M,310.00M,34.00M,276.00M,,0.87,,0.8733,0.87,,0.86,,0.8633,0.86,,302.00M,304.00M,,,AOR,Restated
2018-09,1.286B,1.286B,418.00M,868.00M,146.00M,117.00M,263.00M,339.00M,6.00M,-2.00M,11.00M,,-11.00M,,608.00M,260.00M,,11.00M,-11.00M,27.00M,-11.00M,276.00M,21.00M,255.00M,,255.00M,256.85M,323.00M,36.00M,287.00M,,0.84,,0.8461,0.84,,0.83,,0.8360,0.83,,305.00M,307.00M,,,AOR,Restated
2018-06,1.137B,1.137B,215.00M,922.00M,140.00M,114.00M,254.00M,362.00M,6.00M,0.00,10.00M,,-11.00M,,622.00M,300.00M,,10.00M,-11.00M,30.00M,-11.00M,319.00M,26.00M,293.00M,,293.00M,293.00M,367.00M,38.00M,329.00M,,0.96,,0.96,0.96,,0.95,,0.95,0.95,,306.00M,310.00M,,,AOR,Restated
2018-03,1.582B,1.582B,233.00M,1.349B,130.00M,126.00M,256.00M,335.00M,5.00M,0.00,11.00M,,38.00M,,596.00M,753.00M,,11.00M,38.00M,-37.00M,38.00M,754.00M,147.00M,607.00M,,607.00M,607.00M,804.00M,39.00M,765.00M,,1.98,,1.98,1.98,,1.95,,1.95,1.95,,305.00M,312.00M,,,AOR,Restated
2017-12,1.16B,1.16B,501.00M,659.00M,230.00M,120.00M,350.00M,329.00M,1.00M,0.00,10.00M,,-10.00M,,680.00M,-21.00M,,10.00M,-10.00M,15.00M,-10.00M,-16.00M,170.00M,-186.00M,,-186.00M,-186.00M,28.00M,34.00M,-6.00M,,-0.60,,-0.60,-0.60,,-0.60,,-0.60,-0.60,,308.00M,308.00M,,,AOR,Restated
