,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,1.377B,,,,-1.287B,-1.287B,-196.30M,,-64.00M,1.772B,,,390.70M,,1.993B,,-463.10M,-17.80M,-17.80M,52.10M,,65.90M,-362.90M,,-4.129B,885.70M,-1.005B,,-2.20M,-2.20M,-961.60M,-961.60M,-88.80M,122.00M,-1.936B,,3.684B,-305.70M,71.00M,3.449B,,,-5.543B,1.414B,-2.20M,,AOR,
2020-09,1.763B,,,,440.10M,440.10M,-38.00M,,7.30M,-56.80M,,,824.30M,,2.940B,,-390.20M,0.20M,0.20M,1.30M,,120.80M,-267.90M,,-448.70M,-993.40M,-1.442B,,-0.70M,-0.70M,-930.90M,-930.90M,105.30M,-0.10M,-2.268B,,3.256B,403.10M,25.00M,3.684B,,,2.80M,-451.50M,-0.70M,,AOR,
2020-06,483.80M,,,,425.70M,425.70M,-42.10M,,30.80M,119.20M,,,-1.230B,,-213.10M,,-305.00M,1.80M,1.80M,-21.90M,,-71.50M,-396.60M,,-699.10M,-4.10M,-703.20M,,-2.30M,-2.30M,-929.70M,-929.70M,57.70M,-0.40M,-1.578B,,5.380B,-2.188B,63.50M,3.256B,,,0.80M,-699.90M,-2.30M,,AOR,
2020-03,1.107B,,,,421.30M,421.30M,276.40M,,25.90M,-87.90M,,,-196.60M,,1.546B,,-482.50M,15.80M,15.80M,6.10M,,-57.80M,-518.40M,,5.277B,111.80M,5.388B,,-902.60M,-902.60M,-930.70M,-930.70M,99.30M,-121.50M,3.533B,,898.50M,4.561B,-79.30M,5.380B,,,5.539B,-262.70M,-902.60M,,AOR,
2019-12,1.572B,,,,413.60M,413.60M,-41.10M,,19.50M,47.00M,,,6.30M,,1.889B,,-731.90M,38.90M,38.90M,-15.20M,,-98.80M,-807.00M,,6.40M,904.80M,911.20M,,-1.445B,-1.445B,-935.20M,-935.20M,27.10M,0.00,-1.442B,,1.177B,-359.50M,80.70M,898.50M,,,4.20M,2.20M,-1.445B,,AOR,
2019-09,1.608B,,,,413.40M,413.40M,78.50M,,29.60M,-64.20M,,,221.50M,,2.287B,,-548.70M,21.10M,21.10M,8.40M,,-73.60M,-592.80M,,1.307B,-600.70M,706.40M,,-1.468B,-1.468B,-876.90M,-876.90M,73.40M,-12.70M,-1.578B,,1.134B,116.30M,-73.50M,1.177B,,,1.975B,-667.90M,-1.468B,,AOR,Restated
2019-06,1.517B,,,,398.30M,398.30M,58.00M,,28.90M,14.90M,,,-91.50M,,1.926B,,-597.80M,68.90M,68.90M,-316.20M,,-54.90M,-900.00M,,-974.70M,589.10M,-385.60M,,-1.067B,-1.067B,-883.00M,-883.00M,139.40M,0.50M,-2.196B,,2.289B,-1.171B,16.00M,1.134B,,,6.50M,-981.20M,-1.067B,,AOR,Restated
2019-03,1.328B,,,,392.60M,392.60M,54.30M,,31.60M,51.50M,,,162.20M,,2.021B,,-515.30M,22.30M,22.30M,122.90M,,-401.20M,-771.30M,,2.098B,-94.00M,2.004B,,-996.10M,-996.10M,-886.80M,-886.80M,110.60M,-11.30M,220.70M,,866.00M,1.47B,-46.90M,2.289B,,,2.513B,-415.00M,-996.10M,,AOR,Restated
2018-12,1.415B,,,,379.00M,379.00M,-12.10M,,25.40M,312.50M,,,-299.70M,,1.512B,,-873.80M,24.60M,24.60M,65.20M,,-99.90M,-883.90M,,-752.50M,101.60M,-650.90M,,-926.90M,-926.90M,-892.50M,-892.50M,167.00M,-7.90M,-2.311B,,2.574B,-1.684B,-25.00M,866.00M,,,2.40M,-754.90M,-926.90M,,AOR,Restated
2018-09,1.637B,,,,375.10M,375.10M,31.10M,,36.00M,-52.70M,,,444.30M,,2.471B,,-703.80M,11.30M,11.30M,69.30M,,-98.10M,-721.30M,,1.79B,-801.40M,988.60M,,-1.041B,-1.041B,-779.80M,-779.80M,69.20M,-5.30M,-768.00M,,1.624B,981.80M,-30.80M,2.574B,,,1.792B,-1.90M,-1.041B,,AOR,Restated
