,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.219B,5.314B,2.534B,2.780B,698.00M,-142.10M,91.50M,308.90M,3.90M,-305.00M,,778.30M,2.002B,3.90M,308.90M,-305.00M,133.10M,-305.00M,1.83B,452.80M,1.377B,,,,,1.377B,1.320B,2.219B,80.30M,2.139B,,1.848,,,1.771,1.848,,1.84,,,1.763,1.84,,745.11M,751.00M,1.29,,AOR,
2020-09,5.331B,5.418B,2.513B,2.905B,454.70M,-138.70M,103.50M,306.70M,,-306.70M,,530.50M,2.374B,,306.70M,-306.70M,149.60M,-306.70M,2.217B,454.50M,1.763B,,,,,1.763B,1.681B,2.964B,440.10M,2.524B,,2.37,,,2.260,2.37,,2.35,,,2.241,2.35,,744.50M,750.00M,1.25,,AOR,
2020-06,3.682B,3.762B,2.036B,1.725B,576.00M,12.00M,-121.70M,314.10M,,-314.10M,,647.00M,1.078B,,314.10M,-314.10M,-115.50M,-314.10M,648.70M,164.90M,483.80M,,,,,483.80M,574.14M,1.388B,425.70M,962.80M,,0.65,,,0.7715,0.65,,0.65,,,0.7707,0.65,,743.80M,748.60M,1.25,,AOR,
2020-03,4.634B,4.714B,2.372B,2.342B,516.30M,1.30M,-73.20M,280.00M,5.40M,-274.60M,,589.80M,1.752B,5.40M,280.00M,-274.60M,-32.60M,-274.60M,1.445B,338.00M,1.107B,,,,,1.107B,1.149B,2.146B,421.30M,1.725B,,1.49,,,1.547,1.49,,1.47,,,1.527,1.47,,744.80M,750.70M,1.25,,AOR,
2019-12,5.349B,5.140B,2.337B,2.804B,847.20M,-5.90M,100.80M,312.60M,,-275.60M,,653.60M,2.15B,,312.60M,-275.60M,152.20M,-275.60M,2.027B,454.60M,1.572B,,,,,1.572B,1.487B,2.753B,413.60M,2.339B,,2.107,,,1.992,2.107,,2.08,,,1.967,2.08,,749.10M,755.30M,1.25,,AOR,
2019-09,5.431B,5.502B,2.585B,2.918B,474.60M,1.60M,-7.50M,271.70M,,-271.70M,,543.60M,2.374B,,271.70M,-271.70M,49.90M,-271.70M,2.152B,544.30M,1.608B,,,,,1.608B,1.599B,2.837B,413.40M,2.424B,,2.13,,,2.119,2.13,,2.11,,,2.099,2.11,,756.60M,763.90M,1.16,,AOR,Restated
2019-06,5.341B,5.410B,2.567B,2.843B,469.90M,78.30M,-69.70M,273.50M,,-273.50M,,533.10M,2.310B,,273.50M,-273.50M,-28.20M,-273.50M,2.008B,490.90M,1.517B,,,,,1.517B,1.562B,2.680B,398.30M,2.281B,,1.99,,,2.049,1.99,,1.97,,,2.028,1.97,,761.80M,768.70M,1.16,,AOR,Restated
2019-03,4.956B,5.024B,2.473B,2.552B,437.70M,0.30M,6.50M,274.10M,10.00M,-264.10M,,499.10M,2.052B,10.00M,274.10M,-264.10M,43.00M,-264.10M,1.831B,502.90M,1.328B,,,,,1.328B,1.317B,2.498B,392.60M,2.105B,,1.74,,,1.725,1.74,,1.72,,,1.705,1.72,,764.90M,771.60M,1.16,,AOR,Restated
2018-12,5.163B,5.163B,2.466B,2.697B,609.80M,137.90M,-122.70M,254.10M,-0.40M,-254.50M,,609.80M,2.087B,-0.40M,254.10M,-254.50M,-81.70M,-254.50M,1.751B,336.10M,1.415B,,,,,1.415B,1.505B,2.384B,379.00M,2.006B,,1.845,,,1.962,1.845,,1.82,,,1.936,1.82,,769.20M,776.90M,1.16,,AOR,Restated
2018-09,5.369B,5.369B,2.547B,2.822B,515.20M,0.50M,72.20M,251.30M,,-251.30M,,515.20M,2.307B,,251.30M,-251.30M,103.10M,-251.30M,2.159B,521.40M,1.637B,,,,,1.637B,1.580B,2.785B,375.10M,2.41B,,2.12,,,2.046,2.12,,2.10,,,2.027,2.10,,772.80M,779.60M,1.01,,AOR,Restated
