,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.449B,,3.449B,2.110B,2.110B,,,683.80M,6.243B,,,,,38.79B,38.79B,,38.79B,,,,,7.598B,46.38B,52.63B,,,,,,,,,,,,,,6.181B,35.20B,13.32B,48.52B,2.026B,,2.026B,,3.727B,54.27B,60.45B,,,,,,,,-7.825B,,AOR,
2020-09,3.684B,,3.684B,2.392B,2.392B,44.20M,616.30M,,6.736B,,,,,53.36B,53.36B,-15.87B,37.49B,2.716B,,2.716B,1.283B,2.470B,43.96B,50.70B,,689.00M,,620.60M,1.310B,1.564B,2.873B,,2.689B,2.689B,718.20M,3.407B,,6.280B,35.14B,12.74B,47.88B,1.423B,679.80M,2.103B,,951.50M,52.89B,59.17B,,16.60M,53.49B,7.855B,67.08B,,-2.759B,-8.472B,,AOR,
2020-06,3.256B,,3.256B,2.853B,2.853B,42.60M,458.50M,,6.609B,,,,,52.14B,52.14B,-15.31B,36.83B,2.672B,,2.672B,1.278B,2.547B,43.33B,49.94B,,538.40M,,550.20M,1.089B,1.390B,2.478B,,4.087B,4.087B,681.20M,4.768B,,7.246B,34.68B,12.48B,47.15B,1.549B,664.20M,2.213B,,916.70M,52.16B,59.40B,,16.60M,52.66B,7.78B,67.11B,,-2.806B,-9.463B,,AOR,
2020-03,5.380B,,5.380B,1.695B,1.695B,39.10M,442.70M,,7.557B,,,,,51.38B,51.38B,-14.76B,36.63B,2.627B,,2.627B,1.277B,2.481B,43.01B,50.57B,,671.90M,,443.50M,1.115B,1.078B,2.193B,,1.106B,1.106B,688.60M,1.795B,,3.988B,38.05B,12.47B,50.52B,1.650B,655.00M,2.305B,,893.90M,55.87B,59.86B,,16.60M,53.11B,7.714B,67.13B,,-2.996B,-9.293B,,AOR,
2019-12,898.50M,,898.50M,2.224B,2.224B,50.20M,385.00M,,3.558B,0.00,6.026B,29.61B,2.994B,13.68B,52.31B,-14.89B,37.42B,2.677B,,2.677B,1.270B,2.584B,43.95B,47.51B,,988.20M,,579.20M,1.567B,1.374B,2.941B,,59.10M,59.10M,621.00M,680.10M,,3.621B,34.12B,12.76B,46.88B,1.318B,660.60M,1.979B,,979.60M,52.10B,55.72B,,16.60M,52.93B,7.654B,66.33B,,-2.483B,-8.210B,,AOR,
2019-09,1.177B,,1.177B,2.005B,2.005B,42.60M,379.70M,,3.605B,,,,,50.21B,50.21B,-14.42B,35.79B,2.542B,,2.542B,1.245B,2.622B,42.20B,45.80B,,849.50M,934.00M,526.00M,2.310B,1.263B,3.572B,,,,703.30M,703.30M,,4.276B,32.85B,11.88B,44.73B,1.560B,640.10M,2.201B,,976.50M,50.13B,54.40B,,16.60M,51.36B,7.620B,64.93B,,-2.663B,-8.599B,,AOR,Restated
2019-06,1.134B,,1.134B,2.055B,2.055B,44.20M,681.70M,,3.915B,,,,,50.72B,50.72B,-14.69B,36.03B,2.580B,,2.580B,1.227B,2.450B,42.28B,46.20B,,796.80M,,508.70M,1.306B,1.191B,2.497B,,,,743.40M,743.40M,,3.24B,32.65B,11.90B,44.55B,1.358B,639.60M,1.998B,,939.20M,49.77B,53.01B,,16.60M,51.56B,7.550B,63.44B,,-2.497B,-6.809B,,AOR,Restated
2019-03,2.289B,,2.289B,1.993B,1.993B,40.80M,641.80M,,4.964B,,,,,50.10B,50.10B,-14.49B,35.61B,2.318B,,2.318B,1.190B,2.386B,41.50B,46.47B,,823.60M,,592.10M,1.416B,1.196B,2.612B,,,,767.90M,767.90M,,3.380B,32.89B,11.63B,44.52B,1.331B,629.80M,1.961B,,1.017B,49.64B,53.02B,,16.60M,50.93B,7.438B,62.41B,,-2.520B,-6.551B,,AOR,Restated
2018-12,866.00M,,866.00M,2.442B,2.442B,51.10M,694.60M,,4.053B,0.00,5.521B,28.24B,2.943B,488.60M,37.19B,-14.35B,22.84B,2.332B,,2.332B,1.203B,2.381B,28.76B,32.81B,,1.208B,,482.00M,1.690B,1.284B,2.974B,,,,0.00,0.00,,2.974B,31.08B,0.00,31.08B,1.216B,627.80M,1.843B,,1.096B,36.10B,39.07B,,16.60M,50.49B,7.376B,61.53B,,-2.610B,-6.258B,,AOR,Restated
2018-09,2.574B,,2.574B,2.267B,2.267B,41.90M,669.90M,,5.553B,,,,,36.95B,36.95B,-14.33B,22.61B,2.345B,,2.345B,1.136B,2.406B,28.50B,34.05B,,932.80M,888.00M,416.40M,2.237B,1.390B,3.627B,,,,,,,3.627B,31.90B,,31.90B,1.202B,617.00M,1.819B,,1.129B,37.22B,40.85B,,16.60M,49.08B,7.257B,60.63B,,-2.508B,-6.793B,,AOR,Restated
