,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,5.201B,991.00M,991.00M,2.771B,2.771B,774.00M,-2.877B,625.00M,-658.00M,-10.73B,7.823B,,,-3.561B,,3.924B,-2.869B,16.00M,-2.853B,7.00M,,-27.00M,-2.873B,-1.195B,-123.00M,-1.318B,,-463.00M,-463.00M,-1.524B,-1.524B,-221.00M,-3.526B,16.95B,-2.475B,-101.00M,14.38B,,0.00,-1.195B,-463.00M,,
2020-07,6.439B,37.00M,37.00M,2.771B,2.771B,388.00M,-3.223B,356.00M,-101.00M,245.00M,5.027B,,,5.171B,,11.94B,-1.817B,23.00M,-1.794B,-165.00M,,21.00M,-1.938B,-2.937B,-3.72B,-6.657B,,0.00,0.00,-1.529B,-1.529B,-193.00M,-8.379B,14.98B,1.622B,346.00M,16.95B,,0.00,-2.937B,0.00,,
2020-04,4.074B,,,2.791B,2.791B,84.00M,-783.00M,-51.00M,924.00M,2.221B,-2.243B,,,902.00M,,7.017B,-1.752B,60.00M,-1.692B,-10.00M,,6.00M,-1.696B,0.00,3.542B,3.542B,,-723.00M,-723.00M,-1.529B,-1.529B,-725.00M,565.00M,9.514B,5.886B,-415.00M,14.98B,,0.00,0.00,-723.00M,,
2020-01,4.294B,16.00M,16.00M,2.828B,2.828B,-254.00M,-975.00M,7.00M,-507.00M,7.258B,-1.951B,,,4.80B,,10.72B,-2.94B,103.00M,-2.837B,0.00,,-6.00M,-2.843B,0.00,-4.374B,-4.374B,,-888.00M,-888.00M,-1.503B,-1.503B,-321.00M,-7.086B,8.631B,787.00M,97.00M,9.515B,,0.00,0.00,-888.00M,,
2019-10,3.321B,-1.00M,-1.00M,2.723B,2.723B,333.00M,-180.00M,590.00M,-317.00M,-7.778B,4.663B,,,-3.432B,,3.354B,-2.894B,90.00M,-2.804B,0.00,,343.00M,-2.461B,-28.00M,1.282B,1.254B,,-1.122B,-1.122B,-1.509B,-1.509B,-305.00M,-1.682B,9.32B,-789.00M,100.00M,8.631B,,1.472B,-1.50B,-1.122B,,
2019-07,3.68B,0.00,0.00,2.722B,2.722B,117.00M,52.00M,273.00M,8.00M,641.00M,129.00M,,,778.00M,,7.622B,-2.666B,86.00M,-2.58B,0.00,,-109.00M,-2.689B,-1.00M,-1.165B,-1.166B,,-1.572B,-1.572B,-1.516B,-1.516B,-431.00M,-4.685B,9.292B,248.00M,-220.00M,9.32B,,42.00M,-43.00M,-1.572B,,
2019-04,3.906B,,,2.714B,2.714B,124.00M,-783.00M,75.00M,970.00M,-421.00M,-3.022B,,,-2.473B,,3.563B,-2.205B,42.00M,-2.163B,777.00M,,251.00M,-1.135B,3.614B,-399.00M,3.215B,,-2.135B,-2.135B,-1.52B,-1.52B,-406.00M,-846.00M,7.756B,1.582B,-46.00M,9.292B,,3.978B,-364.00M,-2.135B,,
2019-01,3.813B,4.00M,4.00M,2.731B,2.731B,-153.00M,-211.00M,999.00M,-546.00M,5.968B,-2.16B,,,3.262B,,10.44B,-3.33B,211.00M,-3.119B,-511.00M,,148.00M,-3.482B,-713.00M,-2.664B,-3.377B,,-3.249B,-3.249B,-1.505B,-1.505B,-327.00M,-8.458B,9.204B,-1.495B,47.00M,7.756B,,21.00M,-734.00M,-3.249B,,
2018-10,1.817B,91.00M,91.00M,2.615B,2.615B,-229.00M,1.788B,266.00M,-79.00M,-7.72B,7.664B,,,-135.00M,,6.213B,-2.732B,103.00M,-2.629B,-13.27B,,-228.00M,-16.13B,0.00,7.372B,7.372B,,-2.317B,-2.317B,-1.53B,-1.53B,-84.00M,3.441B,15.86B,-6.472B,-186.00M,9.204B,,0.00,0.00,-2.317B,,
2018-07,-727.00M,4.755B,4.755B,2.654B,2.654B,-67.00M,94.00M,204.00M,-877.00M,-106.00M,4.00M,,,-979.00M,,5.934B,-2.464B,7.00M,-2.457B,0.00,,-289.00M,-2.746B,15.32B,-7.262B,8.06B,,-1.305B,-1.305B,-1.534B,-1.534B,-255.00M,4.966B,8.15B,8.154B,-442.00M,15.86B,,15.85B,-529.00M,-1.305B,,
