,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-04,114.96B,114.96B,86.71B,28.25B,22.05B,,592.00M,24.00M,-568.00M,22.05B,6.193B,24.00M,592.00M,-568.00M,,-568.00M,5.625B,1.914B,3.711B,15.00M,-133.00M,3.593B,3.578B,8.467B,2.25B,6.217B,1.1,0.01,1.1,1.11,1.1,0.01,1.1,1.11,3.233B,3.248B,0.96
2014-01,129.71B,129.71B,97.97B,31.74B,24.39B,,581.00M,27.00M,-554.00M,24.39B,7.347B,27.00M,581.00M,-554.00M,,-554.00M,6.793B,2.249B,4.544B,106.00M,-219.00M,4.431B,4.325B,9.644B,2.27B,7.374B,1.34,0.03,1.34,1.37,1.34,0.02,1.34,1.36,3.239B,3.253B,0.47
2013-10,115.69B,115.69B,86.69B,29.00B,22.69B,,592.00M,12.00M,-580.00M,22.69B,6.31B,12.00M,592.00M,-580.00M,,-580.00M,5.73B,1.86B,3.87B,15.00M,-147.00M,3.738B,3.723B,8.52B,2.198B,6.322B,1.14,0.01,1.14,1.15,1.14,0.0,1.14,1.14,3.257B,3.271B,0.47
2013-07,116.83B,116.83B,87.42B,29.41B,22.63B,,589.00M,37.00M,-552.00M,22.63B,6.777B,37.00M,589.00M,-552.00M,,-552.00M,6.225B,2.02B,4.205B,10.00M,-146.00M,4.069B,4.059B,9.029B,2.215B,6.814B,1.24,0.01,1.24,1.25,1.23,0.01,1.23,1.24,3.278B,3.291B,0.47
2013-04,114.07B,114.07B,85.99B,28.08B,21.64B,,573.00M,43.00M,-530.00M,21.64B,6.438B,43.00M,573.00M,-530.00M,,-530.00M,5.908B,1.976B,3.932B,13.00M,-161.00M,3.784B,3.771B,8.668B,2.187B,6.481B,1.14,0.01,1.14,1.15,1.14,0.0,1.14,1.14,3.301B,3.318B,0.47
2013-01,127.78B,127.78B,96.07B,31.70B,23.12B,,532.00M,55.00M,-477.00M,23.12B,8.58B,55.00M,532.00M,-477.00M,,-477.00M,8.103B,2.24B,5.863B,13.00M,-270.00M,5.606B,5.593B,10.81B,2.174B,8.635B,1.68,0.0,1.68,1.68,1.67,0.0,1.67,1.67,3.341B,3.356B,0.3975
2012-10,113.80B,113.80B,85.47B,28.33B,22.24B,,590.00M,44.00M,-546.00M,22.24B,6.093B,44.00M,590.00M,-546.00M,,-546.00M,5.547B,1.738B,3.809B,16.00M,-190.00M,3.635B,3.619B,8.208B,2.071B,6.137B,1.08,0.0,1.08,1.08,1.07,0.0,1.07,1.08,3.364B,3.379B,0.3975
2012-07,114.28B,114.28B,85.64B,28.64B,21.94B,,555.00M,50.00M,-505.00M,21.94B,6.698B,50.00M,555.00M,-505.00M,,-505.00M,6.193B,2.032B,4.161B,,-145.00M,4.016B,4.016B,8.875B,2.127B,6.748B,1.19,,1.19,1.19,1.18,,1.18,1.18,3.384B,3.398B,0.3975
2012-04,113.01B,113.01B,85.18B,27.83B,21.44B,,573.00M,38.00M,-535.00M,21.44B,6.387B,38.00M,573.00M,-535.00M,,-535.00M,5.852B,1.958B,3.894B,,-152.00M,3.742B,3.742B,8.531B,2.106B,6.425B,1.1,,1.1,1.1,1.09,,1.09,1.09,3.409B,3.425B,0.3975
2012-01,122.73B,122.73B,92.46B,30.27B,21.94B,,558.00M,30.00M,-528.00M,21.94B,8.334B,30.00M,558.00M,-528.00M,,-528.00M,7.806B,2.414B,5.392B,15.00M,-244.00M,5.163B,5.148B,10.40B,2.039B,8.364B,1.52,-0.01,1.52,1.51,1.51,-0.01,1.51,1.5,3.421B,3.435B,0.365
2011-10,110.23B,110.23B,82.59B,27.64B,21.76B,,600.00M,65.00M,-535.00M,21.76B,5.878B,65.00M,600.00M,-535.00M,,-535.00M,5.343B,1.842B,3.501B,-8.00M,-157.00M,3.336B,3.344B,7.983B,2.04B,5.943B,0.97,0.0,0.97,0.97,0.97,-0.01,0.97,0.96,3.445B,3.458B,0.365
2011-07,109.37B,109.37B,81.77B,27.60B,21.21B,,600.00M,22.00M,-578.00M,21.21B,6.383B,22.00M,600.00M,-578.00M,,-578.00M,5.805B,1.868B,3.937B,0.00,-136.00M,3.801B,3.801B,8.447B,2.042B,6.405B,1.09,0.0,1.09,1.09,1.09,0.0,1.09,1.09,3.472B,3.485B,0.365
2011-04,104.19B,104.19B,78.18B,26.01B,20.12B,,562.00M,44.00M,-518.00M,20.12B,5.896B,44.00M,562.00M,-518.00M,,-518.00M,5.378B,1.80B,3.578B,-28.00M,-151.00M,3.399B,3.427B,7.925B,1.985B,5.94B,0.98,-0.01,0.98,0.97,0.98,-0.01,0.98,0.97,3.497B,3.513B,0.365
2011-01,116.36B,116.36B,87.07B,29.29B,21.28B,,572.00M,40.00M,-532.00M,21.28B,8.004B,40.00M,572.00M,-532.00M,,-532.00M,7.472B,2.294B,5.178B,1.034B,-156.00M,6.056B,5.022B,10.05B,2.006B,8.044B,1.42,0.29,1.42,1.71,1.41,0.29,1.41,1.7,3.548B,3.562B,0.3025
2010-10,101.95B,101.95B,75.82B,26.13B,20.52B,,569.00M,53.00M,-516.00M,20.52B,5.611B,53.00M,569.00M,-516.00M,,-516.00M,5.095B,1.505B,3.59B,0.00,-154.00M,3.436B,3.436B,7.551B,1.887B,5.664B,0.95,0.0,0.95,0.95,0.95,0.0,0.95,0.95,3.617B,3.631B,0.3025
2010-07,103.73B,103.73B,77.44B,26.29B,20.10B,,542.00M,57.00M,-485.00M,20.10B,6.19B,57.00M,542.00M,-485.00M,,-485.00M,5.705B,1.958B,3.747B,0.00,-151.00M,3.596B,3.596B,8.131B,1.884B,6.247B,0.97,0.0,0.97,0.97,0.97,0.0,0.97,0.97,3.696B,3.707B,0.3025
2010-04,99.81B,99.81B,74.62B,25.19B,19.46B,,522.00M,51.00M,-471.00M,19.46B,5.737B,51.00M,522.00M,-471.00M,,-471.00M,5.266B,1.822B,3.444B,0.00,-143.00M,3.301B,3.301B,7.652B,1.864B,5.788B,0.88,0.0,0.88,0.88,0.87,0.0,0.87,0.87,3.765B,3.781B,0.3025
2010-01,113.62B,113.62B,84.74B,28.88B,21.42B,,522.00M,53.00M,-469.00M,21.42B,7.458B,53.00M,522.00M,-469.00M,,-469.00M,6.989B,1.999B,4.99B,-57.00M,-175.00M,4.758B,4.815B,9.413B,1.902B,7.511B,1.23,-0.01,1.23,1.22,1.23,-0.02,1.23,1.21,3.803B,3.817B,0.2725
2009-10,99.37B,99.37B,73.92B,25.46B,20.02B,,510.00M,35.00M,-475.00M,20.02B,5.442B,35.00M,510.00M,-475.00M,,-475.00M,4.967B,1.702B,3.265B,-7.00M,-114.00M,3.144B,3.151B,7.275B,1.798B,5.477B,0.82,0.0,0.82,0.82,0.82,-0.01,0.82,0.81,3.851B,3.861B,0.2725
2009-07,100.88B,100.88B,75.06B,25.82B,19.89B,,515.00M,42.00M,-473.00M,19.89B,5.929B,42.00M,515.00M,-473.00M,,-473.00M,5.456B,1.87B,3.586B,-7.00M,-107.00M,3.472B,3.479B,7.728B,1.757B,5.971B,0.89,0.0,0.89,0.89,0.89,0.0,0.89,0.89,3.891B,3.90B,0.2725
2009-04,94.24B,94.24B,70.39B,23.85B,18.64B,,518.00M,51.00M,-467.00M,18.64B,5.217B,51.00M,518.00M,-467.00M,,-467.00M,4.75B,1.603B,3.147B,-8.00M,-117.00M,3.022B,3.03B,6.968B,1.70B,5.268B,0.77,0.0,0.77,0.77,0.77,0.0,0.77,0.77,3.92B,3.93B,0.2725
