,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-04,71.68B,71.68B,54.57B,17.11B,13.17B,,252.00M,52.00M,-200.00M,13.17B,3.941B,52.00M,252.00M,-200.00M,,-200.00M,3.741B,1.212B,2.529B,,-68.00M,2.461B,2.461B,5.125B,1.132B,3.993B,0.58,,0.58,0.58,0.58,,0.58,0.58,4.228B,4.234B,0.15
2005-01,79.08B,79.08B,60.76B,18.32B,12.81B,,346.00M,55.00M,-291.00M,12.81B,5.507B,55.00M,346.00M,-291.00M,,-291.00M,5.216B,1.736B,3.48B,,-101.00M,3.164B,3.379B,6.586B,1.024B,5.562B,0.79,,0.79,0.74,0.79,,0.79,0.74,4.238B,4.242B,0.13
2004-10,69.28B,69.28B,52.57B,16.72B,12.93B,,305.00M,64.00M,-241.00M,12.93B,3.784B,64.00M,305.00M,-241.00M,,-241.00M,3.543B,1.207B,2.336B,,-50.00M,2.286B,2.286B,4.941B,1.093B,3.848B,0.54,,0.54,0.54,0.54,,0.54,0.54,4.242B,4.249B,0.13
2004-07,70.46B,70.46B,53.53B,16.93B,12.52B,,283.00M,44.00M,-239.00M,12.52B,4.404B,44.00M,283.00M,-239.00M,,-239.00M,4.165B,1.458B,2.707B,,-56.00M,2.651B,2.651B,5.479B,1.031B,4.448B,0.62,,0.62,0.62,0.62,,0.62,0.62,4.264B,4.272B,0.13
2004-04,65.44B,65.44B,49.97B,15.47B,11.87B,,250.00M,42.00M,-208.00M,11.87B,3.605B,42.00M,250.00M,-208.00M,,-208.00M,3.397B,1.189B,2.208B,,-42.00M,2.166B,2.166B,4.684B,1.037B,3.647B,0.5,,0.5,0.5,0.5,,0.5,0.5,4.294B,4.302B,0.13
2004-01,75.19B,75.19B,58.24B,16.95B,12.20B,,282.00M,81.00M,-201.00M,12.20B,4.746B,81.00M,282.00M,-201.00M,,-201.00M,4.545B,1.741B,2.804B,0.00,-83.00M,2.721B,2.721B,5.866B,1.039B,4.827B,0.63,0.0,0.63,0.63,0.63,0.0,0.63,0.63,4.327B,4.337B,0.09
2003-10,63.04B,63.04B,48.29B,14.74B,11.34B,,232.00M,26.00M,-206.00M,11.34B,3.399B,26.00M,232.00M,-206.00M,,-206.00M,3.193B,1.117B,2.076B,0.00,-48.00M,2.028B,2.028B,4.396B,971.00M,3.425B,0.46,0.0,0.46,0.46,0.46,0.0,0.46,0.46,4.362B,4.372B,0.09
2003-07,63.23B,63.23B,48.30B,14.93B,11.14B,,234.00M,19.00M,-215.00M,11.14B,3.792B,19.00M,234.00M,-215.00M,,-215.00M,3.577B,1.253B,2.324B,161.00M,-41.00M,2.444B,2.283B,4.765B,954.00M,3.811B,0.52,0.04,0.52,0.56,0.52,0.04,0.52,0.56,4.378B,4.388B,0.09
2003-04,57.22B,57.22B,43.92B,13.31B,10.22B,,250.00M,38.00M,-212.00M,10.22B,3.09B,38.00M,250.00M,-212.00M,,-212.00M,2.878B,1.006B,1.872B,31.00M,-42.00M,1.861B,1.83B,4.016B,888.00M,3.128B,0.41,0.01,0.41,0.42,0.41,0.01,0.41,0.42,4.386B,4.395B,0.09
2003-01,66.90B,66.90B,52.00B,14.90B,10.80B,,253.00M,32.00M,-221.00M,10.80B,4.107B,32.00M,253.00M,-221.00M,,-221.00M,3.886B,1.369B,2.517B,55.00M,-64.00M,2.508B,2.453B,5.102B,963.00M,4.139B,0.56,0.01,0.56,0.57,0.56,0.01,0.56,0.57,4.409B,4.428B,0.075
2002-10,55.76B,55.76B,42.65B,13.12B,10.07B,,264.00M,34.00M,-230.00M,10.07B,3.048B,34.00M,264.00M,-230.00M,,-230.00M,2.818B,995.00M,1.823B,17.00M,-43.00M,1.797B,1.78B,3.914B,832.00M,3.082B,0.4,0.01,0.4,0.41,0.4,0.01,0.4,0.41,4.421B,4.434B,0.075
2002-07,56.78B,56.78B,43.52B,13.26B,9.914B,,254.00M,30.00M,-224.00M,9.914B,3.351B,30.00M,254.00M,-224.00M,,-224.00M,3.127B,1.092B,2.035B,29.00M,-45.00M,2.019B,1.99B,4.176B,795.00M,3.381B,0.45,0.0,0.45,0.45,0.45,0.0,0.45,0.45,4.438B,4.452B,0.075
2002-04,52.13B,52.13B,40.14B,11.99B,9.201B,,288.00M,36.00M,-252.00M,9.201B,2.789B,36.00M,288.00M,-252.00M,,-252.00M,2.537B,900.00M,1.637B,35.00M,-41.00M,1.631B,1.596B,3.599B,774.00M,2.825B,0.36,0.01,0.36,0.37,0.36,0.01,0.36,0.37,4.452B,4.468B,0.075
2002-01,50.89B,50.89B,38.45B,12.44B,8.998B,,307.00M,40.00M,-267.00M,8.998B,3.441B,40.00M,307.00M,-267.00M,,-267.00M,3.174B,1.129B,2.045B,,-79.00M,2.11B,1.966B,4.421B,940.00M,3.481B,0.45,,0.45,0.48,0.44,,0.44,0.47,4.447B,4.463B,0.07
2001-10,53.19B,53.19B,41.39B,11.80B,9.113B,,330.00M,35.00M,-295.00M,9.113B,2.685B,35.00M,330.00M,-295.00M,,-295.00M,2.39B,872.00M,1.518B,,-37.00M,1.481B,1.481B,3.527B,807.00M,2.72B,0.33,,0.33,0.33,0.33,,0.33,0.33,4.466B,4.481B,0.07
2001-07,53.27B,53.27B,41.41B,11.86B,8.893B,,351.00M,,-351.00M,8.893B,2.964B,,351.00M,-351.00M,,-351.00M,2.613B,954.00M,1.659B,,-37.00M,1.622B,1.622B,3.694B,730.00M,2.964B,0.36,,0.36,0.36,0.36,,0.36,0.36,4.47B,4.486B,0.07
2001-04,48.56B,48.56B,37.85B,10.72B,8.143B,,352.00M,,-352.00M,8.143B,2.572B,,352.00M,-352.00M,,-352.00M,2.22B,810.00M,1.41B,,-30.00M,1.38B,1.38B,3.323B,751.00M,2.572B,0.31,,0.31,0.31,0.31,,0.31,0.31,4.471B,4.487B,0.07
2001-01,56.90B,56.90B,44.85B,12.05B,8.688B,,335.00M,,-147.00M,8.688B,3.36B,,335.00M,-147.00M,,-147.00M,3.213B,1.152B,2.061B,,-57.00M,2.004B,2.004B,4.402B,854.00M,3.548B,0.45,,0.45,0.45,0.44,,0.44,0.44,4.471B,4.484B,0.06
2000-10,46.18B,46.18B,35.69B,10.49B,7.918B,,375.00M,,-375.00M,7.918B,2.569B,,375.00M,-375.00M,,-375.00M,2.194B,807.00M,1.387B,,-18.00M,1.369B,1.369B,3.252B,683.00M,2.569B,0.31,,0.31,0.31,0.31,,0.31,0.31,4.468B,4.487B,0.06
2000-07,46.59B,46.59B,36.04B,10.54B,7.625B,,344.00M,,-344.00M,7.625B,2.919B,,344.00M,-344.00M,,-344.00M,2.575B,948.00M,1.627B,,-31.00M,1.596B,1.596B,3.594B,675.00M,2.919B,0.36,,0.36,0.36,0.36,,0.36,0.36,4.465B,4.487B,0.06
2000-04,43.45B,43.45B,33.66B,9.782B,7.318B,,330.00M,,-330.00M,7.318B,2.464B,,330.00M,-330.00M,,-330.00M,2.134B,785.00M,1.349B,,-23.00M,1.326B,1.326B,3.12B,656.00M,2.464B,0.3,,0.3,0.3,0.3,,0.3,0.3,4.457B,4.478B,0.06
2000-01,51.87B,51.87B,40.69B,11.17B,7.672B,,323.00M,,-323.00M,7.672B,3.502B,,323.00M,-323.00M,,-323.00M,3.179B,1.177B,2.002B,,-86.00M,1.916B,1.916B,4.265B,763.00M,3.502B,0.43,,0.43,0.43,0.43,,0.43,0.43,4.451B,4.477B,0.05
1999-10,40.90B,40.90B,31.61B,9.292B,6.907B,,317.00M,,-317.00M,6.907B,2.385B,,317.00M,-317.00M,,-317.00M,2.068B,757.00M,1.311B,,-17.00M,1.294B,1.294B,2.941B,556.00M,2.385B,0.29,,0.29,0.29,0.29,,0.29,0.29,4.454B,4.475B,0.05
1999-07,38.91B,38.91B,30.12B,8.79B,6.573B,,191.00M,,-191.00M,6.573B,2.217B,,191.00M,-191.00M,,-191.00M,2.026B,741.00M,1.285B,,-34.00M,1.251B,1.251B,2.743B,526.00M,2.217B,0.28,,0.28,0.28,0.28,,0.28,0.28,4.45B,4.473B,0.05
1999-04,35.13B,35.13B,27.24B,7.888B,5.888B,,191.00M,,-191.00M,5.888B,2.00B,,191.00M,-191.00M,,-191.00M,1.809B,662.00M,1.147B,,-33.00M,1.114B,1.114B,2.53B,530.00M,2.00B,0.21,,0.21,0.21,0.2,,0.2,0.2,4.449B,4.472B,0.05
1999-01,41.25B,41.25B,32.40B,8.85B,6.022B,,216.00M,,-216.00M,6.022B,2.828B,,216.00M,-216.00M,,-216.00M,2.612B,997.00M,1.615B,,-56.00M,1.559B,1.559B,3.30B,472.00M,2.828B,0.35,,0.35,0.35,0.35,,0.35,0.35,4.446B,4.446B,0.0388
1998-10,33.92B,33.92B,26.38B,7.544B,5.691B,,202.00M,,-202.00M,5.691B,1.853B,,202.00M,-202.00M,,-202.00M,1.651B,611.00M,1.04B,,-31.00M,1.009B,1.009B,2.368B,515.00M,1.853B,0.23,,0.23,0.23,0.22,,0.22,0.22,4.463B,4.493B,0.0388
1998-07,33.88B,33.88B,26.42B,7.458B,5.577B,,185.00M,,-185.00M,5.577B,1.881B,,185.00M,-185.00M,,-185.00M,1.696B,627.00M,1.069B,,-35.00M,1.034B,1.034B,2.325B,444.00M,1.881B,0.23,,0.23,0.23,0.23,,0.23,0.23,4.472B,4.505B,0.0388
