,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,7.885B,7.885B,4.568B,4.568B,,43.30B,3.486B,,59.24B,,,,,199.76B,,199.76B,-84.96B,114.80B,18.85B,,18.85B,12.04B,145.68B,204.93B,44.61B,4.607B,718.00M,49.94B,20.78B,70.72B,,9.338B,9.338B,700.00M,10.04B,,,,80.76B,29.48B,6.828B,36.30B,9.541B,9.541B,2.772B,,,45.85B,126.60B,294.00M,82.98B,2.557B,,,-10.28B,75.55B
2018-01,6.756B,6.756B,5.614B,5.614B,,43.78B,3.511B,,59.66B,0.0,25.30B,101.16B,55.08B,12.70B,3.619B,197.86B,-83.04B,114.82B,18.24B,,18.24B,11.80B,144.86B,204.52B,46.09B,,3.718B,49.81B,13.30B,63.10B,,8.995B,8.995B,667.00M,9.662B,2.017B,2.017B,,78.52B,30.04B,6.78B,36.82B,8.354B,8.354B,2.953B,,,45.18B,123.70B,295.00M,85.11B,2.648B,,,-10.18B,77.87B
2017-10,7.026B,7.026B,5.865B,5.865B,,50.15B,2.33B,,65.37B,,,,,197.74B,,197.74B,-82.44B,115.30B,18.20B,,18.20B,10.54B,144.05B,209.41B,47.59B,1.53B,540.00M,49.66B,21.76B,71.41B,,8.371B,8.371B,650.00M,9.021B,,,,80.44B,34.21B,6.70B,40.91B,9.167B,9.167B,2.761B,,,50.07B,130.51B,297.00M,84.48B,2.501B,,,-11.13B,76.14B
2017-07,6.469B,6.469B,5.395B,5.395B,,43.44B,1.457B,,56.76B,,,,,196.13B,,196.13B,-80.77B,115.35B,18.04B,,18.04B,11.41B,144.80B,201.57B,42.39B,3.057B,505.00M,45.95B,19.69B,65.64B,,6.516B,6.516B,658.00M,7.174B,,,,72.81B,33.71B,6.763B,40.47B,9.24B,9.24B,2.657B,,,49.71B,122.52B,299.00M,84.84B,2.352B,,,-11.10B,76.39B
2017-04,6.545B,6.545B,5.252B,5.252B,,43.36B,2.178B,,57.34B,,,,,192.93B,,192.93B,-78.76B,114.17B,17.58B,,17.58B,10.64B,142.38B,199.72B,41.37B,4.628B,2.018B,48.01B,19.71B,67.72B,,5.873B,5.873B,599.00M,6.472B,,,,74.19B,33.77B,6.251B,40.02B,9.386B,9.386B,2.423B,,,49.41B,123.60B,302.00M,84.12B,2.223B,,,-12.95B,73.69B
2017-01,6.867B,6.867B,5.835B,5.835B,,43.05B,1.941B,,57.69B,0.0,24.80B,98.55B,51.84B,11.64B,4.301B,191.13B,-76.95B,114.18B,17.04B,,17.04B,9.921B,141.14B,198.82B,41.43B,,3.737B,45.17B,12.06B,57.23B,,3.355B,3.355B,565.00M,3.92B,1.856B,1.856B,,66.93B,36.02B,6.003B,42.02B,9.344B,9.344B,2.737B,,,51.36B,118.29B,305.00M,89.35B,2.371B,,,-14.23B,77.80B
2016-10,5.939B,5.939B,5.344B,5.344B,,49.82B,2.296B,,63.40B,,,,,191.15B,,191.15B,-76.06B,115.09B,17.79B,,17.79B,10.58B,143.46B,206.86B,42.99B,1.541B,459.00M,44.99B,21.24B,66.23B,,7.348B,7.348B,549.00M,7.897B,,,,74.13B,36.18B,5.93B,42.11B,10.14B,10.14B,2.782B,,,52.25B,126.38B,308.00M,87.64B,2.084B,,,-12.34B,77.69B
2016-07,7.676B,7.676B,5.275B,5.275B,,43.45B,1.828B,,58.23B,,,,,190.14B,,190.14B,-74.73B,115.41B,16.34B,,16.34B,7.905B,139.65B,197.89B,39.90B,3.101B,720.00M,43.72B,19.65B,63.37B,,4.197B,4.197B,551.00M,4.748B,,,,68.12B,36.67B,6.07B,42.74B,7.877B,7.877B,2.619B,,,50.62B,118.74B,310.00M,85.97B,1.915B,,,-11.67B,76.52B
2016-04,7.597B,7.597B,5.187B,5.187B,,44.51B,1.80B,,59.10B,,,,,189.96B,,189.96B,-73.47B,116.49B,16.75B,,16.75B,6.363B,139.61B,198.70B,38.00B,4.723B,1.328B,44.05B,19.60B,63.65B,,6.07B,6.07B,559.00M,6.629B,,,,70.28B,37.15B,6.242B,43.39B,7.272B,7.272B,2.575B,,,50.66B,120.95B,313.00M,84.14B,1.72B,,,-11.00B,75.18B
2016-01,8.705B,8.705B,5.624B,5.624B,,44.47B,1.441B,,60.24B,0.0,25.62B,96.84B,49.95B,11.10B,4.539B,188.05B,-71.54B,116.52B,16.70B,,16.70B,6.131B,139.34B,199.58B,38.49B,,3.065B,41.55B,13.65B,55.20B,,5.453B,5.453B,551.00M,6.004B,,,,64.62B,38.21B,5.816B,44.03B,7.321B,7.321B,3.065B,,,51.35B,115.97B,317.00M,90.02B,1.805B,,,-11.60B,80.55B
2015-10,6.99B,6.99B,5.012B,5.012B,,50.71B,2.404B,,65.11B,,,,,187.61B,,187.61B,-70.65B,116.96B,17.05B,,17.05B,6.025B,140.03B,205.14B,40.55B,1.589B,587.00M,42.73B,19.50B,62.23B,,7.706B,7.706B,558.00M,8.264B,,,,70.49B,38.62B,5.581B,44.20B,7.824B,7.824B,3.059B,,,52.02B,122.51B,321.00M,87.90B,2.006B,,,-10.66B,79.57B
2015-07,5.751B,5.751B,5.275B,5.275B,,45.01B,2.099B,,58.13B,,,,,186.09B,,186.09B,-69.58B,116.51B,17.80B,,17.80B,6.178B,140.49B,198.62B,37.22B,3.162B,373.00M,40.76B,18.29B,59.05B,,5.749B,5.749B,463.00M,6.212B,,,,65.26B,38.58B,4.262B,42.84B,8.391B,8.391B,3.253B,,,51.23B,116.50B,321.00M,84.96B,1.979B,,,-8.388B,78.87B
2015-04,7.759B,7.759B,5.813B,5.813B,,46.31B,2.251B,,62.13B,,,,,183.49B,,183.49B,-67.81B,115.68B,17.53B,,17.53B,5.398B,138.61B,200.75B,37.22B,4.741B,1.707B,43.67B,18.68B,62.36B,,6.84B,6.84B,427.00M,7.267B,,,,69.62B,38.87B,4.097B,42.96B,8.169B,8.169B,3.416B,,,51.13B,120.76B,323.00M,82.49B,2.354B,,,-8.595B,76.57B
2015-01,9.135B,9.135B,6.778B,6.778B,,45.14B,2.224B,,63.28B,0.0,26.26B,97.50B,47.85B,5.239B,5.787B,182.63B,-65.98B,116.66B,18.10B,,18.10B,5.455B,140.21B,203.49B,38.41B,,3.613B,42.02B,13.25B,55.28B,,6.383B,6.383B,287.00M,6.67B,,,,65.25B,40.89B,2.606B,43.50B,8.805B,8.805B,4.543B,,,52.30B,117.55B,323.00M,85.78B,2.462B,,,-7.168B,81.39B
2014-10,6.718B,6.718B,6.091B,6.091B,,51.50B,1.531B,,65.84B,,,,,183.13B,,183.13B,-65.63B,117.49B,18.89B,,18.89B,5.668B,142.05B,207.89B,39.66B,1.553B,383.00M,41.59B,18.77B,60.36B,,10.89B,10.89B,302.00M,11.20B,,,,71.56B,41.72B,2.767B,44.49B,7.789B,7.789B,4.944B,0.00,,52.28B,123.84B,323.00M,80.81B,2.223B,,,-4.251B,79.11B
2014-07,6.184B,6.184B,6.146B,6.146B,,45.45B,1.851B,,59.63B,,,,,183.52B,,183.52B,-64.80B,118.72B,19.76B,,19.76B,5.872B,144.35B,203.98B,36.83B,3.10B,511.00M,40.44B,18.24B,58.68B,,8.175B,8.175B,301.00M,8.476B,,,,67.15B,43.00B,2.695B,45.70B,8.311B,8.311B,5.077B,0.00,,54.01B,121.16B,323.00M,77.17B,2.208B,,,-1.957B,77.75B
2014-04,6.012B,6.012B,6.096B,6.096B,,45.32B,1.811B,,59.69B,,,,,180.26B,,180.26B,-62.62B,117.64B,19.52B,,19.52B,5.901B,143.06B,202.75B,36.35B,4.648B,1.966B,42.96B,17.81B,60.77B,,6.804B,6.804B,300.00M,7.104B,,,70.00M,67.94B,45.70B,2.742B,48.44B,8.164B,8.164B,5.111B,0.00,,56.60B,124.55B,323.00M,73.37B,2.111B,,,-2.712B,73.09B
2014-01,7.281B,7.281B,6.677B,6.677B,,44.86B,1.909B,,61.18B,0.0,26.18B,95.49B,45.76B,5.589B,5.661B,178.68B,-60.77B,117.91B,19.51B,,19.51B,6.149B,143.57B,204.75B,37.42B,,3.52B,40.94B,12.76B,53.70B,,11.77B,11.77B,309.00M,12.08B,,,89.00M,69.34B,41.77B,2.788B,44.56B,8.017B,8.017B,5.084B,1.491B,,54.07B,123.41B,323.00M,76.57B,2.362B,,,-2.996B,76.26B
2013-10,8.736B,8.736B,6.206B,6.206B,,49.67B,2.16B,,67.14B,,,,,176.64B,,176.64B,-59.41B,117.23B,19.73B,,19.73B,5.778B,142.73B,209.88B,39.22B,1.573B,255.00M,41.05B,18.61B,59.66B,,16.96B,16.96B,315.00M,17.28B,,,87.00M,77.02B,41.70B,2.841B,44.54B,8.298B,8.298B,5.129B,1.492B,,54.33B,131.35B,324.00M,72.89B,2.364B,,,-2.183B,73.39B
2013-07,9.016B,9.016B,5.996B,5.996B,,42.79B,2.197B,,60.00B,,,,,173.85B,,173.85B,-57.86B,115.99B,19.28B,,19.28B,5.693B,140.97B,200.97B,36.70B,3.141B,116.00M,39.96B,18.62B,58.57B,,13.33B,13.33B,309.00M,13.64B,,,,72.21B,40.68B,2.907B,43.58B,7.989B,7.989B,5.025B,495.00M,,52.07B,124.28B,327.00M,70.79B,3.432B,,,-2.889B,71.66B
2013-04,8.855B,8.855B,6.191B,6.191B,,43.14B,1.992B,,60.18B,,,,,172.98B,,172.98B,-56.55B,116.43B,19.73B,,19.73B,5.846B,142.01B,202.19B,36.77B,4.649B,2.318B,43.74B,17.28B,61.02B,,12.22B,12.22B,311.00M,12.53B,,,,73.55B,41.54B,3.015B,44.55B,7.694B,7.694B,5.592B,549.00M,,52.79B,126.35B,329.00M,68.49B,3.399B,,,-1.968B,70.25B
2013-01,7.781B,7.781B,6.768B,6.768B,,43.80B,1.551B,,59.94B,0.0,25.61B,90.69B,43.70B,5.899B,5.828B,171.72B,-55.04B,116.68B,20.50B,,20.50B,5.987B,143.16B,203.10B,38.08B,,5.062B,43.14B,12.58B,55.73B,,12.39B,12.39B,327.00M,12.72B,,,,71.82B,38.39B,3.023B,41.42B,7.613B,7.613B,5.395B,519.00M,,49.55B,121.37B,332.00M,72.98B,3.62B,,,-587.00M,76.34B
2012-10,8.643B,8.643B,5.567B,5.567B,,47.49B,1.654B,,63.43B,,,,,168.91B,,168.91B,-53.66B,115.25B,20.57B,,20.57B,6.562B,142.39B,205.82B,40.27B,1.381B,1.01B,42.66B,18.54B,61.20B,,15.29B,15.29B,331.00M,15.62B,,,25.00M,76.84B,38.87B,2.964B,41.84B,8.044B,8.044B,4.71B,492.00M,,50.37B,127.22B,336.00M,70.26B,3.861B,,,-562.00M,73.89B
2012-07,7.935B,7.935B,5.365B,5.365B,,40.56B,2.319B,,56.26B,,,,,165.78B,,165.78B,-52.13B,113.65B,20.08B,,20.08B,5.674B,139.40B,195.66B,36.07B,2.717B,1.308B,40.09B,17.75B,57.84B,,10.12B,10.12B,326.00M,10.45B,,,24.00M,68.32B,41.20B,2.975B,44.18B,8.028B,8.028B,4.423B,440.00M,,52.64B,120.96B,338.00M,67.73B,3.739B,,,-1.531B,70.28B
2012-04,8.117B,8.117B,5.574B,5.574B,,41.28B,2.221B,,57.28B,,,,,164.31B,,164.31B,-50.84B,113.47B,21.00B,,21.00B,5.349B,139.82B,197.10B,37.07B,4.059B,2.56B,43.69B,16.64B,60.32B,,8.308B,8.308B,322.00M,8.63B,,,24.00M,68.98B,42.96B,3.04B,46.00B,7.735B,7.735B,4.971B,456.00M,,54.19B,123.16B,339.00M,65.46B,3.625B,,,-463.00M,68.96B
2012-01,6.55B,6.55B,5.937B,5.937B,,40.71B,1.774B,,54.98B,0.0,23.50B,84.28B,41.92B,5.936B,5.312B,160.94B,-48.61B,112.32B,20.65B,,20.65B,5.456B,138.43B,193.41B,36.61B,,3.487B,40.10B,12.22B,52.31B,,6.022B,6.022B,326.00M,6.348B,,,,62.30B,44.07B,3.009B,47.08B,7.862B,7.862B,4.446B,404.00M,,55.34B,117.64B,342.00M,68.69B,3.692B,,,-1.41B,71.32B
2011-10,7.063B,7.063B,4.757B,4.757B,,44.14B,3.227B,,59.27B,,,,,157.50B,,157.50B,-47.11B,110.39B,20.41B,,20.41B,4.967B,135.77B,195.04B,37.35B,1.305B,382.00M,39.04B,16.89B,55.93B,,11.06B,11.06B,321.00M,11.38B,,,27.00M,67.34B,44.87B,2.979B,47.85B,8.085B,8.085B,4.228B,373.00M,,56.31B,123.65B,3.769B,64.77B,,,,-1.375B,67.16B
2011-07,8.102B,8.102B,5.265B,5.265B,,38.65B,3.308B,,55.41B,,,,,160.09B,,160.09B,-48.50B,111.59B,21.53B,,21.53B,5.12B,138.24B,193.66B,34.70B,2.556B,898.00M,38.16B,17.82B,55.97B,,8.222B,8.222B,404.00M,8.626B,,,28.00M,64.62B,45.24B,3.214B,48.45B,7.304B,7.304B,4.907B,428.00M,,56.18B,120.81B,3.876B,62.78B,,,,1.286B,67.94B
2011-04,9.40B,9.40B,4.785B,4.785B,,38.34B,3.33B,,55.96B,,,,,157.83B,,157.83B,-48.69B,109.14B,16.90B,,16.90B,4.068B,130.11B,186.06B,34.32B,3.828B,927.00M,39.08B,15.96B,55.04B,,6.624B,6.624B,345.00M,6.969B,,,44.00M,62.05B,45.49B,3.211B,48.70B,6.902B,6.902B,2.986B,423.00M,,56.02B,118.07B,3.798B,60.33B,,,,878.00M,65.01B
2011-01,7.395B,7.395B,5.089B,5.089B,,36.44B,2.96B,,52.01B,0.0,24.39B,79.05B,40.88B,5.905B,4.262B,154.49B,-46.61B,107.88B,16.76B,,16.76B,4.129B,128.77B,180.78B,33.68B,,157.00M,33.83B,15.25B,49.09B,,5.686B,5.686B,336.00M,6.022B,,,47.00M,58.60B,40.69B,3.15B,43.84B,6.682B,6.682B,2.705B,408.00M,,50.93B,109.54B,352.00M,63.97B,3.577B,,,646.00M,68.54B
2010-10,10.62B,10.62B,4.374B,4.374B,,41.06B,3.382B,,59.57B,,,,,151.52B,,151.52B,-44.97B,106.54B,16.59B,,16.59B,4.194B,127.32B,186.89B,36.21B,1.191B,518.00M,37.92B,17.52B,55.44B,,12.55B,12.55B,347.00M,12.90B,,,77.00M,68.41B,40.80B,3.096B,43.90B,6.197B,6.197B,2.495B,367.00M,,50.46B,118.87B,3.969B,61.45B,,,,105.00M,65.52B
2010-07,10.20B,10.20B,4.531B,4.531B,,34.79B,3.395B,,53.04B,,,,,147.84B,,147.84B,-44.03B,103.81B,15.99B,,15.99B,4.092B,123.90B,176.94B,33.95B,2.292B,1.257B,37.50B,17.55B,55.05B,,10.18B,10.18B,346.00M,10.53B,,,75.00M,65.66B,35.63B,3.073B,38.70B,5.368B,5.368B,2.25B,323.00M,,44.39B,110.05B,3.999B,61.75B,,,,-1.099B,64.65B
2010-04,8.516B,8.516B,4.235B,4.235B,,35.50B,3.291B,,51.67B,,,,,145.52B,,145.52B,-42.60B,102.93B,15.86B,,15.86B,3.91B,122.70B,174.37B,31.37B,3.546B,2.726B,37.64B,15.62B,53.26B,,10.82B,10.82B,353.00M,11.18B,,,74.00M,64.51B,32.67B,3.112B,35.78B,5.152B,5.152B,2.273B,325.00M,,41.26B,105.77B,4.059B,62.49B,,,,-216.00M,66.33B
2010-01,7.907B,7.907B,4.144B,4.144B,,32.71B,3.128B,,48.03B,0.0,22.59B,73.66B,36.39B,5.669B,5.21B,143.52B,-41.21B,102.31B,16.13B,,16.13B,3.942B,122.38B,170.41B,30.45B,,1.347B,31.80B,15.51B,47.31B,,4.573B,4.573B,346.00M,4.919B,,,92.00M,55.54B,33.23B,3.17B,36.40B,5.508B,5.508B,2.18B,307.00M,,42.22B,97.76B,378.00M,66.36B,3.803B,,,-70.00M,70.47B
2009-10,6.003B,6.003B,3.776B,3.776B,,38.78B,3.249B,,51.95B,,,,,140.77B,,140.77B,-39.55B,101.22B,16.16B,,16.16B,3.603B,120.99B,172.93B,30.92B,1.021B,810.00M,32.75B,16.64B,49.39B,5.239B,4.169B,9.408B,344.00M,9.752B,,,38.00M,59.18B,34.39B,3.207B,37.60B,6.202B,6.202B,1.954B,310.00M,,44.11B,103.29B,4.134B,64.10B,,,,-551.00M,67.69B
2009-07,7.997B,7.997B,3.684B,3.684B,,33.86B,3.336B,,49.02B,,,,,138.65B,,138.65B,-38.47B,100.19B,16.15B,,16.15B,3.581B,119.92B,168.94B,28.80B,2.073B,1.162B,32.03B,16.71B,48.74B,1.122B,6.959B,8.081B,336.00M,8.417B,,,41.00M,57.20B,33.58B,3.246B,36.82B,5.773B,5.773B,1.814B,326.00M,,42.92B,100.12B,4.173B,63.15B,,,,-318.00M,67.01B
2009-04,6.578B,6.578B,3.356B,3.356B,,34.39B,3.266B,,47.75B,,,,,132.87B,,132.87B,-36.76B,96.10B,14.88B,,14.88B,3.358B,114.34B,162.09B,28.54B,3.234B,1.81B,33.58B,15.26B,48.85B,1.457B,5.731B,7.188B,318.00M,7.506B,,,45.00M,56.40B,32.48B,3.185B,35.66B,5.835B,5.835B,1.683B,277.00M,,41.78B,98.18B,4.048B,61.56B,,,,-3.373B,62.23B
2009-01,7.275B,7.275B,3.905B,3.905B,,34.51B,3.063B,,48.95B,0.0,19.85B,73.81B,32.16B,5.341B,,131.16B,-35.51B,95.65B,15.26B,,15.26B,3.567B,114.48B,163.43B,28.85B,,677.00M,29.53B,18.11B,47.64B,,7.354B,7.354B,315.00M,7.669B,,,83.00M,55.39B,31.35B,3.20B,34.55B,6.014B,6.014B,1.794B,397.00M,,40.96B,96.35B,393.00M,63.66B,3.92B,,,-2.688B,65.28B
2008-10,5.92B,5.92B,3.25B,3.25B,,40.42B,3.245B,,52.86B,,,,,130.59B,,130.59B,-34.05B,96.54B,15.42B,,15.42B,3.026B,114.99B,167.84B,30.78B,993.00M,355.00M,32.13B,15.34B,47.47B,7.932B,4.753B,12.68B,314.00M,13.00B,,,128.00M,60.60B,30.80B,3.268B,34.07B,5.575B,5.575B,,2.034B,,41.70B,102.30B,4.219B,59.81B,,,,1.511B,65.54B
2008-07,6.907B,6.907B,3.226B,3.226B,,35.38B,3.311B,,49.53B,,,,,132.44B,,132.44B,-34.24B,98.20B,16.40B,,16.40B,2.759B,117.36B,166.90B,29.93B,1.927B,555.00M,32.42B,15.61B,48.02B,4.347B,2.18B,6.527B,324.00M,6.851B,,,31.00M,54.90B,34.17B,3.544B,37.71B,5.41B,5.41B,,2.076B,,45.20B,100.10B,3.986B,57.88B,,,,4.924B,66.79B
2008-04,8.072B,8.072B,3.256B,3.256B,,35.54B,3.426B,,50.30B,,,,,130.50B,,130.50B,-32.88B,97.62B,16.62B,,16.62B,2.943B,117.19B,167.48B,29.05B,3.322B,1.711B,34.08B,14.91B,48.99B,5.924B,5.864B,11.79B,321.00M,12.11B,,,,61.10B,32.38B,3.584B,35.96B,5.31B,5.31B,,1.878B,,43.15B,104.25B,3.628B,55.26B,,,,4.345B,63.23B
2008-01,5.492B,5.492B,3.642B,3.642B,,35.16B,2.76B,,48.02B,0.0,19.88B,72.14B,30.24B,5.736B,,127.99B,-31.12B,96.87B,15.88B,,15.88B,2.748B,115.49B,163.51B,30.34B,,1.00B,31.34B,15.72B,47.07B,5.04B,5.913B,10.95B,316.00M,11.27B,,,140.00M,58.48B,29.80B,3.603B,33.40B,5.087B,5.087B,,1.939B,,40.43B,98.91B,397.00M,57.32B,3.028B,,,3.864B,64.61B
2007-10,4.95B,4.95B,3.07B,3.07B,,39.56B,3.337B,,50.91B,,,,,126.46B,,126.46B,-30.33B,96.13B,14.90B,,14.90B,3.123B,114.15B,165.06B,30.80B,896.00M,0.00,31.70B,14.81B,46.50B,9.126B,4.412B,13.54B,309.00M,13.85B,,,,60.35B,30.07B,3.52B,33.59B,5.614B,5.614B,,2.432B,,41.64B,101.98B,3.421B,55.52B,,,,4.139B,63.08B
2007-07,6.094B,6.094B,2.767B,2.767B,,34.18B,3.342B,,46.39B,,,,,122.17B,,122.17B,-29.22B,92.95B,14.66B,,14.66B,2.959B,110.56B,156.95B,27.75B,1.794B,170.00M,29.71B,14.06B,43.77B,8.117B,3.176B,11.29B,189.00M,11.48B,,,,55.25B,27.97B,3.594B,31.56B,5.449B,5.449B,,2.404B,,39.41B,94.66B,3.412B,55.41B,,,,3.46B,62.29B
2007-04,6.563B,6.563B,2.924B,2.924B,,35.20B,2.892B,,47.58B,,,,,118.42B,,118.42B,-28.13B,90.28B,14.58B,,14.58B,2.974B,107.84B,155.42B,27.56B,3.088B,1.558B,32.21B,13.41B,45.62B,4.627B,4.212B,8.839B,246.00M,9.085B,,,,54.70B,29.57B,3.548B,33.12B,5.426B,5.426B,,2.27B,,40.81B,95.51B,3.284B,53.96B,,,,2.671B,59.91B
