,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.597B,99.00M,2.696B,,,,,,,4.509B,,,,,,,,,,,,,,,,,7.90B,12.41B,,,,,,,,,,,,,,,,,,,,2.222B,,,521.00M,521.00M,,,,,,,,,8.424B,8.424B,10.65B,,,,,,,,,1.763B,,AOR,
2020-09,2.492B,96.00M,2.588B,1.36B,1.36B,198.00M,,,135.00M,4.281B,,,,,1.599B,,1.599B,-907.00M,692.00M,4.282B,1.717B,5.999B,123.00M,72.00M,232.00M,203.00M,7.391B,11.67B,,26.00M,7.00M,97.00M,,130.00M,366.00M,496.00M,,,,,,91.00M,91.00M,962.00M,962.00M,,5.00M,1.721B,33.00M,6.363B,439.00M,6.802B,385.00M,102.00M,487.00M,,214.00M,64.00M,191.00M,5.00M,500.00M,8.263B,9.984B,,3.00M,10.80B,699.00M,9.505B,,,-504.00M,1.497B,,AOR,
2020-06,2.099B,100.00M,2.199B,1.401B,1.401B,198.00M,,,165.00M,3.963B,,,,,1.607B,,1.607B,-880.00M,727.00M,4.162B,1.697B,5.859B,125.00M,179.00M,188.00M,197.00M,7.335B,11.30B,,36.00M,6.00M,199.00M,,241.00M,411.00M,652.00M,,,,,,90.00M,90.00M,1.045B,1.045B,,3.00M,1.886B,32.00M,6.333B,451.00M,6.784B,414.00M,104.00M,518.00M,,197.00M,13.00M,191.00M,5.00M,482.00M,8.18B,10.07B,,3.00M,10.44B,651.00M,9.513B,,,-542.00M,1.041B,,AOR,
2020-03,2.141B,90.00M,2.231B,1.413B,1.413B,178.00M,,,172.00M,3.994B,,,,,1.575B,,1.575B,-853.00M,722.00M,4.122B,1.709B,5.831B,121.00M,230.00M,165.00M,180.00M,7.312B,11.31B,,26.00M,3.00M,91.00M,,120.00M,402.00M,522.00M,,,485.00M,,485.00M,89.00M,574.00M,1.154B,1.154B,,57.00M,2.351B,41.00M,6.303B,463.00M,6.766B,424.00M,109.00M,533.00M,,196.00M,1.00M,217.00M,6.00M,473.00M,8.156B,10.51B,,3.00M,10.04B,616.00M,9.524B,,,-554.00M,582.00M,,AOR,
2019-12,1.832B,98.00M,1.93B,1.419B,1.419B,150.00M,,,180.00M,3.679B,0.00,,,891.00M,456.00M,240.00M,1.587B,-839.00M,748.00M,3.722B,1.498B,5.22B,117.00M,83.00M,229.00M,166.00M,6.586B,10.26B,,38.00M,7.00M,73.00M,,118.00M,412.00M,530.00M,,,,,,89.00M,89.00M,1.078B,1.078B,,,1.912B,43.00M,5.581B,485.00M,6.066B,357.00M,112.00M,469.00M,,299.00M,0.00,219.00M,6.00M,506.00M,7.522B,9.434B,,3.00M,9.656B,642.00M,9.25B,,,-439.00M,612.00M,,AOR,
2019-09,1.178B,95.80M,1.274B,1.228B,1.228B,162.60M,,,123.50M,3.042B,,,,,1.574B,,1.574B,-816.80M,756.70M,3.61B,1.454B,5.064B,113.00M,149.30M,189.40M,130.10M,6.436B,9.478B,,14.80M,6.00M,56.40M,,77.20M,328.80M,406.00M,13.20M,,,501.50M,501.50M,89.50M,591.00M,881.20M,881.20M,,89.80M,2.138B,,4.736B,495.00M,5.232B,355.70M,115.00M,470.70M,,264.20M,0.00,224.70M,5.80M,483.90M,6.642B,8.780B,,3.40M,9.392B,607.90M,8.993B,,,-537.30M,472.60M,,AOR,Restated
2019-06,1.196B,119.50M,1.315B,1.245B,1.245B,233.90M,,,101.90M,3.155B,,,,,1.574B,,1.574B,-797.00M,777.20M,3.665B,1.486B,5.151B,121.40M,54.10M,191.40M,121.70M,6.437B,9.592B,,4.90M,5.00M,75.10M,,85.00M,367.00M,452.00M,11.40M,,129.90M,,129.90M,89.10M,219.00M,973.60M,973.60M,,81.50M,1.840B,,5.258B,510.20M,5.768B,348.60M,118.50M,467.10M,,265.90M,10.90M,221.90M,,469.80M,7.177B,9.017B,,3.40M,9.108B,574.50M,8.887B,,,-446.10M,352.80M,,AOR,Restated
2019-03,1.197B,114.00M,1.311B,1.301B,1.301B,208.20M,,,78.40M,2.898B,,,,,1.662B,,1.662B,-834.90M,826.80M,3.762B,1.530B,5.293B,111.60M,,178.80M,173.60M,6.620B,9.518B,,19.50M,4.00M,65.40M,,88.90M,347.70M,436.60M,9.30M,,318.80M,,318.80M,87.40M,406.20M,1.085B,1.085B,,10.90M,2.006B,,5.229B,523.50M,5.752B,353.40M,120.90M,474.30M,,256.50M,2.30M,201.80M,,500.80M,7.188B,9.193B,,3.40M,8.894B,435.70M,8.754B,,,-455.50M,123.20M,,AOR,Restated
2018-12,1.685B,133.00M,1.818B,1.287B,1.287B,167.00M,,,115.00M,3.387B,0.00,,,868.00M,,242.00M,1.11B,-790.00M,320.00M,3.781B,1.566B,5.347B,105.00M,27.00M,197.00M,111.00M,6.139B,9.526B,,30.00M,7.00M,71.00M,,108.00M,399.00M,507.00M,,,,450.00M,450.00M,0.00,450.00M,973.00M,973.00M,,8.00M,2.099B,,5.226B,0.00,5.226B,352.00M,122.00M,568.00M,,249.00M,8.00M,197.00M,0.00,525.00M,6.771B,8.87B,,3.00M,8.594B,601.00M,8.313B,,,-426.00M,459.00M,,AOR,Restated
2018-09,1.035B,110.70M,1.146B,1.132B,1.132B,156.00M,,,82.90M,2.516B,,,,,,,1.079B,-767.90M,311.10M,3.661B,1.518B,5.179B,98.30M,,189.30M,86.50M,5.923B,8.439B,,16.20M,5.60M,79.90M,,101.70M,283.50M,385.20M,13.10M,,24.90M,445.60M,470.50M,,470.50M,794.70M,794.70M,,20.50M,1.824B,,4.484B,,4.484B,354.80M,123.90M,575.30M,,252.70M,14.00M,206.00M,,494.50M,6.009B,7.833B,,3.40M,8.429B,569.70M,8.260B,,,-342.00M,400.10M,,AOR,Restated
