,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,2.639B,-23.00M,-2.695B,,697.00M,-2.021B,981.00M,306.00M,1.287B,1.287B,163.00M,0.00,-2.94B,1.977B,1.363B,2.323B,,-779.00M,4.884B,-75.00M,3.634B,,-1.037B,364.00M,-647.00M,-26.00M,328.00M,,580.00M,-1.037B,,-4.629B,30.00M,-4.599B,,,,,,-236.00M,-236.00M,21.00M,-4.814B,,39.16B,-1.71B,156.00M,37.61B,,508.00M,,576.00M,-5.205B,,,AOR,
2020-09,-1.194B,-21.00M,769.00M,0.00,659.00M,1.407B,1.374B,428.00M,1.802B,1.802B,-501.00M,0.00,1.363B,-1.475B,472.00M,-213.00M,,62.00M,-1.154B,128.00M,1.335B,,-654.00M,226.00M,-401.00M,-27.00M,-247.00M,,60.00M,-740.00M,,-2.442B,-786.00M,-3.228B,,,,,,-88.00M,-88.00M,276.00M,-3.04B,,41.43B,-2.475B,206.00M,39.16B,,-31.00M,,224.00M,-2.666B,,,AOR,
2020-06,-2.132B,-110.00M,-1.843B,0.00,687.00M,-1.266B,1.29B,308.00M,1.598B,1.598B,-199.00M,1.717B,-223.00M,313.00M,248.00M,-1.429B,,513.00M,-355.00M,14.00M,-1.158B,,-625.00M,323.00M,-264.00M,-38.00M,365.00M,,-773.00M,-667.00M,,-1.999B,-1.507B,-3.506B,,,,,,-235.00M,-235.00M,-339.00M,-4.079B,,47.77B,-6.382B,39.00M,41.43B,,-477.00M,,14.10B,-16.10B,,,AOR,
2020-03,6.233B,-12.37B,5.874B,0.00,623.00M,-5.875B,991.00M,340.00M,1.331B,1.331B,63.00M,,1.16B,-503.00M,-978.00M,-1.256B,,-12.00M,-2.749B,-67.00M,-214.00M,,-1.087B,731.00M,-296.00M,-60.00M,20.48B,,-906.00M,19.09B,,-5.778B,-1.905B,-7.683B,,,,,,-89.00M,-89.00M,-147.00M,-7.919B,,37.08B,10.95B,-256.00M,47.77B,,,,125.00M,-5.903B,,,AOR,
2019-12,722.00M,207.00M,-923.00M,,950.00M,234.00M,1.057B,349.00M,1.406B,1.406B,727.00M,2.00M,516.00M,-103.00M,532.00M,1.631B,,1.852B,3.912B,-257.00M,6.739B,,-1.712B,922.00M,-716.00M,-74.00M,3.491B,,2.512B,3.889B,,-2.355B,465.00M,-1.89B,,,,,,-238.00M,-238.00M,84.00M,-2.044B,,27.81B,9.186B,81.00M,37.08B,,602.00M,,736.00M,-3.091B,,,AOR,Restated
2019-09,-9.383B,-46.00M,176.00M,0.00,549.00M,679.00M,1.004B,496.00M,1.50B,1.50B,40.00M,740.00M,9.626B,-1.161B,-162.00M,149.00M,,227.00M,-947.00M,-54.00M,1.841B,,-1.296B,884.00M,-345.00M,-67.00M,1.65B,,545.00M,1.668B,,-7.321B,249.00M,-7.072B,,,,,,-87.00M,-87.00M,-470.00M,-7.528B,,28.83B,-888.00M,-132.00M,27.81B,,3.13B,,-13.00M,-7.308B,,,AOR,Restated
2019-06,104.00M,39.00M,74.00M,0.00,572.00M,685.00M,970.00M,357.00M,1.327B,1.327B,-181.00M,744.00M,101.00M,-1.241B,-786.00M,1.01B,,132.00M,-885.00M,-1.038B,70.00M,,-1.623B,844.00M,-707.00M,-72.00M,2.288B,,-2.90B,-108.00M,,-1.891B,11.00M,-1.88B,,,,,,-236.00M,-236.00M,-515.00M,-2.826B,,35.50B,-6.596B,-77.00M,28.83B,,-3.732B,,731.00M,-2.622B,,,AOR,Restated
2019-03,3.645B,-253.00M,-20.00M,0.00,579.00M,306.00M,995.00M,367.00M,1.362B,1.362B,140.00M,,-3.337B,545.00M,-1.165B,-116.00M,,-680.00M,-1.416B,-298.00M,122.00M,,-1.464B,1.068B,-327.00M,-69.00M,569.00M,,658.00M,3.49B,,-2.815B,-445.00M,-3.26B,,,,,,-88.00M,-88.00M,-113.00M,-3.735B,,35.55B,-123.00M,78.00M,35.50B,,,,731.00M,-3.546B,,,AOR,Restated
2018-12,861.00M,-759.00M,,,875.00M,-50.00M,1.062B,423.00M,1.485B,1.485B,-367.00M,163.00M,2.386B,1.386B,874.00M,972.00M,,187.00M,3.419B,1.023B,8.567B,,-2.433B,1.715B,-647.00M,-71.00M,2.948B,,2.032B,6.644B,,-1.823B,-2.442B,-4.265B,,6.00M,6.00M,,,-1.192B,-1.192B,331.00M,-6.839B,,22.05B,13.68B,-188.00M,35.55B,,5.31B,,771.00M,-2.594B,6.00M,,AOR,Restated
2018-09,-22.86B,-463.00M,,0.00,893.00M,430.00M,717.00M,591.00M,1.308B,1.308B,6.00M,21.97B,-3.776B,-1.355B,68.00M,474.00M,,-105.00M,-918.00M,1.038B,-2.914B,,-1.07B,607.00M,-394.00M,-69.00M,3.115B,,4.211B,6.199B,,501.00M,150.00M,651.00M,,-6.00M,0.00,,,-1.046B,-1.046B,-919.00M,-4.054B,,27.54B,-5.336B,-155.00M,22.05B,,-4.566B,,1.807B,-1.306B,-6.00M,,AOR,Restated
