,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,21.93B,21.93B,14.37B,7.562B,3.823B,3.823B,-12.44B,,-3.522B,,3.522B,,6.388B,1.174B,,-3.522B,3.522B,-1.977B,3.522B,2.721B,163.00M,2.559B,81.00M,,-3.00M,194.00M,2.636B,14.25B,486.00M,1.287B,-801.00M,,0.27,0.01,,1.605,0.28,,0.27,0.00,,1.603,0.27,,8.765B,8.779B,0.01,,AOR,
2020-09,19.42B,19.42B,15.28B,4.142B,3.851B,3.851B,21.00M,,1.327B,,-1.327B,,3.851B,291.00M,,1.327B,-1.327B,-624.00M,-1.327B,-1.66B,-501.00M,-1.16B,-35.00M,,51.00M,46.00M,-1.144B,-1.124B,1.469B,1.802B,-333.00M,,-0.13,-0.01,,-0.1317,-0.14,,-0.13,-0.01,,-0.1317,-0.14,,8.756B,8.756B,0.01,,AOR,
2020-06,17.75B,17.75B,15.08B,2.667B,3.643B,3.643B,-1.665B,,997.00M,1.955B,958.00M,,3.643B,-976.00M,1.955B,997.00M,958.00M,-2.32B,958.00M,-2.339B,-199.00M,-2.139B,7.00M,,145.00M,192.00M,-1.987B,-470.52M,256.00M,1.598B,-1.342B,,-0.27,0.01,,-0.0959,-0.26,,-0.27,0.01,,-0.0959,-0.26,,8.75B,8.75B,0.01,,AOR,
2020-03,20.52B,20.52B,15.70B,4.827B,3.701B,3.701B,,,794.00M,,-794.00M,,3.701B,1.126B,,794.00M,-794.00M,6.141B,-794.00M,6.475B,63.00M,6.412B,-178.00M,,-34.00M,43.00M,6.199B,6.377B,8.60B,1.331B,7.269B,,0.72,-0.02,,0.72,0.70,,0.72,-0.02,,0.72,0.70,,8.742B,8.749B,0.01,,AOR,
2019-12,26.24B,26.24B,15.96B,10.28B,4.411B,4.411B,-262.00M,,955.00M,,-1.086B,,7.529B,2.746B,,955.00M,-1.086B,-90.00M,-1.086B,1.571B,727.00M,844.00M,-123.00M,,7.00M,190.00M,728.00M,1.042B,3.932B,1.406B,2.526B,,0.08,-0.02,,0.1019,0.06,,0.07,-0.02,,0.0919,0.06,,8.733B,8.733B,0.01,,AOR,Restated
2019-09,23.36B,23.36B,17.33B,6.032B,4.756B,4.756B,-694.00M,,1.308B,,-1.308B,,4.756B,1.276B,,1.308B,-1.308B,-1.218B,-1.308B,-1.249B,41.00M,-1.29B,-8.093B,,-40.00M,42.00M,-9.423B,-823.38M,1.559B,1.50B,59.00M,,-0.15,-0.93,,-0.0920,-1.08,,-0.15,-0.93,,-0.0920,-1.08,,8.73B,8.73B,0.01,,AOR,Restated
2019-06,23.41B,23.41B,17.41B,6.001B,4.063B,4.063B,-783.00M,,929.00M,23.00M,-906.00M,,4.063B,1.938B,23.00M,929.00M,-906.00M,-1.33B,-906.00M,-296.00M,-181.00M,-115.00M,219.00M,,23.00M,188.00M,127.00M,479.59M,1.96B,1.327B,633.00M,,-0.03,0.03,,0.0355,-0.01,,-0.03,0.03,,0.0355,-0.01,,8.724B,8.724B,0.01,,AOR,Restated
2019-03,22.20B,22.20B,16.21B,5.994B,4.013B,4.013B,,,1.065B,,-1.065B,,4.013B,1.981B,,1.065B,-1.065B,206.00M,-1.065B,1.122B,140.00M,983.00M,2.663B,,-57.00M,40.00M,3.588B,925.00M,3.549B,1.362B,2.187B,,0.10,0.31,,0.10,0.41,,0.10,0.30,,0.10,0.40,,8.711B,8.726B,0.01,,AOR,Restated
2018-12,26.50B,26.50B,17.16B,9.341B,4.411B,4.411B,-163.00M,,1.181B,,-1.181B,,7.826B,1.515B,,1.181B,-1.181B,-3.00M,-1.181B,331.00M,-367.00M,697.00M,163.00M,,-99.00M,187.00M,761.00M,716.99M,2.997B,1.485B,1.512B,,0.08,-0.01,,0.0937,0.07,,0.08,-0.01,,0.0937,0.07,,8.682B,8.682B,0.01,,AOR,Restated
2018-09,23.39B,23.39B,17.85B,5.545B,4.81B,4.81B,-21.97B,,1.155B,,-1.155B,,4.81B,735.00M,,1.155B,-1.155B,-22.54B,-1.155B,-22.96B,52.00M,-23.01B,155.00M,,90.00M,39.00M,-22.77B,-994.95M,-20.50B,1.308B,-21.81B,,-2.64,0.02,,-0.1162,-2.62,,-2.64,0.02,,-0.1162,-2.62,,8.689B,8.689B,0.12,,AOR,Restated
