,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.468B,5.62B,2.592B,3.028B,,0.0,38.00M,304.00M,443.00M,,-443.00M,,1.193B,1.835B,,443.00M,-443.00M,184.00M,-443.00M,1.576B,293.00M,1.283B,,,-28.00M,4.00M,1.255B,1.224B,3.006B,987.00M,2.019B,1.18,,,1.151,1.18,1.18,,,1.151,1.18,1.058B,1.064B,0.64
2020-06,4.458B,4.62B,2.242B,2.378B,,,-119.00M,298.00M,444.00M,,-444.00M,149.00M,1.32B,1.058B,,444.00M,-444.00M,12.00M,-444.00M,626.00M,5.00M,621.00M,,,-5.00M,4.00M,616.00M,734.05M,2.037B,967.00M,1.07B,0.58,,,0.6916,0.58,0.58,,,0.6911,0.58,1.058B,1.063B,0.64
2020-03,4.896B,5.018B,2.607B,2.411B,,,73.00M,330.00M,456.00M,,-456.00M,,1.187B,1.224B,,456.00M,-456.00M,218.00M,-456.00M,986.00M,145.00M,841.00M,,,31.00M,4.00M,872.00M,809.74M,2.391B,949.00M,1.442B,0.82,,,0.7611,0.82,0.81,,,0.7516,0.81,1.057B,1.067B,0.62
2019-12,4.708B,4.914B,3.161B,1.753B,,,63.00M,299.00M,442.00M,,-442.00M,,1.094B,659.00M,,442.00M,-442.00M,118.00M,-442.00M,335.00M,-74.00M,409.00M,,,36.00M,4.00M,445.00M,399.01M,1.594B,817.00M,777.00M,0.4179,,,0.3743,0.4179,0.4179,,,0.3746,0.4179,1.055B,1.063B,0.62
2019-09,5.798B,5.995B,2.815B,3.18B,,0.0,-71.00M,303.00M,434.00M,,-434.00M,,1.063B,2.117B,,434.00M,-434.00M,29.00M,-434.00M,1.712B,367.00M,1.345B,,,-25.00M,4.00M,1.32B,1.376B,3.037B,891.00M,2.146B,1.26,,,1.3130000000000002,1.26,1.25,,,1.3030000000000002,1.25,1.048B,1.057B,0.62
2019-06,4.932B,5.098B,2.71B,2.388B,,,39.00M,299.00M,429.00M,,-429.00M,,1.054B,1.334B,,429.00M,-429.00M,171.00M,-429.00M,1.076B,145.00M,931.00M,,,-29.00M,3.00M,902.00M,868.26M,2.277B,772.00M,1.505B,0.86,,,0.8277,0.86,0.85,,,0.8179,0.85,1.044B,1.052B,0.62
2019-03,5.225B,5.412B,3.138B,2.274B,,,2.529B,329.00M,430.00M,,-430.00M,,1.08B,1.194B,,430.00M,-430.00M,2.655B,-430.00M,3.419B,1.36B,2.059B,,,29.00M,4.00M,2.088B,564.98M,4.70B,851.00M,3.849B,2.01,,,0.5427,2.01,1.99,,,0.5326,1.99,1.038B,1.045B,0.6
2018-12,5.105B,5.337B,3.61B,1.727B,,,0.00,325.00M,456.00M,,-456.00M,-8.00M,1.11B,617.00M,,456.00M,-456.00M,-41.00M,-456.00M,120.00M,-149.00M,269.00M,,,13.00M,4.00M,282.00M,282.00M,1.478B,902.00M,576.00M,0.2689,,,0.2689,0.2689,0.2689,,,0.2689,0.2689,1.032B,1.037B,0.6
2018-09,5.96B,6.159B,3.195B,2.964B,,,353.00M,319.00M,458.00M,,-458.00M,1.00M,1.107B,1.857B,,458.00M,-458.00M,446.00M,-458.00M,1.845B,623.00M,1.222B,,,-54.00M,4.00M,1.168B,934.20M,3.20B,897.00M,2.303B,1.14,,,0.9115,1.14,1.13,,,0.9028,1.13,1.023B,1.029B,0.6
2018-06,5.232B,5.627B,3.369B,2.258B,,,-4.00M,316.00M,470.00M,,-470.00M,1.06B,2.159B,99.00M,,470.00M,-470.00M,105.00M,-470.00M,-266.00M,-139.00M,-127.00M,,,-23.00M,4.00M,-150.00M,-147.08M,1.081B,877.00M,204.00M,-0.15,,,-0.1471,-0.15,-0.15,,,-0.1471,-0.15,1.014B,1.014B,0.6
2018-03,5.959B,6.372B,3.828B,2.544B,,,30.00M,355.00M,458.00M,,-458.00M,44.00M,1.168B,1.376B,,458.00M,-458.00M,131.00M,-458.00M,1.049B,113.00M,936.00M,,,6.00M,4.00M,942.00M,915.23M,2.38B,873.00M,1.507B,0.93,,,0.9035,0.93,0.92,,,0.8937,0.92,1.011B,1.016B,0.58
2017-12,5.319B,5.628B,3.62B,2.008B,,,48.00M,309.00M,446.00M,,-446.00M,207.00M,1.29B,718.00M,,446.00M,-446.00M,52.00M,-446.00M,324.00M,-175.00M,499.00M,,,2.00M,6.00M,501.00M,472.20M,1.663B,893.00M,770.00M,0.4923,,,0.4636,0.4923,0.4923,,,0.4639,0.4923,1.006B,1.017B,0.58
2017-09,6.033B,6.201B,3.106B,3.095B,,,18.00M,303.00M,407.00M,,-407.00M,34.00M,1.104B,1.991B,,407.00M,-407.00M,115.00M,-407.00M,1.699B,590.00M,1.109B,,,-30.00M,10.00M,1.079B,1.067B,2.987B,881.00M,2.106B,1.07,,,1.058,1.07,1.06,,,1.048,1.06,1.003B,1.01B,0.58
2017-06,5.246B,5.43B,3.005B,2.425B,,,58.00M,308.00M,424.00M,,-424.00M,3.012B,4.074B,-1.649B,,424.00M,-424.00M,138.00M,-424.00M,-1.935B,-587.00M,-1.348B,,,-22.00M,11.00M,-1.37B,-1.410B,-651.00M,860.00M,-1.511B,-1.38,,,-1.42,-1.38,-1.38,,,-1.42,-1.38,998.00M,1.005B,0.58
2017-03,5.63B,5.771B,3.365B,2.406B,,,57.00M,330.00M,416.00M,,-416.00M,108.00M,1.154B,1.252B,,416.00M,-416.00M,144.00M,-416.00M,980.00M,315.00M,665.00M,,,4.00M,11.00M,669.00M,630.32M,2.219B,823.00M,1.396B,0.66,,,0.621,0.66,0.66,,,0.6213,0.66,993.00M,1.00B,0.56
2016-12,5.02B,5.181B,3.541B,1.64B,,,51.00M,292.00M,404.00M,,-404.00M,206.00M,1.195B,445.00M,,404.00M,-404.00M,198.00M,-404.00M,239.00M,34.00M,205.00M,,,3.00M,11.00M,208.00M,164.26M,1.457B,814.00M,643.00M,0.199,,,0.1545,0.199,0.199,,,0.1551,0.199,984.00M,997.00M,0.56
2016-09,6.12B,6.264B,3.255B,3.009B,,,52.00M,309.00M,374.00M,,-374.00M,88.00M,1.092B,1.917B,,374.00M,-374.00M,73.00M,-374.00M,1.616B,439.00M,1.177B,,,-27.00M,11.00M,1.15B,1.112B,2.793B,803.00M,1.99B,1.18,,,1.141,1.18,1.17,,,1.131,1.17,968.00M,975.00M,0.56
2016-06,4.36B,4.459B,2.369B,2.09B,,,45.00M,255.00M,293.00M,,-293.00M,81.00M,905.00M,1.185B,,293.00M,-293.00M,16.00M,-293.00M,908.00M,261.00M,647.00M,,,-12.00M,12.00M,635.00M,602.94M,1.868B,667.00M,1.201B,0.67,,,0.6357,0.67,0.66,,,0.6259,0.66,934.00M,940.00M,0.56
2016-03,3.954B,3.992B,2.202B,1.79B,,,53.00M,256.00M,246.00M,,-246.00M,53.00M,850.00M,940.00M,,246.00M,-246.00M,24.00M,-246.00M,718.00M,217.00M,501.00M,,,-1.00M,11.00M,500.00M,463.01M,1.603B,639.00M,964.00M,0.53,,,0.4896,0.53,0.53,,,0.4899,0.53,916.00M,922.00M,0.5425
2015-12,3.555B,3.568B,2.052B,1.516B,,,63.00M,236.00M,228.00M,,-228.00M,183.00M,938.00M,578.00M,,228.00M,-228.00M,65.00M,-228.00M,415.00M,118.00M,297.00M,,,,12.00M,283.00M,237.91M,1.251B,608.00M,643.00M,0.2973,,,0.2477,0.2973,0.2973,,,0.2481,0.2973,910.00M,917.00M,0.5425
2015-09,5.39B,5.401B,2.81B,2.591B,,,60.00M,264.00M,218.00M,,-218.00M,150.00M,942.00M,1.649B,,218.00M,-218.00M,39.00M,-218.00M,1.47B,500.00M,970.00M,,,,11.00M,970.00M,930.41M,2.304B,616.00M,1.688B,1.05,,,1.006,1.05,1.05,,,1.0070000000000001,1.05,910.00M,912.00M,0.5425
2015-06,4.324B,4.337B,2.471B,1.866B,,,39.00M,245.00M,180.00M,,-180.00M,23.00M,768.00M,1.098B,,180.00M,-180.00M,27.00M,-180.00M,945.00M,302.00M,643.00M,,,0.00,14.00M,643.00M,616.46M,1.718B,593.00M,1.125B,0.69,,,0.6608,0.69,0.69,,,0.6609,0.69,909.00M,912.00M,0.5425
2015-03,4.172B,4.183B,2.478B,1.705B,,,63.00M,252.00M,213.00M,,-213.00M,9.00M,748.00M,957.00M,,213.00M,-213.00M,55.00M,-213.00M,799.00M,274.00M,525.00M,,,0.00,17.00M,525.00M,483.61M,1.59B,578.00M,1.012B,0.56,,,0.5145,0.56,0.56,,,0.5148,0.56,910.00M,915.00M,0.525
2014-12,3.998B,4.017B,2.726B,1.291B,,,63.00M,230.00M,212.00M,,-212.00M,70.00M,730.00M,561.00M,,212.00M,-212.00M,39.00M,-212.00M,388.00M,88.00M,300.00M,,,,17.00M,300.00M,251.29M,1.095B,495.00M,600.00M,0.3303,,,0.2765,0.3303,0.3303,,,0.2768,0.3303,906.00M,910.00M,0.525
2014-09,5.327B,5.339B,2.871B,2.468B,,,63.00M,258.00M,207.00M,,-207.00M,418.00M,1.19B,1.278B,,207.00M,-207.00M,56.00M,-207.00M,1.127B,392.00M,735.00M,,,,17.00M,735.00M,693.91M,1.95B,616.00M,1.334B,0.8,,,0.7542,0.8,0.8,,,0.7544,0.8,898.00M,902.00M,0.525
2014-06,4.454B,4.467B,2.614B,1.853B,,,62.00M,246.00M,210.00M,,-210.00M,,750.00M,1.103B,,210.00M,-210.00M,56.00M,-210.00M,949.00M,321.00M,628.00M,,,,17.00M,628.00M,586.97M,1.754B,595.00M,1.159B,0.68,,,0.6342,0.68,0.68,,,0.6344,0.68,895.00M,899.00M,0.525
2014-03,4.627B,4.644B,2.82B,1.824B,,,57.00M,247.00M,206.00M,,-206.00M,380.00M,1.124B,700.00M,,206.00M,-206.00M,50.00M,-206.00M,544.00M,176.00M,368.00M,,,,17.00M,368.00M,329.41M,1.337B,587.00M,750.00M,0.39,,,0.3466,0.39,0.39,,,0.3468,0.39,890.00M,893.00M,0.5075
2013-12,3.915B,3.927B,2.385B,1.542B,,,51.00M,224.00M,196.00M,,-177.00M,40.00M,743.00M,799.00M,,196.00M,-177.00M,1.00M,-177.00M,623.00M,192.00M,431.00M,,,,17.00M,431.00M,395.72M,1.392B,573.00M,819.00M,0.4666,,,0.4268,0.4666,0.4666,,,0.4268,0.4666,886.00M,887.00M,0.5075
2013-09,5.005B,5.017B,2.653B,2.364B,,,53.00M,243.00M,202.00M,,-202.00M,150.00M,873.00M,1.491B,,202.00M,-202.00M,48.00M,-202.00M,1.337B,468.00M,869.00M,,,,17.00M,869.00M,834.55M,2.124B,585.00M,1.539B,0.97,,,0.9308,0.97,0.97,,,0.9309,0.97,878.00M,881.00M,0.5075
2013-06,4.23B,4.246B,2.448B,1.798B,,,45.00M,232.00M,215.00M,,-215.00M,450.00M,1.158B,640.00M,,215.00M,-215.00M,46.00M,-215.00M,471.00M,158.00M,313.00M,,,,16.00M,313.00M,283.10M,1.258B,572.00M,686.00M,0.34,,,0.3058,0.34,0.34,,,0.306,0.34,874.00M,879.00M,0.5075
2013-03,3.885B,3.897B,2.331B,1.566B,,,41.00M,235.00M,211.00M,,-211.00M,540.00M,1.241B,325.00M,,211.00M,-211.00M,14.00M,-211.00M,128.00M,31.00M,97.00M,,,,16.00M,97.00M,66.04M,907.00M,568.00M,339.00M,0.09,,,0.0544,0.09,0.09,,,0.0546,0.09,870.00M,875.00M,0.49
2012-12,3.69B,3.703B,2.194B,1.509B,,,22.00M,224.00M,210.00M,,-170.00M,,676.00M,833.00M,,210.00M,-170.00M,-28.00M,-170.00M,635.00M,236.00M,399.00M,,,,16.00M,399.00M,385.18M,1.388B,543.00M,845.00M,0.4412,,,0.4253,0.4412,0.4412,,,0.4255,0.4412,868.00M,876.00M,0.49
2012-09,5.033B,5.049B,2.623B,2.426B,,,39.00M,237.00M,218.00M,,-218.00M,,686.00M,1.74B,,218.00M,-218.00M,40.00M,-218.00M,1.562B,569.00M,993.00M,,,,17.00M,993.00M,965.03M,2.318B,538.00M,1.78B,1.11,,,1.078,1.11,1.11,,,1.078,1.11,876.00M,883.00M,0.49
