,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,938.88M,19.08B,20.02B,4.534B,,4.612B,455.96M,25.09B,20.25B,,21.50B,30.15B,,364.65M,,119.87M,484.52M,7.215M,491.74M,,,,,,491.74M,710.81M,,710.81M,15.93M,,15.23B,3.447B,6.632M,,,19.41B,20.56B,,0.696M,10.57B,2.235B,3.622B,411.60M,9.591B,,AOR,
2020-06,922.48M,17.91B,18.84B,4.337B,,4.631B,464.21M,23.93B,18.86B,,20.05B,28.58B,,369.76M,,89.75M,459.51M,2.368M,461.88M,,,,,,461.88M,620.76M,,620.76M,11.88M,,14.28B,3.190B,9.088M,,,18.11B,19.30B,,0.696M,10.38B,2.226B,3.622B,297.14M,9.286B,,AOR,
2020-03,817.63M,16.99B,17.81B,4.149B,,4.555B,438.31M,22.80B,17.72B,,18.89B,27.22B,,369.38M,,77.04M,446.43M,7.589M,454.02M,397.10M,50.00M,,447.10M,447.10M,901.12M,235.08M,,235.08M,9.163M,,13.82B,3.176B,20.96M,,,17.26B,18.64B,,0.696M,10.26B,2.216B,3.622B,-269.75M,8.581B,,AOR,
2019-12,808.04M,17.25B,18.05B,4.023B,,4.328B,445.72M,22.83B,18.18B,,19.28B,27.32B,,291.66M,,30.65M,322.31M,2.878M,325.19M,397.07M,,,397.07M,397.07M,722.26M,236.76M,,236.76M,10.67M,,13.61B,3.057B,5.584M,,,16.92B,18.19B,,0.694M,10.31B,2.220B,3.422B,28.15M,9.133B,,AOR,
2019-09,717.17M,17.03B,17.74B,4.212B,,4.573B,484.27M,22.80B,17.93B,,18.89B,27.02B,,371.81M,,53.52M,425.33M,7.821M,433.15M,397.04M,,,397.04M,397.04M,830.20M,236.73M,,236.73M,11.63M,,13.64B,2.896B,8.563M,,,16.79B,18.04B,,0.694M,10.15B,2.206B,3.422B,46.27M,8.983B,,AOR,Restated
2019-06,661.37M,16.55B,17.21B,4.188B,,4.546B,476.43M,22.23B,17.46B,,18.41B,26.39B,,346.15M,,145.57M,491.72M,3.063M,494.78M,397.01M,,,397.01M,397.01M,891.80M,236.71M,69.19M,305.90M,10.90M,,13.25B,2.729B,8.374M,,,16.30B,17.50B,,0.694M,10.15B,2.198B,3.422B,-44.90M,8.884B,,AOR,Restated
2019-03,583.97M,16.11B,16.70B,4.177B,,4.653B,360.14M,21.71B,17.00B,,17.76B,25.63B,,287.81M,,110.72M,398.53M,7.515M,406.04M,396.98M,,,396.98M,396.98M,803.03M,236.68M,73.53M,310.21M,9.759M,,13.25B,2.666B,8.727M,,,16.24B,17.20B,,0.694M,9.866B,2.190B,3.414B,-216.11M,8.427B,,AOR,Restated
2018-12,656.10M,15.47B,16.12B,3.971B,,4.565B,343.34M,21.03B,16.19B,,16.98B,24.75B,,218.44M,,51.11M,269.55M,3.093M,272.64M,396.95M,,,396.95M,396.95M,669.60M,236.66M,,236.66M,13.10M,,13.12B,2.518B,11.96M,,,15.90B,16.89B,,0.692M,9.531B,2.189B,3.398B,-462.56M,7.861B,,AOR,Restated
2018-09,639.76M,15.35B,15.99B,3.836B,,4.102B,374.10M,20.47B,16.52B,,17.22B,24.41B,,289.96M,,103.68M,393.64M,7.869M,401.51M,396.92M,,,396.92M,396.92M,798.44M,236.63M,,236.63M,17.56M,,12.39B,2.351B,6.993M,,,15.00B,16.08B,,0.692M,10.01B,2.183B,3.398B,-470.32M,8.329B,,AOR,Restated
2018-06,619.49M,15.76B,16.38B,3.741B,,4.022B,368.66M,20.77B,15.76B,,16.53B,23.89B,,312.47M,,54.56M,367.04M,3.01M,370.05M,396.89M,,,396.89M,396.89M,766.94M,236.61M,,236.61M,17.09M,,12.04B,2.141B,9.218M,,,14.45B,15.64B,,0.692M,9.861B,2.173B,3.348B,-445.34M,8.241B,,AOR,Restated
2018-03,700.59M,16.35B,17.06B,3.263B,,3.529B,321.20M,20.90B,16.35B,,16.91B,23.51B,,244.28M,,49.57M,293.85M,7.668M,301.52M,,,,,,301.52M,633.45M,,633.45M,16.96M,,11.82B,2.090B,12.20M,,,14.57B,15.17B,,0.692M,9.844B,2.164B,3.322B,-341.97M,8.344B,,AOR,Restated
