,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,243.06M,-110.20M,-110.20M,,,,12.05M,10.16M,22.21M,79.82M,-8.644M,-20.72M,-96.54M,,-120.91M,915.83M,1.086B,,,-1.146B,,-1.100B,,90.00M,,90.00M,,-0.001M,-0.001M,-61.90M,-61.90M,-0.776M,-1.156M,26.16M,,922.48M,11.90M,4.504M,938.88M,,,90.00M,,-0.001M,-10.90M,1.739M,,AOR,
2020-06,190.88M,-184.65M,-184.65M,,,,11.91M,9.782M,21.69M,-109.87M,-13.65M,-6.056M,92.58M,,34.95M,541.34M,598.60M,,,-431.70M,,-370.81M,,-50.00M,,-50.00M,,0.001M,0.001M,-61.93M,-61.93M,-0.268M,-9.608M,-121.80M,,817.63M,105.99M,-1.133M,922.48M,,,-50.00M,,0.001M,5.975M,12.18M,,AOR,
2020-03,16.61M,210.59M,210.59M,,,,8.64M,9.393M,18.03M,-315.26M,-39.54M,95.56M,-8.512M,,-45.26M,249.65M,505.99M,,,-362.27M,,-258.18M,,50.00M,,50.00M,,-200.02M,-200.02M,-63.28M,-63.28M,-12.57M,-15.18M,-241.05M,,808.04M,6.758M,2.832M,817.63M,,,50.00M,,-200.02M,4.92M,2.817M,,AOR,
2019-12,217.64M,-75.44M,-75.44M,,,,7.294M,8.632M,15.93M,337.07M,11.88M,-93.83M,-3.345M,,-16.73M,188.07M,365.14M,,,-269.45M,,-200.69M,,,,,,0.00,0.00,-63.19M,-63.19M,4.702M,-1.154M,-59.64M,,717.17M,104.81M,-13.94M,808.04M,,,,,0.00,,12.61M,,AOR,
2019-09,104.40M,12.94M,12.94M,,,,10.32M,8.215M,18.54M,-80.39M,28.71M,27.83M,-47.96M,,23.37M,476.44M,633.35M,,,-593.49M,,-521.44M,,0.00,,0.00,,0.00,0.00,-57.00M,-57.00M,-0.351M,-0.725M,-58.07M,,661.37M,53.84M,1.969M,717.17M,,,0.00,,0.00,,3.094M,,AOR,Restated
2019-06,332.87M,-30.27M,-30.27M,,,,7.422M,8.115M,15.54M,28.19M,-190.19M,69.15M,-48.95M,,-90.97M,49.05M,393.71M,,,-346.67M,,-257.61M,,,,,,-8.451M,-8.451M,-57.00M,-57.00M,0.803M,-0.305M,-64.95M,,583.97M,71.15M,6.243M,661.37M,,,,,-8.451M,,12.83M,,AOR,Restated
2019-03,354.55M,-92.23M,-92.23M,,,,5.899M,9.056M,14.96M,-41.96M,-2.324M,63.33M,-8.079M,,30.15M,167.73M,459.80M,,,-487.44M,,-432.75M,,0.00,,0.00,,-16.15M,-16.15M,-57.14M,-57.14M,-8.288M,-11.44M,-93.02M,,656.10M,-65.97M,-6.152M,583.97M,,,0.00,,-16.15M,,3.154M,,AOR,Restated
2018-12,-385.31M,172.82M,172.82M,,,,4.468M,6.578M,11.05M,-529.43M,-54.19M,-66.94M,-13.68M,,-70.64M,252.35M,66.44M,,,-42.53M,,-2.447M,,,,,,0.00,0.00,-56.88M,-56.88M,-0.394M,-1.653M,-58.92M,,639.76M,5.068M,11.27M,656.10M,,,,,0.00,,12.71M,,AOR,Restated
2018-09,194.14M,-54.80M,-54.80M,,,,7.127M,8.225M,15.35M,-80.36M,-1.525M,-22.75M,-42.48M,,-140.25M,229.48M,410.98M,,,-362.42M,,-279.35M,,,,,,-50.00M,-50.00M,-52.86M,-52.86M,1.668M,-0.40M,-101.60M,,619.49M,30.04M,-9.77M,639.76M,,,,,-50.00M,,2.987M,,AOR,Restated
2018-06,69.90M,-15.78M,-15.78M,,,,8.727M,9.23M,17.96M,-549.16M,-227.06M,77.56M,-21.30M,,31.72M,-161.81M,-62.99M,,,-1.859B,,57.59M,,,,,,-25.30M,-25.30M,-53.24M,-53.24M,-0.048M,-0.614M,-79.21M,,700.59M,-84.61M,3.515M,619.49M,,,,,-25.30M,,12.33M,,AOR,Restated
