,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-09,302.30M,,-3.60M,,130.70M,130.70M,,9.40M,-92.60M,,,,,130.40M,37.80M,476.60M,,-334.90M,55.00M,-279.90M,,253.80M,-35.10M,-61.20M,,,,21.90M,-29.20M,-249.70M,-278.90M,,-61.50M,,30.10M,-288.40M,,1.414B,127.00M,57.40M,1.599B,,-29.20M,,,-249.70M,,,
2007-06,298.30M,,5.40M,,129.20M,129.20M,,9.00M,65.50M,,,,,62.40M,127.90M,569.80M,,-262.30M,42.30M,-220.00M,,-49.80M,-167.80M,-437.60M,,,,-54.30M,8.00M,0.00,8.00M,,-62.20M,,,-108.50M,,1.375B,23.70M,15.30M,1.414B,,8.00M,,,0.00,,,
2007-03,365.60M,,-23.60M,,118.00M,118.00M,,7.70M,-7.10M,,,,,-47.80M,-54.90M,412.80M,,-177.50M,64.00M,-113.50M,,-194.50M,-156.50M,-464.50M,,,,142.10M,21.20M,-49.10M,-27.90M,,-546.70M,,,-432.50M,,1.852B,-484.20M,6.90M,1.375B,,21.20M,,,-49.10M,,,
2006-12,380.50M,,59.00M,,113.20M,113.20M,,11.50M,-309.30M,,,,,41.90M,-12.60M,551.60M,,-337.90M,44.50M,-293.40M,,1.20M,-312.60M,-604.80M,,,,299.80M,6.00M,-1.20M,4.80M,,-49.70M,,,254.90M,,1.609B,201.70M,41.90M,1.852B,,6.00M,,,-1.20M,,,
2006-09,403.60M,,-7.00M,,113.20M,113.20M,,6.30M,-103.00M,,,,,-47.50M,-150.50M,365.60M,,-244.40M,32.70M,-211.70M,,-12.10M,-120.70M,-344.50M,,,,332.80M,2.70M,-59.40M,-56.70M,,-49.90M,,,226.20M,,1.359B,247.30M,2.90M,1.609B,,2.70M,,,-59.40M,,,
2006-06,369.90M,,8.80M,,108.00M,108.00M,,16.00M,69.30M,,,,,-115.90M,-46.60M,456.10M,,-210.60M,46.20M,-164.40M,,-48.50M,-247.20M,-460.10M,,,,47.40M,14.70M,-65.60M,-50.90M,,-50.00M,,,-53.50M,,1.390B,-57.50M,26.00M,1.359B,,14.70M,,,-65.60M,,,
2006-03,342.00M,,0.40M,,100.20M,100.20M,,,-34.50M,,,,,71.30M,36.80M,479.40M,,-161.40M,38.80M,-122.60M,,-173.40M,-120.70M,-416.70M,,,,167.20M,14.30M,-185.80M,-171.50M,,-380.80M,,,-385.10M,,1.699B,-322.40M,13.70M,1.390B,,14.30M,,,-185.80M,,,
2005-12,312.90M,,66.30M,,96.50M,96.50M,,-30.90M,-388.60M,,,,,116.00M,-136.40M,308.40M,,-252.50M,32.70M,-219.80M,,-21.40M,-148.50M,-389.70M,,,,692.70M,2.20M,-23.70M,-21.50M,,-42.30M,,,628.90M,,1.160B,547.60M,-8.50M,1.699B,,2.20M,,,-23.70M,,,
2005-09,304.80M,,-62.10M,,91.70M,91.70M,45.30M,30.90M,-74.10M,,,,,-175.60M,-249.70M,160.90M,,-244.30M,24.60M,-219.70M,,42.90M,-138.30M,-315.10M,,,,288.00M,-6.40M,-149.90M,-156.30M,,-36.00M,,,95.70M,,1.223B,-58.50M,-4.90M,1.160B,,-6.40M,,,-149.90M,,,
2005-06,241.50M,,11.30M,,90.40M,90.40M,-45.30M,,-72.10M,,,,,107.60M,35.50M,333.40M,,-201.90M,16.80M,-185.10M,,-212.00M,-263.70M,-660.80M,,,,384.90M,2.20M,-166.70M,-164.50M,,-36.00M,,,184.40M,,1.429B,-143.00M,-63.20M,1.223B,,2.20M,,,-166.70M,,,
2005-03,274.00M,,5.10M,,91.50M,91.50M,,,-138.50M,,,,,-48.00M,-186.50M,184.10M,,-149.80M,22.00M,-127.80M,,153.20M,-162.40M,-137.00M,,,,207.60M,13.90M,-26.90M,-13.00M,,-382.60M,,,-188.00M,,1.615B,-140.90M,-44.40M,1.429B,,13.90M,,,-26.90M,,,
2004-12,241.40M,,40.60M,,84.90M,84.90M,,,-328.60M,,,,,2.40M,-179.10M,187.80M,,-256.50M,66.10M,-190.40M,,146.00M,-188.60M,-233.00M,,,,325.10M,3.10M,0.00,3.10M,,-34.80M,,,293.40M,,1.276B,248.20M,90.80M,1.615B,,3.10M,,,0.00,,,
2004-09,246.70M,,-9.50M,,78.70M,78.70M,-5.60M,,-48.80M,,,,,-8.40M,-57.20M,253.10M,,-167.40M,16.90M,-150.50M,,22.80M,-103.10M,-230.80M,,,,197.40M,3.50M,0.00,3.50M,,-34.80M,,,166.10M,,1.068B,188.40M,19.30M,1.276B,,3.50M,,,0.00,,,
2004-06,236.50M,,5.60M,,75.80M,75.80M,5.60M,,-74.60M,,,,,31.80M,-42.80M,280.70M,,-155.00M,14.20M,-140.80M,,-339.50M,-192.10M,-672.40M,,,,266.30M,2.00M,-107.70M,-105.70M,,-34.90M,,,125.70M,,1.359B,-266.00M,-24.60M,1.068B,,2.00M,,,-107.70M,,,
2004-03,182.20M,,0.80M,,75.60M,75.60M,,,-63.40M,,,,,-25.80M,-89.20M,169.40M,,-54.60M,6.00M,-48.60M,,4.90M,-26.20M,-69.90M,,,,90.40M,7.10M,,7.10M,,-166.40M,,,-68.90M,,1.347B,30.60M,-19.00M,1.359B,,7.10M,,,,,,
2003-12,159.10M,,26.40M,,71.60M,71.60M,,,,,,,,-80.00M,-105.60M,151.50M,,-128.60M,8.60M,-120.00M,,142.80M,-77.60M,-54.80M,,,,96.80M,-3.40M,,-3.40M,,-25.90M,,,67.50M,,1.123B,164.20M,59.90M,1.347B,,-3.40M,,,,,,
2003-09,132.50M,,51.70M,,66.50M,66.50M,,,,,,,,50.10M,50.10M,300.80M,,-87.40M,9.00M,-78.40M,,-41.70M,23.20M,-96.90M,,,,-82.50M,3.50M,,3.50M,,-25.60M,,,-104.60M,,1.020B,99.30M,4.00M,1.123B,,3.50M,,,,,,
2003-06,124.10M,,-43.30M,,66.50M,66.50M,,,,,,,,28.30M,28.30M,175.60M,,-97.60M,7.10M,-90.50M,,-1.30M,29.80M,-62.00M,,,,-9.20M,16.90M,,16.90M,,-25.70M,,,-18.00M,,885.10M,95.60M,38.90M,1.020B,,16.90M,,,,,,
2003-03,110.80M,,15.50M,,62.90M,62.90M,,,,,,,,1.60M,1.60M,190.80M,,-55.70M,6.20M,-49.50M,,52.50M,-28.60M,-25.60M,,,,12.30M,6.80M,,6.80M,,-94.70M,,,-75.60M,,773.00M,89.60M,22.50M,885.10M,,6.80M,,,,,,
2002-12,122.20M,,,,,,,,,,,,,-415.80M,-313.20M,129.80M,,-305.20M,10.50M,-294.70M,206.20M,10.50M,-105.70M,-183.70M,,,,80.90M,1.60M,,1.60M,,-34.30M,,,48.20M,,747.80M,-5.70M,30.90M,773.00M,,1.60M,,,,,,
2002-09,128.90M,,,,,,,,,,,,,210.90M,210.90M,339.80M,,109.10M,18.00M,127.10M,-206.20M,-114.80M,-98.70M,-292.60M,,,,25.50M,0.10M,,0.10M,,-23.20M,,,2.40M,,698.80M,49.60M,-0.60M,747.80M,,0.10M,,,,,,
2002-06,73.70M,,,,,,,,,,,,,103.10M,103.10M,176.80M,,-74.20M,,-74.20M,,-73.00M,-39.30M,-186.50M,,,,-58.80M,2.10M,,2.10M,,-23.20M,,,-79.90M,,736.90M,-89.60M,51.50M,698.80M,,2.10M,,,,,,
2002-03,47.20M,,,,,,,,,,,,,101.80M,101.80M,149.00M,,-69.90M,,-69.90M,,55.10M,84.60M,69.80M,,,,-106.10M,18.60M,,18.60M,,-42.30M,,,-129.80M,,655.20M,89.00M,-7.30M,736.90M,,18.60M,,,,,,
2001-12,50.40M,,,,,,,,,,,,,-233.50M,-88.80M,269.00M,,-260.90M,1.00M,-259.90M,139.20M,-39.00M,31.40M,-128.30M,,,,-65.90M,3.60M,,3.60M,,-23.00M,,,-85.30M,,608.70M,55.40M,-8.90M,655.20M,,3.60M,,,,,,
2001-09,39.40M,,,,,,,,,,,,,134.10M,134.10M,173.50M,,4.70M,-68.20M,-63.50M,-139.20M,-25.90M,167.50M,-61.10M,,,,-0.60M,5.10M,,5.10M,,-23.00M,,,-18.50M,,500.10M,93.90M,14.70M,608.70M,,5.10M,,,,,,
2001-06,39.50M,,,,,,,,,,,,,91.80M,91.80M,131.30M,,-38.50M,46.30M,7.80M,,-2.90M,27.80M,32.70M,,,,-101.70M,0.60M,,0.60M,,-23.00M,,,-124.10M,,469.10M,39.90M,-8.90M,500.10M,,0.60M,,,,,,
2001-03,44.30M,,,,,,,,,,,,,7.60M,7.60M,51.90M,,-14.60M,39.70M,25.10M,,59.60M,147.10M,231.80M,,,,-227.90M,2.70M,,2.70M,,-99.40M,,,-324.60M,,536.70M,-40.90M,-26.70M,469.10M,,2.70M,,,,,,
2000-12,62.70M,,41.40M,,60.40M,60.40M,,,34.70M,36.50M,-50.70M,-1.10M,,32.60M,-13.60M,150.90M,,-76.50M,7.00M,-69.50M,,105.80M,13.60M,49.90M,,,,-99.30M,7.50M,-16.60M,-9.10M,,-22.90M,,,-131.30M,,444.90M,69.50M,22.30M,536.70M,,7.50M,,,-16.60M,,,
2000-09,93.10M,,17.40M,,95.10M,95.10M,,,-55.10M,29.40M,-59.70M,-4.90M,,-68.90M,-159.20M,46.40M,,-34.40M,0.90M,-33.50M,,-28.10M,-69.40M,-131.00M,,,,62.80M,0.40M,0.00,0.40M,,-22.90M,,,40.30M,,505.50M,-44.30M,-16.30M,444.90M,,0.40M,,,0.00,,,
2000-06,131.10M,,,,,,,,,,,,,-109.00M,-109.00M,22.10M,,-70.40M,18.20M,-52.20M,,31.40M,-146.30M,-167.10M,,,,168.00M,0.40M,-7.30M,-6.90M,,-23.00M,,,138.10M,,515.50M,-6.90M,-3.10M,505.50M,,0.40M,,,-7.30M,,,
2000-03,154.90M,,,,,,,,,,,,,145.30M,145.30M,300.20M,,-38.80M,10.00M,-28.80M,,30.80M,-331.40M,-329.40M,,,,256.90M,4.70M,-81.90M,-77.20M,,-148.70M,,,31.00M,,528.40M,1.80M,-14.70M,515.50M,,4.70M,,,-81.90M,,,
1999-12,179.90M,,,,,,,-251.20M,,,,,,,,185.30M,,-102.80M,97.50M,-5.30M,,-64.40M,-231.10M,-300.80M,,,,190.00M,0.20M,,0.20M,,-15.80M,,,174.40M,,494.30M,58.90M,-24.80M,528.40M,,0.20M,,,,,,
1999-09,144.70M,,,,,,,85.70M,,,,,,,,230.40M,,-60.80M,14.60M,-46.20M,,-51.90M,-307.60M,-405.70M,,,,219.90M,0.70M,,0.70M,,-15.70M,,,204.90M,,0.00,29.60M,15.10M,494.30M,,0.70M,,,,,,
1999-06,139.50M,,,,,,,75.50M,,,,,,,,215.00M,,-71.40M,13.10M,-58.30M,,4.40M,-258.60M,-312.50M,,,,134.30M,3.40M,,3.40M,,-15.60M,,,122.10M,,0.00,24.60M,-10.70M,0.00,,3.40M,,,,,,
1999-03,119.50M,,,,,,,90.00M,,,,,,,,209.50M,,-71.40M,18.00M,-53.40M,,-22.20M,-138.20M,-213.80M,,,,165.70M,0.40M,,0.40M,,-141.00M,,,25.10M,,432.40M,20.80M,-17.50M,0.00,,0.40M,,,,,,
1998-12,114.90M,,,,,,,-152.80M,,,,,,,,199.10M,,-110.80M,2.60M,-108.20M,,10.90M,-245.60M,-342.90M,,,,228.30M,-6.50M,,-6.50M,,-11.70M,,,216.70M,,376.30M,72.90M,-16.80M,432.40M,,-6.50M,,,,,,
1998-09,96.60M,,,,,,,55.30M,,,,,,,,151.90M,,-33.40M,31.10M,-2.30M,,-54.00M,-133.20M,-189.50M,,,,135.30M,0.10M,,0.10M,,-11.70M,,,123.70M,,0.00,86.10M,8.60M,376.30M,,0.10M,,,,,,
1998-06,104.90M,,,,,,,92.10M,,,,,,,,197.00M,,-120.50M,-0.50M,-121.00M,,-4.00M,-185.30M,-310.30M,,,,113.70M,0.40M,,0.40M,,-11.70M,,,102.40M,,0.00,-10.90M,-0.60M,0.00,,0.40M,,,,,,
1998-03,100.40M,,,,,,,5.40M,,,,,,,,105.80M,,-33.30M,11.10M,-22.20M,,26.10M,-121.20M,-117.30M,,,,92.20M,6.00M,,6.00M,,-128.50M,,,-30.30M,,337.90M,-41.80M,-3.00M,0.00,,6.00M,,,,,,
1997-12,132.70M,,,,,,,-80.80M,,,,,,,,145.70M,,-60.90M,146.70M,85.80M,,-4.30M,-153.80M,-72.30M,,,,3.20M,,,,,-11.70M,,,-8.50M,,0.00,64.90M,41.60M,337.90M,,,,,,,,
1997-09,82.50M,,,,,,,85.10M,,,,,,,,167.60M,,-31.10M,-13.90M,-45.00M,,-53.80M,-65.40M,-164.20M,,,,12.10M,,,,,-11.70M,,,0.40M,,0.00,3.80M,-0.40M,0.00,,,,,,,,
1997-06,71.50M,,,,,,,28.70M,,,,,,,,100.20M,,-25.70M,5.20M,-20.50M,,-3.50M,2.00M,-22.00M,,,,-26.30M,,,,,-11.70M,,,-38.00M,,0.00,40.20M,-2.90M,0.00,,,,,,,,
1997-03,57.90M,,,,,,,-33.00M,,,,,,,,24.90M,,-15.30M,8.70M,-6.60M,,10.20M,-4.40M,-0.80M,,,,18.60M,,,,,-68.00M,,,-49.40M,,222.90M,-25.30M,-6.90M,0.00,,,,,,,,
1996-12,62.50M,,,,,,,-101.80M,,,,,,,,118.00M,,-506.90M,14.30M,-492.60M,,213.90M,-87.70M,-366.40M,,,,351.60M,,,,,-9.80M,,,341.80M,,0.00,93.40M,-3.00M,0.00,,,,,,,,
1996-09,51.10M,,,,,,,57.70M,,,,,,,,108.80M,,-37.70M,5.10M,-32.60M,,-45.70M,8.90M,-69.40M,,,,-14.20M,,,,,-9.70M,,,-23.90M,,0.00,15.50M,1.10M,0.00,,,,,,,,
1996-06,51.70M,,,,,,,36.60M,,,,,,,,88.30M,,-25.70M,15.60M,-10.10M,,-39.90M,-8.60M,-58.60M,,,,-22.00M,,,,,-9.70M,,,-31.70M,,0.00,-2.00M,-2.90M,0.00,,,,,,,,
1996-03,35.70M,,,,,,,7.50M,,,,,,,,43.20M,,-18.10M,8.70M,-9.40M,,18.50M,-3.20M,5.90M,,,,12.00M,,,,,-126.30M,,,-114.30M,,184.00M,-65.20M,2.00M,0.00,,,,,,,,
1995-12,65.10M,,,,,,,-0.50M,,,,,,,,111.90M,,-40.30M,15.40M,-24.90M,,-40.70M,-122.90M,-188.50M,,,,-29.50M,,,,,106.80M,,,77.30M,,0.00,0.70M,-0.80M,0.00,,,,,,,,
1995-09,68.30M,,,,,,,43.30M,,,,,,,,111.60M,,-10.90M,5.50M,-5.40M,,-148.90M,-192.60M,-346.90M,,,,150.30M,,,,,-9.70M,,,140.60M,,0.00,-94.70M,-1.00M,0.00,,,,,,,,
1995-06,65.10M,,,,,,,-24.70M,,,,,,,,40.40M,,-23.80M,6.70M,-17.10M,,-1.90M,-112.90M,-131.90M,,,,70.20M,,,,,-9.70M,,,60.50M,,0.00,-31.00M,3.50M,0.00,,,,,,,,
1995-03,54.30M,,,,,,,-19.90M,,,,,,,,34.40M,,-18.70M,8.80M,-9.90M,,1.40M,-44.30M,-52.80M,,,,113.90M,,,,,-87.40M,,,26.50M,,311.30M,8.10M,-12.10M,0.00,,,,,,,,
1994-12,57.10M,,,,,,,-10.10M,,,,,,,,162.10M,,-48.00M,10.40M,-37.60M,,-1.074B,905.80M,-206.00M,,,,66.80M,,,,,-9.80M,,,57.00M,,0.00,13.10M,-13.20M,0.00,,,,,,,,
1994-09,53.20M,,,,,,,16.50M,,,,,,,,69.70M,,-12.30M,6.30M,-6.00M,,304.90M,-403.60M,-104.70M,,,,87.80M,,,,,-9.70M,,,78.10M,,0.00,43.10M,-0.10M,0.00,,,,,,,,
1994-06,50.60M,,,,,,,-15.70M,,,,,,,,34.90M,,-10.80M,11.20M,0.40M,,766.70M,-858.20M,-91.10M,,,,65.80M,,,,,-9.70M,,,56.10M,,0.00,-0.10M,-3.50M,0.00,,,,,,,,
1994-03,43.60M,,,,,,,24.20M,,,,,,,,67.80M,,-9.50M,,-9.50M,,8.30M,-13.30M,-14.50M,,,,43.20M,,,,,-45.30M,,,-2.10M,,223.20M,51.20M,-2.40M,0.00,,,,,,,,
1993-12,45.50M,,,,,,,-8.10M,,,,,,,,103.50M,,-7.60M,11.00M,3.40M,,-2.40M,-158.10M,-157.10M,,,,101.60M,,0.00,0.00,,-8.50M,,,93.10M,,0.00,39.50M,0.30M,0.00,,,,,0.00,,,
1993-09,36.50M,,,,,,,13.20M,,,,,,,,49.70M,,-14.80M,7.80M,-7.00M,,-13.20M,-163.20M,-183.40M,,,,133.50M,,0.00,0.00,,-8.40M,,,125.10M,,0.00,-8.60M,1.10M,0.00,,,,,0.00,,,
1993-06,32.80M,,,,,,,4.10M,,,,,,,,36.90M,,-28.40M,6.70M,-21.70M,,-3.00M,-86.80M,-111.50M,,,,60.40M,,-1.20M,-1.20M,,-8.50M,,,50.70M,,0.00,-23.90M,1.00M,0.00,,,,,-1.20M,,,
1993-03,27.40M,,,,,,,-15.60M,,,,,,,,11.80M,,-31.60M,6.00M,-25.60M,,-2.80M,-46.10M,-74.50M,,,,45.80M,,,,,-18.60M,,,27.20M,,250.40M,-35.50M,-1.10M,0.00,,,,,,,,
1992-12,25.10M,,-5.60M,,12.00M,12.00M,5.90M,1.30M,21.70M,-30.50M,33.50M,0.60M,-0.10M,,25.20M,63.90M,,-90.50M,15.80M,-74.70M,,30.80M,-56.30M,-100.20M,,,,45.70M,,,,,-8.50M,,,37.20M,,0.00,0.90M,-1.70M,0.00,,,,,,,,
1992-09,18.20M,,3.20M,,11.90M,11.90M,-3.40M,-1.50M,-53.70M,27.80M,25.40M,10.50M,-1.20M,,8.80M,37.20M,,9.20M,2.50M,11.70M,,-37.00M,-31.00M,-56.30M,,,,16.00M,,,,,-8.40M,,,7.60M,,0.00,-11.50M,1.10M,0.00,,,,,,,,
1992-06,11.10M,,2.10M,,11.80M,11.80M,-6.10M,0.90M,15.50M,-26.00M,27.90M,-10.10M,8.50M,,15.80M,35.60M,,-10.50M,6.10M,-4.40M,,-3.30M,3.00M,-4.70M,,,,-33.80M,,,,,-8.50M,,0.10M,-42.20M,,0.00,-11.30M,1.00M,0.00,,,,,,,,
1992-03,10.80M,,1.50M,,11.50M,11.50M,-4.80M,,-11.40M,23.50M,-26.30M,-1.00M,-0.80M,,-16.00M,3.00M,,-8.40M,10.70M,2.30M,,-3.40M,-7.20M,-8.30M,,,,-4.50M,,,,,-11.80M,,-0.10M,-16.40M,,294.90M,-21.70M,-1.30M,0.00,,,,,,,,
1991-12,19.10M,,0.10M,,12.30M,12.30M,6.90M,4.80M,11.70M,-27.00M,37.10M,-6.90M,0.90M,,15.80M,59.00M,,-11.70M,10.70M,-1.00M,,-1.20M,-64.90M,-67.10M,,,,35.80M,-0.30M,,-0.30M,,-8.40M,,-0.20M,26.90M,,0.00,18.80M,0.60M,0.00,,-0.30M,,,,,,
1991-09,17.00M,,-0.50M,,12.20M,12.20M,-4.00M,-0.70M,10.30M,9.60M,-1.00M,0.00,2.70M,,21.60M,45.60M,,-11.90M,6.40M,-5.50M,,-5.60M,-5.80M,-16.90M,,,,1.80M,0.10M,,0.10M,,-8.50M,,0.10M,-6.50M,,0.00,22.20M,4.70M,0.00,,0.10M,,,,,,
1991-06,8.60M,,11.40M,,12.00M,12.00M,-3.60M,-0.20M,-34.60M,31.50M,29.90M,-3.00M,7.50M,,31.30M,59.50M,,-7.00M,2.80M,-4.20M,,3.80M,75.80M,75.40M,,,,-103.40M,0.10M,,0.10M,,-8.40M,,-0.10M,-111.80M,,0.00,23.10M,-3.80M,0.00,,0.10M,,,,,,
1991-03,-5.00M,,8.50M,,12.70M,12.70M,-4.20M,-2.90M,20.30M,25.40M,-81.30M,12.90M,-12.60M,,-35.30M,-26.20M,,-9.10M,7.30M,-1.80M,,-49.90M,71.50M,19.80M,,,,-83.90M,0.10M,,0.10M,,-8.50M,,0.10M,-92.20M,,329.30M,-98.60M,-1.40M,0.00,,0.10M,,,,,,
1990-12,5.80M,,15.70M,,14.80M,14.80M,-1.30M,-2.80M,21.90M,-7.90M,38.80M,-3.80M,6.50M,,55.50M,87.70M,,-9.20M,-12.60M,-21.80M,,-34.40M,-32.20M,-88.40M,,,,14.10M,-1.20M,-28.00M,-29.20M,,-8.50M,,0.20M,-23.40M,,0.00,-24.10M,-0.60M,0.00,,-1.20M,,,-28.00M,,,
1990-09,14.00M,,4.80M,,12.90M,12.90M,-0.40M,-1.90M,-11.10M,-1.30M,13.60M,1.40M,-7.20M,,-4.60M,24.80M,,-14.80M,9.20M,-5.60M,,-12.00M,10.80M,-6.80M,,,,-6.60M,0.00,-3.20M,-3.20M,,-8.70M,,-0.10M,-18.60M,,0.00,-0.60M,5.40M,0.00,,0.00,,,-3.20M,,,
1990-06,18.80M,,6.60M,,12.20M,12.20M,2.60M,-2.50M,6.00M,23.90M,-39.20M,-1.50M,-12.90M,,-23.70M,14.00M,,-13.00M,22.00M,9.00M,,-1.90M,24.60M,31.70M,,,,-50.40M,0.30M,-0.60M,-0.30M,,-8.70M,,,-59.40M,,0.00,-13.70M,1.30M,0.00,,0.30M,,,-0.60M,,,
1990-03,25.10M,,4.20M,,11.90M,11.90M,-2.60M,3.40M,7.20M,19.20M,-64.30M,4.20M,-31.30M,,-65.00M,-23.00M,,-17.20M,6.20M,-11.00M,,-1.90M,-16.80M,-29.70M,,,,14.10M,0.90M,,0.90M,,-61.10M,,,-46.10M,,457.00M,-98.80M,3.30M,0.00,,0.90M,,,,,,
