,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,-550.20M,,,,,-349.00M,-349.00M,2.50M,,-26.00M,-38.40M,304.90M,34.20M,,-106.80M,,10.50M,10.30M,253.10M,575.90M,,-24.40M,,-4.50M,,,-28.90M,,-626.50M,-626.50M,,140.80M,140.80M,162.40M,162.40M,,-69.60M,-392.90M,,1.250B,154.10M,6.60M,1.410B,,,-2.324B,1.698B,140.80M,49.20M,48.90M,,AOR,
2020-09,193.20M,,,,,132.40M,132.40M,-9.80M,,11.60M,31.60M,-224.50M,55.10M,,108.90M,,-49.60M,-29.60M,-139.70M,222.60M,,-33.60M,,-38.50M,,,-72.10M,,27.50M,27.50M,,0.00,0.00,-54.10M,-54.10M,,164.00M,137.40M,,958.40M,287.90M,3.20M,1.250B,,,700.00M,-672.50M,0.00,174.90M,23.30M,,AOR,
2020-06,189.10M,,,,,125.20M,125.20M,4.70M,,5.60M,5.40M,128.60M,-22.90M,,-159.50M,,-64.30M,83.00M,-35.10M,292.80M,,-74.60M,,0.00,,,-74.60M,,437.50M,437.50M,,0.00,0.00,-54.10M,-54.10M,,140.90M,524.30M,,214.40M,742.50M,1.50M,958.40M,,,843.00M,-405.50M,0.00,11.60M,38.60M,,AOR,
2020-03,167.90M,,,,,91.40M,91.40M,2.60M,,8.80M,1.40M,-209.00M,-66.40M,,157.40M,,103.40M,-63.70M,-78.30M,223.00M,,-25.40M,,0.00,,,-25.40M,,161.50M,161.50M,,-140.80M,-140.80M,-54.20M,-54.20M,,-96.50M,-130.00M,,154.00M,67.60M,-7.20M,214.40M,,,781.00M,-619.50M,-140.80M,9.90M,28.60M,,AOR,
2019-12,185.60M,,,,,69.60M,69.60M,-54.40M,,10.80M,5.90M,-73.00M,-1.90M,,-69.90M,,203.00M,71.30M,129.50M,344.90M,,-161.30M,,-20.10M,,,-181.40M,,0.60M,0.60M,,-163.90M,-163.90M,-54.50M,-54.50M,,36.50M,-181.30M,,166.90M,-17.80M,4.90M,154.00M,,,585.00M,-584.40M,-163.90M,69.20M,29.40M,,AOR,
2019-09,201.70M,,,,,68.20M,68.20M,-11.00M,,12.80M,18.60M,58.30M,46.20M,,-150.90M,,-3.70M,27.40M,-22.70M,267.80M,,-31.10M,,0.00,,,-31.10M,,11.90M,11.90M,,-161.10M,-161.10M,-42.60M,-42.60M,,-71.50M,-263.30M,,194.50M,-26.60M,-1.00M,166.90M,,,1.570B,-1.558B,-161.10M,87.80M,48.80M,,AOR,Restated
2019-06,196.60M,,,,,65.00M,65.00M,-8.80M,,12.20M,2.20M,-242.00M,-63.10M,,298.90M,,-22.60M,-77.70M,-106.50M,162.10M,,-24.50M,,-6.30M,,,-30.80M,,0.00,0.00,,-155.10M,-155.10M,-42.90M,-42.90M,,-27.00M,-225.00M,,290.70M,-93.70M,-2.50M,194.50M,,,802.50M,-802.50M,-155.10M,103.80M,31.90M,,AOR,Restated
2019-03,152.90M,,,,,64.30M,64.30M,-13.70M,,12.70M,2.30M,11.90M,-134.20M,,116.00M,,71.60M,-31.90M,33.40M,252.40M,,-19.40M,,-68.70M,,,-88.10M,,76.00M,76.00M,,-177.10M,-177.10M,-43.40M,-43.40M,,64.30M,-80.20M,,205.80M,84.10M,0.80M,290.70M,,,88.50M,-12.50M,-177.10M,11.40M,44.10M,,AOR,Restated
2018-12,159.30M,,,,,66.90M,66.90M,-16.90M,,10.80M,2.20M,-30.80M,25.30M,,-29.40M,,24.90M,91.30M,81.30M,303.60M,,-32.70M,,0.00,,,-32.70M,,-10.40M,-10.40M,,-289.80M,-289.80M,-43.90M,-43.90M,,24.60M,-319.50M,,255.10M,-48.60M,-0.70M,205.80M,,,-2.20M,-8.20M,-289.80M,60.70M,31.40M,,AOR,Restated
2018-09,183.70M,,,,,65.80M,65.80M,-11.10M,,10.80M,3.60M,-39.10M,95.60M,,-86.20M,,50.80M,-3.90M,17.20M,270.00M,,-19.80M,,0.00,,,-19.80M,,-17.40M,-17.40M,,-56.10M,-56.10M,-31.70M,-31.70M,,8.10M,-97.10M,,100.70M,153.10M,1.30M,255.10M,,,200.80M,-218.20M,-56.10M,82.10M,42.90M,,AOR,Restated
2018-06,173.00M,,,,,66.30M,66.30M,-14.70M,,11.00M,4.00M,-355.70M,-95.30M,,416.60M,,-17.50M,-77.60M,-129.50M,110.10M,,-17.70M,,0.00,,,-17.70M,,9.90M,9.90M,,-67.20M,-67.20M,-31.80M,-31.80M,,-117.90M,-207.00M,,221.00M,-114.60M,-5.70M,100.70M,,,318.10M,-308.20M,-67.20M,107.80M,31.80M,,AOR,Restated
2018-03,127.00M,,,,,66.60M,66.60M,-13.40M,,8.10M,1.10M,60.50M,-72.40M,,-29.80M,,59.10M,15.40M,32.80M,222.20M,,-15.90M,,0.00,,,-15.90M,,-3.70M,-3.70M,,-109.20M,-109.20M,-32.00M,-32.00M,,13.70M,-131.20M,,144.20M,75.10M,1.70M,221.00M,,,170.00M,-173.70M,-109.20M,10.60M,42.70M,,AOR,Restated
2017-12,194.80M,,,-57.40M,,65.70M,65.70M,-117.50M,,10.10M,58.50M,-16.10M,100.50M,,91.30M,,-55.10M,63.80M,184.40M,338.60M,,-22.50M,,,,,-22.50M,,-195.30M,-195.30M,,0.00,0.00,-32.20M,-32.20M,-16.70M,-26.90M,-271.10M,,97.90M,45.00M,1.30M,144.20M,,,281.60M,-476.90M,0.00,106.10M,29.90M,,AOR,Restated
2017-09,129.30M,,,0.00,,65.70M,65.70M,-14.90M,,10.00M,0.70M,35.30M,-31.10M,,-171.60M,,95.50M,-56.00M,-127.90M,62.90M,,-21.80M,,,,,-21.80M,,133.90M,133.90M,,-174.60M,-174.60M,-24.40M,-24.40M,4.60M,39.60M,-20.90M,,79.00M,20.20M,-1.30M,97.90M,,,1.211B,-1.078B,-174.60M,73.10M,41.80M,,AOR,Restated
2017-06,140.80M,0.50M,,0.50M,,65.30M,65.30M,-21.20M,,11.50M,-2.10M,-340.70M,-16.50M,,322.20M,,-52.60M,-100.90M,-188.50M,6.30M,,-17.20M,,,,,-17.20M,,12.20M,12.20M,,-184.00M,-184.00M,-24.80M,-24.80M,5.60M,26.50M,-164.50M,,251.70M,-175.40M,2.70M,79.00M,,,23.60M,-11.40M,-184.00M,90.20M,28.40M,,AOR,Restated
2017-03,58.20M,-0.50M,,56.90M,,64.20M,64.20M,-19.10M,,12.10M,5.30M,184.70M,-36.00M,,-10.40M,,78.70M,-24.70M,192.30M,369.90M,,-19.60M,,,,,-19.60M,,-4.00M,-4.00M,,-175.40M,-175.40M,-25.50M,-25.50M,6.50M,-163.80M,-362.20M,,263.70M,-11.90M,-0.10M,251.70M,,,2.127B,-2.131B,-175.40M,6.30M,48.40M,,AOR,Restated
2016-12,103.90M,,,0.00,,63.80M,63.80M,-22.40M,,11.10M,-0.60M,-161.00M,-3.40M,,83.60M,,-47.80M,77.50M,-51.10M,104.70M,,-22.10M,,,-0.30M,,-22.40M,,-19.00M,-19.00M,,-12.40M,-12.40M,-25.60M,-25.60M,-12.90M,136.20M,66.30M,,118.30M,148.60M,-3.20M,263.70M,,,-9.00M,-10.00M,-12.40M,94.70M,26.90M,,AOR,Restated
2016-09,125.90M,,,2.10M,,63.00M,63.00M,-24.90M,,10.00M,1.60M,57.00M,34.40M,,-77.80M,,73.90M,-79.00M,8.50M,186.20M,,-15.70M,,,-2.10M,,-17.80M,,5.20M,5.20M,,-131.90M,-131.90M,-17.40M,-17.40M,4.60M,-38.70M,-178.20M,,129.40M,-9.80M,-1.30M,118.30M,,,1.725B,-1.720B,-131.90M,101.80M,44.40M,,AOR,Restated
2016-06,117.50M,,,,,63.70M,63.70M,-24.90M,,9.50M,1.70M,-312.50M,-30.80M,,128.30M,,-14.50M,-52.70M,-282.20M,-114.70M,,-14.70M,,,,,-14.70M,,-7.00M,-7.00M,,-105.10M,-105.10M,-17.70M,-17.70M,5.20M,138.50M,13.90M,,248.20M,-115.50M,-3.30M,129.40M,,,42.00M,-49.00M,-105.10M,125.90M,28.90M,,AOR,Restated
2016-03,77.80M,,,,,64.00M,64.00M,-25.00M,,8.60M,1.60M,237.60M,-68.20M,,91.00M,,38.00M,2.40M,300.80M,427.80M,,-11.00M,,,,,-11.00M,,-7.20M,-7.20M,,-118.00M,-118.00M,-18.00M,-18.00M,3.10M,-66.50M,-206.60M,,37.60M,210.20M,0.40M,248.20M,,,63.40M,-70.60M,-118.00M,6.80M,44.10M,,AOR,Restated
2015-12,89.30M,,0.00,2.10M,,62.40M,62.40M,-22.50M,,11.20M,-1.10M,-164.20M,23.30M,,-125.50M,,64.60M,43.00M,-158.80M,-17.40M,,-46.20M,,0.00,0.00,,-46.20M,,-6.70M,-6.70M,,-48.00M,-48.00M,-18.30M,-18.30M,2.90M,73.50M,3.40M,,97.50M,-60.20M,0.30M,37.60M,,,209.50M,-216.20M,-48.00M,82.20M,29.20M,,AOR,Restated
2015-09,150.90M,,-79.00M,-79.00M,,59.90M,59.90M,13.20M,,7.80M,2.30M,-20.70M,44.10M,,74.10M,,17.60M,-74.40M,40.70M,195.80M,,-21.00M,,-263.80M,0.00,,-284.80M,,-18.40M,-18.40M,,-101.60M,-101.60M,-11.40M,-11.40M,3.00M,-18.40M,-146.80M,,335.70M,-235.80M,-2.40M,97.50M,,,105.00M,-123.40M,-101.60M,94.60M,44.10M,,AOR,Restated
2015-06,108.20M,,-3.90M,-3.90M,,52.60M,52.60M,-22.60M,,7.50M,2.70M,-263.10M,-79.20M,,158.90M,,-43.40M,3.60M,-223.20M,-78.70M,,-12.90M,,,0.00,,-12.90M,,-3.80M,-3.80M,,-91.70M,-91.70M,-11.50M,-11.50M,3.00M,83.60M,-20.40M,,447.40M,-112.00M,0.30M,335.70M,,,0.00,-3.80M,-91.70M,119.10M,28.20M,,AOR,Restated
2015-03,54.70M,,-4.00M,20.30M,,52.50M,52.50M,-22.60M,,4.70M,2.80M,105.40M,-19.70M,,-7.00M,,8.70M,-22.00M,65.40M,177.80M,,-10.00M,,,-0.50M,,-10.50M,,-4.20M,-4.20M,,0.00,0.00,-11.70M,-11.70M,2.20M,-49.00M,-62.70M,,344.50M,104.60M,-1.70M,447.40M,,,525.00M,-529.20M,0.00,4.30M,53.10M,,AOR,Restated
2014-12,51.80M,0.30M,-1.20M,36.00M,,52.00M,52.00M,-21.90M,,4.90M,2.00M,-91.40M,85.90M,,-71.40M,,-15.70M,52.60M,-40.00M,84.50M,,-20.60M,,-86.80M,-1.40M,0.00,-108.80M,,-3.90M,-3.90M,,0.00,0.00,-11.70M,-11.70M,2.30M,25.00M,11.70M,,357.80M,-12.60M,-0.70M,344.50M,,,575.00M,-578.90M,0.00,51.30M,68.60M,,AOR,Restated
2014-09,55.60M,0.10M,0.00,45.90M,,51.90M,51.90M,-22.80M,,3.90M,1.60M,49.50M,25.90M,,-31.30M,,43.10M,-48.70M,38.50M,174.60M,,-13.40M,,0.00,-0.70M,0.00,-14.10M,,-4.00M,-4.00M,,0.00,0.00,-7.30M,-7.30M,2.00M,-19.70M,-29.00M,,227.60M,131.50M,-1.30M,357.80M,,,600.00M,-604.00M,0.00,78.00M,27.40M,,AOR,Restated
