,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.903B,3.973B,5.458B,-1.485B,84.00M,,84.00M,,,0.00,-421.00M,365.00M,,-365.00M,-1.132B,-1.048B,-437.00M,,365.00M,-365.00M,-306.00M,-365.00M,-1.108B,-353.00M,-755.00M,,,-755.00M,-532.18M,-743.00M,,-743.00M,,-1.19,,,-0.8397,-1.19,,-1.19,,,-0.8397,-1.19,,636.00M,636.00M,0.00,,AOR,
2020-09,2.08B,3.062B,5.086B,-2.024B,94.00M,,94.00M,,,114.00M,-5.459B,291.00M,,-291.00M,-1.077B,-983.00M,-1.041B,,291.00M,-291.00M,-5.527B,-291.00M,-6.859B,-1.48B,-5.379B,,,-5.379B,-1.023B,-6.568B,,-6.568B,,-8.47,,,-1.611,-8.47,,-8.47,,,-1.611,-8.47,,635.00M,635.00M,0.00,,AOR,
2020-06,786.00M,1.468B,4.868B,-3.40B,45.00M,,45.00M,,,2.058B,-4.512B,194.00M,,-194.00M,-1.084B,-1.039B,-2.361B,,194.00M,-194.00M,-4.459B,-194.00M,-7.014B,-1.297B,-5.717B,,,-5.717B,-2.046B,-6.82B,,-6.82B,,-9.01,,,-3.229,-9.01,,-9.01,,,-3.229,-9.01,,635.00M,635.00M,0.00,,AOR,
2020-03,7.721B,8.592B,8.133B,459.00M,358.00M,,358.00M,,,,,79.00M,,-79.00M,511.00M,869.00M,-410.00M,,79.00M,-79.00M,-118.00M,-79.00M,-607.00M,-73.00M,-534.00M,,,-534.00M,-435.47M,-528.00M,,-528.00M,,-0.84,,,-0.6853,-0.84,,-0.84,,,-0.6853,-0.84,,637.00M,637.00M,0.4025,,AOR,
2019-12,10.43B,11.44B,9.098B,2.341B,488.00M,,488.00M,,,18.00M,-18.00M,73.00M,,-73.00M,454.00M,942.00M,1.399B,,73.00M,-73.00M,72.00M,-73.00M,1.398B,300.00M,1.098B,,,1.098B,1.005B,1.471B,,1.471B,,1.71,,,1.566,1.71,,1.71,,,1.566,1.71,,642.00M,644.00M,0.4025,,AOR,Restated
2019-09,11.60B,12.56B,9.474B,3.086B,539.00M,,539.00M,,,-27.00M,27.00M,70.00M,,-70.00M,476.00M,1.015B,2.071B,,70.00M,-70.00M,-54.00M,-70.00M,1.947B,452.00M,1.495B,,,1.495B,1.501B,2.017B,,2.017B,,2.32,,,2.330,2.32,,2.31,,,2.319,2.31,,646.00M,648.00M,0.4025,,AOR,Restated
2019-06,11.55B,12.54B,9.457B,3.079B,538.00M,,538.00M,,,17.00M,-17.00M,75.00M,,-75.00M,413.00M,951.00M,2.128B,,75.00M,-75.00M,-146.00M,-75.00M,1.907B,464.00M,1.443B,,,1.443B,1.518B,1.982B,,1.982B,,2.22,,,2.335,2.22,,2.21,,,2.325,2.21,,650.00M,652.00M,0.35,,AOR,Restated
2019-03,9.446B,10.47B,8.596B,1.876B,427.00M,,427.00M,,,,,83.00M,,-83.00M,429.00M,856.00M,1.02B,,83.00M,-83.00M,9.00M,-83.00M,946.00M,216.00M,730.00M,,,730.00M,652.83M,1.029B,,1.029B,,1.10,,,0.9840,1.10,,1.09,,,0.9743,1.09,,665.00M,667.00M,0.35,,AOR,Restated
2018-12,9.862B,10.74B,8.765B,1.977B,468.00M,,468.00M,,,,,67.00M,,-67.00M,418.00M,886.00M,1.091B,,67.00M,-67.00M,321.00M,-67.00M,1.345B,326.00M,1.019B,,,1.019B,860.66M,1.412B,,1.412B,,1.50,,,1.267,1.50,,1.49,,,1.259,1.49,,679.00M,685.00M,0.35,,AOR,Restated
2018-09,11.02B,11.95B,9.318B,2.635B,535.00M,,535.00M,,,,,73.00M,,-73.00M,455.00M,990.00M,1.645B,,73.00M,-73.00M,116.00M,-73.00M,1.688B,366.00M,1.322B,,,1.322B,1.283B,1.761B,,1.761B,,1.93,,,1.873,1.93,,1.92,,,1.863,1.92,,686.00M,688.00M,0.35,,AOR,Restated
