,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,8.307B,5.789B,14.10B,1.396B,,1.396B,732.00M,1.18B,,,,17.40B,3.403B,12.12B,883.00M,49.77B,-17.51B,32.26B,9.753B,6.011B,15.76B,1.665B,1.988B,2.913B,54.59B,72.00B,,2.84B,,2.84B,3.756B,6.596B,,1.732B,1.732B,678.00M,2.41B,5.821B,5.821B,1.10B,15.93B,27.42B,5.713B,33.14B,0.00,5.905B,5.905B,,10.63B,4.862B,54.54B,70.46B,,0.00,-428.00M,11.26B,259.00M,,-9.038B,1.534B,,AOR,
2020-09,16.48B,5.048B,21.52B,1.503B,,1.503B,746.00M,1.256B,,,,25.03B,,50.76B,,50.76B,-18.28B,32.48B,9.753B,6.014B,15.77B,1.562B,1.305B,2.929B,54.05B,79.08B,,2.403B,,2.403B,4.80B,7.203B,,5.045B,5.045B,714.00M,5.759B,5.663B,5.663B,1.10B,19.72B,29.82B,5.856B,35.68B,0.00,6.044B,6.044B,,9.272B,4.997B,55.99B,75.72B,,0.00,327.00M,11.24B,272.00M,,-7.939B,3.357B,,AOR,
2020-06,11.37B,4.302B,15.67B,1.375B,,1.375B,847.00M,1.025B,,,,18.92B,,51.39B,,51.39B,-17.27B,34.12B,9.753B,6.017B,15.77B,1.633B,,1.82B,53.35B,72.26B,,2.332B,,2.332B,5.136B,7.468B,,5.23B,5.23B,732.00M,5.962B,5.881B,5.881B,839.00M,20.15B,19.41B,5.371B,24.78B,447.00M,6.101B,6.548B,,8.16B,3.93B,43.42B,63.57B,,0.00,5.706B,11.19B,271.00M,,-7.937B,8.69B,,AOR,
2020-03,5.967B,,5.967B,2.28B,,2.28B,974.00M,1.054B,,,,10.28B,,54.64B,,54.64B,-17.51B,37.13B,9.753B,6.019B,15.77B,3.684B,,1.875B,58.46B,68.74B,,3.337B,,3.337B,3.153B,6.49B,,4.337B,4.337B,768.00M,5.105B,6.697B,6.697B,1.10B,19.39B,12.66B,5.204B,17.87B,1.502B,5.718B,7.22B,,8.285B,1.666B,35.04B,54.43B,,0.00,11.42B,11.05B,270.00M,,-7.898B,14.31B,,AOR,
2019-12,2.882B,0.00,2.882B,2.854B,,2.854B,1.251B,1.262B,,,,8.249B,3.276B,11.35B,1.019B,53.96B,-17.03B,36.94B,9.781B,5.163B,14.94B,2.568B,120.00M,1.714B,56.28B,64.53B,,3.266B,,3.266B,4.779B,8.045B,,2.287B,2.287B,801.00M,3.088B,8.335B,8.335B,736.00M,20.20B,8.873B,5.294B,14.17B,1.456B,3.509B,4.965B,,8.452B,1.386B,28.97B,49.17B,,0.00,12.45B,11.13B,236.00M,,-7.989B,15.36B,,AOR,Restated
2019-09,1.899B,,1.899B,2.836B,,2.836B,1.072B,1.137B,,,,6.944B,,53.82B,,53.82B,-17.21B,36.61B,9.781B,4.821B,14.60B,,,5.062B,56.28B,63.22B,,3.47B,,3.47B,4.30B,7.77B,,2.196B,2.196B,844.00M,3.04B,8.962B,8.962B,439.00M,20.21B,7.923B,5.441B,13.36B,1.245B,3.496B,4.741B,,8.457B,1.378B,27.94B,48.15B,,0.00,11.77B,11.18B,236.00M,,-7.645B,15.07B,,AOR,Restated
2019-06,2.009B,,2.009B,2.844B,,2.844B,1.083B,1.198B,,,,7.134B,,53.08B,,53.08B,-17.00B,36.07B,9.781B,4.824B,14.60B,,,4.708B,55.38B,62.52B,,3.359B,,3.359B,3.952B,7.311B,,2.281B,2.281B,841.00M,3.122B,9.664B,9.664B,1.067B,21.16B,7.71B,5.539B,13.25B,,3.606B,3.606B,,8.516B,2.025B,27.40B,48.56B,,0.00,10.69B,11.20B,235.00M,,-7.694B,13.96B,,AOR,Restated
2019-03,1.91B,,1.91B,3.154B,,3.154B,1.071B,1.061B,,,,7.196B,,51.58B,,51.58B,-16.40B,35.18B,9.781B,4.827B,14.61B,,,4.862B,54.64B,61.84B,,3.214B,,3.214B,3.434B,6.648B,,3.055B,3.055B,941.00M,3.996B,9.613B,9.613B,1.066B,21.32B,7.71B,5.805B,13.52B,,3.611B,3.611B,,9.086B,1.395B,27.61B,48.93B,,0.00,9.656B,11.25B,233.00M,,-7.766B,12.91B,,AOR,Restated
2018-12,1.565B,,1.565B,2.314B,,2.314B,1.055B,1.406B,,,,6.34B,3.361B,10.66B,1.177B,50.15B,-15.82B,34.33B,9.781B,4.83B,14.61B,,,4.986B,53.93B,60.27B,,2.976B,,2.976B,4.404B,7.38B,,1.518B,1.518B,955.00M,2.473B,7.65B,7.65B,1.075B,18.58B,8.253B,5.801B,14.05B,163.00M,3.652B,3.815B,,9.163B,969.00M,28.00B,46.58B,,0.00,10.04B,11.67B,198.00M,,-7.825B,13.69B,,AOR,Restated
2018-09,1.38B,478.00M,1.858B,2.517B,,2.517B,1.17B,1.181B,,,,6.726B,,,,44.12B,-15.55B,28.56B,9.794B,4.835B,14.63B,,432.00M,4.651B,48.28B,55.00B,,3.265B,,3.265B,4.181B,7.446B,,,1.176B,,1.176B,8.47B,8.47B,1.066B,18.16B,8.115B,,8.115B,,3.607B,3.607B,,8.902B,2.517B,23.14B,41.30B,,0.00,9.696B,11.74B,197.00M,,-7.535B,13.70B,,AOR,Restated
