,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,11.93B,11.93B,4.348B,7.581B,2.217B,544.00M,2.761B,1.612B,36.00M,,-602.00M,112.00M,174.00M,62.00M,4.409B,3.172B,174.00M,112.00M,62.00M,-553.00M,62.00M,2.681B,507.00M,2.174B,,2.174B,2.617B,3.244B,451.00M,2.793B,0.51,,,0.6147,0.51,0.51,,,0.6143,0.51,4.23B,4.244B,0.36
2020-07,12.15B,12.15B,4.47B,7.684B,2.218B,494.00M,2.712B,1.565B,33.00M,,-127.00M,119.00M,187.00M,68.00M,4.31B,3.374B,187.00M,119.00M,68.00M,-136.00M,68.00M,3.306B,670.00M,2.636B,,2.636B,2.729B,3.869B,444.00M,3.425B,0.62,,,0.6421,0.62,0.62,,,0.642,0.62,4.227B,4.242B,0.36
2020-04,11.98B,11.98B,4.212B,7.771B,2.192B,457.00M,2.649B,1.546B,34.00M,,-128.00M,130.00M,218.00M,88.00M,4.229B,3.542B,218.00M,130.00M,88.00M,-186.00M,88.00M,3.444B,670.00M,2.774B,,2.774B,2.869B,4.02B,446.00M,3.574B,0.66,,,0.6825,0.66,0.65,,,0.6724,0.65,4.23B,4.243B,0.36
2020-01,12.00B,12.00B,4.241B,7.764B,2.279B,455.00M,2.734B,1.57B,38.00M,,-42.00M,158.00M,242.00M,84.00M,4.342B,3.422B,242.00M,158.00M,84.00M,28.00M,84.00M,3.534B,656.00M,2.878B,,2.878B,2.837B,4.149B,457.00M,3.692B,0.68,,,0.6704,0.68,0.68,,,0.6704,0.68,4.242B,4.26B,0.35
2019-10,13.16B,13.16B,4.695B,8.464B,2.48B,519.00M,2.999B,1.666B,36.00M,,-184.00M,178.00M,273.00M,95.00M,4.701B,3.763B,273.00M,178.00M,95.00M,-172.00M,95.00M,3.686B,760.00M,2.926B,,2.926B,3.056B,4.325B,461.00M,3.864B,0.69,,,0.7207,0.69,0.68,,,0.7105,0.68,4.246B,4.273B,0.35
2019-07,13.43B,13.43B,4.854B,8.574B,2.487B,566.00M,3.053B,1.753B,38.00M,,-40.00M,204.00M,305.00M,101.00M,4.844B,3.73B,305.00M,204.00M,101.00M,-127.00M,101.00M,3.704B,1.498B,2.206B,,2.206B,2.261B,4.372B,464.00M,3.908B,0.52,,,0.5328,0.52,0.51,,,0.5227,0.51,4.272B,4.285B,0.35
2019-04,12.96B,12.96B,4.785B,8.173B,2.403B,541.00M,2.944B,1.659B,39.00M,,-18.00M,211.00M,331.00M,120.00M,4.642B,3.531B,331.00M,211.00M,120.00M,-36.00M,120.00M,3.615B,571.00M,3.044B,,3.044B,3.064B,4.307B,481.00M,3.826B,0.7,,,0.7046,0.7,0.69,,,0.6946,0.69,4.37B,4.415B,0.35
2019-01,12.45B,12.45B,4.673B,7.773B,2.271B,509.00M,2.78B,1.557B,39.00M,,-186.00M,223.00M,328.00M,105.00M,4.376B,3.397B,328.00M,223.00M,105.00M,-159.00M,105.00M,3.343B,521.00M,2.822B,,2.822B,2.934B,4.053B,487.00M,3.566B,0.63,,,0.6551,0.63,0.63,,,0.6549,0.63,4.47B,4.505B,0.33
2018-10,13.07B,13.07B,4.926B,8.146B,2.41B,211.00M,2.621B,1.608B,34.00M,,-78.00M,221.00M,344.00M,123.00M,4.263B,3.883B,344.00M,221.00M,123.00M,-97.00M,123.00M,3.909B,360.00M,3.549B,,3.549B,3.625B,4.595B,465.00M,4.13B,0.78,,,0.7967,0.78,0.77,,,0.7865,0.77,4.565B,4.614B,0.33
2018-07,12.84B,12.84B,4.922B,7.922B,2.348B,543.00M,2.891B,1.626B,33.00M,,-26.00M,224.00M,353.00M,129.00M,4.55B,3.372B,353.00M,224.00M,129.00M,91.00M,129.00M,3.592B,-211.00M,3.803B,,3.803B,3.702B,4.332B,516.00M,3.816B,0.81,,,0.7884,0.81,0.81,,,0.7892,0.81,4.672B,4.848B,0.33
2018-04,12.46B,12.46B,4.704B,7.759B,2.325B,561.00M,2.886B,1.59B,67.00M,,-82.00M,237.00M,380.00M,143.00M,4.543B,3.216B,380.00M,237.00M,143.00M,-106.00M,143.00M,3.253B,562.00M,2.691B,,2.691B,2.754B,4.054B,564.00M,3.49B,0.56,,,0.5731,0.56,0.56,,,0.573,0.56,4.791B,4.844B,0.33
