,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,624.00M,0.00,0.00,12.00M,35.00M,,98.00M,98.00M,-48.00M,,46.00M,46.00M,,,,,,,,659.00M,,,2020-09,-81.00M,,,-1.00M,0.00,,-82.00M,2020-09,-366.00M,-8.00M,-374.00M,,0.00,0.00,,,-149.00M,,-149.00M,-20.00M,-543.00M,,2020-09,789.00M,11.00M,3.23B,,2020-09,,-5.00M,0.00,,,,2020-09,AOR,
2020-06,723.00M,0.00,-32.00M,13.00M,84.00M,,124.00M,124.00M,75.00M,,57.00M,57.00M,,,,,,,,-268.00M,,,2020-06,-81.00M,,,5.00M,-160.00M,,-236.00M,2020-06,1.835B,-512.00M,1.323B,,0.00,0.00,,,-149.00M,,-149.00M,-46.00M,1.128B,,2020-06,1.687B,12.00M,2.43B,,2020-06,,4.37B,0.00,,,,2020-06,AOR,
2020-03,511.00M,0.00,,9.00M,9.00M,,113.00M,113.00M,149.00M,,88.00M,88.00M,,,,,,,,-514.00M,,,2020-03,-51.00M,,,0.00,100.00M,,49.00M,2020-03,0.00,-186.00M,-186.00M,,-58.00M,-58.00M,,,-152.00M,,-152.00M,-83.00M,-479.00M,,2020-03,-74.00M,-29.00M,731.00M,,2020-03,,0.00,-58.00M,,,,2020-03,AOR,
2019-12,-269.00M,549.00M,-24.00M,0.00,27.00M,,120.00M,120.00M,-263.00M,,120.00M,12.38B,,,,,,,,-12.75B,,,2019-12,-102.00M,,,-14.00M,-34.00M,8.00M,-144.00M,2019-12,-90.00M,649.00M,559.00M,,-43.00M,-43.00M,,,-149.00M,,-149.00M,-38.00M,344.00M,,2019-12,-259.00M,15.00M,834.00M,,2019-12,,0.00,-43.00M,,,,2019-12,AOR,
2019-09,642.00M,0.00,-12.00M,17.00M,5.00M,,108.00M,108.00M,29.00M,,65.00M,65.00M,,,,,,,,-349.00M,,,2019-09,-109.00M,,,-19.00M,-5.00M,2.00M,-131.00M,2019-09,-221.00M,50.00M,-171.00M,,0.00,0.00,,,-147.00M,,-147.00M,-15.00M,-333.00M,,2019-09,36.00M,-18.00M,1.078B,,2019-09,,-1.00M,0.00,,,,2019-09,AOR,Restated
2019-06,977.00M,0.00,-39.00M,24.00M,-15.00M,,109.00M,109.00M,36.00M,,50.00M,50.00M,,,,,,,,-897.00M,,,2019-06,-75.00M,,,8.00M,-33.00M,1.00M,-99.00M,2019-06,0.00,0.00,0.00,,0.00,0.00,,,-149.00M,,-149.00M,-60.00M,-209.00M,,2019-06,-48.00M,1.00M,1.06B,,2019-06,,0.00,0.00,,,,2019-06,AOR,Restated
2019-03,1.951B,-549.00M,-38.00M,17.00M,-570.00M,,106.00M,106.00M,-571.00M,,56.00M,56.00M,,,,,,,,-43.00M,,,2019-03,-67.00M,,,382.00M,-99.00M,3.00M,219.00M,2019-03,-107.00M,-674.00M,-781.00M,,-14.00M,-14.00M,,,-150.00M,,-150.00M,-73.00M,-1.018B,,2019-03,130.00M,1.00M,1.107B,,2019-03,,493.00M,-14.00M,,,,2019-03,AOR,Restated
2018-12,2.061B,,,2.00M,63.00M,,265.00M,265.00M,109.00M,,86.00M,11.49B,,,,,,,,-11.90B,0.00,,2018-12,-253.00M,,,26.00M,-161.00M,-4.00M,-392.00M,2018-12,-1.09B,300.00M,-790.00M,,-89.00M,-89.00M,,,-391.00M,,-391.00M,-203.00M,-1.467B,,2018-12,425.00M,,976.00M,,2018-12,,0.00,-89.00M,,-406.00M,,2018-12,AOR,Restated
2018-09,488.00M,0.00,,18.00M,18.00M,,56.00M,56.00M,-91.00M,,14.00M,14.00M,,,,,,,,-351.00M,3.00M,,2018-09,-37.00M,,,-5.00M,0.00,6.00M,-36.00M,2018-09,-4.00M,4.00M,0.00,,-103.00M,-103.00M,,,-68.00M,,-68.00M,-1.00M,-171.00M,,2018-09,-70.00M,,182.00M,,2018-09,,0.00,-103.00M,-31.00M,175.00M,,2018-09,AOR,Restated
2018-06,400.00M,0.00,,20.00M,20.00M,,56.00M,56.00M,-39.00M,,47.00M,47.00M,,,,,,,,-156.00M,-2.00M,,2018-06,-32.00M,,,-60.00M,0.00,-1.00M,-93.00M,2018-06,-4.00M,153.00M,149.00M,,-208.00M,-208.00M,,,-69.00M,,-69.00M,-6.00M,-128.00M,,2018-06,105.00M,,252.00M,,2018-06,,0.00,-208.00M,2.00M,49.00M,,2018-06,AOR,Restated
2018-03,511.00M,0.00,,14.00M,14.00M,,56.00M,56.00M,79.00M,,44.00M,44.00M,,,,,,,,13.00M,,,2018-03,-30.00M,,,-40.00M,,3.00M,-90.00M,2018-03,-4.00M,-462.00M,-466.00M,,-186.00M,-186.00M,,,-71.00M,,-71.00M,-58.00M,-765.00M,,2018-03,-138.00M,,147.00M,,2018-03,,0.00,-186.00M,29.00M,182.00M,,2018-03,AOR,Restated
2017-12,2.051B,,,-30.00M,-407.00M,,277.00M,277.00M,,,103.00M,10.78B,,,,,,,,-11.16B,42.00M,,2017-12,-244.00M,,,917.00M,-138.00M,14.00M,543.00M,2017-12,-1.764B,89.00M,-1.675B,,0.00,0.00,,,-392.00M,,-392.00M,-106.00M,-1.991B,,2017-12,4.00M,,679.00M,,2017-12,,2.228B,0.00,-379.00M,-445.00M,,2017-12,AOR,Restated
2017-09,418.00M,,,16.00M,16.00M,,55.00M,55.00M,,,44.00M,44.00M,,,,,,,,-507.00M,23.00M,,2017-09,-44.00M,,,-228.00M,10.00M,2.00M,-265.00M,2017-09,181.00M,327.00M,508.00M,,-266.00M,-266.00M,,,-73.00M,,-73.00M,0.00,211.00M,,2017-09,-5.00M,,174.00M,,2017-09,,905.00M,-266.00M,61.00M,189.00M,,2017-09,AOR,Restated
2017-06,397.00M,,,12.00M,12.00M,,56.00M,56.00M,,,45.00M,45.00M,,,,,,,,-279.00M,-12.00M,,2017-06,-41.00M,,,-16.00M,,0.00,-63.00M,2017-06,18.00M,233.00M,251.00M,,-314.00M,-314.00M,,,-74.00M,,-74.00M,-13.00M,-147.00M,,2017-06,9.00M,,179.00M,,2017-06,,24.00M,-314.00M,305.00M,83.00M,,2017-06,AOR,Restated
2017-03,454.00M,,,17.00M,17.00M,,55.00M,55.00M,,,40.00M,40.00M,,,,,,,,112.00M,41.00M,,2017-03,-27.00M,,,-70.00M,,15.00M,-89.00M,2017-03,-7.00M,-420.00M,-427.00M,,-531.00M,-531.00M,,,-77.00M,,-77.00M,-83.00M,-1.082B,,2017-03,-452.00M,,170.00M,,2017-03,,,-531.00M,13.00M,173.00M,,2017-03,AOR,Restated
2016-12,271.00M,,,5.00M,-13.00M,,57.00M,57.00M,,,42.00M,42.00M,,,,,,,,-164.00M,42.00M,,2016-12,-85.00M,,,-78.00M,0.00,8.00M,-159.00M,2016-12,1.336B,417.00M,1.753B,,-1.463B,-1.463B,,,-79.00M,,-79.00M,4.00M,223.00M,,2016-12,443.00M,,622.00M,,2016-12,,1.451B,-1.463B,122.00M,57.00M,,2016-12,AOR,Restated
2016-09,466.00M,,,14.00M,14.00M,,54.00M,54.00M,,,42.00M,42.00M,,,,,,,,-598.00M,77.00M,,2016-09,-42.00M,,,0.00,0.00,3.00M,-39.00M,2016-09,680.00M,-130.00M,550.00M,,-501.00M,-501.00M,,,-67.00M,,-67.00M,2.00M,-13.00M,,2016-09,3.00M,,179.00M,,2016-09,,685.00M,-501.00M,74.00M,151.00M,,2016-09,AOR,Restated
2016-06,373.00M,,,12.00M,12.00M,,57.00M,57.00M,,,42.00M,42.00M,,,,,,,,-268.00M,7.00M,,2016-06,-35.00M,,,-14.00M,,11.00M,-44.00M,2016-06,-3.00M,163.00M,160.00M,,-500.00M,-500.00M,,,-69.00M,,-69.00M,-9.00M,-414.00M,,2016-06,-235.00M,,176.00M,,2016-06,,0.00,-500.00M,289.00M,49.00M,,2016-06,AOR,Restated
2016-03,442.00M,,,22.00M,22.00M,,57.00M,57.00M,,,39.00M,39.00M,,,,,,,,363.00M,105.00M,,2016-03,-34.00M,,,-61.00M,,-7.00M,-98.00M,2016-03,-204.00M,0.00,-204.00M,,-533.00M,-533.00M,,,-73.00M,,-73.00M,-38.00M,-842.00M,,2016-03,88.00M,,411.00M,,2016-03,,,-533.00M,7.00M,158.00M,,2016-03,AOR,Restated
