,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,6.116B,6.116B,3.634B,2.482B,1.391B,1.391B,,-75.00M,259.00M,14.00M,-245.00M,,1.489B,993.00M,14.00M,259.00M,-245.00M,-77.00M,-245.00M,671.00M,38.00M,624.00M,3.00M,,-12.00M,683.67M,1.028B,98.00M,930.00M,,0.01,,1.106,1.00,,0.01,,1.106,2020-09,616.00M,618.00M,0.24,,2020-09,AOR,
2020-06,6.275B,6.275B,3.485B,2.79B,,1.222B,,-261.00M,263.00M,11.00M,-252.00M,,1.346B,1.444B,11.00M,263.00M,-252.00M,-255.00M,-252.00M,937.00M,202.00M,723.00M,3.00M,,-245.00M,682.62M,1.324B,124.00M,1.20B,,0.00,,1.113,0.78,,0.00,,1.102,2020-06,615.00M,617.00M,0.24,,2020-06,AOR,
2020-03,6.669B,6.669B,4.065B,2.604B,,1.341B,,-233.00M,241.00M,14.00M,-227.00M,,1.454B,1.15B,14.00M,241.00M,-227.00M,-266.00M,-227.00M,657.00M,137.00M,511.00M,8.00M,,-3.00M,692.30M,1.011B,113.00M,898.00M,,0.01,,1.130,0.84,,0.01,,1.119,2020-03,614.00M,616.00M,0.24,,2020-03,AOR,
2019-12,6.871B,6.871B,4.806B,2.065B,1.41B,1.41B,,-468.00M,239.00M,13.00M,-226.00M,,1.53B,535.00M,13.00M,239.00M,-226.00M,-578.00M,-226.00M,-269.00M,0.00,-269.00M,15.00M,,-4.00M,156.00M,90.00M,120.00M,-30.00M,,0.02,,0.2576,-0.42,,0.02,,0.2553,2019-12,615.00M,617.00M,0.24,,2019-12,AOR,
2019-09,6.698B,6.698B,3.959B,2.739B,1.50B,1.50B,,-122.00M,246.00M,19.00M,-227.00M,,1.608B,1.131B,19.00M,246.00M,-227.00M,-122.00M,-227.00M,782.00M,126.00M,642.00M,4.00M,,-16.00M,728.36M,1.136B,108.00M,1.028B,,0.01,,1.186,1.02,,0.01,,1.176,2019-09,615.00M,617.00M,0.18,,2019-09,AOR,Restated
2019-06,7.143B,7.143B,4.21B,2.933B,,1.371B,,-7.00M,237.00M,15.00M,-222.00M,,1.48B,1.453B,15.00M,237.00M,-222.00M,8.00M,-222.00M,1.239B,241.00M,977.00M,6.00M,,-6.00M,976.64M,1.585B,109.00M,1.476B,,0.01,,1.589,1.59,,0.01,,1.579,2019-06,615.00M,617.00M,0.18,,2019-06,AOR,Restated
2019-03,7.10B,7.10B,4.248B,2.852B,,1.313B,,371.00M,240.00M,19.00M,-221.00M,,1.419B,1.433B,19.00M,240.00M,-221.00M,381.00M,-221.00M,1.593B,-376.00M,1.951B,13.00M,,-5.00M,1.647B,1.939B,106.00M,1.833B,,0.02,,2.683,3.20,,0.02,,2.666,2019-03,613.00M,617.00M,0.18,,2019-03,AOR,Restated
2018-12,16.76B,16.76B,9.411B,7.349B,3.601B,3.601B,,-382.00M,681.00M,36.00M,-645.00M,,3.866B,3.483B,36.00M,681.00M,-645.00M,-477.00M,-645.00M,2.361B,305.00M,2.061B,,,,2.357B,3.307B,265.00M,3.042B,,0.00,,2.392,1.50,,0.00,,2.382,2018-12,373.00M,373.00M,0.18,,2018-12,AOR,Restated
2018-09,3.263B,3.263B,1.922B,1.341B,549.00M,549.00M,,-46.00M,115.00M,12.00M,-103.00M,,605.00M,736.00M,12.00M,115.00M,-103.00M,-63.00M,-103.00M,570.00M,64.00M,488.00M,,,,528.85M,741.00M,56.00M,685.00M,,,,1.409,1.30,,,,1.398,2018-09,375.00M,379.00M,0.18,,2018-09,AOR,Restated
2018-06,3.466B,3.466B,2.184B,1.282B,532.00M,532.00M,,-35.00M,116.00M,14.00M,-102.00M,,588.00M,694.00M,14.00M,116.00M,-102.00M,-59.00M,-102.00M,533.00M,113.00M,400.00M,,,,427.58M,705.00M,56.00M,649.00M,,,,1.133,1.06,,,,1.122,2018-06,378.00M,381.00M,0.18,,2018-06,AOR,Restated
