,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.194B,141.00M,141.00M,72.00M,72.00M,72.00M,15.00M,88.00M,-740.00M,-104.00M,,559.00M,,,,2.774B,3.544B,,,131.00M,-4.035B,-131.00M,-4.035B,988.00M,,988.00M,,0.00,0.00,,,,-357.00M,,-357.00M,3.00M,30.00M,664.00M,1.709B,173.00M,-9.00M,1.873B,,988.00M,0.00,0.00,226.00M,37.00M
2020-06,-331.00M,-30.00M,-30.00M,72.00M,72.00M,72.00M,-289.00M,105.00M,-162.00M,-826.00M,,97.00M,,,,2.62B,1.985B,,,47.00M,-1.635B,-96.00M,-1.684B,0.00,,0.00,,-10.00M,-10.00M,,,,-339.00M,,-339.00M,27.00M,69.00M,-253.00M,1.658B,48.00M,3.00M,1.709B,,0.00,0.00,-10.00M,335.00M,195.00M
2020-03,252.00M,958.00M,958.00M,73.00M,73.00M,73.00M,-13.00M,87.00M,140.00M,110.00M,,-281.00M,,,,215.00M,1.712B,,,-1.70B,815.00M,-125.00M,-1.01B,,,,,-323.00M,-323.00M,,,,-339.00M,,-339.00M,47.00M,-30.00M,-645.00M,1.646B,57.00M,-45.00M,1.658B,,,,-323.00M,107.00M,91.00M
2019-12,1.173B,55.00M,55.00M,76.00M,76.00M,76.00M,81.00M,101.00M,464.00M,513.00M,,-479.00M,,,,-521.00M,1.429B,,,495.00M,-2.099B,-740.00M,-2.344B,1.533B,,1.533B,,-327.00M,-327.00M,,,,-340.00M,,-340.00M,49.00M,56.00M,973.00M,1.589B,58.00M,-1.00M,1.646B,,1.542B,-9.00M,-327.00M,179.00M,185.00M
2019-09,1.091B,155.00M,155.00M,76.00M,76.00M,76.00M,-45.00M,85.00M,-153.00M,333.00M,,398.00M,,,,996.00M,2.205B,,,-309.00M,-1.195B,230.00M,-1.274B,-4.00M,,-4.00M,,-462.00M,-462.00M,,,,-343.00M,,-343.00M,60.00M,56.00M,-693.00M,1.368B,238.00M,-17.00M,1.589B,,-3.00M,-1.00M,-462.00M,211.00M,41.00M
2019-06,1.15B,223.00M,223.00M,77.00M,77.00M,77.00M,-57.00M,91.00M,-68.00M,-459.00M,,-212.00M,,,,-30.00M,1.386B,,,-98.00M,-876.00M,-640.00M,-1.614B,789.00M,,789.00M,,-374.00M,-374.00M,,,,-335.00M,,-335.00M,60.00M,62.00M,199.00M,1.393B,-29.00M,4.00M,1.368B,,1.289B,-500.00M,-374.00M,508.00M,201.00M
2019-03,1.04B,97.00M,97.00M,76.00M,76.00M,76.00M,-76.00M,118.00M,-205.00M,181.00M,,-223.00M,,,,272.00M,1.322B,,,-42.00M,-544.00M,-87.00M,-673.00M,,,,,-367.00M,-367.00M,,,,-336.00M,,-336.00M,35.00M,37.00M,-630.00M,1.34B,19.00M,34.00M,1.393B,,,,-367.00M,14.00M,85.00M
2018-12,355.00M,687.00M,687.00M,86.00M,86.00M,86.00M,-30.00M,138.00M,483.00M,-853.00M,,674.00M,,,,-136.00M,1.583B,,,12.00M,-518.00M,-302.00M,-808.00M,0.00,,0.00,,-312.00M,-312.00M,,,,-336.00M,,-336.00M,29.00M,48.00M,-567.00M,1.157B,208.00M,-25.00M,1.34B,,0.00,0.00,-312.00M,190.00M,218.00M
2018-09,1.231B,-19.00M,-19.00M,83.00M,83.00M,83.00M,117.00M,143.00M,-503.00M,-342.00M,,174.00M,,,,648.00M,1.70B,,,31.00M,-807.00M,-91.00M,-867.00M,-101.00M,,-101.00M,,-385.00M,-385.00M,,,,-340.00M,,-340.00M,26.00M,24.00M,-775.00M,1.101B,58.00M,-2.00M,1.157B,,0.00,-101.00M,-385.00M,90.00M,71.00M
2018-06,1.294B,-18.00M,-18.00M,85.00M,85.00M,85.00M,-69.00M,156.00M,-305.00M,-918.00M,,796.00M,,,,503.00M,1.646B,,,-248.00M,-23.00M,-108.00M,-379.00M,-1.604B,,-1.604B,,-318.00M,-318.00M,,,,-331.00M,,-331.00M,26.00M,10.00M,-2.216B,2.113B,-949.00M,-63.00M,1.101B,,-4.00M,-1.60B,-318.00M,130.00M,250.00M
2018-03,1.082B,2.00M,2.00M,85.00M,85.00M,85.00M,-2.00M,155.00M,-26.00M,-33.00M,,-386.00M,,,,-745.00M,551.00M,,,-152.00M,-697.00M,-32.00M,-881.00M,1.875B,,1.875B,,-29.00M,-29.00M,,,,-330.00M,,-330.00M,34.00M,13.00M,1.567B,851.00M,1.237B,25.00M,2.113B,,2.175B,-300.00M,-29.00M,93.00M,82.00M
2017-12,1.533B,0.00,0.00,66.00M,66.00M,66.00M,-376.00M,168.00M,379.00M,-166.00M,14.00M,232.00M,,,,-678.00M,1.092B,,,177.00M,-1.047B,-211.00M,-1.081B,-1.00M,,-1.00M,,-94.00M,-94.00M,,,,-330.00M,,-330.00M,42.00M,34.00M,-349.00M,1.193B,-338.00M,-4.00M,851.00M,,0.00,-1.00M,-94.00M,84.00M,240.00M
2017-09,-70.00M,10.00M,10.00M,65.00M,65.00M,65.00M,-39.00M,173.00M,-160.00M,-1.047B,125.00M,-415.00M,,,,1.792B,1.771B,,,117.00M,-1.506B,-75.00M,-1.464B,0.00,,0.00,,-232.00M,-232.00M,,,,-332.00M,,-332.00M,20.00M,17.00M,-527.00M,1.419B,-220.00M,-6.00M,1.193B,,0.00,0.00,-232.00M,142.00M,77.00M
2017-06,1.305B,-101.00M,-101.00M,65.00M,65.00M,65.00M,15.00M,169.00M,-293.00M,-181.00M,-58.00M,-380.00M,,,,-533.00M,627.00M,,,25.00M,302.00M,-138.00M,189.00M,0.00,,0.00,,-347.00M,-347.00M,,,,-322.00M,,-322.00M,47.00M,33.00M,-585.00M,1.16B,231.00M,28.00M,1.419B,,,0.00,-347.00M,456.00M,252.00M
2017-03,1.093B,7.00M,7.00M,64.00M,64.00M,64.00M,-127.00M,184.00M,174.00M,-97.00M,-81.00M,-48.00M,,,,-382.00M,1.013B,,,117.00M,-77.00M,-106.00M,-66.00M,-500.00M,,-500.00M,,-128.00M,-128.00M,,,,-324.00M,,-324.00M,42.00M,51.00M,-858.00M,1.088B,89.00M,-17.00M,1.16B,,,-500.00M,-128.00M,54.00M,75.00M
2016-12,1.61B,-365.00M,-365.00M,163.00M,163.00M,163.00M,109.00M,179.00M,559.00M,-526.00M,-33.00M,550.00M,,,,-800.00M,1.455B,,,405.00M,-1.025B,-428.00M,-1.048B,0.00,,0.00,,0.00,0.00,,,,-322.00M,,-322.00M,50.00M,43.00M,-232.00M,870.00M,175.00M,-67.00M,1.088B,,,0.00,0.00,302.00M,252.00M
2016-09,1.36B,-100.00M,-100.00M,320.00M,320.00M,320.00M,-61.00M,182.00M,-96.00M,-182.00M,21.00M,70.00M,,,,79.00M,1.684B,,,0.00,-1.547B,-55.00M,-1.602B,0.00,,0.00,,0.00,0.00,,,,-321.00M,,-321.00M,25.00M,55.00M,-241.00M,1.011B,-159.00M,18.00M,870.00M,,,0.00,0.00,101.00M,71.00M
2016-06,726.00M,216.00M,216.00M,525.00M,525.00M,525.00M,90.00M,202.00M,104.00M,-1.064B,-2.00M,184.00M,,,,-730.00M,1.133B,,,14.00M,-1.093B,22.00M,-1.057B,0.00,,0.00,,0.00,0.00,,,,-312.00M,,-312.00M,41.00M,102.00M,-167.00M,1.091B,-91.00M,11.00M,1.011B,,,0.00,0.00,153.00M,248.00M
2016-03,439.00M,394.00M,394.00M,570.00M,570.00M,570.00M,-42.00M,174.00M,-281.00M,798.00M,14.00M,94.00M,,,,-234.00M,1.02B,,,-14.26B,12.59B,59.00M,-1.615B,0.00,,0.00,,0.00,0.00,,,,-218.00M,,-218.00M,51.00M,65.00M,-102.00M,1.775B,-697.00M,13.00M,1.091B,,,0.00,0.00,106.00M,71.00M
2015-12,683.00M,60.00M,60.00M,171.00M,171.00M,171.00M,60.00M,43.00M,359.00M,-258.00M,-30.00M,267.00M,,,,-211.00M,1.165B,,,5.00M,-4.749B,-125.00M,-4.869B,4.591B,,4.591B,,0.00,0.00,,,,-218.00M,,-218.00M,42.00M,56.00M,4.472B,1.038B,768.00M,-31.00M,1.775B,,5.29B,-699.00M,0.00,114.00M,71.00M
2015-09,528.00M,397.00M,397.00M,,,,-55.00M,44.00M,-194.00M,717.00M,79.00M,-428.00M,,,,88.00M,808.00M,,,4.00M,-342.00M,-67.00M,-405.00M,-1.00M,,-1.00M,,-8.00M,-8.00M,,,,-217.00M,,-217.00M,43.00M,64.00M,-118.00M,790.00M,285.00M,-37.00M,1.038B,,0.00,-1.00M,-8.00M,92.00M,61.00M
2015-06,942.00M,-126.00M,-126.00M,0.00,0.00,0.00,101.00M,35.00M,54.00M,-688.00M,-229.00M,328.00M,,,,-190.00M,816.00M,,,255.00M,-337.00M,82.00M,0.00,-450.00M,,-450.00M,,-403.00M,-403.00M,,,,-213.00M,,-213.00M,7.00M,67.00M,-992.00M,948.00M,-176.00M,18.00M,790.00M,,0.00,-450.00M,-403.00M,167.00M,79.00M
