,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,9.464B,9.464B,733.00M,733.00M,72.00M,0.00,130.00M,-130.00M,-6.00M,799.00M,130.00M,-130.00M,,-130.00M,1.336B,142.00M,1.194B,,1.194B,1.194B,72.00M,1.466B,2.64,,,2.64,2.64,2.63,,,2.63,2.63,451.79M,453.27M,0.78
2020-06,8.985B,8.985B,727.00M,727.00M,72.00M,0.00,128.00M,-128.00M,-15.00M,784.00M,128.00M,-128.00M,,-128.00M,-393.00M,-62.00M,-331.00M,,-331.00M,-331.00M,72.00M,-265.00M,-0.73,,,-0.73,-0.73,-0.73,,,-0.73,-0.73,451.40M,451.40M,0.78
2020-03,7.697B,7.697B,741.00M,741.00M,73.00M,0.00,132.00M,-132.00M,84.00M,898.00M,132.00M,-132.00M,,-132.00M,467.00M,215.00M,252.00M,,252.00M,252.00M,73.00M,599.00M,0.56,,,0.56,0.56,0.55,,,0.55,0.55,451.87M,454.52M,0.75
2019-12,8.738B,8.738B,810.00M,810.00M,76.00M,-14.00M,134.00M,-134.00M,-6.00M,866.00M,134.00M,-134.00M,,-134.00M,1.342B,169.00M,1.173B,,1.173B,1.185B,76.00M,1.476B,2.595,,,2.622,2.595,2.573,,,2.6,2.573,452.68M,455.88M,0.75
2019-09,9.045B,9.045B,752.00M,752.00M,76.00M,-2.00M,138.00M,-138.00M,24.00M,850.00M,138.00M,-138.00M,,-138.00M,1.321B,230.00M,1.091B,,1.091B,1.093B,76.00M,1.459B,2.4,,,2.404,2.4,2.38,,,2.384,2.38,454.98M,458.15M,0.75
2019-06,8.527B,8.527B,758.00M,758.00M,77.00M,-4.00M,140.00M,-140.00M,20.00M,851.00M,140.00M,-140.00M,,-140.00M,1.358B,208.00M,1.15B,,1.15B,1.153B,77.00M,1.498B,2.52,,,2.5269999999999997,2.52,2.5,,,2.5069999999999997,2.5,457.22M,460.17M,0.75
2019-03,7.876B,7.876B,710.00M,710.00M,76.00M,-3.00M,140.00M,-140.00M,-17.00M,766.00M,140.00M,-140.00M,,-140.00M,1.228B,188.00M,1.04B,,1.04B,1.043B,76.00M,1.368B,2.27,,,2.276,2.27,2.25,,,2.256,2.25,458.81M,461.54M,0.73
2018-12,7.626B,7.626B,728.00M,728.00M,86.00M,-20.00M,153.00M,-153.00M,33.00M,827.00M,153.00M,-153.00M,,-153.00M,514.00M,159.00M,355.00M,,355.00M,368.81M,86.00M,667.00M,0.77,,,0.8,0.77,0.76,,,0.7898,0.76,460.58M,463.20M,0.73
2018-09,8.75B,8.75B,719.00M,719.00M,83.00M,-16.00M,164.00M,-164.00M,33.00M,819.00M,164.00M,-164.00M,,-164.00M,1.414B,183.00M,1.231B,,1.231B,1.245B,83.00M,1.578B,2.66,,,2.69,2.66,2.64,,,2.67,2.64,462.98M,466.02M,0.73
2018-06,8.51B,8.51B,747.00M,747.00M,85.00M,-13.00M,167.00M,-167.00M,2.00M,821.00M,167.00M,-167.00M,,-167.00M,1.512B,218.00M,1.294B,,1.294B,1.305B,85.00M,1.679B,2.78,,,2.804,2.78,2.76,,,2.784,2.76,465.28M,468.38M,0.73
2018-03,7.831B,7.831B,692.00M,692.00M,85.00M,-10.00M,157.00M,-157.00M,12.00M,779.00M,157.00M,-157.00M,,-157.00M,1.217B,135.00M,1.082B,,1.082B,1.091B,85.00M,1.374B,2.32,,,2.339,2.32,2.3,,,2.319,2.3,465.70M,469.47M,0.71
2017-12,8.015B,8.015B,737.00M,737.00M,66.00M,-127.00M,156.00M,-156.00M,-1.00M,675.00M,156.00M,-156.00M,,-156.00M,1.151B,-382.00M,1.533B,,1.533B,1.629B,66.00M,1.307B,3.29,,,3.4960000000000004,3.29,3.27,,,3.4739999999999998,3.27,465.61M,469.93M,0.71
2017-09,8.61B,8.61B,714.00M,714.00M,65.00M,-50.00M,150.00M,-150.00M,-15.00M,714.00M,150.00M,-150.00M,,-150.00M,-155.00M,-85.00M,-70.00M,,-70.00M,-32.20M,65.00M,-5.00M,-0.15,,,-0.069,-0.15,-0.15,,,-0.069,-0.15,466.37M,466.37M,0.71
2017-06,8.108B,8.108B,706.00M,706.00M,65.00M,-72.00M,147.00M,-147.00M,1.00M,700.00M,147.00M,-147.00M,,-147.00M,1.505B,200.00M,1.305B,,1.305B,1.367B,65.00M,1.652B,2.79,,,2.923,2.79,2.77,,,2.9019999999999997,2.77,467.98M,471.85M,0.71
2017-03,7.51B,7.51B,676.00M,676.00M,64.00M,-111.00M,154.00M,-154.00M,-17.00M,612.00M,154.00M,-154.00M,,-154.00M,1.221B,128.00M,1.093B,,1.093B,1.192B,64.00M,1.375B,2.33,,,2.542,2.33,2.31,,,2.52,2.31,468.90M,472.73M,0.69
2016-12,8.168B,8.168B,708.00M,708.00M,3.00M,-131.00M,154.00M,-154.00M,39.00M,619.00M,154.00M,-154.00M,,-154.00M,1.869B,259.00M,1.61B,,1.61B,1.723B,163.00M,2.023B,3.44,,,3.681,3.44,3.41,,,3.6489999999999996,3.41,468.18M,471.59M,0.69
2016-09,8.527B,8.527B,772.00M,772.00M,4.00M,-115.00M,152.00M,-152.00M,-12.00M,649.00M,152.00M,-152.00M,,-152.00M,1.637B,277.00M,1.36B,,1.36B,1.455B,320.00M,1.789B,2.9,,,3.1039999999999996,2.9,2.88,,,3.082,2.88,468.02M,471.40M,0.69
2016-06,7.897B,7.897B,829.00M,829.00M,5.00M,-98.00M,153.00M,-153.00M,2.00M,738.00M,153.00M,-153.00M,,-153.00M,881.00M,155.00M,726.00M,,726.00M,806.75M,525.00M,1.034B,1.55,,,1.723,1.55,1.54,,,1.7109999999999999,1.54,467.70M,471.16M,0.69
2016-03,6.877B,6.877B,772.00M,772.00M,7.00M,-148.00M,146.00M,-146.00M,13.00M,644.00M,146.00M,-146.00M,,-146.00M,563.00M,124.00M,439.00M,,439.00M,554.29M,570.00M,709.00M,0.98,,,1.238,0.98,0.97,,,1.226,0.97,446.74M,450.01M,0.67
2015-12,4.679B,4.679B,570.00M,570.00M,35.00M,-16.00M,93.00M,-93.00M,12.00M,601.00M,93.00M,-93.00M,,-93.00M,750.00M,67.00M,683.00M,,683.00M,697.57M,35.00M,843.00M,2.11,,,2.155,2.11,2.09,,,2.134,2.09,324.64M,327.82M,0.67
2015-09,4.871B,4.871B,568.00M,568.00M,51.00M,-14.00M,68.00M,-68.00M,53.00M,658.00M,68.00M,-68.00M,,-68.00M,660.00M,132.00M,528.00M,,528.00M,539.20M,51.00M,728.00M,1.63,,,1.665,1.63,1.62,,,1.6540000000000001,1.62,324.21M,327.17M,0.67
2015-06,5.048B,5.048B,578.00M,578.00M,55.00M,-1.00M,71.00M,-71.00M,1.00M,633.00M,71.00M,-71.00M,,-71.00M,1.085B,143.00M,942.00M,,942.00M,942.87M,55.00M,1.156B,2.89,,,2.8930000000000002,2.89,2.86,,,2.863,2.86,325.46M,328.69M,0.67
2015-03,4.389B,4.389B,554.00M,554.00M,30.00M,-2.00M,68.00M,-68.00M,-4.00M,578.00M,68.00M,-68.00M,,-68.00M,801.00M,120.00M,681.00M,,681.00M,682.70M,30.00M,869.00M,2.08,,,2.085,2.08,2.05,,,2.055,2.05,328.21M,331.69M,0.65
2014-12,4.737B,4.737B,590.00M,590.00M,30.00M,-5.00M,67.00M,-67.00M,9.00M,624.00M,67.00M,-67.00M,,-67.00M,787.00M,232.00M,555.00M,,555.00M,558.53M,30.00M,854.00M,1.68,,,1.6909999999999998,1.68,1.67,,,1.681,1.67,331.19M,334.80M,0.65
