,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.707B,94.51B,96.22B,26.46B,,26.46B,2.76B,125.44B,15.25B,6.135B,21.39B,111.78B,,141.91B,187.79B,19.49B,,,1.851B,21.34B,21.34B,1.30B,,1.30B,1.30B,22.64B,15.14B,15.14B,815.00M,815.00M,,1.413B,67.90B,17.50B,,102.77B,131.37B,11.06B,36.92B,10.12B,3.541B,,,,1.856B,56.41B
2020-06,1.557B,90.72B,92.27B,26.26B,,26.26B,2.725B,121.25B,15.18B,6.199B,21.38B,106.32B,,136.94B,181.47B,18.84B,,,1.832B,20.67B,20.67B,1.30B,,1.30B,1.30B,21.97B,13.96B,13.96B,696.00M,696.00M,,1.409B,65.70B,17.08B,,98.85B,126.71B,11.12B,35.99B,10.42B,3.866B,,,,1.098B,54.76B
2020-03,1.512B,85.12B,86.63B,25.15B,,25.15B,2.57B,114.35B,14.97B,6.191B,21.16B,100.56B,,130.33B,173.13B,18.14B,,,1.342B,19.48B,19.48B,1.30B,,1.30B,1.30B,20.78B,13.82B,13.82B,474.00M,474.00M,,1.408B,62.21B,16.46B,,94.37B,120.93B,11.12B,36.33B,10.71B,3.872B,,,,-2.093B,52.20B
2019-12,1.537B,89.78B,91.32B,25.74B,,25.74B,2.647B,119.70B,15.30B,6.369B,21.66B,104.50B,,133.75B,176.94B,17.96B,,,994.00M,18.95B,18.95B,1.298B,1.00M,1.299B,1.299B,20.25B,13.87B,13.87B,804.00M,804.00M,,1.416B,62.69B,16.77B,,95.55B,121.61B,11.12B,36.14B,11.20B,3.754B,,,,619.00M,55.33B
2019-09,1.478B,87.88B,89.36B,26.13B,,26.13B,2.691B,118.18B,15.23B,6.422B,21.65B,102.29B,,131.82B,175.15B,18.51B,,,962.00M,19.47B,19.47B,10.00M,,10.00M,10.00M,19.48B,13.59B,13.59B,766.00M,766.00M,,1.416B,63.01B,16.57B,,95.36B,120.58B,11.12B,34.97B,11.46B,3.504B,,,,521.00M,54.57B
2019-06,1.27B,86.22B,87.49B,26.58B,,26.58B,2.765B,116.83B,15.30B,6.546B,21.85B,100.82B,,130.14B,174.52B,18.01B,,,1.727B,19.74B,19.74B,9.00M,,9.00M,9.00M,19.75B,13.68B,13.68B,697.00M,697.00M,,1.416B,63.20B,16.40B,,95.40B,120.71B,11.12B,33.88B,11.76B,3.093B,,,,139.00M,53.80B
2019-03,1.271B,83.74B,85.01B,26.17B,,26.17B,2.698B,113.88B,15.33B,6.38B,21.71B,98.41B,,127.79B,171.35B,17.68B,,,1.861B,19.54B,19.54B,509.00M,,509.00M,509.00M,20.05B,12.38B,12.38B,541.00M,541.00M,,1.419B,63.14B,15.91B,,93.39B,118.99B,11.12B,32.73B,12.05B,2.775B,,,,-770.00M,52.36B
2018-12,1.247B,81.49B,82.73B,26.27B,,26.27B,2.544B,111.55B,15.27B,6.438B,21.71B,96.37B,,124.61B,167.77B,16.91B,,,1.926B,18.84B,18.84B,500.00M,9.00M,509.00M,509.00M,19.34B,12.40B,12.40B,304.00M,304.00M,,1.418B,62.96B,15.53B,,92.61B,117.46B,11.12B,31.70B,12.56B,2.618B,,,,-2.448B,50.31B
2018-09,1.053B,81.33B,82.38B,25.49B,,25.49B,2.548B,110.42B,15.33B,6.437B,21.77B,96.39B,,125.16B,167.68B,15.66B,,,2.143B,17.80B,17.80B,500.00M,,500.00M,500.00M,18.30B,12.46B,12.46B,363.00M,363.00M,,1.414B,63.03B,15.72B,,92.99B,116.75B,11.12B,31.49B,12.85B,2.372B,,,,-2.159B,50.93B
2018-06,1.00B,81.13B,82.13B,25.34B,,25.34B,2.686B,110.16B,15.48B,6.594B,22.07B,96.60B,,125.01B,167.53B,15.38B,,,2.355B,17.74B,17.74B,600.00M,,600.00M,600.00M,18.34B,12.49B,12.49B,326.00M,326.00M,,1.413B,62.78B,15.75B,,92.76B,116.56B,11.12B,30.26B,13.15B,2.04B,,,,-1.52B,50.97B
