,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,294.50M,-68.10M,-68.10M,,,,98.80M,18.20M,2.70M,,-0.40M,12.90M,-0.90M,-0.30M,,,-46.60M,-34.90M,310.80M,-75.10M,,-75.10M,61.60M,,-7.40M,-20.90M,-130.60M,,-130.60M,,-0.10M,-0.10M,-35.40M,-35.40M,0.10M,-0.30M,-166.30M,70.10M,123.60M,193.70M,,10.10M,-140.70M,-0.10M,,
2020-06,217.60M,-1.60M,-1.60M,,,,98.40M,3.40M,7.20M,,1.60M,-127.60M,-12.10M,-5.40M,,,85.00M,-60.10M,266.50M,-71.60M,,-71.60M,-0.30M,,-3.40M,-75.30M,-510.80M,,-510.80M,,-0.20M,-0.20M,-34.60M,-34.60M,1.10M,-0.60M,-545.10M,424.00M,-353.90M,70.10M,,0.00,-510.80M,-0.20M,,
2020-03,25.90M,-1.50M,-1.50M,,,,95.00M,3.20M,12.50M,,-0.40M,10.20M,-9.60M,4.90M,,,-33.50M,-28.00M,106.70M,-104.10M,,-104.10M,15.90M,,-7.30M,-95.50M,490.20M,,490.20M,,-62.70M,-62.70M,-34.80M,-34.80M,0.20M,-1.10M,391.80M,21.00M,403.00M,424.00M,,618.00M,-127.80M,-62.70M,,
2019-12,131.10M,1.90M,1.90M,,,,94.50M,11.00M,5.70M,,-2.80M,190.20M,-41.30M,-40.00M,,,-34.00M,74.90M,316.30M,-110.50M,,-110.50M,1.40M,,-0.10M,-109.20M,-158.40M,,-158.40M,,-43.60M,-43.60M,-34.60M,-34.60M,1.40M,0.00,-235.20M,49.10M,-28.10M,21.00M,,380.00M,-538.40M,-43.60M,,
2019-09,248.60M,-1.10M,-1.10M,,,,95.00M,24.80M,6.10M,,-3.50M,-53.50M,-2.10M,29.30M,,,-27.50M,-53.80M,316.10M,-75.60M,,-75.60M,1.00M,,-0.20M,-74.80M,-195.90M,,-195.90M,,-20.50M,-20.50M,-34.60M,-34.60M,5.20M,0.00,-245.80M,53.60M,-4.50M,49.10M,,80.00M,-275.90M,-20.50M,,
2019-06,189.40M,-1.50M,-1.50M,,,,92.80M,-11.20M,8.80M,,14.40M,-161.00M,-0.70M,16.20M,,,68.60M,-76.90M,215.80M,-77.30M,,-77.30M,3.00M,,-0.10M,-74.40M,-45.80M,,-45.80M,,-55.10M,-55.10M,-30.20M,-30.20M,6.50M,-0.60M,-125.20M,37.40M,16.20M,53.60M,,40.00M,-85.80M,-55.10M,,
2019-03,42.90M,-2.40M,-2.40M,,,,89.20M,4.80M,13.50M,,0.50M,-26.10M,16.40M,20.40M,,,-41.30M,-30.60M,117.90M,-130.10M,,-130.10M,3.00M,,-0.40M,-127.50M,39.00M,,39.00M,,-7.10M,-7.10M,-30.40M,-30.40M,0.60M,,2.10M,44.90M,-7.50M,37.40M,,125.00M,-86.00M,-7.10M,,
2018-12,94.50M,-4.133M,-4.133M,,,,90.80M,16.27M,6.216M,,10.11M,121.58M,-13.98M,-22.90M,,,-34.90M,49.80M,263.56M,-113.84M,,-113.84M,4.238M,,0.029M,-109.58M,-90.97M,,-90.97M,,-41.51M,-41.51M,-30.21M,-30.21M,0.307M,-0.699M,-163.08M,53.96M,-9.097M,44.90M,,125.00M,-215.97M,-41.51M,,
2018-09,180.35M,-1.64M,-1.64M,,,,89.66M,53.85M,5.986M,,2.65M,25.43M,-0.882M,-1.271M,,,-150.62M,-127.35M,203.50M,-73.88M,,-73.88M,10.25M,,0.347M,-63.29M,-10.88M,,-10.88M,,-60.73M,-60.73M,-30.40M,-30.40M,0.05M,-18.08M,-120.03M,33.78M,20.18M,53.96M,,210.00M,-220.88M,-60.73M,,
2018-06,185.50M,-32.58M,-32.58M,,,,86.72M,12.96M,7.338M,,-2.488M,-178.55M,1.74M,36.34M,,,16.04M,-124.44M,133.02M,-92.01M,,-92.01M,-1.590B,,0.325M,-1.682B,189.09M,,189.09M,,-3.685M,-3.685M,-27.91M,-27.91M,4.142M,-1.555M,160.08M,1.422B,-1.389B,33.78M,,665.00M,-475.91M,-3.685M,,-12.46M
