,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.321B,1.321B,916.90M,404.50M,71.10M,,-0.40M,28.70M,-28.70M,-67.60M,3.50M,401.00M,28.70M,-28.70M,3.60M,-28.70M,375.90M,81.50M,294.40M,,,0.00,294.40M,294.71M,503.40M,98.80M,404.60M,4.72,,,,4.725,4.72,4.71,,,,4.715,4.71,62.30M,62.40M,0.57
2020-06,1.271B,1.271B,890.10M,380.50M,71.20M,,-0.50M,31.20M,-31.20M,2.40M,73.60M,306.90M,31.20M,-31.20M,3.30M,-31.20M,279.00M,61.40M,217.60M,,,0.00,217.60M,217.99M,408.60M,98.40M,310.20M,3.49,,,,3.4960000000000004,3.49,3.49,,,,3.4960000000000004,3.49,62.30M,62.30M,0.55
2020-03,958.20M,958.20M,815.80M,142.40M,78.70M,,-0.30M,29.80M,-29.80M,5.60M,84.30M,58.10M,29.80M,-29.80M,-2.30M,-29.80M,26.00M,0.10M,25.90M,,,,25.90M,26.20M,150.80M,95.00M,55.80M,0.42,,,,0.4248,0.42,0.41,,,,0.4148,0.41,62.30M,62.50M,0.55
2019-12,1.100B,1.100B,841.80M,258.60M,73.80M,,-0.30M,30.60M,-30.60M,0.00,73.80M,184.80M,30.60M,-30.60M,2.10M,-30.60M,156.30M,25.20M,131.10M,,,-0.10M,131.00M,131.25M,281.40M,94.50M,186.90M,2.1,,,,2.104,2.1,2.09,,,,2.094,2.09,62.20M,62.70M,0.55
2019-09,1.420B,1.420B,999.60M,420.60M,78.20M,,0.00,32.40M,-32.40M,-2.90M,75.30M,345.30M,32.40M,-32.40M,1.90M,-32.40M,314.80M,66.20M,248.60M,,,0.00,248.60M,248.60M,442.20M,95.00M,347.20M,3.97,,,,3.97,3.97,3.96,,,,3.96,3.96,62.50M,62.70M,0.55
2019-06,1.280B,1.280B,922.60M,356.90M,72.40M,,0.00,33.30M,-33.30M,-1.40M,71.00M,285.90M,33.30M,-33.30M,-13.20M,-33.30M,239.40M,49.90M,189.50M,,,0.00,189.50M,189.50M,365.50M,92.80M,272.70M,3.02,,,,3.02,3.02,3.01,,,,3.01,3.01,62.60M,62.70M,0.48
2019-03,939.00M,939.00M,796.10M,142.90M,78.30M,,-0.10M,32.90M,-32.90M,-4.70M,73.60M,69.30M,32.90M,-32.90M,1.50M,-32.90M,37.90M,-5.00M,42.90M,,,,42.90M,42.97M,160.00M,89.20M,70.80M,0.68,,,,0.6812,0.68,0.68,,,,0.6812,0.68,62.60M,62.80M,0.48
2018-12,1.020B,1.020B,792.95M,227.31M,70.97M,,-0.575M,33.57M,-33.57M,8.76M,79.73M,147.58M,33.57M,-33.57M,2.052M,-33.57M,116.06M,21.55M,94.50M,,,-0.125M,94.38M,94.85M,240.43M,90.80M,149.63M,1.5,,,,1.507,1.5,1.5,,,,1.507,1.5,62.69M,62.73M,0.48
2018-09,1.220B,1.220B,906.66M,312.98M,68.44M,,-0.089M,35.47M,-35.47M,3.792M,72.23M,240.75M,35.47M,-35.47M,4.159M,-35.47M,209.44M,29.09M,180.35M,,,-0.132M,180.22M,180.30M,334.56M,89.66M,244.91M,2.86,,,,2.861,2.86,2.85,,,,2.8510000000000004,2.85,62.93M,63.17M,0.48
2018-06,1.202B,1.202B,886.49M,315.92M,71.07M,,-12.13M,32.97M,-32.97M,-31.23M,39.84M,276.08M,32.97M,-32.97M,-5.004M,-32.97M,238.10M,52.60M,185.50M,,,-0.126M,185.38M,194.82M,357.80M,86.72M,271.08M,2.94,,,,3.09,2.94,2.92,,,,3.069,2.92,63.02M,63.28M,0.44
2018-03,802.00M,802.00M,691.61M,110.39M,70.12M,,-0.711M,35.09M,-35.09M,0.479M,70.60M,39.79M,35.09M,-35.09M,7.792M,-35.09M,12.50M,2.457M,10.04M,,,-0.017M,10.02M,10.59M,124.40M,76.82M,47.58M,0.16,,,,0.1691,0.16,0.16,,,,0.169,0.16,62.96M,63.22M,0.44
2017-12,970.48M,970.48M,711.42M,259.06M,66.97M,,-5.281M,23.46M,-23.46M,3.375M,70.35M,188.71M,23.46M,-23.46M,-1.715M,-23.46M,163.54M,-213.78M,377.31M,,,-0.172M,377.14M,380.31M,262.78M,75.78M,187.00M,5.98,,,,6.03,5.98,5.95,,,,6.0,5.95,62.78M,63.15M,0.44
2017-09,1.088B,1.088B,796.05M,291.68M,57.22M,,-1.314M,23.14M,-23.14M,6.181M,63.40M,228.28M,23.14M,-23.14M,-0.835M,-23.14M,204.30M,52.76M,151.54M,,,0.007M,151.55M,152.52M,302.76M,75.32M,227.44M,2.4,,,,2.415,2.4,2.39,,,,2.405,2.39,62.90M,63.16M,0.44
2017-06,1.064B,1.064B,789.43M,274.09M,68.37M,,-1.982M,24.04M,-24.04M,-9.113M,59.26M,214.83M,24.04M,-24.04M,3.438M,-24.04M,194.23M,51.99M,142.24M,,,0.038M,142.28M,143.73M,294.00M,75.73M,218.27M,2.26,,,,2.283,2.26,2.25,,,,2.273,2.25,62.86M,63.14M,0.42
2017-03,843.86M,843.86M,696.79M,147.07M,69.54M,,-0.022M,20.85M,-20.85M,0.36M,69.90M,77.17M,20.85M,-20.85M,0.514M,-20.85M,56.84M,14.53M,42.31M,,,0.027M,42.33M,42.35M,148.06M,70.38M,77.69M,0.67,,,,0.6703,0.67,0.67,,,,0.6703,0.67,63.02M,63.32M,0.42
2016-12,948.82M,948.82M,723.06M,225.75M,68.70M,,-0.056M,20.78M,-20.78M,-0.734M,67.97M,157.78M,20.78M,-20.78M,-0.633M,-20.78M,136.37M,37.57M,98.80M,,,0.063M,98.86M,98.90M,230.40M,73.26M,157.15M,1.56,,,,1.561,1.56,1.55,,,,1.551,1.55,63.30M,63.54M,0.42
2016-09,1.104B,1.104B,810.59M,293.31M,54.77M,,-0.306M,20.57M,-20.57M,-4.441M,50.33M,242.98M,20.57M,-20.57M,7.94M,-20.57M,230.35M,70.87M,159.48M,,,0.001M,159.48M,159.69M,323.30M,72.38M,250.92M,2.5,,,,2.503,2.5,2.49,,,,2.4930000000000003,2.49,63.45M,63.72M,0.42
