,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-12,-106.00M,0.00,,,0.00,,,115.00M,115.00M,206.00M,,22.00M,,9.00M,-16.00M,324.00M,,22.00M,-27.00M,-69.00M,118.00M,352.00M,-3.00M,595.00M,,-147.00M,,,-1.00M,,14.00M,-134.00M,,-371.00M,,-371.00M,,-131.00M,-131.00M,-5.00M,-5.00M,,-42.00M,-497.00M,,1.294B,-36.00M,4.00M,1.262B,,,354.00M,-725.00M,-131.00M,,AOR,Restated
2017-09,159.00M,0.00,,,0.00,,,114.00M,114.00M,119.00M,,4.00M,,-259.00M,-95.00M,149.00M,,-38.00M,16.00M,24.00M,-95.00M,-39.00M,-1.00M,97.00M,,-115.00M,,,-1.00M,,15.00M,-101.00M,,265.00M,,265.00M,,-122.00M,-122.00M,-5.00M,-5.00M,,17.00M,155.00M,,1.129B,151.00M,14.00M,1.294B,,,307.00M,-42.00M,-122.00M,,AOR,Restated
2017-06,153.00M,,,,,,,112.00M,112.00M,8.00M,,10.00M,,70.00M,-22.00M,61.00M,,-38.00M,-3.00M,90.00M,17.00M,105.00M,2.00M,460.00M,,-85.00M,,,-11.00M,,30.00M,-66.00M,,-23.00M,-100.00M,-123.00M,,-143.00M,-143.00M,-5.00M,-5.00M,,2.00M,-269.00M,,997.00M,125.00M,7.00M,1.129B,,,13.00M,-36.00M,-143.00M,,AOR,Restated
2017-03,100.00M,,,,,,,106.00M,106.00M,13.00M,,11.00M,,56.00M,-103.00M,-122.00M,,-102.00M,-30.00M,-158.00M,38.00M,-477.00M,-25.00M,-216.00M,,-76.00M,,,-318.00M,,50.00M,-344.00M,,324.00M,100.00M,424.00M,,-186.00M,-186.00M,-6.00M,-6.00M,,19.00M,251.00M,,1.298B,-309.00M,8.00M,997.00M,,,362.00M,-38.00M,-186.00M,,AOR,Restated
2016-12,215.00M,,,,,,,118.00M,118.00M,18.00M,,4.00M,,49.00M,59.00M,285.00M,,359.00M,-71.00M,,27.00M,378.00M,0.00,782.00M,,-140.00M,,,-7.00M,,103.00M,-44.00M,,-19.00M,-110.00M,-129.00M,,-26.00M,-26.00M,-6.00M,-6.00M,,-29.00M,-154.00M,,739.00M,584.00M,-25.00M,1.298B,,,-105.00M,-24.00M,-26.00M,,AOR,Restated
2016-09,299.00M,,,,,,,108.00M,108.00M,-2.00M,,36.00M,,43.00M,-12.00M,-183.00M,,86.00M,28.00M,,-228.00M,-309.00M,-1.00M,174.00M,,-99.00M,,,0.00,,5.00M,-94.00M,,-185.00M,110.00M,-75.00M,,0.00,0.00,-5.00M,-5.00M,,-2.00M,-82.00M,,743.00M,-2.00M,-2.00M,739.00M,,,268.00M,-343.00M,0.00,,AOR,Restated
2016-06,178.00M,,,,,,,114.00M,114.00M,13.00M,,0.00,,78.00M,63.00M,-141.00M,,-147.00M,-33.00M,,-5.00M,-263.00M,-1.00M,119.00M,,-119.00M,,,-15.00M,,61.00M,-73.00M,,-44.00M,-42.00M,-86.00M,,0.00,0.00,-5.00M,-5.00M,,15.00M,-76.00M,,778.00M,-30.00M,-5.00M,743.00M,,,-42.00M,-44.00M,0.00,,AOR,Restated
2016-03,151.00M,,,,,,,109.00M,109.00M,19.00M,,0.00,,32.00M,-143.00M,-313.00M,,-83.00M,61.00M,,17.00M,-461.00M,0.00,-150.00M,,-88.00M,,,-164.00M,,27.00M,-225.00M,,316.00M,42.00M,358.00M,,-215.00M,-215.00M,-6.00M,-6.00M,,7.00M,144.00M,,1.005B,-231.00M,4.00M,778.00M,,,404.00M,-46.00M,-215.00M,,AOR,Restated
2015-12,225.00M,,,,,,,129.00M,129.00M,15.00M,,7.00M,,61.00M,108.00M,415.00M,,-250.00M,-42.00M,,7.00M,238.00M,0.00,675.00M,,-134.00M,,,0.00,,16.00M,-118.00M,,-154.00M,,-154.00M,,-8.00M,-8.00M,-5.00M,-5.00M,,-25.00M,-160.00M,,614.00M,397.00M,-6.00M,1.005B,,,6.00M,-160.00M,-8.00M,,AOR,Restated
2015-09,176.00M,,,,,,,112.00M,112.00M,4.00M,,0.00,,49.00M,22.00M,-138.00M,,-12.00M,30.00M,,-29.00M,-127.00M,-1.00M,213.00M,,-113.00M,,,-47.00M,,25.00M,-135.00M,,-20.00M,-105.00M,-125.00M,,-124.00M,-124.00M,-6.00M,-6.00M,,4.00M,-251.00M,,792.00M,-173.00M,-5.00M,614.00M,,,-59.00M,-66.00M,-124.00M,,AOR,Restated
2015-06,169.00M,,,,,,,110.00M,110.00M,-8.00M,,,,66.00M,-29.00M,-189.00M,,86.00M,21.00M,,-2.00M,-113.00M,-1.00M,223.00M,,-94.00M,,,-2.00M,,18.00M,-78.00M,,-60.00M,80.00M,20.00M,,-87.00M,-87.00M,-5.00M,-5.00M,,10.00M,-62.00M,,708.00M,83.00M,1.00M,792.00M,,,80.00M,-60.00M,-87.00M,,AOR,Restated
2015-03,128.00M,,,,,,,110.00M,110.00M,-7.00M,,,,78.00M,-115.00M,-327.00M,,64.00M,-45.00M,,95.00M,-328.00M,-2.00M,-21.00M,,-79.00M,,,-32.00M,,54.00M,-57.00M,,-61.00M,25.00M,-36.00M,,0.00,0.00,-6.00M,-6.00M,,11.00M,-31.00M,,822.00M,-109.00M,-5.00M,708.00M,,,34.00M,-70.00M,0.00,,AOR,Restated
2014-12,213.00M,,,,,,,134.00M,134.00M,22.00M,,,,75.00M,111.00M,161.00M,,66.00M,-57.00M,,-83.00M,198.00M,0.00,642.00M,,-174.00M,,,-48.00M,,28.00M,-194.00M,,-62.00M,-25.00M,-87.00M,,-38.00M,-38.00M,-11.00M,-11.00M,,-43.00M,-129.00M,,511.00M,319.00M,-8.00M,822.00M,,,355.00M,-442.00M,-38.00M,,AOR,Restated
2014-09,160.00M,,,,,,,111.00M,111.00M,-27.00M,,,,81.00M,41.00M,-91.00M,,-93.00M,8.00M,,26.00M,-109.00M,-1.00M,215.00M,,-83.00M,,,-30.00M,,36.00M,-77.00M,,-305.00M,25.00M,-280.00M,,-152.00M,-152.00M,-6.00M,-6.00M,,3.00M,-435.00M,,815.00M,-297.00M,-7.00M,511.00M,,,61.00M,-341.00M,-152.00M,,AOR,Restated
2014-06,145.00M,,,,,,,116.00M,116.00M,-6.00M,,,,55.00M,-47.00M,-99.00M,,184.00M,27.00M,,4.00M,69.00M,-1.00M,378.00M,,-106.00M,,,-61.00M,,39.00M,-128.00M,,-39.00M,-184.00M,-223.00M,,0.00,0.00,-5.00M,-5.00M,,11.00M,-217.00M,,780.00M,33.00M,2.00M,815.00M,,,20.00M,-59.00M,0.00,,AOR,Restated
2014-03,87.00M,,,,,,,98.00M,98.00M,-8.00M,,,,80.00M,-49.00M,-180.00M,,-74.00M,-11.00M,,31.00M,-283.00M,-1.00M,-27.00M,,-66.00M,,,-1.489B,,35.00M,-1.52B,,1.069B,184.00M,1.253B,,-150.00M,-150.00M,-6.00M,-6.00M,,19.00M,1.116B,,1.211B,-431.00M,0.00,780.00M,,,1.131B,-62.00M,-150.00M,,AOR,Restated
2013-12,171.00M,,,,,,,104.00M,104.00M,12.00M,,,,39.00M,60.00M,325.00M,,184.00M,9.00M,,12.00M,590.00M,2.00M,918.00M,,-144.00M,,,-143.00M,,54.00M,-233.00M,,-23.00M,-96.00M,-119.00M,,0.00,0.00,-6.00M,-6.00M,,-19.00M,-113.00M,,637.00M,572.00M,2.00M,1.211B,,,36.00M,-59.00M,0.00,,AOR,Restated
2013-09,98.00M,,,,,,,93.00M,93.00M,32.00M,,,,43.00M,-9.00M,2.00M,,134.00M,-28.00M,,-6.00M,93.00M,2.00M,361.00M,,-110.00M,,,0.00,,147.00M,37.00M,,-62.00M,-270.00M,-332.00M,,0.00,0.00,-5.00M,-5.00M,,3.00M,-334.00M,,571.00M,64.00M,2.00M,637.00M,,,-356.00M,-72.00M,0.00,,AOR,Restated
2013-06,114.00M,,,,,,,95.00M,95.00M,31.00M,,,,249.00M,-48.00M,-191.00M,,-163.00M,-36.00M,,-118.00M,-556.00M,-3.00M,-70.00M,,-113.00M,,,-35.00M,,64.00M,-84.00M,,-297.00M,161.00M,-136.00M,,0.00,0.00,-6.00M,-6.00M,,77.00M,-65.00M,,791.00M,-219.00M,-1.00M,571.00M,,,522.00M,-658.00M,0.00,,AOR,Restated
2013-03,115.00M,,,,,,,97.00M,97.00M,11.00M,,,,-12.00M,-121.00M,-254.00M,,-272.00M,13.00M,,28.00M,-606.00M,-4.00M,-399.00M,,-77.00M,,,-18.00M,,111.00M,16.00M,,-441.00M,205.00M,-236.00M,,0.00,0.00,-5.00M,-5.00M,,11.00M,-230.00M,,1.413B,-613.00M,-9.00M,791.00M,,,246.00M,-482.00M,0.00,,AOR,Restated
2012-12,146.00M,,,,,,,106.00M,106.00M,60.00M,,,,-204.00M,88.00M,93.00M,,287.00M,-24.00M,,-19.00M,425.00M,-3.00M,530.00M,,-166.00M,,,-3.00M,,208.00M,39.00M,,-123.00M,,-123.00M,,,,0.00,0.00,,-17.00M,-393.00M,,1.238B,176.00M,-1.00M,1.413B,,,18.00M,-141.00M,,,AOR,Restated
2012-09,142.00M,,,,,,,94.00M,94.00M,26.00M,,,,71.00M,11.00M,-22.00M,,-25.00M,15.00M,,62.00M,41.00M,-2.00M,372.00M,,-156.00M,,,-8.00M,,197.00M,33.00M,,-81.00M,0.00,-81.00M,,,,-6.00M,-6.00M,,3.00M,-84.00M,,911.00M,321.00M,6.00M,1.238B,,,0.00,-81.00M,,,AOR,Restated
2012-06,173.00M,,-20.00M,,-20.00M,,,92.00M,92.00M,23.00M,,,,131.00M,9.00M,-200.00M,,106.00M,-42.00M,,9.00M,-118.00M,-2.00M,279.00M,,-85.00M,,,0.00,,268.00M,183.00M,,-190.00M,0.00,-190.00M,,,,-6.00M,-6.00M,,4.00M,-192.00M,,646.00M,270.00M,-5.00M,911.00M,,,61.00M,-251.00M,,,AOR,Restated
2012-03,120.00M,,20.00M,,20.00M,,,91.00M,91.00M,62.00M,,,,-56.00M,-76.00M,-187.00M,,-285.00M,58.00M,,,-490.00M,-1.00M,-254.00M,,-73.00M,,,,,196.00M,123.00M,,-117.00M,0.00,-117.00M,,,,-5.00M,-5.00M,,10.00M,-112.00M,,885.00M,-243.00M,4.00M,646.00M,,,27.00M,-144.00M,,,AOR,Restated
2011-12,-17.00M,,,,42.00M,,,114.00M,114.00M,82.00M,,,,-262.00M,-84.00M,201.00M,,36.00M,,,-66.00M,185.00M,-2.00M,403.00M,,-152.00M,-77.00M,-77.00M,,-127.00M,565.00M,195.00M,,-987.00M,-227.00M,-1.214B,,,,,-5.00M,,-5.00M,-1.251B,,1.542B,-653.00M,-4.00M,885.00M,,,-92.00M,-1.122B,,,AOR,Restated
2011-09,136.00M,,,,16.00M,,,94.00M,94.00M,-58.00M,,,,45.00M,-22.00M,-52.00M,,120.00M,,,165.00M,211.00M,-1.00M,443.00M,,-102.00M,5.00M,5.00M,,-442.00M,686.00M,147.00M,,294.00M,38.00M,332.00M,,,,,-6.00M,,-17.00M,309.00M,,651.00M,899.00M,-8.00M,1.542B,,,564.00M,-232.00M,,,AOR,Restated
2011-06,92.00M,,,,44.00M,,,100.00M,100.00M,-22.00M,,,,49.00M,74.00M,-110.00M,,-10.00M,,,-53.00M,-99.00M,-1.00M,163.00M,,-91.00M,44.00M,122.00M,,187.00M,6.00M,146.00M,,-663.00M,-14.00M,-677.00M,,,,,-6.00M,,1.00M,-682.00M,,1.022B,-373.00M,2.00M,651.00M,,,107.00M,-784.00M,,,AOR,Restated
2011-03,31.00M,,,,,,,95.00M,95.00M,79.00M,,,,56.00M,68.00M,-166.00M,,-110.00M,,,2.00M,-206.00M,-1.00M,54.00M,,-78.00M,28.00M,-50.00M,,382.00M,23.00M,355.00M,,-523.00M,203.00M,-320.00M,,,,,-5.00M,,-2.00M,-327.00M,,931.00M,82.00M,9.00M,1.022B,,,347.00M,-667.00M,,,AOR,Restated
2010-12,89.00M,,,,,,,111.00M,111.00M,65.00M,,,,74.00M,-397.00M,373.00M,,-156.00M,,,-186.00M,-267.00M,-1.00M,225.00M,,-136.00M,-92.00M,-92.00M,-10.00M,-887.00M,1.336B,211.00M,,-494.00M,,-494.00M,,,,,-6.00M,-2.00M,,-496.00M,,991.00M,-60.00M,0.00,931.00M,,,184.00M,-678.00M,,,AOR,Restated
2010-09,-74.00M,,,,,,,95.00M,95.00M,-7.00M,,,,-14.00M,331.00M,-166.00M,,94.00M,,,130.00M,389.00M,-5.00M,512.00M,,-51.00M,26.00M,109.00M,-4.00M,-176.00M,504.00M,299.00M,,-1.018B,0.00,-1.018B,,,,,-5.00M,0.00,,-1.023B,,1.191B,-212.00M,12.00M,991.00M,,,19.00M,-1.037B,,,AOR,Restated
2010-06,81.00M,,,,,,,97.00M,97.00M,24.00M,,,,90.00M,63.00M,-6.00M,,-58.00M,,,48.00M,47.00M,-4.00M,335.00M,,-45.00M,34.00M,-11.00M,-43.00M,430.00M,24.00M,400.00M,,-1.049B,0.00,-1.049B,,,,,-6.00M,2.00M,,-1.053B,,1.509B,-318.00M,0.00,1.191B,,,8.00M,-1.057B,,,AOR,Restated
2010-03,-4.00M,,,,,,,90.00M,90.00M,-13.00M,,,,114.00M,2.00M,-211.00M,,-75.00M,,,8.00M,-276.00M,1.00M,-88.00M,,-38.00M,32.00M,-6.00M,,633.00M,12.00M,639.00M,,-916.00M,0.00,-916.00M,,,,,-5.00M,0.00,,-921.00M,,1.892B,-370.00M,-13.00M,1.509B,,,20.00M,-936.00M,,,AOR,Restated
2009-12,-60.00M,,,,-114.00M,,,112.00M,112.00M,-127.00M,,,,409.00M,21.00M,435.00M,,56.00M,57.00M,,,319.00M,0.00,477.00M,,-73.00M,60.00M,60.00M,0.00,878.00M,-139.00M,698.00M,,-863.00M,0.00,-863.00M,0.00,,0.00,,-5.00M,,-994.00M,-1.862B,,2.576B,-687.00M,3.00M,1.892B,,0.00,859.00M,-1.722B,,,AOR,Restated
2009-09,6.00M,,,,114.00M,,,100.00M,100.00M,-12.00M,,,,-196.00M,19.00M,293.00M,,62.00M,-45.00M,,,329.00M,-5.00M,542.00M,,-52.00M,49.00M,49.00M,0.00,100.00M,86.00M,161.00M,,-448.00M,-9.00M,-457.00M,0.00,,0.00,,-6.00M,0.00,442.00M,-21.00M,,1.885B,682.00M,9.00M,2.576B,,0.00,43.00M,-500.00M,,,AOR,Restated
2009-06,-62.00M,,,,,,,101.00M,101.00M,-13.00M,,,,208.00M,74.00M,323.00M,,-467.00M,5.00M,,,-65.00M,-4.00M,165.00M,,-44.00M,59.00M,59.00M,0.00,531.00M,53.00M,558.00M,,-853.00M,-16.00M,-869.00M,333.00M,,333.00M,,-5.00M,0.00,,-541.00M,,1.691B,182.00M,12.00M,1.885B,,333.00M,582.00M,-1.451B,,,AOR,Restated
2009-03,43.00M,,,,,,,96.00M,96.00M,-113.00M,,,,106.00M,80.00M,-248.00M,,-108.00M,-17.00M,,,-293.00M,-8.00M,-169.00M,,-69.00M,68.00M,68.00M,,208.00M,13.00M,522.00M,,2.408B,-1.612B,796.00M,,,,,-5.00M,,,791.00M,,547.00M,1.144B,0.00,1.691B,,,2.986B,-2.19B,,,AOR,Restated
2008-12,-356.00M,,,,,,,107.00M,107.00M,-27.00M,,191.00M,-39.00M,627.00M,-185.00M,125.00M,,-162.00M,-78.00M,,9.00M,-291.00M,7.00M,118.00M,,-227.00M,18.00M,18.00M,0.00,-10.21B,10.64B,699.00M,,-677.00M,-52.00M,-729.00M,0.00,0.00,0.00,,-112.00M,0.00,222.00M,-619.00M,,357.00M,198.00M,-8.00M,547.00M,,0.00,0.00,-677.00M,0.00,,AOR,Restated
2008-09,205.00M,,,,,,,94.00M,94.00M,17.00M,0.00,0.00,12.00M,9.00M,-24.00M,-143.00M,,80.00M,78.00M,,-103.00M,-112.00M,10.00M,269.00M,,-124.00M,-6.00M,-6.00M,-9.00M,-79.00M,31.00M,-191.00M,,27.00M,236.00M,263.00M,0.00,-399.00M,-399.00M,,-66.00M,2.00M,10.00M,-190.00M,,480.00M,-112.00M,-11.00M,357.00M,,0.00,339.00M,-312.00M,-399.00M,,AOR,Restated
2008-06,250.00M,,,,,,,100.00M,100.00M,-35.00M,0.00,0.00,14.00M,15.00M,-57.00M,-313.00M,,220.00M,,,16.00M,-134.00M,8.00M,258.00M,,-113.00M,9.00M,9.00M,0.00,387.00M,-9.00M,271.00M,,324.00M,-684.00M,-360.00M,0.00,-38.00M,-38.00M,,-49.00M,32.00M,,-415.00M,,361.00M,114.00M,5.00M,480.00M,,0.00,-20.00M,-374.00M,-38.00M,,,Restated
2008-03,225.00M,,,,,,,99.00M,99.00M,2.00M,,,13.00M,4.00M,-10.00M,-331.00M,,28.00M,,,87.00M,-226.00M,-39.00M,105.00M,,-81.00M,1.00M,1.00M,-100.00M,-541.00M,8.00M,-716.00M,,-135.00M,718.00M,583.00M,,-96.00M,-96.00M,,-57.00M,6.00M,,434.00M,,531.00M,-177.00M,7.00M,361.00M,,,1.142B,-559.00M,-96.00M,,,Restated
2007-12,247.00M,,,0.00,0.00,,,95.00M,95.00M,-25.00M,,,11.00M,12.00M,-85.00M,68.00M,,114.00M,,,-47.00M,50.00M,44.00M,445.00M,,-166.00M,1.00M,1.00M,-1.106B,-355.00M,-14.00M,-1.631B,,523.00M,279.00M,802.00M,,0.00,0.00,,-57.00M,22.00M,8.00M,774.00M,,942.00M,-412.00M,1.00M,531.00M,,,796.00M,-273.00M,0.00,,AOR,Restated
2007-09,226.00M,,,0.00,0.00,,,77.00M,77.00M,12.00M,,,30.00M,6.00M,-150.00M,-84.00M,,250.00M,,-36.00M,125.00M,105.00M,6.00M,484.00M,,-77.00M,2.00M,144.00M,0.00,367.00M,-183.00M,132.00M,,309.00M,-691.00M,-315.00M,-69.00M,-83.00M,-152.00M,,0.00,81.00M,4.00M,-383.00M,,697.00M,233.00M,12.00M,942.00M,,-69.00M,1.43B,-1.121B,-83.00M,,,Restated
2007-06,210.00M,,,,,,,79.00M,79.00M,10.00M,,,,19.00M,82.00M,-159.00M,,37.00M,,48.00M,-145.00M,-137.00M,9.00M,190.00M,,-81.00M,2.00M,-79.00M,,,141.00M,77.00M,,,,-119.00M,43.00M,-50.00M,-7.00M,,-48.00M,,12.00M,-162.00M,,585.00M,105.00M,7.00M,697.00M,,43.00M,,,-50.00M,,,
2007-03,196.00M,,,,,,,74.00M,74.00M,,,,,15.00M,-185.00M,-288.00M,,81.00M,,-12.00M,54.00M,-350.00M,-5.00M,-70.00M,,-61.00M,1.00M,-60.00M,,,59.00M,16.00M,,,,52.00M,26.00M,-171.00M,-145.00M,,-49.00M,,,-142.00M,,780.00M,-196.00M,1.00M,585.00M,,26.00M,,,-171.00M,,,
2006-12,300.00M,,,,,,,80.00M,80.00M,25.00M,,,,30.00M,-35.00M,29.00M,,346.00M,,-205.00M,-40.00M,95.00M,-144.00M,442.00M,,-207.00M,3.00M,227.00M,,,1.218B,-649.00M,,,,196.00M,-153.00M,-12.00M,-165.00M,,-49.00M,,4.00M,159.00M,,822.00M,-48.00M,6.00M,780.00M,,-153.00M,,,-12.00M,,AOR,Restated
2006-09,71.00M,,,,,-130.00M,-8.00M,72.00M,72.00M,10.00M,,,,11.00M,11.00M,-58.00M,,-87.00M,,147.00M,94.00M,107.00M,31.00M,302.00M,,-90.00M,1.00M,-89.00M,,,-435.00M,121.00M,,,,236.00M,10.00M,-151.00M,-141.00M,,-48.00M,,9.00M,64.00M,,325.00M,487.00M,10.00M,822.00M,,10.00M,,,-151.00M,,,
2006-06,167.00M,,,,,130.00M,8.00M,72.00M,72.00M,7.00M,,,,13.00M,-137.00M,-165.00M,,80.00M,,17.00M,19.00M,-186.00M,83.00M,156.00M,,-74.00M,1.00M,-73.00M,,,-329.00M,-403.00M,,,,395.00M,36.00M,-372.00M,-336.00M,,-50.00M,,18.00M,22.00M,,545.00M,-225.00M,5.00M,325.00M,,36.00M,,,-372.00M,,,
