,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.00M,,,,,,,,,,,,,,,,,228.87M,228.87M,0.02,,AOR,
2020-09,2.735B,2.735B,2.332B,403.00M,,,258.00M,-7.00M,,43.00M,,-43.00M,,258.00M,145.00M,,43.00M,-43.00M,14.00M,-43.00M,116.00M,1.00M,115.00M,,,,115.00M,121.94M,254.00M,95.00M,159.00M,,0.50,,,,0.5303,0.50,,0.50,,,,0.5303,0.50,,228.92M,229.28M,0.02,,AOR,
2020-06,2.472B,2.472B,2.251B,221.00M,,,239.00M,-78.00M,,42.00M,,-42.00M,,239.00M,-18.00M,,42.00M,-42.00M,-58.00M,-42.00M,-118.00M,-26.00M,-92.00M,,,,-92.00M,-31.16M,22.00M,98.00M,-76.00M,,-0.40,,,,-0.1334,-0.40,,-0.40,,,,-0.1334,-0.40,,228.25M,228.25M,0.02,,AOR,
2020-03,2.777B,2.777B,2.387B,390.00M,,,263.00M,-39.00M,,40.00M,,-40.00M,,263.00M,127.00M,,40.00M,-40.00M,-18.00M,-40.00M,69.00M,19.00M,50.00M,,,,50.00M,78.28M,199.00M,90.00M,109.00M,,0.22,,,,0.3438,0.22,,0.22,,,,0.3435,0.22,,228.31M,228.93M,0.02,,AOR,
2019-12,4.035B,4.035B,3.441B,594.00M,,,298.00M,-72.00M,,42.00M,,-42.00M,,298.00M,296.00M,,42.00M,-42.00M,-44.00M,-42.00M,210.00M,11.00M,199.00M,,,,199.00M,267.23M,366.00M,114.00M,252.00M,,0.87,,,,1.168,0.87,,0.86,,,,1.157,0.86,,228.65M,229.77M,0.02,,AOR,
2019-09,3.259B,3.259B,2.747B,512.00M,,,255.00M,0.00,,44.00M,,-44.00M,,255.00M,257.00M,,44.00M,-44.00M,28.00M,-44.00M,241.00M,21.00M,220.00M,,,,220.00M,220.00M,385.00M,100.00M,285.00M,,0.96,,,,0.96,0.96,,0.95,,,,0.95,0.95,,229.76M,231.10M,0.02,,AOR,Restated
2019-06,3.227B,3.227B,2.641B,586.00M,,,292.00M,0.00,,43.00M,,-43.00M,,292.00M,294.00M,,43.00M,-43.00M,28.00M,-43.00M,279.00M,62.00M,217.00M,,,,217.00M,217.00M,422.00M,100.00M,322.00M,,0.94,,,,0.94,0.94,,0.93,,,,0.93,0.93,,232.01M,233.54M,0.02,,AOR,Restated
2019-03,3.109B,3.109B,2.577B,532.00M,,,307.00M,0.00,,42.00M,,-42.00M,,307.00M,225.00M,,42.00M,-42.00M,29.00M,-42.00M,212.00M,33.00M,179.00M,,,,179.00M,179.00M,356.00M,102.00M,254.00M,,0.76,,,,0.76,0.76,,0.76,,,,0.76,0.76,,234.84M,236.44M,0.02,,AOR,Restated
2018-12,3.75B,3.75B,3.105B,645.00M,,,271.00M,-73.00M,,42.00M,,-42.00M,,271.00M,374.00M,,42.00M,-42.00M,-54.00M,-42.00M,278.00M,32.00M,246.00M,,,,246.00M,310.60M,435.00M,115.00M,320.00M,,1.02,0.00,,,1.289,1.02,,1.014,0.00,,,1.280,1.02,,240.25M,242.61M,0.02,,AOR,Restated
2018-09,3.20B,3.20B,2.687B,513.00M,,,307.00M,444.00M,,41.00M,,-41.00M,,307.00M,206.00M,,41.00M,-41.00M,463.00M,-41.00M,628.00M,65.00M,563.00M,,,,563.00M,165.18M,775.00M,106.00M,669.00M,,2.29,,,,0.6737,2.29,,2.26,,,,0.6647,2.26,,246.14M,249.38M,0.02,,AOR,Restated
