,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,382.00M,,382.00M,878.00M,,878.00M,508.00M,,,1.768B,,,,,,,,375.00M,5.454B,1.855B,7.309B,,401.00M,314.00M,8.399B,10.17B,81.00M,,278.00M,359.00M,321.00M,680.00M,,,1.00M,,1.00M,879.00M,879.00M,,1.683B,4.603B,,4.603B,693.00M,65.00M,758.00M,,,152.00M,5.513B,7.196B,8.00M,10.87B,1.005B,8.857B,-56.00M,2.971B
2017-12,325.00M,,325.00M,997.00M,,997.00M,603.00M,,,1.975B,0.0,13.00M,255.00M,908.00M,,1.176B,-786.00M,390.00M,5.59B,1.882B,7.472B,,84.00M,368.00M,8.314B,10.29B,80.00M,,379.00M,459.00M,221.00M,680.00M,,,3.00M,,3.00M,1.057B,1.057B,,1.938B,4.897B,,4.897B,552.00M,54.00M,606.00M,,,117.00M,5.62B,7.558B,8.00M,10.24B,1.031B,8.494B,-54.00M,2.731B
2017-09,325.00M,,325.00M,898.00M,,898.00M,647.00M,,,1.87B,,,,,,,,385.00M,5.612B,1.888B,7.50B,,,444.00M,8.329B,10.20B,83.00M,,345.00M,428.00M,249.00M,677.00M,,,93.00M,,93.00M,917.00M,917.00M,,1.85B,5.018B,,5.018B,815.00M,,815.00M,,,166.00M,5.999B,7.849B,4.00M,9.694B,1.021B,8.314B,-55.00M,2.35B
2017-06,299.00M,,299.00M,845.00M,,845.00M,488.00M,,,1.632B,,,,,,,,396.00M,5.435B,1.807B,7.242B,,,415.00M,8.053B,9.685B,85.00M,,253.00M,338.00M,229.00M,567.00M,,,95.00M,,95.00M,911.00M,911.00M,,1.707B,4.646B,,4.646B,773.00M,,773.00M,,,168.00M,5.587B,7.294B,4.00M,9.462B,1.017B,8.033B,-59.00M,2.391B
2017-03,308.00M,,308.00M,861.00M,,861.00M,446.00M,,,1.615B,,,,,,,,400.00M,5.432B,1.838B,7.27B,,,411.00M,8.081B,9.696B,83.00M,119.00M,207.00M,409.00M,249.00M,658.00M,,,91.00M,,91.00M,923.00M,923.00M,,1.79B,4.547B,,4.547B,767.00M,,767.00M,,,168.00M,5.482B,7.272B,4.00M,9.241B,999.00M,7.753B,-67.00M,2.424B
2016-12,300.00M,,300.00M,902.00M,,902.00M,526.00M,,,1.728B,0.0,19.00M,256.00M,876.00M,,1.151B,-746.00M,405.00M,5.373B,1.833B,7.206B,,,404.00M,8.015B,9.743B,110.00M,184.00M,305.00M,599.00M,234.00M,833.00M,,,95.00M,,95.00M,892.00M,892.00M,,1.82B,4.467B,,4.467B,762.00M,,762.00M,,,153.00M,5.382B,7.202B,4.00M,8.994B,1.02B,7.401B,-76.00M,2.541B
2016-09,303.00M,,303.00M,830.00M,,830.00M,467.00M,,,1.60B,,,,,,,,403.00M,5.375B,1.868B,7.243B,,,391.00M,8.037B,9.637B,73.00M,,247.00M,320.00M,273.00M,593.00M,,,6.00M,,6.00M,800.00M,800.00M,,1.548B,4.624B,,4.624B,742.00M,,742.00M,,,154.00M,5.52B,7.068B,4.00M,8.779B,1.001B,7.146B,-69.00M,2.569B
2016-06,263.00M,,263.00M,812.00M,,812.00M,411.00M,,,1.486B,,,,,,,,394.00M,5.38B,1.893B,7.273B,,,377.00M,8.044B,9.53B,71.00M,,190.00M,261.00M,246.00M,507.00M,,,6.00M,,6.00M,804.00M,804.00M,,1.452B,4.548B,,4.548B,734.00M,,734.00M,,,154.00M,5.436B,6.888B,4.00M,8.565B,978.00M,6.831B,-74.00M,2.642B
2016-03,283.00M,,283.00M,805.00M,,805.00M,388.00M,,,1.476B,,,,,,,,401.00M,5.38B,1.909B,7.289B,,,386.00M,8.076B,9.552B,66.00M,121.00M,176.00M,363.00M,223.00M,586.00M,,,4.00M,,4.00M,832.00M,832.00M,,1.542B,4.445B,,4.445B,721.00M,,721.00M,,,160.00M,5.326B,6.868B,4.00M,8.353B,960.00M,6.564B,-69.00M,2.684B
2015-12,275.00M,,275.00M,802.00M,,802.00M,429.00M,,,1.506B,0.0,19.00M,253.00M,833.00M,,1.105B,-709.00M,396.00M,5.20B,1.872B,7.072B,,,366.00M,7.834B,9.34B,74.00M,,224.00M,298.00M,200.00M,498.00M,,,5.00M,,5.00M,803.00M,803.00M,,1.502B,4.288B,,4.288B,726.00M,,726.00M,,,164.00M,5.178B,6.68B,4.00M,8.064B,952.00M,6.286B,-74.00M,2.66B
2015-09,309.00M,,309.00M,783.00M,,783.00M,402.00M,37.00M,,1.531B,,,,,,,,397.00M,5.201B,1.906B,7.107B,,,352.00M,7.856B,9.387B,77.00M,,183.00M,260.00M,289.00M,549.00M,,,5.00M,,5.00M,699.00M,699.00M,,1.411B,4.23B,,4.23B,720.00M,,720.00M,,,157.00M,5.107B,6.518B,4.00M,7.875B,940.00M,5.875B,-75.00M,2.869B
2015-06,530.00M,,530.00M,746.00M,,746.00M,398.00M,40.00M,,1.714B,,,,,,,,382.00M,5.204B,1.94B,7.144B,,,348.00M,7.874B,9.588B,77.00M,,191.00M,268.00M,195.00M,463.00M,,,5.00M,,5.00M,735.00M,735.00M,,1.336B,4.231B,,4.231B,712.00M,,712.00M,,,166.00M,5.109B,6.445B,4.00M,7.657B,920.00M,5.372B,-66.00M,3.143B
2015-03,296.00M,,296.00M,765.00M,,765.00M,398.00M,39.00M,,1.498B,,,,,,,,338.00M,5.204B,1.974B,7.178B,,,321.00M,7.837B,9.335B,56.00M,,208.00M,264.00M,284.00M,548.00M,,,95.00M,,95.00M,748.00M,748.00M,,1.501B,3.757B,,3.757B,720.00M,,720.00M,,,139.00M,4.616B,6.117B,4.00M,7.53B,896.00M,5.141B,-71.00M,3.218B
2014-12,294.00M,,294.00M,798.00M,,798.00M,352.00M,,,1.444B,0.0,23.00M,209.00M,822.00M,,1.054B,-737.00M,317.00M,5.209B,2.003B,7.212B,,,335.00M,7.864B,9.308B,61.00M,,176.00M,237.00M,215.00M,452.00M,,,92.00M,,92.00M,750.00M,750.00M,,1.486B,3.698B,,3.698B,700.00M,,700.00M,,,129.00M,4.527B,6.013B,4.00M,7.352B,897.00M,4.895B,-63.00M,3.295B
2014-09,409.00M,,409.00M,748.00M,,748.00M,381.00M,41.00M,,1.579B,,,,,,,,304.00M,5.212B,2.042B,7.254B,,,301.00M,7.859B,9.438B,54.00M,,198.00M,252.00M,242.00M,494.00M,,,92.00M,,92.00M,655.00M,655.00M,,1.397B,3.756B,,3.756B,693.00M,,693.00M,,,130.00M,4.579B,5.976B,4.00M,7.171B,880.00M,4.536B,-57.00M,3.462B
2014-06,329.00M,,329.00M,730.00M,,730.00M,421.00M,45.00M,,1.525B,,,,,,,,300.00M,5.217B,2.07B,7.287B,,,291.00M,7.878B,9.403B,55.00M,,248.00M,303.00M,190.00M,493.00M,,,92.00M,,92.00M,656.00M,656.00M,,1.368B,3.756B,,3.756B,680.00M,,680.00M,,,124.00M,4.56B,5.928B,4.00M,6.932B,866.00M,4.278B,-49.00M,3.475B
2014-03,307.00M,,307.00M,752.00M,,752.00M,436.00M,52.00M,,1.547B,,,,,,,,284.00M,5.215B,2.101B,7.316B,,,326.00M,7.926B,9.473B,61.00M,,275.00M,336.00M,233.00M,569.00M,,,92.00M,,92.00M,665.00M,665.00M,,1.438B,3.756B,,3.756B,717.00M,,717.00M,,,119.00M,4.592B,6.03B,4.00M,6.766B,852.00M,4.125B,-54.00M,3.443B
2013-12,400.00M,,400.00M,751.00M,,751.00M,366.00M,55.00M,,1.572B,0.0,23.00M,202.00M,727.00M,,952.00M,-686.00M,266.00M,5.216B,2.142B,7.358B,,,317.00M,7.941B,9.513B,67.00M,,184.00M,251.00M,150.00M,401.00M,,,92.00M,,92.00M,674.00M,674.00M,,1.332B,3.756B,,3.756B,713.00M,,713.00M,,,127.00M,4.596B,5.928B,4.00M,6.598B,844.00M,3.801B,-60.00M,3.585B
2013-09,321.00M,,321.00M,710.00M,,710.00M,442.00M,54.00M,,1.527B,,,,,,,,259.00M,5.217B,2.18B,7.397B,,,273.00M,7.929B,9.456B,61.00M,,239.00M,300.00M,217.00M,517.00M,,,2.00M,,2.00M,577.00M,577.00M,,1.228B,3.929B,,3.929B,683.00M,,683.00M,,,156.00M,4.768B,5.996B,2.00M,6.377B,832.00M,3.688B,-63.00M,3.46B
2013-06,320.00M,,320.00M,691.00M,,691.00M,384.00M,59.00M,,1.454B,,,,,,,,255.00M,5.231B,2.209B,7.44B,,,285.00M,7.98B,9.434B,58.00M,,220.00M,278.00M,206.00M,484.00M,,,2.00M,,2.00M,577.00M,577.00M,,1.173B,3.951B,,3.951B,694.00M,,694.00M,,,153.00M,4.798B,5.971B,2.00M,6.218B,821.00M,3.511B,-67.00M,3.463B
2013-03,356.00M,,356.00M,674.00M,,674.00M,364.00M,59.00M,,1.453B,,,,,,,,258.00M,5.231B,2.252B,7.483B,,,369.00M,8.11B,9.563B,95.00M,,200.00M,295.00M,224.00M,519.00M,,,2.00M,,2.00M,572.00M,572.00M,,1.19B,4.047B,,4.047B,711.00M,,711.00M,,,118.00M,4.876B,6.066B,2.00M,6.067B,809.00M,3.319B,-62.00M,3.497B
2012-12,358.00M,,358.00M,661.00M,,661.00M,349.00M,42.00M,,1.443B,0.0,23.00M,193.00M,677.00M,,893.00M,-645.00M,248.00M,4.705B,1.744B,6.449B,,,357.00M,7.054B,8.497B,97.00M,,216.00M,313.00M,117.00M,430.00M,,,2.00M,,2.00M,526.00M,526.00M,3.00M,1.105B,3.228B,,3.228B,638.00M,,638.00M,,,109.00M,3.975B,5.08B,4.00M,5.95B,802.00M,3.279B,-60.00M,3.417B
2012-09,307.00M,,307.00M,643.00M,,643.00M,338.00M,37.00M,,1.325B,,,,,,,,256.00M,4.719B,1.782B,6.501B,,,371.00M,7.128B,8.453B,84.00M,,,84.00M,375.00M,459.00M,,2.00M,2.00M,,2.00M,466.00M,466.00M,,1.051B,3.447B,,3.447B,603.00M,,603.00M,,,94.00M,4.144B,5.195B,2.00M,5.771B,793.00M,3.247B,-61.00M,3.258B
2012-06,302.00M,,302.00M,606.00M,,606.00M,336.00M,39.00M,,1.283B,,,,,,,,256.00M,4.718B,1.814B,6.532B,,,345.00M,7.133B,8.416B,94.00M,,,94.00M,508.00M,602.00M,,,178.00M,,178.00M,455.00M,455.00M,,1.235B,3.237B,,3.237B,610.00M,,610.00M,,,81.00M,3.928B,5.163B,2.00M,5.632B,790.00M,3.098B,-73.00M,3.253B
2012-03,311.00M,,311.00M,650.00M,,650.00M,317.00M,38.00M,,1.316B,,,,,,,,260.00M,4.721B,1.851B,6.572B,,,336.00M,7.168B,8.484B,85.00M,,,85.00M,322.00M,407.00M,,,178.00M,,178.00M,490.00M,490.00M,278.00M,1.353B,3.218B,,3.218B,620.00M,,620.00M,,,78.00M,3.916B,5.269B,2.00M,5.471B,779.00M,2.975B,-62.00M,3.215B
2011-12,337.00M,,337.00M,666.00M,,666.00M,309.00M,44.00M,,1.356B,0.0,23.00M,190.00M,652.00M,,865.00M,-607.00M,258.00M,4.72B,1.881B,6.601B,,,333.00M,7.192B,8.548B,96.00M,,195.00M,291.00M,176.00M,467.00M,,179.00M,179.00M,,179.00M,483.00M,483.00M,98.00M,1.384B,3.216B,,3.216B,617.00M,,617.00M,,,73.00M,3.906B,5.29B,2.00M,5.339B,777.00M,2.782B,-78.00M,3.258B
2011-09,281.00M,,281.00M,579.00M,,579.00M,304.00M,47.00M,,1.211B,,,,,,,,262.00M,4.709B,1.95B,6.659B,,,319.00M,7.24B,8.451B,95.00M,,,95.00M,438.00M,533.00M,,4.00M,4.00M,,4.00M,402.00M,402.00M,103.00M,1.042B,3.514B,,3.514B,644.00M,,644.00M,,,99.00M,4.257B,5.299B,2.00M,5.196B,767.00M,2.734B,-79.00M,3.152B
2011-06,675.00M,,675.00M,547.00M,,547.00M,259.00M,42.00M,,1.523B,,,,,,,,272.00M,4.392B,1.855B,6.247B,,,354.00M,6.873B,8.396B,,,,,,518.00M,,,303.00M,,303.00M,333.00M,333.00M,,1.154B,3.35B,,3.35B,636.00M,,636.00M,,,170.00M,4.156B,5.31B,2.00M,5.069B,761.00M,2.699B,-47.00M,3.086B
2011-03,517.00M,,517.00M,528.00M,,528.00M,261.00M,40.00M,,1.346B,,,,,,,,276.00M,4.388B,1.895B,6.283B,,,352.00M,6.911B,8.257B,,,,,,594.00M,,,3.00M,,3.00M,349.00M,349.00M,,946.00M,3.352B,,3.352B,648.00M,,648.00M,,,173.00M,4.173B,5.119B,2.00M,4.979B,753.00M,2.555B,-41.00M,3.138B
2010-12,563.00M,,563.00M,572.00M,,572.00M,245.00M,37.00M,,1.417B,0.0,23.00M,184.00M,637.00M,,844.00M,-577.00M,267.00M,4.377B,1.879B,6.256B,,,341.00M,6.864B,8.281B,537.00M,,,537.00M,,537.00M,,,3.00M,,3.00M,351.00M,351.00M,,891.00M,3.353B,,3.353B,627.00M,,627.00M,,,181.00M,4.161B,5.052B,2.00M,4.867B,750.00M,2.34B,-50.00M,3.229B
2010-03,416.00M,,416.00M,514.00M,,514.00M,270.00M,44.00M,,1.244B,,,,,,,,281.00M,4.369B,1.97B,6.339B,,,445.00M,7.065B,8.309B,,,,,,510.00M,,,133.00M,,133.00M,347.00M,347.00M,,990.00M,3.381B,,3.381B,583.00M,,583.00M,,,237.00M,4.201B,5.191B,2.00M,4.492B,729.00M,2.035B,-70.00M,3.118B
2009-12,363.00M,,363.00M,554.00M,,554.00M,314.00M,46.00M,,1.277B,0.0,23.00M,183.00M,612.00M,,818.00M,-525.00M,293.00M,4.371B,2.006B,6.377B,,,431.00M,7.101B,8.378B,104.00M,,182.00M,286.00M,279.00M,565.00M,,,259.00M,,259.00M,337.00M,337.00M,,1.161B,3.382B,,3.382B,580.00M,,580.00M,,,229.00M,4.191B,5.352B,2.00M,4.371B,727.00M,2.005B,-69.00M,3.026B
2009-09,278.00M,,278.00M,518.00M,,518.00M,268.00M,45.00M,886.00M,1.995B,,,,,,,,288.00M,4.368B,2.02B,6.388B,,,425.00M,7.101B,9.096B,102.00M,,,102.00M,453.00M,555.00M,,,4.00M,,4.00M,301.00M,301.00M,729.00M,1.589B,3.773B,,3.773B,568.00M,,568.00M,,,252.00M,4.593B,6.182B,2.00M,4.253B,722.00M,1.974B,-89.00M,2.914B
2009-06,309.00M,,309.00M,542.00M,,542.00M,292.00M,63.00M,867.00M,2.073B,,,,,,,,292.00M,4.407B,2.068B,6.475B,,,350.00M,7.117B,9.19B,101.00M,,,101.00M,457.00M,558.00M,,,129.00M,,129.00M,311.00M,311.00M,783.00M,1.781B,3.751B,,3.751B,543.00M,,543.00M,,,279.00M,4.573B,6.354B,2.00M,4.138B,716.00M,1.927B,-93.00M,2.836B
2009-03,312.00M,,312.00M,552.00M,,552.00M,307.00M,62.00M,954.00M,2.187B,,,,,,,,294.00M,4.408B,2.093B,6.501B,,,354.00M,7.149B,9.336B,94.00M,,,94.00M,527.00M,621.00M,,,255.00M,,255.00M,329.00M,329.00M,835.00M,2.04B,3.752B,,3.752B,527.00M,,527.00M,,,309.00M,4.588B,6.628B,2.00M,3.998B,709.00M,1.895B,-106.00M,2.708B
2008-12,230.00M,,230.00M,591.00M,,591.00M,294.00M,71.00M,1.016B,2.202B,0.0,23.00M,162.00M,574.00M,,759.00M,-461.00M,298.00M,4.387B,2.091B,6.478B,,,353.00M,7.129B,9.331B,97.00M,,134.00M,231.00M,375.00M,606.00M,,,255.00M,,255.00M,338.00M,338.00M,841.00M,2.04B,3.85B,,3.85B,537.00M,,537.00M,,,310.00M,4.697B,6.737B,2.00M,3.895B,706.00M,1.889B,-120.00M,2.594B
2008-09,472.00M,,472.00M,561.00M,,561.00M,342.00M,56.00M,1.025B,2.456B,,,,,,758.00M,-456.00M,302.00M,4.364B,2.133B,6.497B,,,333.00M,7.132B,9.588B,105.00M,,,105.00M,545.00M,650.00M,,,8.00M,,8.00M,284.00M,284.00M,876.00M,1.818B,4.251B,,4.251B,562.00M,,562.00M,,,182.00M,4.995B,6.813B,2.00M,3.833B,706.00M,1.71B,-56.00M,2.775B
2008-06,211.00M,,211.00M,808.00M,,808.00M,381.00M,77.00M,1.054B,2.531B,,,,,,788.00M,-456.00M,332.00M,4.837B,2.28B,7.117B,,,122.00M,7.571B,10.10B,174.00M,,,174.00M,531.00M,705.00M,,,263.00M,,263.00M,336.00M,336.00M,946.00M,2.25B,4.253B,,4.253B,582.00M,,582.00M,,,169.00M,5.004B,7.254B,2.00M,3.754B,701.00M,1.565B,-44.00M,2.848B
2008-03,371.00M,,371.00M,842.00M,,842.00M,367.00M,72.00M,1.259B,2.911B,,,,,,816.00M,-456.00M,360.00M,4.818B,2.305B,7.123B,,,126.00M,7.609B,10.52B,171.00M,,,171.00M,583.00M,754.00M,,,468.00M,,468.00M,349.00M,349.00M,1.159B,2.73B,4.308B,,4.308B,564.00M,,564.00M,,,226.00M,5.098B,7.828B,2.00M,3.655B,704.00M,1.592B,-77.00M,2.692B
2007-12,297.00M,,297.00M,836.00M,,836.00M,353.00M,71.00M,2.683B,4.24B,0.0,19.00M,151.00M,656.00M,,826.00M,-456.00M,370.00M,4.808B,2.299B,7.107B,,,129.00M,7.606B,11.85B,181.00M,,,181.00M,597.00M,778.00M,,,510.00M,,510.00M,351.00M,351.00M,2.112B,3.751B,4.895B,,4.895B,574.00M,,574.00M,,,159.00M,5.628B,9.379B,2.00M,3.326B,700.00M,1.52B,-41.00M,2.467B
2007-09,161.25M,,161.25M,658.21M,,658.21M,161.79M,32.10M,1.987B,3.001B,,,,,,687.57M,-449.41M,238.16M,2.386B,591.72M,2.978B,,,60.76M,3.277B,6.278B,245.45M,,,245.45M,321.36M,566.81M,,,60.95M,,60.95M,251.15M,251.15M,1.858B,2.737B,911.00M,,911.00M,186.74M,,186.74M,,,61.24M,1.159B,3.896B,1.979M,3.230B,697.15M,1.537B,-9.937M,2.382B
2007-06,151.58M,,151.58M,564.18M,,564.18M,156.28M,32.54M,2.272B,3.176B,,,,,,687.65M,-449.41M,238.25M,2.391B,593.10M,2.984B,,,54.98M,3.277B,6.453B,231.15M,,,231.15M,301.92M,533.08M,,,,,,249.92M,249.92M,2.147B,2.930B,879.80M,,879.80M,196.72M,,196.72M,,,54.55M,1.131B,4.061B,1.979M,3.109B,695.05M,1.414B,0.335M,2.392B
2007-03,200.80M,,200.80M,598.98M,,598.98M,176.16M,,,975.93M,,,,,,695.44M,-449.41M,246.03M,2.397B,624.00M,3.021B,,,2.120B,5.387B,6.363B,223.02M,,,223.02M,385.26M,608.29M,,,,,,271.95M,271.95M,,880.24M,821.90M,,821.90M,155.77M,,155.77M,,,2.075B,3.053B,3.933B,1.979M,3.000B,703.10M,1.275B,-0.414M,2.430B
