,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2003-12,162.67M,,162.67M,417.52M,,417.52M,98.42M,,,678.60M,0.0,,120.11M,437.60M,,557.71M,-357.14M,200.58M,,2.270B,2.270B,,,4.065B,6.536B,7.214B,179.19M,,,179.19M,279.56M,458.75M,,,100.00M,,100.00M,209.00M,209.00M,,767.75M,699.12M,,699.12M,95.28M,,95.28M,,,3.452B,4.247B,5.014B,1.943M,1.543B,637.62M,,17.34M,2.200B
2003-09,201.70M,,201.70M,362.59M,1.954B,2.317B,119.33M,,,2.638B,,,,,,548.17M,-327.61M,220.56M,,2.287B,2.287B,,,2.025B,4.533B,7.171B,145.45M,,,145.45M,330.48M,475.92M,,,135.15M,,135.15M,179.26M,179.26M,3.538B,4.329B,659.12M,,659.12M,80.98M,,80.98M,,,,740.10M,5.069B,1.938M,1.461B,629.12M,,9.835M,2.102B
2003-06,291.15M,,291.15M,322.37M,1.767B,2.089B,122.09M,,,2.502B,,,,,,552.21M,-327.61M,224.61M,,1.916B,1.916B,,,1.982B,4.122B,6.625B,134.10M,,,134.10M,268.89M,402.98M,,,206.00M,,206.00M,190.38M,190.38M,1.614B,2.414B,499.29M,,499.29M,80.24M,,80.24M,,,1.610B,2.189B,4.603B,1.936M,1.381B,622.03M,,17.23M,2.022B
2003-03,182.16M,,182.16M,338.02M,1.602B,1.940B,125.89M,,,2.248B,,,,,,551.50M,-327.61M,223.90M,,1.784B,1.784B,,,2.239B,4.247B,6.494B,128.38M,,,128.38M,262.55M,390.93M,,,170.50M,,170.50M,192.94M,192.94M,1.554B,2.308B,433.91M,,433.91M,66.40M,,66.40M,,,1.754B,2.254B,4.563B,1.932M,1.302B,613.20M,,14.32M,1.932B
2002-12,227.24M,,227.24M,339.74M,1.741B,2.080B,119.88M,,,2.427B,0.0,,123.55M,427.12M,,550.68M,-327.61M,223.07M,,1.672B,1.672B,,,2.116B,4.011B,6.439B,122.27M,,,122.27M,280.61M,402.88M,,,100.00M,,100.00M,181.17M,181.17M,1.691B,2.375B,482.82M,,482.82M,46.13M,,46.13M,,,1.707B,2.236B,4.611B,1.924M,1.228B,599.70M,25.72M,23.88M,1.828B
2002-09,217.97M,,217.97M,287.58M,1.426B,1.713B,105.13M,,,2.037B,,,,,,651.02M,-385.08M,265.94M,,1.310B,1.310B,,,2.053B,3.629B,5.666B,85.29M,,,85.29M,283.51M,368.80M,,,186.19M,,186.19M,151.48M,151.48M,,706.47M,260.73M,,260.73M,44.16M,,44.16M,,,2.885B,3.190B,3.897B,1.924M,1.160B,601.43M,23.99M,30.29M,1.769B
2002-06,188.33M,1.998B,2.187B,296.34M,1.462B,1.758B,104.10M,,,4.049B,,,,,,647.76M,-385.08M,262.68M,,1.165B,1.165B,,,100.34M,1.528B,5.577B,88.30M,,,88.30M,253.53M,341.82M,,,137.39M,,137.39M,159.00M,159.00M,1.281B,1.919B,262.50M,,262.50M,55.84M,,55.84M,,,1.586B,1.904B,3.823B,1.918M,1.094B,591.28M,,66.91M,1.754B
2002-03,138.70M,1.800B,1.938B,294.98M,1.644B,1.939B,109.01M,,,3.986B,,,,,,642.18M,-385.08M,257.10M,,1.145B,1.145B,,,98.52M,1.500B,5.486B,83.18M,,,83.18M,221.60M,304.79M,,,165.19M,,165.19M,163.70M,163.70M,1.448B,2.082B,260.68M,,260.68M,62.98M,,62.98M,,,1.392B,1.715B,3.797B,1.912M,1.027B,583.39M,,77.19M,1.689B
2001-12,136.09M,1.885B,2.021B,311.22M,1.427B,1.738B,108.00M,,,3.867B,0.0,,105.42M,414.21M,113.20M,632.83M,-385.08M,247.75M,,1.110B,1.110B,,,97.25M,1.455B,5.322B,83.30M,,,83.30M,257.28M,340.58M,,,112.80M,,112.80M,171.10M,171.10M,,624.48M,343.09M,,343.09M,39.41M,,39.41M,,,2.710B,3.093B,3.717B,1.903M,961.75M,564.96M,,76.22M,1.605B
2001-09,92.75M,1.972B,2.065B,289.72M,1.509B,1.799B,100.60M,,,3.964B,,,,,,544.69M,-326.49M,218.20M,,957.20M,957.20M,,,88.48M,1.264B,5.228B,78.18M,,,78.18M,281.39M,359.56M,,,129.50M,,129.50M,144.89M,144.89M,1.297B,1.931B,250.28M,,250.28M,30.87M,,30.87M,,,1.599B,1.881B,3.811B,1.881M,908.91M,465.10M,14.89M,55.84M,1.417B
